OID,Cid,Comment,Tier,MasteryCid,MasteryExp,ParentCategory,ChildCategory,MaterialLabor,MaterialGold,CraftTime,CraftCargoCid,CraftItemCids,CraftItemOverrideBindingTypes,CraftItemCounts,CraftItemEnhances,CraftItemGrades,GradeProbs,MaxCountAtOnce,MaterialItemCids,MaterialItemCounts,MaterialItemEnhances,MaterialGroupCids,MaterialGroupCounts,MaterialGroupEnhances
1027,1027,직물_7티어,Tier7,702,10,Material,Sewing,0,100,5000,,"[52070002,52070002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51070002],[10],[0],[],[],[]
1031,1031,목재_1티어,Tier1,703,10,Material,WoodWork,0,10,5000,,"[52010003,52010003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51010003],[10],[0],[],[],[]
1032,1032,목재_2티어,Tier2,703,10,Material,WoodWork,0,50,5000,,"[52020003,52020003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51020003],[10],[0],[],[],[]
1033,1033,목재_3티어,Tier3,703,10,Material,WoodWork,0,100,5000,,"[52030003,52030003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51030003],[10],[0],[],[],[]
1034,1034,목재_4티어,Tier4,703,10,Material,WoodWork,0,100,5000,,"[52040003,52040003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51040003],[10],[0],[],[],[]
1035,1035,목재_5티어,Tier5,703,10,Material,WoodWork,0,100,5000,,"[52050003,52050003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51050003],[10],[0],[],[],[]
1036,1036,목재_6티어,Tier6,703,10,Material,WoodWork,0,100,5000,,"[52060003,52060003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51060003],[10],[0],[],[],[]
1037,1037,목재_7티어,Tier7,703,10,Material,WoodWork,0,100,5000,,"[52070003,52070003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51070003],[10],[0],[],[],[]
1041,1041,피혁_1티어,Tier1,704,10,Material,Tanned,0,10,5000,,"[52010004,52010004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51010004],[10],[0],[],[],[]
1042,1042,피혁_2티어,Tier2,704,10,Material,Tanned,0,50,5000,,"[52020004,52020004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51020004],[10],[0],[],[],[]
1043,1043,피혁_3티어,Tier3,704,10,Material,Tanned,0,100,5000,,"[52030004,52030004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51030004],[10],[0],[],[],[]
1044,1044,피혁_4티어,Tier4,704,10,Material,Tanned,0,100,5000,,"[52040004,52040004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51040004],[10],[0],[],[],[]
1045,1045,피혁_5티어,Tier5,704,10,Material,Tanned,0,100,5000,,"[52050004,52050004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51050004],[10],[0],[],[],[]
1046,1046,피혁_6티어,Tier6,704,10,Material,Tanned,0,100,5000,,"[52060004,52060004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51060004],[10],[0],[],[],[]
1047,1047,피혁_7티어,Tier7,704,10,Material,Tanned,0,100,5000,,"[52070004,52070004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[51070004],[10],[0],[],[],[]
11010006,11010006,1T 장검(기본 제작),Tier1,604,10,Weapon,OnehandSword,0,100,10000,,"[11010006,11010006]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[52010001],[2],[0],[],[],[]
11010007,11010007,1T 양손검(기본 제작),Tier1,604,10,Weapon,TwohandSword,0,100,10000,,"[11010007,11010007]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[52010001],[2],[0],[],[],[]
11010008,11010008,1T 단검(기본 제작),Tier1,605,10,Weapon,Dagger,0,100,10000,,"[11010008,11010008]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[52010001],[2],[0],[],[],[]
11010009,11010009,1T 활(기본 제작),Tier1,606,10,Weapon,Bow,0,100,10000,,"[11010009,11010009]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[52010003],[2],[0],[],[],[]
11010010,11010010,1T 지팡이(기본 제작),Tier1,607,10,Weapon,Staff,0,100,10000,,"[11010010,11010010]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[52010003],[2],[0],[],[],[]
11020001,11020001,2T 장검(전리품 제작),Tier2,602,50,Weapon,OnehandSword,0,500,10000,,"[11020006,11020006]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,52020003,53020003]","[10,10,10]","[0,0,0]",[],[],[]
11020002,11020002,2T 양손검(전리품 제작),Tier2,604,50,Weapon,TwohandSword,0,500,10000,,"[11020007,11020007]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,52020003,53020003]","[10,10,10]","[0,0,0]",[],[],[]
11020003,11020003,2T 단검(전리품 제작),Tier2,605,50,Weapon,Dagger,0,500,10000,,"[11020008,11020008]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,52020004,53020003]","[10,10,10]","[0,0,0]",[],[],[]
11020004,11020004,2T 활(전리품 제작),Tier2,606,50,Weapon,Bow,0,500,10000,,"[11020009,11020009]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020003,52020004,53020003]","[10,10,10]","[0,0,0]",[],[],[]
11020005,11020005,2T 지팡이(전리품 제작),Tier2,607,50,Weapon,Staff,0,500,10000,,"[11020010,11020010]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020003,52020002,53020003]","[10,10,10]","[0,0,0]",[],[],[]
11020006,11020006,2T 장검(던전 코어),Tier2,604,50,Weapon,OnehandSword,0,500,10000,,"[11020001,11020001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,52020003,53020001]","[10,10,3]","[0,0,0]",[],[],[]
11020007,11020007,2T 양손검(던전 코어),Tier2,604,50,Weapon,TwohandSword,0,500,10000,,"[11020002,11020002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,52020003,53020001]","[10,10,3]","[0,0,0]",[],[],[]
11020008,11020008,2T 단검(던전 코어),Tier2,605,50,Weapon,Dagger,0,500,10000,,"[11020003,11020003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,52020004,53020001]","[10,10,3]","[0,0,0]",[],[],[]
11020009,11020009,2T 활(던전 코어),Tier2,606,50,Weapon,Bow,0,500,10000,,"[11020004,11020004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020003,52020004,53020001]","[10,10,3]","[0,0,0]",[],[],[]
11020010,11020010,2T 지팡이(던전 코어),Tier2,607,50,Weapon,Staff,0,500,10000,,"[11020005,11020005]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020003,52020002,53020001]","[10,10,3]","[0,0,0]",[],[],[]
11030001,11030001,3T 장검(전리품 제작),Tier3,602,250,Weapon,OnehandSword,0,5000,10000,,"[11030006,11030006]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,52030003,53030005]","[20,20,20]","[0,0,0]",[],[],[]
11030002,11030002,3T 양손검(전리품 제작),Tier3,604,250,Weapon,TwohandSword,0,5000,10000,,"[11030007,11030007]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,52030003,53030005]","[20,20,20]","[0,0,0]",[],[],[]
11030003,11030003,3T 단검(전리품 제작),Tier3,605,250,Weapon,Dagger,0,5000,10000,,"[11030008,11030008]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,52030004,53030005]","[20,20,20]","[0,0,0]",[],[],[]
11030004,11030004,3T 활(전리품 제작),Tier3,606,250,Weapon,Bow,0,5000,10000,,"[11030009,11030009]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030003,52030004,53030005]","[20,20,20]","[0,0,0]",[],[],[]
11030005,11030005,3T 지팡이(전리품 제작),Tier3,607,250,Weapon,Staff,0,5000,10000,,"[11030010,11030010]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030003,52030002,53030005]","[20,20,20]","[0,0,0]",[],[],[]
11030006,11030006,3T 장검(던전 코어),Tier3,604,250,Weapon,OnehandSword,0,5000,10000,,"[11030001,11030001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,52030003,53030001]","[20,20,15]","[0,0,0]",[],[],[]
11030007,11030007,3T 양손검(던전 코어),Tier3,604,250,Weapon,TwohandSword,0,5000,10000,,"[11030002,11030002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,52030003,53030001]","[20,20,15]","[0,0,0]",[],[],[]
11030008,11030008,3T 단검(던전 코어),Tier3,605,250,Weapon,Dagger,0,5000,10000,,"[11030003,11030003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,52030004,53030001]","[20,20,15]","[0,0,0]",[],[],[]
11030009,11030009,3T 활(던전 코어),Tier3,606,250,Weapon,Bow,0,5000,10000,,"[11030004,11030004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030003,52030004,53030001]","[20,20,15]","[0,0,0]",[],[],[]
11030010,11030010,3T 지팡이(던전 코어),Tier3,607,250,Weapon,Staff,0,5000,10000,,"[11030005,11030005]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030003,52030002,53030001]","[20,20,15]","[0,0,0]",[],[],[]
12020001,12020001,2T 판금 투구(전리품 제작),Tier2,601,50,Armor,Metal,0,250,10000,,"[12020001,12020001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,53020004]","[10,5]","[0,0]",[],[],[]
12020002,12020002,2T 가죽 투구(전리품 제작),Tier2,602,50,Armor,Leather,0,250,10000,,"[12020002,12020002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020004,53020004]","[10,5]","[0,0]",[],[],[]
12020003,12020003,2T 천 투구(전리품 제작),Tier2,603,50,Armor,Fabric,0,250,10000,,"[12020003,12020003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020002,53020004]","[10,5]","[0,0]",[],[],[]
12020004,12020004,2T 판금 장갑(전리품 제작),Tier2,601,50,Armor,Metal,0,250,10000,,"[12020004,12020004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,53020004]","[10,5]","[0,0]",[],[],[]
12020005,12020005,2T 가죽 장갑(전리품 제작),Tier2,602,50,Armor,Leather,0,250,10000,,"[12020005,12020005]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020004,53020004]","[10,5]","[0,0]",[],[],[]
12020006,12020006,2T 천 장갑(전리품 제작),Tier2,603,50,Armor,Fabric,0,250,10000,,"[12020006,12020006]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020002,53020004]","[10,5]","[0,0]",[],[],[]
12020007,12020007,2T 판금 신발(전리품 제작),Tier2,601,50,Armor,Metal,0,250,10000,,"[12020007,12020007]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,53020004]","[10,5]","[0,0]",[],[],[]
12020008,12020008,2T 가죽 신발(전리품 제작),Tier2,602,50,Armor,Leather,0,250,10000,,"[12020008,12020008]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020004,53020004]","[10,5]","[0,0]",[],[],[]
12020009,12020009,2T 천 신발(전리품 제작),Tier2,603,50,Armor,Fabric,0,250,10000,,"[12020009,12020009]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020002,53020004]","[10,5]","[0,0]",[],[],[]
12020010,12020010,2T 판금 투구(전리품 제작),Tier2,601,50,Armor,Metal,0,250,10000,,"[12020010,12020010]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,53020004]","[10,5]","[0,0]",[],[],[]
12020011,12020011,2T 가죽 투구(전리품 제작),Tier2,602,50,Armor,Leather,0,250,10000,,"[12020011,12020011]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020004,53020004]","[10,5]","[0,0]",[],[],[]
12020012,12020012,2T 천 투구(전리품 제작),Tier2,603,50,Armor,Fabric,0,250,10000,,"[12020012,12020012]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020002,53020004]","[10,5]","[0,0]",[],[],[]
12020013,12020013,2T 판금 갑옷(던전 코어),Tier2,601,50,Armor,Metal,0,250,10000,,"[12020013,12020013]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,53020002]","[10,3]","[0,0]",[],[],[]
12020014,12020014,2T 판금 갑옷(던전 코어),Tier2,601,50,Armor,Metal,0,250,10000,,"[12020014,12020014]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,53020002]","[10,3]","[0,0]",[],[],[]
12020015,12020015,2T 가죽 갑옷(던전 코어),Tier2,602,50,Armor,Leather,0,250,10000,,"[12020015,12020015]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020004,53020002]","[10,3]","[0,0]",[],[],[]
12020016,12020016,2T 가죽 갑옷(던전 코어),Tier2,602,50,Armor,Leather,0,250,10000,,"[12020016,12020016]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020004,53020002]","[10,3]","[0,0]",[],[],[]
12020017,12020017,2T 천 갑옷(던전 코어),Tier2,603,50,Armor,Fabric,0,250,10000,,"[12020017,12020017]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020002,53020002]","[10,3]","[0,0]",[],[],[]
12020018,12020018,2T 천 갑옷(던전 코어),Tier2,603,50,Armor,Fabric,0,250,10000,,"[12020018,12020018]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020002,53020002]","[10,3]","[0,0]",[],[],[]
12020019,12020019,2T 판금 장갑(던전 코어),Tier2,601,50,Armor,Metal,0,250,10000,,"[12020019,12020019]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020001,53020002]","[10,3]","[0,0]",[],[],[]
12020020,12020020,2T 가죽 장갑(던전 코어),Tier2,602,50,Armor,Leather,0,250,10000,,"[12020020,12020020]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020004,53020002]","[10,3]","[0,0]",[],[],[]
12020021,12020021,2T 천 장갑(던전 코어),Tier2,603,50,Armor,Fabric,0,250,10000,,"[12020021,12020021]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52020002,53020002]","[10,3]","[0,0]",[],[],[]
12030001,12030001,3T 판금 투구(전리품 제작),Tier3,601,250,Armor,Metal,0,2500,10000,,"[12030001,12030001]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,53030006]","[20,10]","[0,0]",[],[],[]
12030002,12030002,3T 가죽 투구(전리품 제작),Tier3,602,250,Armor,Leather,0,2500,10000,,"[12030002,12030002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030004,53030006]","[20,10]","[0,0]",[],[],[]
12030003,12030003,3T 천 투구(전리품 제작),Tier3,603,250,Armor,Fabric,0,2500,10000,,"[12030003,12030003]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030002,53030006]","[20,10]","[0,0]",[],[],[]
12030004,12030004,3T 판금 갑옷(전리품 제작),Tier3,601,250,Armor,Metal,0,2500,10000,,"[12030004,12030004]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,53030006]","[20,10]","[0,0]",[],[],[]
12030005,12030005,3T 가죽 갑옷(전리품 제작),Tier3,602,250,Armor,Leather,0,2500,10000,,"[12030005,12030005]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030004,53030006]","[20,10]","[0,0]",[],[],[]
12030006,12030006,3T 천 갑옷(전리품 제작),Tier3,603,250,Armor,Fabric,0,2500,10000,,"[12030006,12030006]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030002,53030006]","[20,10]","[0,0]",[],[],[]
12030007,12030007,3T 판금 장갑(전리품 제작),Tier3,601,250,Armor,Metal,0,2500,10000,,"[12030007,12030007]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,53030006]","[20,10]","[0,0]",[],[],[]
12030008,12030008,3T 판금 장갑(전리품 제작),Tier3,601,250,Armor,Metal,0,2500,10000,,"[12030008,12030008]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,53030006]","[20,10]","[0,0]",[],[],[]
12030009,12030009,3T 가죽 장갑(전리품 제작),Tier3,602,250,Armor,Leather,0,2500,10000,,"[12030009,12030009]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030004,53030006]","[20,10]","[0,0]",[],[],[]
12030010,12030010,3T 가죽 장갑(전리품 제작),Tier3,602,250,Armor,Leather,0,2500,10000,,"[12030010,12030010]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030004,53030006]","[20,10]","[0,0]",[],[],[]
12030011,12030011,3T 천 장갑(전리품 제작),Tier3,603,250,Armor,Fabric,0,2500,10000,,"[12030011,12030011]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030002,53030006]","[20,10]","[0,0]",[],[],[]
12030012,12030012,3T 천 장갑(전리품 제작),Tier3,603,250,Armor,Fabric,0,2500,10000,,"[12030012,12030012]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030002,53030006]","[20,10]","[0,0]",[],[],[]
12030013,12030013,3T 판금 투구(던전 코어),Tier3,601,250,Armor,Metal,0,2500,10000,,"[12030013,12030013]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,53030002]","[20,15]","[0,0]",[],[],[]
12030014,12030014,3T 가죽 투구(던전 코어),Tier3,602,250,Armor,Leather,0,2500,10000,,"[12030014,12030014]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030004,53030002]","[20,15]","[0,0]",[],[],[]
12030015,12030015,3T 천 투구(던전 코어),Tier3,603,250,Armor,Fabric,0,2500,10000,,"[12030015,12030015]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030002,53030002]","[20,15]","[0,0]",[],[],[]
12030016,12030016,3T 판금 갑옷(던전 코어),Tier3,601,250,Armor,Metal,0,2500,10000,,"[12030016,12030016]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,53030002]","[20,15]","[0,0]",[],[],[]
12030017,12030017,3T 가죽 갑옷(던전 코어),Tier3,602,250,Armor,Leather,0,2500,10000,,"[12030017,12030017]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030004,53030002]","[20,15]","[0,0]",[],[],[]
12030018,12030018,3T 천 갑옷(던전 코어),Tier3,603,250,Armor,Fabric,0,2500,10000,,"[12030018,12030018]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030002,53030002]","[20,15]","[0,0]",[],[],[]
12030019,12030019,3T 판금 장갑(던전 코어),Tier3,601,250,Armor,Metal,0,2500,10000,,"[12030019,12030019]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,53030002]","[20,15]","[0,0]",[],[],[]
12030020,12030020,3T 가죽 장갑(던전 코어),Tier3,602,250,Armor,Leather,0,2500,10000,,"[12030020,12030020]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030004,53030002]","[20,15]","[0,0]",[],[],[]
12030021,12030021,3T 천 장갑(던전 코어),Tier3,603,250,Armor,Fabric,0,2500,10000,,"[12030021,12030021]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030002,53030002]","[20,15]","[0,0]",[],[],[]
12030022,12030022,3T 판금 신발(던전 코어),Tier3,601,250,Armor,Metal,0,2500,10000,,"[12030022,12030022]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030001,53030002]","[20,15]","[0,0]",[],[],[]
12030023,12030023,3T 가죽 신발(던전 코어),Tier3,602,250,Armor,Leather,0,2500,10000,,"[12030023,12030023]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030004,53030002]","[20,15]","[0,0]",[],[],[]
12030024,12030024,3T 천 신발(던전 코어),Tier3,603,250,Armor,Fabric,0,2500,10000,,"[12030024,12030024]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[52030002,53030002]","[20,15]","[0,0]",[],[],[]
40000001,40000001,해산물 스튜,Tier1,608,10,Cook,Etc,0,0,3000,,"[80100002,80100002]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,[80100001],[1],[0],[],[],[]
40010101,40010101,하급 야채수프,Tier1,608,10,Cook,Food,0,50,3000,,"[41010006,41010006]","[None,None]","[5,5]","[0,0]","[Common,Common]","[1,1]",500,"[51010005,51010007]","[1,1]","[0,0]",[],[],[]
40010102,40010102,하급 샐러드,Tier1,608,10,Cook,Food,0,50,3000,,"[41010007,41010007]","[None,None]","[5,5]","[0,0]","[Common,Common]","[1,1]",500,"[51010005,51010007]","[1,1]","[0,0]",[],[],[]
40010103,40010103,하급 과일차,Tier1,608,10,Cook,Food,0,100,3000,,"[41010008,41010008]","[None,None]","[3,3]","[0,0]","[Common,Common]","[1,1]",500,"[51010006,51010007]","[2,2]","[0,0]",[],[],[]
40010104,40010104,하급 발효주,Tier1,608,10,Cook,Food,0,100,3000,,"[41010009,41010009]","[None,None]","[3,3]","[0,0]","[Common,Common]","[1,1]",500,"[51010006,51010007]","[2,2]","[0,0]",[],[],[]
40020101,40020101,중급 야채수프,Tier3,608,50,Cook,Food,0,100,3000,,"[41030003,41030003]","[None,None]","[5,5]","[0,0]","[Common,Common]","[1,1]",500,"[51030005,51030007]","[1,1]","[0,0]",[],[],[]
40020102,40020102,중급 샐러드,Tier3,608,50,Cook,Food,0,100,3000,,"[41030004,41030004]","[None,None]","[5,5]","[0,0]","[Common,Common]","[1,1]",500,"[51030005,51030007]","[1,1]","[0,0]",[],[],[]
40020103,40020103,중급 과일차,Tier3,608,50,Cook,Food,0,200,3000,,"[41030005,41030005]","[None,None]","[3,3]","[0,0]","[Common,Common]","[1,1]",500,"[51030006,51030007]","[2,2]","[0,0]",[],[],[]
40020104,40020104,중급 발효주,Tier3,608,50,Cook,Food,0,200,3000,,"[41030006,41030006]","[None,None]","[3,3]","[0,0]","[Common,Common]","[1,1]",500,"[51030006,51030007]","[2,2]","[0,0]",[],[],[]
50010101,50010101,장신구 강화 주문서,Tier1,609,10,Alchemy,Etc,0,100,10000,,"[43010007,43010007]","[None,None]","[1,1]","[0,0]","[Common,Common]","[1,1]",500,"[43010004,43010006]","[1,1]","[0,0]",[],[],[]
50010201,50010201,하급 체력 물약,Tier1,609,10,Alchemy,Potion,0,100,10000,,"[41010004,41010004]","[None,None]","[5,5]","[0,0]","[Common,Common]","[1,1]",500,"[51010005,51010006]","[2,2]","[0,0]",[],[],[]
50010202,50010202,하급 마력 물약,Tier1,609,10,Alchemy,Potion,0,100,10000,,"[41010005,41010005]","[None,None]","[5,5]","[0,0]","[Common,Common]","[1,1]",500,"[51010005,51010006]","[2,2]","[0,0]",[],[],[]
50010203,50010203,중급 체력 물약,Tier3,609,50,Alchemy,Potion,0,200,10000,,"[41030007,41030007]","[None,None]","[5,5]","[0,0]","[Common,Common]","[1,1]",500,"[51030005,51030006]","[2,2]","[0,0]",[],[],[]
50010204,50010204,중급 마력 물약,Tier3,609,50,Alchemy,Potion,0,200,10000,,"[41030008,41030008]","[None,None]","[5,5]","[0,0]","[Common,Common]","[1,1]",500,"[51030005,51030006]","[2,2]","[0,0]",[],[],[]
90010101,90010101,1T 무기 보급품,Tier1,609,0,Alchemy,Etc,0,400,3000,10101,,,,,,,1,,,,[310101],[1],[0]
90010102,90010102,1T 방어구 보급품,Tier1,609,0,Alchemy,Etc,0,200,3000,10102,,,,,,,1,,,,[310201],[1],[0]
90010103,90010103,1T 장신구 보급품,Tier1,609,0,Alchemy,Etc,0,200,3000,10103,,,,,,,1,,,,[310301],[1],[0]
90010104,90010104,1T 요리 보급품,Tier1,609,0,Alchemy,Etc,0,100,3000,10104,,,,,,,1,,,,[320201],[5],[0]
