OID,Cid,Comment,PacketName,Name
154,154,,C2ZMerchantChangeShip,무역 선박 변경
155,155,,C2ZMerchantItems,무역 물품 목록
156,156,,C2ZMerchantLoad,무역 물품 선적
157,157,,C2ZMerchantSail,무역 출항
158,158,,C2ZMerchantReport,무역 보고서
159,159,,C2ZMerchantTake,무역 결과 수령
160,160,,C2ZMerchantItemRefresh,무역 물품 갱신
161,161,,C2ZPVPRevenge,복수
162,162,,C2ZPVPRidicule,조롱
163,163,,Z2CItemShare,아이템 공유
164,164,,C2ZItemBuyDailyReward,출석 구매
165,165,,Z2CMonsterInventoryLoot,직접 가방으로 획득
166,166,,Z2CCashShop,캐시 상점
167,167,,C2ZItemLabor,노동력
168,168,,C2ZItemCollectionRegister,컬랙션 등록
169,169,,C2ZStorageExpand,창고 확장
170,170,,C2WCharBagExpand,가방 확장
171,171,,C2ZItemEquip,아이템 장착
172,172,,C2ZItemUnequip,아이템 제거
173,173,,C2ZItemDelete,아이템 삭제
174,174,,C2ZItemUpgrade,아이템 강화
175,175,,C2ZItemLock,아이템 잠금
176,176,,C2ZStorageItemLock,창고 아이템 잠금
177,177,,C2ZStarBind,별자리 각인
178,178,,C2ZCraft,제작
179,179,,C2ZGroaCompose,그로아 합성
180,180,,C2ZGroaSpawn,그로아 소환
181,181,,C2ZItemConsumeSkillBook,스킬북 사용
182,182,,C2ZClassDecisionWaitCheck,클래스 소환 대기 확인
183,183,,C2ZClassDecisionWaitChange,클래스 소환 대기 변경
184,184,,C2ZClassDecisionWaitConfirm,클래스 소환 대기 확정
185,185,,C2ZClassCompose,클래스 합성
186,186,,C2ZClassChange,클래스 변경
187,187,,C2ZItemConsumeRecoverScroll,복구 아이템 사용
188,188,,C2ZItemLoot,아이템 줍기
189,189,,C2ZItemBoxOpen,아이템 박스 열기
190,190,,C2ZShopBuy,구매
191,191,,C2ZShopSell,판매
192,192,,C2ZCashShopBuy,캐시 상점 구매
193,193,,C2ZCashShopConfirm,캐시 상점 구매 확인
194,194,,C2ZStorageGoldStash,창고 골드 입금
195,195,,C2ZStorageGoldPullOut,창고 골드 출금
196,196,,C2ZStorageStash,창고 아이템 입고
197,197,,C2ZStoragePullOut,창고 아이템 출고
198,198,,C2ZItemSummonClass,클래스 소환
199,199,,C2ZItemSummonGroa,그로아 소환
200,200,,C2ZItemSummonMount,탈것 소환
201,201,,C2ZMailLockToggle,우편 잠금 설정
202,202,,C2ZMailRead,우편 읽기
203,203,,C2ZMailDelete,우편 삭제
204,204,,C2ZMailSysTake,우편 첨부 수령
205,205,,C2ZDailyRewardBuy,출석 구매
206,206,,C2ZDailyRewardTake,출석 수령
207,207,,C2ZGroaDecisionWaitConfirm,그로아 소환 대기 확정
208,208,,C2ZItemShare,아이템 공유
209,209,,C2ZSocialAction,소셜 액션
210,210,,C2ZStatusPotion,스탯 포션 사용
211,211,,C2WQuestPreviewGet,퀘스트 보상 미리보기 조회
212,212,,C2WQuestRequestAccept,의뢰 수락
213,213,,C2ZForcedTutorial,강제 길잡이 수행
214,214,,C2ZCharacterStatSet,스탯 설정
215,215,,C2WQuestReward,퀘스트 보상 수령
216,216,,C2WQuestAccept,퀘스트 수락
217,217,,C2WQuestTalk,퀘스트 대화 수행
218,218,,C2WQuestComplete,퀘스트 완료
219,219,,C2WQuestRequestRefresh,의뢰 갱신
220,220,,C2WQuestDrop,퀘스트 포기
221,221,,C2WQuestUseUi,퀘스트 UI 사용 목표 수행
222,222,,C2WQuestReqIngRefresh,수행중 의뢰 갱신
223,223,,C2ZAchieveReward,업적 보상 수령
224,224,,C2ZGroaDecisionWaitCheck,그로아 소환 대기 확인
225,225,,C2ZGroaDecisionWaitChange,그로아 소환 대기 변경
226,226,,C2ZItemConsumeDungeonChargeTime,던젼 대기 시간 충전
227,227,,C2ZItemSkill,아이템 스킬 사용
228,228,,C2ZMailSysDelete,시스템 우편 삭제
229,229,,C2ZTeleportMemoryUse,순간이동 지정 사용
230,230,,C2ZTeleportMemoryAdd,순간이동 지정 추가
231,231,,C2ZTeleportMemoryUpdate,순간이동 지정 갱신
232,232,,C2ZTeleportMemoryRemove,순간이동 지정 삭제
233,233,,C2ZShipItemEquip,선박 아이템 장착
234,234,,C2ZShipItemUnequip,선박 아이템 해제
235,235,,C2ZShipCreate,선박 건조
236,236,,C2ZShipReload,선박 정보 갱신
237,237,,C2ZShipEquippedItemUpgrade,선박 장착 아이템 강화
238,238,,C2ZShipEquippedItemImbue,선박 장착 아이템 마법 강화
239,239,,C2ZAlchemyDraw,연금 유도
240,240,,C2ZAlchemyCancel,연금 취소
241,241,,C2ZAlchemyConfirm,연금 확인
242,242,,C2ZAlchemyFeverDraw,연금 고조 유도
243,243,,C2ZClassComposePoint,클래스 포인트 소환
244,244,,C2ZGroaComposePoint,그로아 포인트 소환
245,245,,C2ZMountComposePoint,탈것 포인트 소환
246,246,,C2ZItemUpgradeSafety,아이템 안전 강화
247,247,,C2ZShipEquipmentUpgradeSafety,선박 장착 아이템 안전 강화
248,248,,C2ZStatReset,스탯 재설정
249,249,,C2ZCharSlotExpand,캐릭터 슬롯 확장
250,250,,C2ZClassLock,클래스 잠금
251,251,,C2ZGroaLock,그로아 잠금
252,252,,C2ZMountLock,탈것 잠금
253,253,,C2ZOptionSettingSet,옵션 설정
254,254,,C2WQuestConditionType,퀘스트 목표 수행 설정
255,255,,C2ZClassComposeAuto,클래스 자동 합성
256,256,,C2ZGroaComposeAuto,그로아 자동 합성
257,257,,C2ZMountComposeAuto,탈것 자동 합성
258,258,,C2ZCashShopConfirmAll,캐시 상점 모두 확인
259,259,,C2ZWorldMapBookmarkUpdate,월드 맵 북마크 갱신
260,260,,C2ZShipAnchorMode,선박 정박 상태 설정
261,261,,C2ZStuckEscape,탈출
262,262,,Z2WBossLog,필드 보스 참여
263,263,,Z2WWorldBossLog,월드 보스 참여
264,264,,Z2WBackpackMsg,등짐
265,265,,Z2WFlagMsg,깃발
266,266,,Z2CDailyResetAccount,일일 계정 리셋
267,267,,Z2CDailyResetCharacter,일일 캐릭터 리셋
268,268,,Z2CTick,컨텐트 틱 변화
269,269,,Z2CDeathPenaltyReset,죽음 패널티 리셋
270,270,,Z2CCashShopExpire,캐시 상점 만료
271,271,,Z2CItemCollectionExpire,아이템 컬렉션 만료
272,272,,Z2CMountDisuse,말 해제
273,273,,Z2CPvpRevengeTeleport,PVP 복수 이동
274,274,,Z2CPvpResult,PVP 결과
275,275,,Z2CPvpScoreUpdate,PVP 점수 갱신
276,276,,Z2CQuestPrepare,퀘스트 준비
277,277,,Z2CItemExpire,아이템 만료
278,278,,Z2CConsumeSkillCostItem,스킬 사용 아이템 비용
279,279,,Z2CPvpScoreGive,PVP 점수 획득
280,280,,Z2CPvpScoreAssist,PVP 도움
281,281,,Z2CDeathPenalty,죽음 패널티
282,282,,Z2CPvpAddResult,PVP 결과
283,283,,Z2CPvpHonorPenalty,PVP 명예 패널티
284,284,,Z2CCheatKillMonsterReward,치트 몬스터 보상
285,285,,Z2CMonsterReward,몬스터 보상
286,286,,Z2CTeleportCost,순간이동 비용
287,287,,C2WHackLog,보안로그
288,288,,Z2WPlayerEntered,존 입장
289,289,,Z2WPlayerDead,사용자 죽음
290,290,,Z2WMonsterDead,몬스터 죽음
291,291,,W2ZCheatCommand,치트 사용
292,292,,C2WCheatCommand,치트 요청
293,293,,W2ZGuildDonate,길드 기부
294,294,,W2ZGuildMakeCost,길드 창설 비용
295,295,,W2ZGuildHouseRentalExtend,길드 하우스 렌탈 연장
296,296,,W2ZMailWrite,우편 쓰기
297,297,,C2ZPlayTeleportBegin,텔레포트 시작
298,298,,W2ZTradeBuy,거래소 구매
299,299,,W2ZTradeClaim,거래 결과 수령
300,300,,Z2WTaxValues,세금 누적
301,301,,C2WSiegeProclaim,공성 선포
302,302,,C2WSiegeSetAlly,진영 설정
303,303,,C2WSiegeAssemblePointPin,집결지 설정
304,304,,C2WSiegeAssemblePointUnpin,집결지 설정 취소
305,305,,Z2WBossSpawnLog,필드 보스 등장
306,306,,W2ZTradeCancel,거래 취소
307,307,,W2ZGuildAttendReward,길드 출석 보상
308,308,,C2WTaxDistribute,세금 분배
309,309,,C2ZBreakItemAuto,아이템 파괴 자동
310,310,,U2WUnionMake,연합 생성
311,311,,U2WUnionBreakUp,연합 해체
312,312,,U2WUnionJoin,연합 가입
313,313,,U2WUnionApplicantAdd,연합 가입 지원
314,314,,U2WUnionQuit,연합 탈퇴
315,315,,U2WUnionKick,연합 추방
316,316,,U2WUnionConfig,연합 설정
317,317,,U2WUnionGuildBreakUp,연합 맴버 길드 해체
318,318,,U2WUnionJoinCancel,연합 가입 취소
319,319,,U2WUnionJoinReject,연합 가입 거절
320,320,,U2WUnionAppoint,연합 직책 설정
321,321,,U2WUnionAllianceReq,동맹 연합 요청
322,322,,U2WUnionAllianceReqCancel,동맹 연합 요청 취소
323,323,,U2WUnionAllianceReqReject,동맹 연합 요청 거절
324,324,,U2WUnionAllianceBreakOff,동맹 연합 파기
325,325,,U2WUnionEnemyReg,적연합 등록
326,326,,U2WUnionEnemyUnReg,적연합 등록 해제
327,327,,C2WAgeRangeSet,구매 나이 변경
328,328,,Z2WGuildDonate,길드 기부
329,329,,C2ZWishMake,팔로스 샘물 소원 빌기
330,330,,C2ZWishRefreshList,팔로스 샘물 목록 새로 고침
331,331,,W2ZBlockAdd,친구 차단 등록
332,332,,W2ZTradeItemSoldout,거래소 아이템 매진
333,333,,Z2WPlayerLeft,캐릭터가 존에서 나감
334,334,,Z2WPlayerReentered,캐릭터가 동일한 존에 다시 입장함
335,335,,Z2WPlayerTeleportBegin,캐릭터가 텔레포트 시작함
336,336,,C2ZAccountOptionSettingsSet,계정 옵션 설정
337,337,,C2ZCashShopBuyAll,캐시샵 모두 구매
338,338,,C2ZContributionSlotLockUpdate,기여 슬롯 잠금 업데이트
339,339,,C2ZEventMissionReward,이벤트 미션 보상
340,340,,C2ZInteractDoodad,두다드와 상호 작용
341,341,,C2ZSkillImbue,"기술 부여, 자동 기술 부여 요청"
