OID,Cid,Boundaries,Center
10080202,10080202,"((X=-722.956961,Y=2727.694306,Z=100.000000),(X=-1811.243222,Y=2492.176577,Z=100.000000),(X=-2785.722032,Y=2100.066135,Z=100.000000),(X=-3585.163806,Y=1576.000528,Z=100.000000),(X=-4159.336557,Y=952.909099,Z=100.000000),(X=-4472.161778,Y=269.944168,Z=100.000000),(X=-4503.985435,Y=-429.983676,Z=100.000000),(X=-4252.807952,Y=-1102.892790,Z=100.000000),(X=-3734.409961,Y=-1706.504344,Z=100.000000),(X=-2981.364517,Y=-2202.890674,Z=100.000000),(X=-2040.989602,Y=-2560.860257,Z=100.000000),(X=-972.373758,Y=-2757.921087,Z=100.000000),(X=157.341944,Y=-2781.691801,Z=100.000000),(X=1277.171299,Y=-2630.678844,Z=100.000000),(X=2316.750481,Y=-2314.371030,Z=100.000000),(X=3210.760516,Y=-1852.642132,Z=100.000000),(X=3903.025392,Y=-1274.505089,Z=100.000000),(X=4350.050110,Y=-616.285962,Z=100.000000),(X=4523.744646,Y=80.656014,Z=100.000000),(X=4413.195737,Y=772.530113,Z=100.000000),(X=4025.349332,Y=1415.863841,Z=100.000000),(X=3384.575883,Y=1970.233711,Z=100.000000),(X=2531.136549,Y=2400.806504,Z=100.000000),(X=1518.656766,Y=2680.527102,Z=100.000000),(X=410.754232,Y=2791.820608,Z=100.000000))","(X=378587.326690,Y=-179858.261703,Z=-260.000000)"
10080400,10080400,"((X=854.326664,Y=1430.828625,Z=100.000000),(X=439.527938,Y=1676.694473,Z=100.000000),(X=5.519655,Y=1849.280539,Z=100.000000),(X=-428.729682,Y=1941.044069,Z=100.000000),(X=-844.239787,Y=1947.974534,Z=100.000000),(X=-1222.854363,Y=1869.769170,Z=100.000000),(X=-1548.024231,Y=1709.845692,Z=100.000000),(X=-1805.537328,Y=1475.194260,Z=100.000000),(X=-1984.140384,Y=1176.069271,Z=100.000000),(X=-2076.026828,Y=825.544297,Z=100.000000),(X=-2077.180615,Y=438.939721,Z=100.000000),(X=-1987.551789,Y=33.150706,Z=100.000000),(X=-1811.057611,Y=-374.086348,Z=100.000000),(X=-1555.411141,Y=-764.974846,Z=100.000000),(X=-1231.785776,Y=-1122.429808,Z=100.000000),(X=-854.325512,Y=-1430.829242,Z=100.000000),(X=-439.527344,Y=-1676.694795,Z=100.000000),(X=-5.519358,Y=-1849.280456,Z=100.000000),(X=428.729545,Y=-1941.043957,Z=100.000000),(X=844.241091,Y=-1947.974056,Z=100.000000),(X=1222.854955,Y=-1869.769004,Z=100.000000),(X=1548.024550,Y=-1709.845302,Z=100.000000),(X=1805.537920,Y=-1475.193536,Z=100.000000),(X=1984.140722,Y=-1176.068857,Z=100.000000),(X=2076.026668,Y=-825.544492,Z=100.000000),(X=2077.180660,Y=-438.939108,Z=100.000000),(X=1987.551868,Y=-33.150608,Z=100.000000),(X=1811.057211,Y=374.086837,Z=100.000000),(X=1555.410764,Y=764.975154,Z=100.000000),(X=1231.785417,Y=1122.430102,Z=100.000000))","(X=373680.000000,Y=-171751.000000,Z=1904.000000)"
10080500,10080500,"((X=-353.721874,Y=2800.000000,Z=100.000000),(X=-1038.941055,Y=2624.065826,Z=100.000000),(X=-1658.879517,Y=2283.251831,Z=100.000000),(X=-2174.584564,Y=1798.972443,Z=100.000000),(X=-2553.652466,Y=1201.657089,Z=100.000000),(X=-2772.264252,Y=528.838432,Z=100.000000),(X=-2816.685028,Y=-177.210384,Z=100.000000),(X=-2684.123596,Y=-872.123085,Z=100.000000),(X=-2382.908264,Y=-1512.238403,Z=100.000000),(X=-1931.965607,Y=-2057.334991,Z=100.000000),(X=-1359.630798,Y=-2473.160583,Z=100.000000),(X=-701.866585,Y=-2733.587799,Z=100.000000),(X=-0.000247,Y=-2822.253967,Z=100.000000),(X=701.866104,Y=-2733.587799,Z=100.000000),(X=1359.631119,Y=-2473.160583,Z=100.000000),(X=1931.966034,Y=-2057.334991,Z=100.000000),(X=2382.907623,Y=-1512.239578,Z=100.000000),(X=2684.123169,Y=-872.124420,Z=100.000000),(X=2816.685028,Y=-177.211119,Z=100.000000),(X=2772.264252,Y=528.837044,Z=100.000000),(X=2553.651825,Y=1201.656982,Z=100.000000),(X=2174.584351,Y=1798.972443,Z=100.000000),(X=1658.879410,Y=2283.251831,Z=100.000000),(X=1038.941055,Y=2624.065399,Z=100.000000),(X=353.722248,Y=2799.999573,Z=100.000000))","(X=370519.000000,Y=-171877.000000,Z=-260.000000)"
10080600,10080600,"((X=-78.523594,Y=621.578924,Z=47.813763),(X=-230.637094,Y=582.522862,Z=47.813763),(X=-368.258766,Y=506.864720,Z=47.813763),(X=-482.741405,Y=399.358341,Z=47.813763),(X=-566.891626,Y=266.758829,Z=47.813763),(X=-615.421797,Y=117.398151,Z=47.813763),(X=-625.282875,Y=-39.339371,Z=47.813763),(X=-595.855235,Y=-193.604760,Z=47.813763),(X=-528.987698,Y=-335.705543,Z=47.813763),(X=-428.881823,Y=-456.712882,Z=47.813763),(X=-301.827803,Y=-549.023034,Z=47.813763),(X=-155.809099,Y=-606.835915,Z=47.813763),(X=-0.000055,Y=-626.519137,Z=47.813763),(X=155.808992,Y=-606.835915,Z=47.813763),(X=301.827874,Y=-549.023034,Z=47.813763),(X=428.881917,Y=-456.712882,Z=47.813763),(X=528.987556,Y=-335.705804,Z=47.813763),(X=595.855140,Y=-193.605057,Z=47.813763),(X=625.282875,Y=-39.339534,Z=47.813763),(X=615.421797,Y=117.397843,Z=47.813763),(X=566.891484,Y=266.758805,Z=47.813763),(X=482.741358,Y=399.358341,Z=47.813763),(X=368.258742,Y=506.864720,Z=47.813763),(X=230.637094,Y=582.522767,Z=47.813763),(X=78.523677,Y=621.578829,Z=47.813763))","(X=373007.294396,Y=-173219.068809,Z=1903.507708)"
10080601,10080601,"((X=-78.523603,Y=621.579000,Z=47.813800),(X=-230.637122,Y=582.522933,Z=47.813800),(X=-368.258811,Y=506.864782,Z=47.813800),(X=-482.741464,Y=399.358390,Z=47.813800),(X=-566.891695,Y=266.758861,Z=47.813800),(X=-615.421872,Y=117.398166,Z=47.813800),(X=-625.282951,Y=-39.339376,Z=47.813800),(X=-595.855307,Y=-193.604784,Z=47.813800),(X=-528.987763,Y=-335.705584,Z=47.813800),(X=-428.881875,Y=-456.712938,Z=47.813800),(X=-301.827840,Y=-549.023101,Z=47.813800),(X=-155.809118,Y=-606.835989,Z=47.813800),(X=-0.000056,Y=-626.519214,Z=47.813800),(X=155.809011,Y=-606.835989,Z=47.813800),(X=301.827911,Y=-549.023101,Z=47.813800),(X=428.881970,Y=-456.712938,Z=47.813800),(X=528.987621,Y=-335.705845,Z=47.813800),(X=595.855213,Y=-193.605080,Z=47.813800),(X=625.282951,Y=-39.339539,Z=47.813800),(X=615.421872,Y=117.397857,Z=47.813800),(X=566.891553,Y=266.758838,Z=47.813800),(X=482.741416,Y=399.358390,Z=47.813800),(X=368.258787,Y=506.864782,Z=47.813800),(X=230.637122,Y=582.522838,Z=47.813800),(X=78.523686,Y=621.578905,Z=47.813800))","(X=372466.778510,Y=-171478.140641,Z=1903.507708)"
10080602,10080602,"((X=-78.523603,Y=621.579000,Z=47.813800),(X=-230.637122,Y=582.522933,Z=47.813800),(X=-368.258811,Y=506.864782,Z=47.813800),(X=-482.741464,Y=399.358390,Z=47.813800),(X=-566.891695,Y=266.758861,Z=47.813800),(X=-615.421872,Y=117.398166,Z=47.813800),(X=-625.282951,Y=-39.339376,Z=47.813800),(X=-595.855307,Y=-193.604784,Z=47.813800),(X=-528.987763,Y=-335.705584,Z=47.813800),(X=-428.881875,Y=-456.712938,Z=47.813800),(X=-301.827840,Y=-549.023101,Z=47.813800),(X=-155.809118,Y=-606.835989,Z=47.813800),(X=-0.000056,Y=-626.519214,Z=47.813800),(X=155.809011,Y=-606.835989,Z=47.813800),(X=301.827911,Y=-549.023101,Z=47.813800),(X=428.881970,Y=-456.712938,Z=47.813800),(X=528.987621,Y=-335.705845,Z=47.813800),(X=595.855213,Y=-193.605080,Z=47.813800),(X=625.282951,Y=-39.339539,Z=47.813800),(X=615.421872,Y=117.397857,Z=47.813800),(X=566.891553,Y=266.758838,Z=47.813800),(X=482.741416,Y=399.358390,Z=47.813800),(X=368.258787,Y=506.864782,Z=47.813800),(X=230.637122,Y=582.522838,Z=47.813800),(X=78.523686,Y=621.578905,Z=47.813800))","(X=374291.010194,Y=-171596.857727,Z=1903.507708)"
10080603,10080603,"((X=-42.789457,Y=338.713796,Z=26.054924),(X=-125.679882,Y=317.431177,Z=26.054924),(X=-200.673349,Y=276.203177,Z=26.054924),(X=-263.057783,Y=217.620280,Z=26.054924),(X=-308.913329,Y=145.363512,Z=26.054924),(X=-335.358624,Y=63.973169,Z=26.054924),(X=-340.732171,Y=-21.437001,Z=26.054924),(X=-324.696318,Y=-105.500043,Z=26.054924),(X=-288.258537,Y=-182.934289,Z=26.054924),(X=-233.708359,Y=-248.874194,Z=26.054924),(X=-164.473467,Y=-299.176289,Z=26.054924),(X=-84.904248,Y=-330.679964,Z=26.054924),(X=-0.000030,Y=-341.405841,Z=26.054924),(X=84.904190,Y=-330.679964,Z=26.054924),(X=164.473506,Y=-299.176289,Z=26.054924),(X=233.708410,Y=-248.874194,Z=26.054924),(X=288.258459,Y=-182.934431,Z=26.054924),(X=324.696267,Y=-105.500205,Z=26.054924),(X=340.732171,Y=-21.437090,Z=26.054924),(X=335.358624,Y=63.973001,Z=26.054924),(X=308.913251,Y=145.363499,Z=26.054924),(X=263.057757,Y=217.620280,Z=26.054924),(X=200.673336,Y=276.203177,Z=26.054924),(X=125.679882,Y=317.431126,Z=26.054924),(X=42.789502,Y=338.713744,Z=26.054924))","(X=375409.577622,Y=-172330.607112,Z=1903.507708)"
10090100,10090100,"((X=-1057.406824,Y=1601.029363,Z=100.000000),(X=-1583.254603,Y=1275.786900,Z=100.000000),(X=-2039.906398,Y=894.786255,Z=100.000000),(X=-2407.404270,Y=474.679302,Z=100.000000),(X=-2669.685850,Y=33.828329,Z=100.000000),(X=-2815.290459,Y=-408.503026,Z=100.000000),(X=-2837.853048,Y=-832.980837,Z=100.000000),(X=-2736.387983,Y=-1221.052415,Z=100.000000),(X=-2515.329462,Y=-1555.759022,Z=100.000000),(X=-2184.338751,Y=-1822.471383,Z=100.000000),(X=-1757.882471,Y=-2009.532345,Z=100.000000),(X=-1254.597644,Y=-2108.767578,Z=100.000000),(X=-696.481893,Y=-2115.839374,Z=100.000000),(X=-107.925408,Y=-2030.438816,Z=100.000000),(X=485.347400,Y=-1856.298154,Z=100.000000),(X=1057.408212,Y=-1601.028428,Z=100.000000),(X=1583.255323,Y=-1275.786420,Z=100.000000),(X=2039.906488,Y=-894.785898,Z=100.000000),(X=2407.404062,Y=-474.679395,Z=100.000000),(X=2669.686122,Y=-33.826706,Z=100.000000),(X=2815.290638,Y=408.503739,Z=100.000000),(X=2837.852812,Y=832.981365,Z=100.000000),(X=2736.387547,Y=1221.053391,Z=100.000000),(X=2515.329211,Y=1555.759582,Z=100.000000),(X=2184.338869,Y=1822.471119,Z=100.000000),(X=1757.881821,Y=2009.532687,Z=100.000000),(X=1254.597586,Y=2108.767710,Z=100.000000),(X=696.481108,Y=2115.839181,Z=100.000000),(X=107.924837,Y=2030.438561,Z=100.000000),(X=-485.347945,Y=1856.297911,Z=100.000000))","(X=354067.000000,Y=-148791.000000,Z=1904.000000)"
10090101,10090101,"((X=3610.007169,Y=2664.237127,Z=100.000000),(X=2784.434973,Y=3858.996504,Z=100.000000),(X=1837.169225,Y=4885.098820,Z=100.000000),(X=809.610735,Y=5697.698366,Z=100.000000),(X=-253.327411,Y=6261.278607,Z=100.000000),(X=-1305.198564,Y=6551.213306,Z=100.000000),(X=-2300.026233,Y=6554.827806,Z=100.000000),(X=-3194.329458,Y=6271.965321,Z=100.000000),(X=-3949.027193,Y=5714.987353,Z=100.000000),(X=-4531.133203,Y=4908.236507,Z=100.000000),(X=-4915.205484,Y=3886.973459,Z=100.000000),(X=-5084.460733,Y=2695.829444,Z=100.000000),(X=-5031.500368,Y=1386.867141,Z=100.000000),(X=-4758.639104,Y=17.289437,Z=100.000000),(X=-4277.802114,Y=-1353.042624,Z=100.000000),(X=-3610.004810,Y=-2664.240271,Z=100.000000),(X=-2784.433763,Y=-3858.998136,Z=100.000000),(X=-1837.168381,Y=-4885.098990,Z=100.000000),(X=-809.610977,Y=-5697.697890,Z=100.000000),(X=253.331239,Y=-6261.279055,Z=100.000000),(X=1305.200252,Y=-6551.213645,Z=100.000000),(X=2300.027436,Y=-6554.827193,Z=100.000000),(X=3194.331687,Y=-6271.964186,Z=100.000000),(X=3949.028472,Y=-5714.986702,Z=100.000000),(X=4531.132601,Y=-4908.236814,Z=100.000000),(X=4915.206203,Y=-3886.971894,Z=100.000000),(X=5084.461034,Y=-2695.829291,Z=100.000000),(X=5031.499821,Y=-1386.865322,Z=100.000000),(X=4758.638438,Y=-17.288128,Z=100.000000),(X=4277.801478,Y=1353.043874,Z=100.000000))","(X=365826.095358,Y=-149238.676023,Z=1904.000000)"
10090400,10090400,"((X=146.432491,Y=1815.308643,Z=100.000000),(X=-555.595988,Y=1900.253133,Z=100.000000),(X=-1222.714120,Y=1865.797594,Z=100.000000),(X=-1813.004763,Y=1714.106981,Z=100.000000),(X=-2289.377633,Y=1454.712778,Z=100.000000),(X=-2621.899546,Y=1103.914166,Z=100.000000),(X=-2789.678633,Y=683.751928,Z=100.000000),(X=-2782.172178,Y=220.627993,Z=100.000000),(X=-2599.851313,Y=-256.359771,Z=100.000000),(X=-2254.171938,Y=-717.240103,Z=100.000000),(X=-1766.854807,Y=-1133.052844,Z=100.000000),(X=-1168.520759,Y=-1477.671003,Z=100.000000),(X=-496.763076,Y=-1729.442213,Z=100.000000),(X=206.208019,Y=-1872.546370,Z=100.000000),(X=896.221745,Y=-1897.991609,Z=100.000000),(X=1529.923183,Y=-1804.178833,Z=100.000000),(X=2067.493124,Y=-1597.002705,Z=100.000000),(X=2475.155688,Y=-1289.481146,Z=100.000000),(X=2727.294655,Y=-900.937037,Z=100.000000),(X=2808.067718,Y=-455.783731,Z=100.000000),(X=2712.399566,Y=18.008506,Z=100.000000),(X=2446.301664,Y=490.669153,Z=100.000000),(X=2026.493302,Y=932.499335,Z=100.000000),(X=1479.352867,Y=1315.736697,Z=100.000000),(X=839.259335,Y=1616.301647,Z=100.000000))","(X=383409.424088,Y=-155723.997437,Z=872.166798)"
90000200,90000200,"((X=552.841073,Y=-70.946687,Z=26.527289),(X=569.436036,Y=105.783212,Z=26.527289),(X=550.251200,Y=275.866312,Z=26.527289),(X=496.492010,Y=428.615754,Z=26.527289),(X=411.536419,Y=554.433687,Z=26.527289),(X=300.722659,Y=645.414263,Z=26.527289),(X=171.013184,Y=695.841294,Z=26.527289),(X=30.558607,Y=702.546097,Z=26.527289),(X=-111.816367,Y=665.107287,Z=26.527289),(X=-247.165684,Y=585.877277,Z=26.527289),(X=-366.984444,Y=469.834468,Z=26.527289),(X=-463.744022,Y=324.270491,Z=26.527289),(X=-531.365011,Y=158.331117,Z=26.527289),(X=-565.598432,Y=-17.556771,Z=26.527289),(X=-564.293247,Y=-192.341358,Z=26.527289),(X=-527.531367,Y=-355.040592,Z=26.527289),(X=-457.622712,Y=-495.431121,Z=26.527289),(X=-358.959966,Y=-604.692096,Z=26.527289),(X=-237.742541,Y=-675.957920,Z=26.527289),(X=-101.586873,Y=-704.750835,Z=26.527289),(X=40.951982,Y=-689.261671,Z=26.527289),(X=180.917661,Y=-630.463735,Z=26.527289),(X=309.515640,Y=-532.051361,Z=26.527289),(X=418.665473,Y=-400.208223,Z=26.527289),(X=501.509066,Y=-243.218555,Z=26.527289))","(X=-444091.119262,Y=414759.568971,Z=260.496563)"
90000400,90000400,"((X=550.639244,Y=-384.486929,Z=26.527300),(X=700.546347,Y=-181.805243,Z=26.527300),(X=806.435466,Y=32.299895,Z=26.527300),(X=861.653256,Y=244.375582,Z=26.527300),(X=862.730218,Y=441.096238,Z=26.527300),(X=809.598675,Y=610.100799,Z=26.527300),(X=705.597002,Y=740.770842,Z=26.527300),(X=557.260415,Y=824.895421,Z=26.527300),(X=373.908749,Y=857.188873,Z=26.527300),(X=167.062782,Y=835.622016,Z=26.527300),(X=-50.280086,Y=761.549862,Z=26.527300),(X=-264.463261,Y=639.626931,Z=26.527300),(X=-462.029619,Y=477.513624,Z=26.527300),(X=-630.565001,Y=285.396422,Z=26.527300),(X=-759.479585,Y=75.346898,Z=26.527300),(X=-840.673311,Y=-139.437182,Z=26.527300),(X=-869.044251,Y=-345.459694,Z=26.527300),(X=-842.810128,Y=-529.775935,Z=26.527300),(X=-763.619156,Y=-680.804207,Z=26.527300),(X=-636.447190,Y=-789.055064,Z=26.527300),(X=-469.284792,Y=-847.726759,Z=26.527300),(X=-272.635572,Y=-853.132746,Z=26.527300),(X=-58.855571,Y=-804.933177,Z=26.527300),(X=158.622403,Y=-706.156597,Z=26.527300),(X=366.133587,Y=-563.009657,Z=26.527300))","(X=-442127.696571,Y=418903.510562,Z=260.496563)"
90000900,90000900,"((X=720.946245,Y=-560.501364,Z=26.527300),(X=860.152349,Y=-346.760041,Z=26.527300),(X=945.311831,Y=-111.230542,Z=26.527300),(X=971.073853,Y=131.288070,Z=26.527300),(X=935.819753,Y=365.557348,Z=26.527300),(X=841.764740,Y=576.856842,Z=26.527300),(X=694.818405,Y=751.910738,Z=26.527300),(X=504.214497,Y=879.719125,Z=26.527300),(X=281.928500,Y=952.251694,Z=26.527300),(X=41.927612,Y=964.950856,Z=26.527300),(X=-200.707409,Y=917.018446,Z=26.527300),(X=-430.730798,Y=811.466558,Z=26.527300),(X=-633.690189,Y=654.927000,Z=26.527300),(X=-796.832555,Y=457.236028,Z=26.527300),(X=-909.906942,Y=230.815441,Z=26.527300),(X=-965.808530,Y=-10.108402,Z=26.527300),(X=-961.024632,Y=-250.396872,Z=26.527300),(X=-895.856194,Y=-474.952229,Z=26.527300),(X=-774.397867,Y=-669.664352,Z=26.527300),(X=-604.281279,Y=-822.299019,Z=26.527300),(X=-396.195327,Y=-923.265721,Z=26.527300),(X=-163.215030,Y=-966.220325,Z=26.527300),(X=80.020751,Y=-948.463665,Z=26.527300),(X=318.228354,Y=-871.111400,Z=26.527300),(X=536.440553,Y=-739.024077,Z=26.527300))","(X=-435355.838806,Y=421743.685819,Z=-196.818971)"
90001200,90001200,"((X=738.325408,Y=-543.685716,Z=26.527300),(X=911.197916,Y=-297.369658,Z=26.527300),(X=1026.816410,Y=-32.368814,Z=26.527300),(X=1077.916216,Y=234.665974,Z=26.527300),(X=1061.286602,Y=486.955815,Z=26.527300),(X=977.972495,Y=708.647924,Z=26.527300),(X=833.208658,Y=885.813542,Z=26.527300),(X=636.091703,Y=1007.320070,Z=26.527300),(X=399.006303,Y=1065.533116,Z=26.527300),(X=136.849561,Y=1056.794845,Z=26.527300),(X=-133.905592,Y=981.654125,Z=26.527300),(X=-396.246458,Y=844.832686,Z=26.527300),(X=-633.690165,Y=654.927000,Z=26.527300),(X=-831.316850,Y=423.869901,Z=26.527300),(X=-976.708754,Y=166.179726,Z=26.527300),(X=-1060.730482,Y=-101.952429,Z=26.527300),(X=-1078.102390,Y=-363.678276,Z=26.527300),(X=-1027.733372,Y=-602.553160,Z=26.527300),(X=-912.788119,Y=-803.567158,Z=26.527300),(X=-740.489038,Y=-954.090097,Z=26.527300),(X=-521.662154,Y=-1044.664147,Z=26.527300),(X=-270.057397,Y=-1069.598204,Z=26.527300),(X=-1.483841,Y=-1027.325369,Z=26.527300),(X=267.182765,Y=-920.501761,Z=26.527300),(X=519.061350,Y=-755.839719,Z=26.527300))","(X=-431054.242275,Y=417297.931118,Z=293.485714)"
90001300,90001300,"((X=834.688782,Y=379.490720,Z=26.527300),(X=703.936082,Y=650.526230,Z=26.527300),(X=528.952479,Y=880.686678,Z=26.527300),(X=320.732748,Y=1055.510356,Z=26.527300),(X=92.360227,Y=1164.012444,Z=26.527300),(X=-141.815161,Y=1199.375143,Z=26.527300),(X=-367.080246,Y=1159.376812,Z=26.527300),(X=-569.279964,Y=1046.530879,Z=26.527300),(X=-735.710080,Y=867.927227,Z=26.527300),(X=-855.913018,Y=634.788269,Z=26.527300),(X=-922.335498,Y=361.763466,Z=26.527300),(X=-930.804191,Y=66.008284,Z=26.527300),(X=-880.786996,Y=-233.894995,Z=26.527300),(X=-775.426796,Y=-519.101815,Z=26.527300),(X=-621.343837,Y=-771.691373,Z=26.527300),(X=-428.219313,Y=-975.792892,Z=26.527300),(X=-208.188316,Y=-1118.581432,Z=26.527300),(X=24.924062,Y=-1191.085709,Z=26.527300),(X=256.470129,Y=-1188.749595,Z=26.527300),(X=471.901251,Y=-1111.719987,Z=26.527300),(X=657.681244,Y=-964.836840,Z=26.527300),(X=802.136752,Y=-757.329562,Z=26.527300),(X=896.191017,Y=-502.236344,Z=26.527300),(X=933.934091,Y=-215.585863,Z=26.527300),(X=912.994744,Y=84.610681,Z=26.527300))","(X=-431335.941389,Y=417737.775977,Z=293.485714)"
90001500,90001500,"((X=550.838504,Y=-733.004442,Z=26.527300),(X=787.229763,Y=-546.790348,Z=26.527300),(X=974.156374,Y=-326.219418,Z=26.527300),(X=1099.873150,Y=-85.150823,Z=26.527300),(X=1156.480863,Y=161.268085,Z=26.527300),(X=1140.422530,Y=397.553426,Z=26.527300),(X=1052.707273,Y=608.859505,Z=26.527300),(X=898.846926,Y=781.908411,Z=26.527300),(X=688.508316,Y=905.827407,Z=26.527300),(X=434.907916,Y=972.830070,Z=26.527300),(X=153.980946,Y=978.706005,Z=26.527300),(X=-136.620664,Y=923.086307,Z=26.527300),(X=-418.638427,Y=809.465545,Z=26.527300),(X=-674.351640,Y=644.983159,Z=26.527300),(X=-887.692711,Y=439.974305,Z=26.527300),(X=-1045.256896,Y=207.319971,Z=26.527300),(X=-1137.143456,Y=-38.360852,Z=26.527300),(X=-1157.579395,Y=-281.631531,Z=26.527300),(X=-1105.280322,Y=-507.206010,Z=26.527300),(X=-983.532433,Y=-700.910889,Z=26.527300),(X=-799.985466,Y=-850.575100,Z=26.527300),(X=-566.172574,Y=-946.794619,Z=26.527300),(X=-296.784852,Y=-983.523480,Z=26.527300),(X=-8.749182,Y=-958.453755,Z=26.527300),(X=279.836261,Y=-873.160945,Z=26.527300))","(X=-428175.215343,Y=415825.907870,Z=293.485714)"
90002000,90002000,"((X=307.904827,Y=-16.539810,Z=8.920925),(X=311.030886,Y=84.611011,Z=8.920925),(X=294.613711,Y=180.445382,Z=8.920925),(X=259.684846,Y=264.941724,Z=8.920925),(X=208.439037,Y=332.790802,Z=8.920925),(X=144.096343,Y=379.729275,Z=8.920925),(X=70.699426,Y=402.808071,Z=8.920925),(X=-7.139639,Y=400.576988,Z=8.920925),(X=-84.530252,Y=373.176135,Z=8.920925),(X=-156.609613,Y=322.327209,Z=8.920925),(X=-218.848491,Y=251.225304,Z=8.920925),(X=-267.336213,Y=164.338145,Z=8.920925),(X=-299.026291,Y=67.124844,Z=8.920925),(X=-311.927476,Y=-34.306152,Z=8.920925),(X=-305.229128,Y=-133.581485,Z=8.920925),(X=-279.352065,Y=-224.463492,Z=8.920925),(X=-235.922270,Y=-301.241516,Z=8.920925),(X=-177.668618,Y=-359.091547,Z=8.920925),(X=-108.251451,Y=-394.378469,Z=8.920925),(X=-32.032444,Y=-404.885149,Z=8.920925),(X=46.199340,Y=-389.951406,Z=8.920925),(X=121.528246,Y=-350.515624,Z=8.920925),(X=189.221094,Y=-289.055608,Z=8.920925),(X=245.024407,Y=-209.433160,Z=8.920925),(X=285.431965,Y=-116.651268,Z=8.920925))","(X=-427418.645921,Y=415918.037853,Z=293.485714)"
90002300,90002300,"((X=163.533397,Y=-261.411153,Z=8.920900),(X=248.083470,Y=-205.800487,Z=8.920900),(X=317.045509,Y=-137.258621,Z=8.920900),(X=366.086414,Y=-60.092258,Z=8.920900),(X=392.124766,Y=20.849914,Z=8.920900),(X=393.524429,Y=100.481845,Z=8.920900),(X=370.197525,Y=173.800292,Z=8.920900),(X=323.609867,Y=236.198119,Z=8.920900),(X=256.688484,Y=283.754853,Z=8.920900),(X=173.638329,Y=313.482278,Z=8.920900),(X=79.677931,Y=323.512371,Z=8.920900),(X=-19.288739,Y=313.214999,Z=8.920900),(X=-117.043609,Y=283.237138,Z=8.920900),(X=-207.444211,Y=235.462473,Z=8.920900),(X=-284.810274,Y=172.892895,Z=8.920900),(X=-344.280706,Y=99.459732,Z=8.920900),(X=-382.118613,Y=19.777202,Z=8.920900),(X=-395.946702,Y=-61.148064,Z=8.920900),(X=-384.895984,Y=-138.231088,Z=8.920900),(X=-349.660839,Y=-206.628550,Z=8.920900),(X=-292.455183,Y=-262.042831,Z=8.920900),(X=-216.873528,Y=-300.992018,Z=8.920900),(X=-127.664869,Y=-321.028749,Z=8.920900),(X=-30.434596,Y=-320.893997,Z=8.920900),(X=68.708002,Y=-300.596325,Z=8.920900))","(X=-425990.441361,Y=418894.082192,Z=-139.279775)"
90002301,90002301,"((X=-257.333201,Y=-612.229379,Z=19.213567),(X=-54.530546,Y=-692.088498,Z=19.213567),(X=151.698417,Y=-728.461091,Z=19.213567),(X=348.395669,Y=-719.061752,Z=19.213567),(X=523.201929,Y=-664.481137,Z=19.213567),(X=665.133138,Y=-568.148848,Z=19.213567),(X=765.271893,Y=-436.117512,Z=19.213567),(X=817.325757,Y=-276.683653,Z=19.213567),(X=818.024060,Y=-99.864390,Z=19.213567),(X=767.322884,Y=83.229944,Z=19.213567),(X=668.407949,Y=261.094364,Z=19.213567),(X=527.494724,Y=422.552946,Z=19.213567),(X=353.436775,Y=557.461248,Z=19.213567),(X=157.171124,Y=657.342261,Z=19.213567),(X=-48.969991,Y=715.920022,Z=19.213567),(X=-252.034354,Y=729.513864,Z=19.213567),(X=-439.262250,Y=697.269554,Z=19.213567),(X=-598.889917,Y=621.213335,Z=19.213567),(X=-720.886954,Y=506.124064,Z=19.213567),(X=-797.588028,Y=359.233158,Z=19.213567),(X=-824.173758,Y=189.770186,Z=19.213567),(X=-798.973701,Y=8.383294,Z=19.213567),(X=-723.571099,Y=-173.530403,Z=19.213567),(X=-602.703795,Y=-344.540393,Z=19.213567),(X=-443.966441,Y=-493.901694,Z=19.213567))","(X=-427245.429364,Y=420399.785956,Z=-139.279775)"
90002302,90002302,"((X=503.487649,Y=-433.065156,Z=19.213600),(X=641.819061,Y=-264.628789,Z=19.213600),(X=739.822548,Y=-79.564847,Z=19.213600),(X=791.340241,Y=110.498515,Z=19.213600),(X=793.135131,Y=293.618832,Z=19.213600),(X=745.094429,Y=458.289630,Z=19.213600),(X=650.236643,Y=594.164747,Z=19.213600),(X=514.522409,Y=692.706162,Z=19.213600),(X=346.478513,Y=747.722429,Z=19.213600),(X=156.663878,Y=755.756599,Z=19.213600),(X=-42.994280,Y=716.303679,Z=19.213600),(X=-239.950571,Y=631.842896,Z=19.213600),(X=-421.830237,Y=507.680907,Z=19.213600),(X=-577.204798,Y=351.619505,Z=19.213600),(X=-696.311385,Y=173.464718,Z=19.213600),(X=-771.666203,Y=-15.589709,Z=19.213600),(X=-798.534220,Y=-203.664399,Z=19.213600),(X=-775.227563,Y=-378.942298,Z=19.213600),(X=-703.210518,Y=-530.409672,Z=19.213600),(X=-587.008174,Y=-648.549471,Z=19.213600),(X=-433.921844,Y=-725.938602,Z=19.213600),(X=-253.570670,Y=-757.714408,Z=19.213600),(X=-57.286641,Y=-741.880161,Z=19.213600),(X=142.596793,Y=-679.430743,Z=19.213600),(X=333.520381,Y=-574.290251,Z=19.213600))","(X=-428410.455559,Y=421743.352600,Z=-139.279775)"
