OID,Cid,Milestone,Comment,SkillSlotType,SkillLevelGroupCid
750037,750037,Dev,잔혹한 연격 Lv.2,ArmorPassiveSkill1,750036
750038,750038,Dev,잔혹한 연격 Lv.3,ArmorPassiveSkill1,750036
750039,750039,Dev,속공 태세 Lv.1,ArmorPassiveSkill1,750039
750040,750040,Dev,속공 태세 Lv.2,ArmorPassiveSkill1,750039
750041,750041,Dev,속공 태세 Lv.3,ArmorPassiveSkill1,750039
750042,750042,Dev,생존 본능 Lv.1,ArmorPassiveSkill1,750042
750043,750043,Dev,생존 본능 Lv.2,ArmorPassiveSkill1,750042
750044,750044,Dev,생존 본능 Lv.3,ArmorPassiveSkill1,750042
750045,750045,Dev,치명 본능 Lv.1,ArmorPassiveSkill1,750045
750046,750046,Dev,치명 본능 Lv.2,ArmorPassiveSkill1,750045
750047,750047,Dev,치명 본능 Lv.3,ArmorPassiveSkill1,750045
750048,750048,Dev,마력 순환 Lv.1,ArmorPassiveSkill1,750048
750049,750049,Dev,마력 순환 Lv.2,ArmorPassiveSkill1,750048
750050,750050,Dev,마력 순환 Lv.3,ArmorPassiveSkill1,750048
750051,750051,Dev,비전 감각 Lv.1,ArmorPassiveSkill1,750051
750052,750052,Dev,비전 감각 Lv.2,ArmorPassiveSkill1,750051
750053,750053,Dev,비전 감각 Lv.3,ArmorPassiveSkill1,750051
750054,750054,Dev,전투 회복 Lv.1,ArmorPassiveSkill1,750054
750055,750055,Dev,전투 회복 Lv.2,ArmorPassiveSkill1,750054
750056,750056,Dev,전투 회복 Lv.3,ArmorPassiveSkill1,750054
750057,750057,Dev,마력 회복 Lv.1,ArmorPassiveSkill1,750057
750058,750058,Dev,마력 회복 Lv.2,ArmorPassiveSkill1,750057
750059,750059,Dev,마력 회복 Lv.3,ArmorPassiveSkill1,750057
750060,750060,Dev,전투 숙련 Lv.1,ArmorPassiveSkill1,750060
750061,750061,Dev,전투 숙련 Lv.2,ArmorPassiveSkill1,750060
750062,750062,Dev,전투 숙련 Lv.3,ArmorPassiveSkill1,750060
750063,750063,Dev,마력 흡수 Lv.1,ArmorPassiveSkill1,750063
750064,750064,Dev,마력 흡수 Lv.2,ArmorPassiveSkill1,750063
750065,750065,Dev,마력 흡수 Lv.3,ArmorPassiveSkill1,750063
750066,750066,Dev,생명 순환 Lv.1,ArmorPassiveSkill1,750066
750067,750067,Dev,생명 순환 Lv.2,ArmorPassiveSkill1,750066
750068,750068,Dev,생명 순환 Lv.3,ArmorPassiveSkill1,750066
750069,750069,Dev,마력 회복 Lv.1,ArmorPassiveSkill1,750069
750070,750070,Dev,마력 회복 Lv.2,ArmorPassiveSkill1,750069
750071,750071,Dev,마력 회복 Lv.3,ArmorPassiveSkill1,750069
750072,750072,Dev,불굴 Lv.1,ArmorPassiveSkill1,750072
750073,750073,Dev,불굴 Lv.2,ArmorPassiveSkill1,750072
750074,750074,Dev,불굴 Lv.3,ArmorPassiveSkill1,750072
750075,750075,Dev,냉혹함 Lv.1,ArmorPassiveSkill1,750075
750076,750076,Dev,냉혹함 Lv.2,ArmorPassiveSkill1,750075
750077,750077,Dev,냉혹함 Lv.3,ArmorPassiveSkill1,750075
750078,750078,Dev,수호 집중 Lv.1,ArmorPassiveSkill1,750078
750079,750079,Dev,수호 집중 Lv.2,ArmorPassiveSkill1,750078
750080,750080,Dev,수호 집중 Lv.3,ArmorPassiveSkill1,750078
750081,750081,Dev,재생 갑주 Lv.1,ArmorPassiveSkill1,750081
750082,750082,Dev,재생 갑주 Lv.2,ArmorPassiveSkill1,750081
750083,750083,Dev,재생 갑주 Lv.3,ArmorPassiveSkill1,750081
750084,750084,Dev,활력 폭주 Lv.1,ArmorPassiveSkill1,750084
750085,750085,Dev,활력 폭주 Lv.2,ArmorPassiveSkill1,750084
750086,750086,Dev,활력 폭주 Lv.3,ArmorPassiveSkill1,750084
750087,750087,Dev,철벽 Lv.1,ArmorPassiveSkill1,750087
750088,750088,Dev,철벽 Lv.2,ArmorPassiveSkill1,750087
750089,750089,Dev,철벽 Lv.3,ArmorPassiveSkill1,750087
750090,750090,Dev,생명의 샘 Lv.1,ArmorPassiveSkill1,750090
750091,750091,Dev,생명의 샘 Lv.2,ArmorPassiveSkill1,750090
750092,750092,Dev,생명의 샘 Lv.3,ArmorPassiveSkill1,750090
750093,750093,Dev,생존 감각 Lv.1,ArmorPassiveSkill1,750093
750094,750094,Dev,생존 감각 Lv.2,ArmorPassiveSkill1,750093
750095,750095,Dev,생존 감각 Lv.3,ArmorPassiveSkill1,750093
750096,750096,Dev,투지 Lv.1,ArmorPassiveSkill1,750096
750097,750097,Dev,투지 Lv.2,ArmorPassiveSkill1,750096
750098,750098,Dev,투지 Lv.3,ArmorPassiveSkill1,750096
750099,750099,Dev,투지 Lv.4,ArmorPassiveSkill1,750096
750100,750100,Dev,강타 Lv.1,ArmorPassiveSkill2,750100
750101,750101,Dev,강타 Lv.2,ArmorPassiveSkill2,750100
750102,750102,Dev,강타 Lv.3,ArmorPassiveSkill2,750100
750103,750103,Dev,강타 Lv.4,ArmorPassiveSkill2,750100
750104,750104,Dev,광기의 심장 Lv.1,ArmorPassiveSkill1,750104
750105,750105,Dev,광기의 심장 Lv.2,ArmorPassiveSkill1,750104
750106,750106,Dev,광기의 심장 Lv.3,ArmorPassiveSkill1,750104
750107,750107,Dev,광기의 심장 Lv.4,ArmorPassiveSkill1,750104
750108,750108,Dev,강타 Lv.1,ArmorPassiveSkill2,750108
750109,750109,Dev,강타 Lv.2,ArmorPassiveSkill2,750108
750110,750110,Dev,강타 Lv.3,ArmorPassiveSkill2,750108
750111,750111,Dev,강타 Lv.4,ArmorPassiveSkill2,750108
750112,750112,Dev,전투 지속 Lv.1,ArmorPassiveSkill1,750112
750113,750113,Dev,전투 지속 Lv.2,ArmorPassiveSkill1,750112
750114,750114,Dev,전투 지속 Lv.3,ArmorPassiveSkill1,750112
750115,750115,Dev,전투 지속 Lv.4,ArmorPassiveSkill1,750112
750116,750116,Dev,사냥꾼 Lv.1,ArmorPassiveSkill2,750116
750117,750117,Dev,사냥꾼 Lv.2,ArmorPassiveSkill2,750116
750118,750118,Dev,사냥꾼 Lv.3,ArmorPassiveSkill2,750116
750119,750119,Dev,사냥꾼 Lv.4,ArmorPassiveSkill2,750116
750120,750120,Dev,학살 본능 Lv.1,ArmorPassiveSkill1,750120
750121,750121,Dev,학살 본능 Lv.2,ArmorPassiveSkill1,750120
750122,750122,Dev,학살 본능 Lv.3,ArmorPassiveSkill1,750120
750123,750123,Dev,학살 본능 Lv.4,ArmorPassiveSkill1,750120
750124,750124,Dev,가속 Lv.1,ArmorPassiveSkill2,750124
750125,750125,Dev,가속 Lv.2,ArmorPassiveSkill2,750124
750126,750126,Dev,가속 Lv.3,ArmorPassiveSkill2,750124
750127,750127,Dev,가속 Lv.4,ArmorPassiveSkill2,750124
750128,750128,Dev,투쟁 본능 Lv.1,ArmorPassiveSkill1,750128
750129,750129,Dev,투쟁 본능 Lv.2,ArmorPassiveSkill1,750128
750130,750130,Dev,투쟁 본능 Lv.3,ArmorPassiveSkill1,750128
750131,750131,Dev,투쟁 본능 Lv.4,ArmorPassiveSkill1,750128
750132,750132,Dev,강인함 Lv.1,ArmorPassiveSkill2,750132
750133,750133,Dev,강인함 Lv.2,ArmorPassiveSkill2,750132
750134,750134,Dev,강인함 Lv.3,ArmorPassiveSkill2,750132
750135,750135,Dev,강인함 Lv.4,ArmorPassiveSkill2,750132
750136,750136,Dev,정밀 타격 Lv.1,ArmorPassiveSkill1,750136
750137,750137,Dev,정밀 타격 Lv.2,ArmorPassiveSkill1,750136
750138,750138,Dev,정밀 타격 Lv.3,ArmorPassiveSkill1,750136
750139,750139,Dev,정밀 타격 Lv.4,ArmorPassiveSkill1,750136
750140,750140,Dev,광속 Lv.1,ArmorPassiveSkill2,750140
750141,750141,Dev,광속 Lv.2,ArmorPassiveSkill2,750140
750142,750142,Dev,광속 Lv.3,ArmorPassiveSkill2,750140
750143,750143,Dev,광속 Lv.4,ArmorPassiveSkill2,750140
750144,750144,Dev,잔인한 일격 Lv.1,ArmorPassiveSkill1,750144
750145,750145,Dev,잔인한 일격 Lv.2,ArmorPassiveSkill1,750144
750146,750146,Dev,잔인한 일격 Lv.3,ArmorPassiveSkill1,750144
750147,750147,Dev,잔인한 일격 Lv.4,ArmorPassiveSkill1,750144
750148,750148,Dev,광속 Lv.1,ArmorPassiveSkill2,750148
750149,750149,Dev,광속 Lv.2,ArmorPassiveSkill2,750148
750150,750150,Dev,광속 Lv.3,ArmorPassiveSkill2,750148
750151,750151,Dev,광속 Lv.4,ArmorPassiveSkill2,750148
750152,750152,Dev,잔혹한 연격 Lv.1,ArmorPassiveSkill1,750152
750153,750153,Dev,잔혹한 연격 Lv.2,ArmorPassiveSkill1,750152
750154,750154,Dev,잔혹한 연격 Lv.3,ArmorPassiveSkill1,750152
750155,750155,Dev,잔혹한 연격 Lv.4,ArmorPassiveSkill1,750152
750156,750156,Dev,광폭화 Lv.1,ArmorPassiveSkill2,750156
750157,750157,Dev,광폭화 Lv.2,ArmorPassiveSkill2,750156
750158,750158,Dev,광폭화 Lv.3,ArmorPassiveSkill2,750156
750159,750159,Dev,광폭화 Lv.4,ArmorPassiveSkill2,750156
750160,750160,Dev,속공 태세 Lv.1,ArmorPassiveSkill1,750160
750161,750161,Dev,속공 태세 Lv.2,ArmorPassiveSkill1,750160
750162,750162,Dev,속공 태세 Lv.3,ArmorPassiveSkill1,750160
750163,750163,Dev,속공 태세 Lv.4,ArmorPassiveSkill1,750160
750164,750164,Dev,사냥꾼 Lv.1,ArmorPassiveSkill2,750164
750165,750165,Dev,사냥꾼 Lv.2,ArmorPassiveSkill2,750164
750166,750166,Dev,사냥꾼 Lv.3,ArmorPassiveSkill2,750164
750167,750167,Dev,사냥꾼 Lv.4,ArmorPassiveSkill2,750164
750168,750168,Dev,정밀 연타 Lv.1,ArmorPassiveSkill1,750168
750169,750169,Dev,정밀 연타 Lv.2,ArmorPassiveSkill1,750168
750170,750170,Dev,정밀 연타 Lv.3,ArmorPassiveSkill1,750168
750171,750171,Dev,정밀 연타 Lv.4,ArmorPassiveSkill1,750168
750172,750172,Dev,생명력 Lv.1,ArmorPassiveSkill2,750172
750173,750173,Dev,생명력 Lv.2,ArmorPassiveSkill2,750172
750174,750174,Dev,생명력 Lv.3,ArmorPassiveSkill2,750172
750175,750175,Dev,생명력 Lv.4,ArmorPassiveSkill2,750172
750176,750176,Dev,학살 본능 Lv.1,ArmorPassiveSkill1,750176
750177,750177,Dev,학살 본능 Lv.2,ArmorPassiveSkill1,750176
750178,750178,Dev,학살 본능 Lv.3,ArmorPassiveSkill1,750176
750179,750179,Dev,학살 본능 Lv.4,ArmorPassiveSkill1,750176
750180,750180,Dev,광속 Lv.1,ArmorPassiveSkill2,750180
750181,750181,Dev,광속 Lv.2,ArmorPassiveSkill2,750180
750182,750182,Dev,광속 Lv.3,ArmorPassiveSkill2,750180
750183,750183,Dev,광속 Lv.4,ArmorPassiveSkill2,750180
750184,750184,Dev,치명 본능 Lv.1,ArmorPassiveSkill1,750184
750185,750185,Dev,치명 본능 Lv.2,ArmorPassiveSkill1,750184
750186,750186,Dev,치명 본능 Lv.3,ArmorPassiveSkill1,750184
750187,750187,Dev,치명 본능 Lv.4,ArmorPassiveSkill1,750184
750188,750188,Dev,가속 Lv.1,ArmorPassiveSkill2,750188
750189,750189,Dev,가속 Lv.2,ArmorPassiveSkill2,750188
750190,750190,Dev,가속 Lv.3,ArmorPassiveSkill2,750188
750191,750191,Dev,가속 Lv.4,ArmorPassiveSkill2,750188
750192,750192,Dev,생존 본능 Lv.1,ArmorPassiveSkill1,750192
750193,750193,Dev,생존 본능 Lv.2,ArmorPassiveSkill1,750192
750194,750194,Dev,생존 본능 Lv.3,ArmorPassiveSkill1,750192
750195,750195,Dev,생존 본능 Lv.4,ArmorPassiveSkill1,750192
750196,750196,Dev,강인함 Lv.1,ArmorPassiveSkill2,750196
750197,750197,Dev,강인함 Lv.2,ArmorPassiveSkill2,750196
750198,750198,Dev,강인함 Lv.3,ArmorPassiveSkill2,750196
750199,750199,Dev,강인함 Lv.4,ArmorPassiveSkill2,750196
750200,750200,Dev,정밀 타격 Lv.1,ArmorPassiveSkill1,750200
750201,750201,Dev,정밀 타격 Lv.2,ArmorPassiveSkill1,750200
750202,750202,Dev,정밀 타격 Lv.3,ArmorPassiveSkill1,750200
750203,750203,Dev,정밀 타격 Lv.4,ArmorPassiveSkill1,750200
750204,750204,Dev,가속 Lv.1,ArmorPassiveSkill2,750204
750205,750205,Dev,가속 Lv.2,ArmorPassiveSkill2,750204
750206,750206,Dev,가속 Lv.3,ArmorPassiveSkill2,750204
750207,750207,Dev,가속 Lv.4,ArmorPassiveSkill2,750204
750208,750208,Dev,비전 감각 Lv.1,ArmorPassiveSkill1,750208
750209,750209,Dev,비전 감각 Lv.2,ArmorPassiveSkill1,750208
750210,750210,Dev,비전 감각 Lv.3,ArmorPassiveSkill1,750208
750211,750211,Dev,비전 감각 Lv.4,ArmorPassiveSkill1,750208
750212,750212,Dev,가속 Lv.1,ArmorPassiveSkill2,750212
750213,750213,Dev,가속 Lv.2,ArmorPassiveSkill2,750212
750214,750214,Dev,가속 Lv.3,ArmorPassiveSkill2,750212
750215,750215,Dev,가속 Lv.4,ArmorPassiveSkill2,750212
750216,750216,Dev,마력 순환 Lv.1,ArmorPassiveSkill1,750216
750217,750217,Dev,마력 순환 Lv.2,ArmorPassiveSkill1,750216
750218,750218,Dev,마력 순환 Lv.3,ArmorPassiveSkill1,750216
750219,750219,Dev,마력 순환 Lv.4,ArmorPassiveSkill1,750216
750220,750220,Dev,치유 증폭 Lv.1,ArmorPassiveSkill2,750220
750221,750221,Dev,치유 증폭 Lv.2,ArmorPassiveSkill2,750220
750222,750222,Dev,치유 증폭 Lv.3,ArmorPassiveSkill2,750220
750223,750223,Dev,치유 증폭 Lv.4,ArmorPassiveSkill2,750220
750224,750224,Dev,정밀 타격 Lv.1,ArmorPassiveSkill1,750224
750225,750225,Dev,정밀 타격 Lv.2,ArmorPassiveSkill1,750224
750226,750226,Dev,정밀 타격 Lv.3,ArmorPassiveSkill1,750224
750227,750227,Dev,정밀 타격 Lv.4,ArmorPassiveSkill1,750224
750228,750228,Dev,가속 Lv.1,ArmorPassiveSkill2,750228
750229,750229,Dev,가속 Lv.2,ArmorPassiveSkill2,750228
750230,750230,Dev,가속 Lv.3,ArmorPassiveSkill2,750228
750231,750231,Dev,가속 Lv.4,ArmorPassiveSkill2,750228
750232,750232,Dev,생명 순환 Lv.1,ArmorPassiveSkill1,750232
750233,750233,Dev,생명 순환 Lv.2,ArmorPassiveSkill1,750232
750234,750234,Dev,생명 순환 Lv.3,ArmorPassiveSkill1,750232
750235,750235,Dev,생명 순환 Lv.4,ArmorPassiveSkill1,750232
750236,750236,Dev,치유 증폭 Lv.1,ArmorPassiveSkill2,750236
750237,750237,Dev,치유 증폭 Lv.2,ArmorPassiveSkill2,750236
750238,750238,Dev,치유 증폭 Lv.3,ArmorPassiveSkill2,750236
750239,750239,Dev,치유 증폭 Lv.4,ArmorPassiveSkill2,750236
750240,750240,Dev,전투 회복 Lv.1,ArmorPassiveSkill1,750240
750241,750241,Dev,전투 회복 Lv.2,ArmorPassiveSkill1,750240
750242,750242,Dev,전투 회복 Lv.3,ArmorPassiveSkill1,750240
750243,750243,Dev,전투 회복 Lv.4,ArmorPassiveSkill1,750240
750244,750244,Dev,사냥꾼 Lv.1,ArmorPassiveSkill2,750244
750245,750245,Dev,사냥꾼 Lv.2,ArmorPassiveSkill2,750244
750246,750246,Dev,사냥꾼 Lv.3,ArmorPassiveSkill2,750244
750247,750247,Dev,사냥꾼 Lv.4,ArmorPassiveSkill2,750244
750248,750248,Dev,전투 가속 Lv.1,ArmorPassiveSkill1,750248
750249,750249,Dev,전투 가속 Lv.2,ArmorPassiveSkill1,750248
750250,750250,Dev,전투 가속 Lv.3,ArmorPassiveSkill1,750248
750251,750251,Dev,전투 가속 Lv.4,ArmorPassiveSkill1,750248
750252,750252,Dev,광속 Lv.1,ArmorPassiveSkill2,750252
750253,750253,Dev,광속 Lv.2,ArmorPassiveSkill2,750252
750254,750254,Dev,광속 Lv.3,ArmorPassiveSkill2,750252
750255,750255,Dev,광속 Lv.4,ArmorPassiveSkill2,750252
750256,750256,Dev,전투 숙련 Lv.1,ArmorPassiveSkill1,750256
750257,750257,Dev,전투 숙련 Lv.2,ArmorPassiveSkill1,750256
750258,750258,Dev,전투 숙련 Lv.3,ArmorPassiveSkill1,750256
750259,750259,Dev,전투 숙련 Lv.4,ArmorPassiveSkill1,750256
750260,750260,Dev,정밀함 Lv.1,ArmorPassiveSkill2,750260
750261,750261,Dev,정밀함 Lv.2,ArmorPassiveSkill2,750260
750262,750262,Dev,정밀함 Lv.3,ArmorPassiveSkill2,750260
750263,750263,Dev,정밀함 Lv.4,ArmorPassiveSkill2,750260
750264,750264,Dev,마력 흡수 Lv.1,ArmorPassiveSkill1,750264
750265,750265,Dev,마력 흡수 Lv.2,ArmorPassiveSkill1,750264
750266,750266,Dev,마력 흡수 Lv.3,ArmorPassiveSkill1,750264
750267,750267,Dev,마력 흡수 Lv.4,ArmorPassiveSkill1,750264
750268,750268,Dev,생명력 Lv.1,ArmorPassiveSkill2,750268
750269,750269,Dev,생명력 Lv.2,ArmorPassiveSkill2,750268
750270,750270,Dev,생명력 Lv.3,ArmorPassiveSkill2,750268
750271,750271,Dev,생명력 Lv.4,ArmorPassiveSkill2,750268
750272,750272,Dev,비전 가속 Lv.1,ArmorPassiveSkill1,750272
750273,750273,Dev,비전 가속 Lv.2,ArmorPassiveSkill1,750272
750274,750274,Dev,비전 가속 Lv.3,ArmorPassiveSkill1,750272
750275,750275,Dev,비전 가속 Lv.4,ArmorPassiveSkill1,750272
750276,750276,Dev,치유 증폭 Lv.1,ArmorPassiveSkill2,750276
750277,750277,Dev,치유 증폭 Lv.2,ArmorPassiveSkill2,750276
750278,750278,Dev,치유 증폭 Lv.3,ArmorPassiveSkill2,750276
750279,750279,Dev,치유 증폭 Lv.4,ArmorPassiveSkill2,750276
750280,750280,Dev,마력 가속 Lv.1,ArmorPassiveSkill1,750280
750281,750281,Dev,마력 가속 Lv.2,ArmorPassiveSkill1,750280
750282,750282,Dev,마력 가속 Lv.3,ArmorPassiveSkill1,750280
750283,750283,Dev,마력 가속 Lv.4,ArmorPassiveSkill1,750280
750284,750284,Dev,광속 Lv.1,ArmorPassiveSkill2,750284
