OID,Cid,Comment,IsDuplicate,LootCount,LootDataSetCids,Proportions,DropProportion
651,651,5티 장비 상자,FALSE,5,"[651,652,653,654,655]","[100,100,100,100,100]",
661,661,6티 장비 상자,FALSE,5,"[661,662,663,664,665]","[100,100,100,100,100]",
671,671,7티 장비 상자,FALSE,5,"[671,672,673,674,675]","[100,100,100,100,100]",
901,901,등짐 테스트,FALSE,1,[901],[100],5000000
902,902,오우거 드랍 등짐,FALSE,1,[902],[100],10000000
903,903,3종 구슬 35% 드랍,FALSE,1,"[903,915,916]","[55,30,15]",3500000
904,904,3종 구슬 20% 드랍,FALSE,1,"[903,915,916]","[55,30,15]",2000000
905,905,테스트_등짐 생성 후 획득,FALSE,1,[905],[100],10000000
906,906,테스트_등짐 필드 생성,FALSE,1,[906],[100],10000000
907,907,보스 소환 영역,FALSE,1,[907],[100],10000000
908,908,강인한 생명력 구슬 드랍,FALSE,1,[904],[100],10000000
909,909,샘솟는 마나샘 구슬 드랍,FALSE,1,[912],[100],10000000
910,910,3종 구슬 스폰 (쿨감 비중 높음 / 총 30%),FALSE,1,"[908,909,910]","[15,15,70]",4000000
911,911,몬스터 처치 후 뒷벽 파괴 FS,FALSE,1,[911],[100],10000000
912,912,몬스터 스폰,FALSE,1,[913],[100],10000000
913,913,부관 처치 시 해골 스폰,FALSE,1,[914],[100],10000000
914,914,강인한 생명의 원천,FALSE,1,[915],[100],10000000
915,915,샘솟는 마나의 원천,FALSE,1,[916],[100],10000000
917,917,분노의 잔재 보물 상자,FALSE,1,[917],[100],10000000
918,918,격노의 잔재 보물 상자,FALSE,1,[918],[100],10000000
919,919,3m 원형 범위 회복 구슬,FALSE,1,[919],[100],10000000
920,920,5m 지속 회복 구슬,FALSE,1,[920],[100],10000000
1001,1001,101 퀘스트 보상,FALSE,4,"[1000,1001,1002,1003]","[100,100,100,100]",10000000
1002,1002,102 퀘스트 보상,FALSE,3,"[600003,1001,1003]","[100,100,100]",10000000
1003,1003,103 퀘스트 보상,FALSE,2,"[600005,501]","[100,100]",10000000
1100,1100,(Ka5) 채광부산물_아키움 씨앗,FALSE,1,[1100],[100],3000000
1110,1110,1T 일반 광맥,FALSE,1,[1110],[100],10000000
1120,1120,2T 일반 광맥,FALSE,1,[1120],[100],10000000
1130,1130,3T 일반 광맥,FALSE,1,[1130],[100],10000000
1140,1140,4T 일반 광맥,FALSE,1,[1140],[100],10000000
1150,1150,5T 일반 광맥,FALSE,1,[1150],[100],10000000
1160,1160,6T 일반 광맥,FALSE,1,[1160],[100],10000000
1170,1170,7T 일반 광맥,FALSE,1,[1170],[100],10000000
1200,1200,하급 허브,FALSE,1,[1200],[100],3000000
1201,1201,중급 허브,FALSE,1,[1201],[100],3000000
1202,1202,상급 허브,FALSE,1,[1202],[100],3000000
1203,1203,특급 허브,FALSE,1,[1203],[100],3000000
1210,1210,1T 일반 섬유,FALSE,1,[1210],[100],10000000
1220,1220,2T 일반 섬유,FALSE,1,[1220],[100],10000000
1230,1230,3T 일반 섬유,FALSE,1,[1230],[100],10000000
1240,1240,4T 일반 섬유,FALSE,1,[1240],[100],10000000
1250,1250,5T 일반 섬유,FALSE,1,[1250],[100],10000000
1260,1260,6T 일반 섬유,FALSE,1,[1260],[100],10000000
1270,1270,7T 일반 섬유,FALSE,1,[1270],[100],10000000
1300,1300,하급 열매,FALSE,1,[1300],[100],3000000
1301,1301,중급 열매,FALSE,1,[1301],[100],3000000
1302,1302,상급 열매,FALSE,1,[1302],[100],3000000
1303,1303,특급 열매,FALSE,1,[1303],[100],3000000
1310,1310,1T 일반 나무,FALSE,1,[1310],[100],10000000
1320,1320,2T 일반 나무,FALSE,1,[1320],[100],10000000
1330,1330,3T 일반 나무,FALSE,1,[1330],[100],10000000
1340,1340,4T 일반 나무,FALSE,1,[1340],[100],10000000
1350,1350,5T 일반 나무,FALSE,1,[1350],[100],10000000
1360,1360,6T 일반 나무,FALSE,1,[1360],[100],10000000
1370,1370,7T 일반 나무,FALSE,1,[1370],[100],10000000
1400,1400,하급 고기,FALSE,1,[1400],[100],3000000
1401,1401,중급 고기,FALSE,1,[1401],[100],3000000
1402,1402,상급 고기,FALSE,1,[1402],[100],3000000
1403,1403,특급 고기,FALSE,1,[1403],[100],3000000
1410,1410,1T 무두질 동물,FALSE,1,[1410],[100],10000000
1420,1420,2T 무두질 동물,FALSE,1,[1420],[100],10000000
1430,1430,3T 무두질 동물,FALSE,1,[1430],[100],10000000
1440,1440,4T 무두질 동물,FALSE,1,[1440],[100],10000000
1450,1450,5T 무두질 동물,FALSE,1,[1450],[100],10000000
1460,1460,6T 무두질 동물,FALSE,1,[1460],[100],10000000
1470,1470,7T 무두질 동물,FALSE,1,[1470],[100],10000000
1990,1990,2T 장검,FALSE,1,[110501],[100],10000000
1991,1991,2T 양손검,FALSE,1,[110502],[100],10000000
1992,1992,2T 단검,FALSE,1,[110503],[100],10000000
1993,1993,2T 활,FALSE,1,[110504],[100],10000000
1994,1994,2T 지팡이,FALSE,1,[110505],[100],10000000
2011,2011,1T 던전 몬스터 드랍(무기 강화 주문서),FALSE,1,"[2011,2012]","[50,50]",500000
2021,2021,2T 던전 몬스터 드랍(무기 강화 주문서),FALSE,1,"[2011,2012]","[50,50]",550000
2031,2031,3T 던전 몬스터 드랍(무기 강화 주문서),FALSE,1,"[2011,2012]","[50,50]",600000
2041,2041,4T 던전 몬스터 드랍(무기 강화 주문서),FALSE,1,"[2011,2012]","[50,50]",650000
2051,2051,5T 던전 몬스터 드랍(무기 강화 주문서),FALSE,1,"[2011,2012]","[50,50]",700000
2061,2061,6T 던전 몬스터 드랍(무기 강화 주문서),FALSE,1,"[2011,2012]","[50,50]",750000
2071,2071,7T 던전 몬스터 드랍(무기 강화 주문서),FALSE,1,"[2011,2012]","[50,50]",800000
2123,2123,2T 던전 중간 보스 드랍(무기 강화 주문서),FALSE,1,[2123],[100],10000000
2124,2124,2T 던전 중간 보스 드랍(방어구 강화 주문서),FALSE,1,[2124],[100],10000000
2133,2133,3T 던전 중간 보스 드랍(무기 강화 주문서),FALSE,1,[2133],[100],10000000
2134,2134,3T 던전 중간 보스 드랍(방어구 강화 주문서),FALSE,1,[2134],[100],10000000
2143,2143,4T 던전 중간 보스 드랍(무기 강화 주문서),FALSE,1,[2143],[100],10000000
2144,2144,4T 던전 중간 보스 드랍(방어구 강화 주문서),FALSE,1,[2144],[100],10000000
2153,2153,5T 던전 중간 보스 드랍(무기 강화 주문서),FALSE,1,[2153],[100],10000000
2154,2154,5T 던전 중간 보스 드랍(방어구 강화 주문서),FALSE,1,[2154],[100],10000000
2163,2163,6T 던전 중간 보스 드랍(무기 강화 주문서),FALSE,1,[2163],[100],10000000
2164,2164,6T 던전 중간 보스 드랍(방어구 강화 주문서),FALSE,1,[2164],[100],10000000
2173,2173,7T 던전 중간 보스 드랍(무기 강화 주문서),FALSE,1,[2173],[100],10000000
2174,2174,7T 던전 중간 보스 드랍(방어구 강화 주문서),FALSE,1,[2174],[100],10000000
2177,2177,6T 파티 던전 중간 보스 드랍(무기 강화 주문서),FALSE,1,[2173],[100],10000000
2178,2178,6T 파티 던전 중간 보스 드랍(방어구 강화 주문서),FALSE,1,[2174],[100],10000000
2213,2213,1T 던전 보스 드랍(보물 상자 키),FALSE,1,[2213],[100],10000000
2222,2222,2T 던전 보스 드랍(몬스터 카드),FALSE,1,[2222],[100],100000
2223,2223,2T 던전 보스 드랍(보물 상자 키),FALSE,1,[2223],[100],10000000
2232,2232,3T 던전 보스 드랍(몬스터 카드),FALSE,1,[2232],[100],100000
2233,2233,3T 던전 보스 드랍(보물 상자 키),FALSE,1,[2233],[100],10000000
2242,2242,4T 던전 보스 드랍(몬스터 카드),FALSE,1,[2242],[100],100000
2243,2243,4T 던전 보스 드랍(보물 상자 키),FALSE,1,[2243],[100],10000000
2252,2252,5T 던전 보스 드랍(몬스터 카드),FALSE,1,[2252],[100],100000
2253,2253,5T 던전 보스 드랍(보물 상자 키),FALSE,1,[2253],[100],10000000
2262,2262,6T 던전 보스 드랍(몬스터 카드),FALSE,1,[2262],[100],100000
2263,2263,6T 던전 보스 드랍(보물 상자 키),FALSE,1,[2263],[100],10000000
2272,2272,7T 던전 보스 드랍(몬스터 카드),FALSE,1,[2272],[100],100000
2273,2273,7T 던전 보스 드랍(보물 상자 키),FALSE,1,[2273],[100],10000000
3011,3011,1T 보스 보물 상자(코어 재료 O),FALSE,1,"[3021,3022]","[50,50]",10000000
3021,3021,2T 보스 보물 상자(코어 재료 O),FALSE,1,"[3021,3022]","[50,50]",10000000
3031,3031,3T 보스 보물 상자(코어 재료 O),FALSE,1,"[3031,3032]","[50,50]",10000000
3041,3041,4T 보스 보물 상자(코어 재료 O),FALSE,1,"[3041,3042]","[50,50]",10000000
3051,3051,5T 보스 보물 상자(코어 재료 O),FALSE,1,"[3051,3052]","[50,50]",10000000
3061,3061,6T 보스 보물 상자(코어 재료 O),FALSE,1,"[3061,3062]","[50,50]",10000000
3071,3071,7T 보스 보물 상자(코어 재료 O),FALSE,1,"[3071,3072]","[50,50]",10000000
3111,3111,에러방지용,FALSE,1,"[3071,3072]","[50,50]",10000000
3121,3121,에러방지용,FALSE,1,"[3071,3072]","[50,50]",10000000
3131,3131,에러방지용,FALSE,1,"[3071,3072]","[50,50]",10000000
3141,3141,에러방지용,FALSE,1,"[3071,3072]","[50,50]",10000000
3151,3151,에러방지용,FALSE,1,"[3071,3072]","[50,50]",10000000
3161,3161,에러방지용,FALSE,1,"[3071,3072]","[50,50]",10000000
3171,3171,에러방지용,FALSE,1,"[3071,3072]","[50,50]",10000000
4001,4001,하급 물약팩,FALSE,1,"[4001,4002]","[100,100]",500000
4011,4011,중급 물약팩,FALSE,1,"[4011,4012]","[100,100]",500000
4021,4021,상급 물약팩,FALSE,1,"[4021,4022]","[100,100]",500000
4101,4101,놀 우두머리 토벌 상자,FALSE,1,[4101],[100],10000000
4102,4102,오크 족장 토벌 상자,FALSE,1,[4102],[100],10000000
4103,4103,도바비언 지휘관 토벌 상자,FALSE,1,[4103],[100],10000000
4104,4104,분노한 오우거 토벌 상자,FALSE,1,[4104],[100],10000000
4105,4105,봉인된 심연의 상자,FALSE,1,[4105],[100],10000000
91004,91004,견고한 보물 상자,FALSE,1,[2],[100],10000000
91005,91005,고급 견고한 보물 상자,FALSE,1,[2],[100],10000000
91006,91006,보물 상자(1T),FALSE,1,[50201],[100],10000000
91007,91007,희귀 보물 상자(2T),FALSE,1,[50301],[100],10000000
91008,91008,고급 보물 상자(1T ~ 2T),FALSE,1,"[50201,50301]","[50,50]",10000000
91009,91009,오크 카드,FALSE,1,[415000],[100],100000
91010,91010,오크 족장 카드,FALSE,1,[415001],[100],100000
91011,91011,놀 카드,FALSE,1,[424000],[100],100000
91012,91012,놀 대장 카드,FALSE,1,[424001],[100],100000
91013,91013,물 정령 카드,FALSE,1,[424002],[100],100000
91014,91014,나무 정령 카드,FALSE,1,[424003],[100],100000
91015,91015,바위 정령 카드,FALSE,1,[424004],[100],100000
91016,91016,이끼 정령 카드,FALSE,1,[424005],[100],100000
91017,91017,스켈레톤 카드,FALSE,1,[424006],[100],100000
91018,91018,팬텀 카드,FALSE,1,[424007],[100],100000
91019,91019,말라카돈 카드,FALSE,1,[424008],[100],100000
91020,91020,스칼니토스 카드,FALSE,1,[405000],[100],100000
91021,91021,말라카돈 카드,FALSE,1,[424008],[100],100000
500000,500000,놀의 인장,FALSE,1,[500000],[100],2000000
500001,500001,포식자의 송곳니,FALSE,1,[500001],[100],2000000
500002,500002,마수의 다리뼈,FALSE,1,[500002],[100],2000000
500003,500003,날카로운 포식자 송곳니,FALSE,1,[500003],[100],100000
500004,500004,굵은 마수의 다리뼈,FALSE,1,[500004],[100],100000
500005,500005,포식자의 송곳니,FALSE,1,[500001],[100],200000
500006,500006,마수의 다리뼈,FALSE,1,[500002],[100],200000
500007,500007,3T 무기 전리품 재료 주 드랍,FALSE,1,[500003],[100],333000
500008,500008,3T 방어구 전리품 재료 주 드랍,FALSE,1,[500004],[100],333000
500101,500101,에페리움의 긍지 망토,FALSE,1,[500101],[100],1000000
500110,500110,2T 보스 완제품 드랍,FALSE,1,[500110],[100],100000
500111,500111,3T 보스 완제품 드랍,FALSE,1,[500111],[100],50000
1000021,1000021,놀 우두머리 토벌 상자,FALSE,1,[2],[100],10000000
1000031,1000031,오크 족장 토벌 상자 내용,FALSE,1,"[1000031,1000032,1000033,1000034,1000035,1000036]","[40,40,10,10,1,5]",10000000
1000041,1000041,도바비언 지휘관 토벌 상자,FALSE,1,[2],[100],10000000
1000051,1000051,분노한 오우거 토벌 상자,FALSE,1,[2],[100],10000000
1000061,1000061,봉인된 심연의 상자,FALSE,1,[2],[100],10000000
42990007,42990007,테스트 화폐 획득 상자,FALSE,1,[42990007],[100],10000000
90010403,90010403,결정 열린 아키움 나무 벌목,FALSE,1,[90010403],[100],10000000
90010503,90010503,벼락 맞은 아키움 나무 벌목,FALSE,1,[90010503],[100],10000000
90300000,90300000,무기 제작대,FALSE,1,[90300000],[100],10000000
90300001,90300001,요리 제작대,FALSE,1,[90300001],[100],10000000
90300002,90300002,광석 가공대,FALSE,1,[90300002],[100],10000000
90300003,90300003,섬유 가공대,FALSE,1,[90300003],[100],10000000
90300004,90300004,통나무 가공대,FALSE,1,[90300004],[100],10000000
90300005,90300005,통가죽 가공대,FALSE,1,[90300005],[100],10000000
90300006,90300006,방어구 제작대,FALSE,1,[90300006],[100],10000000
8010001,8010001,식재료 꾸러미,FALSE,1,[8010001],[100],10000000
8010002,8010002,해산물 스튜,FALSE,1,[8010002],[100],10000000
8010003,8010003,갈색 릴리엇 말,FALSE,1,[600003],[100],10000000
8010004,8010004,검은색 릴리엇 말,FALSE,1,[600004],[100],10000000
8010005,8010005,흰색 릴리엇 말,FALSE,1,[600005],[100],10000000
8011000,8011000,정착을 위한 첫 걸음,FALSE,4,"[8011000,8011001,8011002,8011003]","[100,100,100,100]",10000000
8011001,8011001,허가 받지 않은 자,FALSE,4,"[8011006,8011007,8011008,8011009]","[100,100,100,100]",10000000
8011003,8011003,사라진 신관의 행방,FALSE,4,"[8011000,8011001,8011002,8011003]","[100,100,100,100]",10000000
8011004,8011004,달빛이 닿지 않는 길,FALSE,2,"[8011004,8011005]","[100,100]",10000000
8011006,8011006,5년만의 제례,FALSE,5,"[8011000,8011001,8011002,8011003,8011012]","[100,100,100,100,100]",10000000
8011007,8011007,잃어버린 서신,FALSE,2,"[8011004,8011005]","[100,100]",10000000
8011009,8011009,귀중한 손님 맞이,FALSE,4,"[8011000,8011001,8011002,8011003]","[100,100,100,100]",10000000
8011010,8011010,귀빈 호송 작전,FALSE,2,"[8011004,8011005]","[100,100]",10000000
8011013,8011013,피 묻은 손의 침략,FALSE,4,"[8011000,8011001,8011002,8011003]","[100,100,100,100]",10000000
8011014,8011014,운명의 재회,FALSE,1,[8011010],[100],10000000
8011015,8011015,5년을 돌아온 아이,FALSE,1,[8011011],[100],10000000
9000010,9000010,TEST 획득 연출 테스트용,FALSE,1,[9000010],[100],10000000
429900080,429900080,나비 획득 상자 - 상자 획득,FALSE,1,[429900080],[100],10000000
429900081,429900081,나비 획득 상자 - 나비,FALSE,1,[429900081],[100],10000000
