OID,Cid,Comment,MonsterCid,Interval,SpawnerScheduleCids
10402339,10402339,2T 스켈레톤 마법병_1인 던전 (생명력 회복 버프)_2구역 첫번째,10402339,900000,
10402703,10402703,2T 스켈레톤 마법병_1인 던전,10402703,900000,
10402704,10402704,2T 스켈레톤 마법병_1인 던전,10402704,900000,
10702307,10702307,2T 팬텀 겅병_1인 던전 Phantom_SK_02,10702307,900000,
10702308,10702308,2T 팬텀 겅병_1인 던전 Phantom_SK_02,10702308,900000,
10702309,10702309,2T 팬텀 창병_1인 던전,10702309,900000,
10702310,10702310,2T 팬텀 대검병_1인 던전,10702310,900000,
10702503,10702503,2T 팬텀 겅병_1인 던전 (생명력 회복 버프),10702503,900000,
10702504,10702504,2T 팬텀 대검병_1인 던전,10702504,900000,
10702505,10702505,2T 팬텀 양손도끼병_1인 던전 (마나 회복 버프),10702505,900000,
10702703,10702703,2T 팬텀 양손도끼병_1인 던전,10702703,900000,
10702704,10702704,2T 팬텀 양손도끼병_1인 던전,10702704,900000,
10702804,10702804,2T 팬텀 대장_1인 던전,10702804,900000,
10702805,10702805,2T 팬텀 대장_1인 던전,10702805,900000,
90102101,90102101,대학살의 파편 조각,90102101,900000,
10902802,10902802,2T 오우거_1인 던전,10902802,900000,
90002903,90002903,2T 말카바돈_1인 던전,90002903,900000,
90002904,90002904,2T 말카바돈_1인 던전,90002904,900000,
10802101,10802101,피 묻은 손 전사,10802101,0,
10802102,10802102,피 묻은 손 궁수,10802102,0,
10802103,10802103,피 묻은 손 마법사,10802103,0,
10802104,10802104,피 묻은 손 암살자,10802104,0,
10802301,10802301,피 묻은 손 돌격대장,10802301,0,
10802701,10802701,피 묻은 손 지휘관,10802701,0,
10802801,10802801,피 묻은 손 간부,10802801,0,
10802901,10802901,부활한 피 묻은 손 간부,10802901,0,
10101101,10101101,물 정령,10101101,25000,
10101102,10101102,나무 정령,10101102,25000,
10101103,10101103,바위 정령,10101103,25000,
10101104,10101104,이끼 정령,10101104,25000,
10101105,10101105,물 정령,10101105,25000,
10101106,10101106,나무 정령,10101106,25000,
10101107,10101107,바위 정령,10101107,25000,
10101108,10101108,이끼 정령,10101108,25000,
10101301,10101301,난폭한 물 정령,10101301,25000,
10101302,10101302,난폭한 나무 정령,10101302,25000,
10101303,10101303,난폭한 바위 정령,10101303,25000,
10101304,10101304,난폭한 이끼 정령,10101304,25000,
10102101,10102101,물 정령,10102101,25000,
10102102,10102102,나무 정령,10102102,25000,
10102103,10102103,바위 정령,10102103,25000,
10102104,10102104,이끼 정령,10102104,25000,
10102301,10102301,난폭한 물 정령,10102301,25000,
10102302,10102302,난폭한 나무 정령,10102302,25000,
10102303,10102303,난폭한 바위 정령,10102303,25000,
10102304,10102304,난폭한 이끼 정령,10102304,25000,
90002901,90002901,말카바돈,90002901,300000,
95001113,95001113,폭발하는 석상,95001113,300000,
90003901,90003901,스칼니토스,90003901,3600000,
90001902,90001902,말카바돈,90001902,3600000,
95101101,95101101,토끼,95101101,40000,
95102101,95102101,사슴,95102101,40000,
95103101,95103101,여우,95103101,40000,
95104101,95104101,멧돼지,95104101,40000,
95105101,95105101,늑대,95105101,40000,
95106101,95106101,무스,95106101,40000,
95107101,95107101,곰,95107101,40000,
99901102,99901102,놀 우두머리(테스트),99901102,5000,
95003116,95003116,신전 경비병,95003116,5000,
10002101,10002101,솔즈리드 멧돼지,10002101,30000,
10002102,10002102,솔즈리드 멧돼지,10002102,30000,
10002103,10002103,새끼 솔즈리드 멧돼지,10002103,30000,
10002301,10002301,난폭한 솔즈리드 멧돼지,10002301,60000,
10002104,10002104,배고픈 갈색 불곰,10002104,30000,
10002105,10002105,배고픈 갈색 불곰,10002105,30000,
10002106,10002106,배고픈 새끼 갈색 불곰,10002106,30000,
10002302,10002302,성난 갈색 불곰,10002302,60000,
10002107,10002107,백월만 바위 거북,10002107,30000,
10002303,10002303,백월만 거대 게,10002303,60000,
10102106,10102106,흙 정령,10102106,30000,
10102305,10102305,난폭한 흙 정령,10102305,45000,
10402101,10402101,돌격대원 원혼,10402101,30000,
10402102,10402102,수습 의무병 원혼,10402102,30000,
10402103,10402103,선원 원혼,10402103,30000,
10402104,10402104,정찰대원 원혼,10402104,30000,
10402340,10402340,돌격대장 원혼,10402340,60000,
10402705,10402705,지휘관 원혼,10402705,120000,
10502101,10502101,원한 어린 유령,10502101,30000,
10503101,10503101,망가진 시체 투사,10503101,30000,
10503102,10503102,망가진 시체 전사,10503102,30000,
10703101,10703101,성채 경비병 원혼,10703101,30000,
10703102,10703102,성채 병사 원혼,10703102,30000,
10703103,10703103,성채 궁수 원혼,10703103,30000,
10703701,10703701,성채 지휘관 원혼,10703701,120000,
10803101,10803101,피 묻은 손 돌격대원,10803101,30000,
10803102,10803102,피 묻은 손 수습 의무병,10803102,30000,
10803103,10803103,피 묻은 손 선원,10803103,30000,
10803104,10803104,피 묻은 손 정찰대원,10803104,30000,
10803301,10803301,피 묻은 손 돌격대장,10803301,60000,
10803302,10803302,피 묻은 손 상급지휘관,10803302,120000,
11002101,11002101,두들링 염탐꾼,11002101,30000,
11002102,11002102,두들링 주술사,11002102,30000,
11002103,11002103,두들링 전사,11002103,30000,
11102101,11102101,육식성 말벌,11102101,30000,
11102102,11102102,호위 벌,11102102,30000,
11102501,11102501,여왕 벌,11102501,120000,
11102103,11102103,새끼 평원 거미,11102103,30000,
11102104,11102104,평원 거미,11102104,30000,
11102302,11102302,난폭한 평원 거미,11102302,60000,
90003902,90003902,하얀 모래의 페르눈,90003902,3600000,
90003903,90003903,영혼을 거두는 모르가리스,90003903,3600000,
