OID,Cid,Comment,Action,ActionName,Label,LabelName,Category
906,906,,MountLock,잠금,mount,탈것,2
907,907,,MountUpdateSkill,스킬 설정,mount,탈것,2
908,908,,MountUpdateSkill1,스킬1 설정,mount,탈것,2
909,909,,MountUpdateSkill2,스킬2 설정,mount,탈것,2
910,910,,MountUpdateStack,추가,mount,탈것,2
1001,1001,,ClassCreate,생성,class,클래스,2
1002,1002,,ClassRemove,제거,class,클래스,2
1003,1003,,ClassAddStack,추가,class,클래스,2
1004,1004,,ClassChange,변경,class,클래스,2
1005,1005,,ClassLock,잠금,class,클래스,2
1006,1006,,ClassResetChange,변경 재설정,class,클래스,2
1101,1101,,AchieveUpdate,갱신,achieve,업적,2
1102,1102,,AchieveReward,수령,achieve,업적,2
1103,1103,,AchieveRewardRemove,수령 삭제,achieve,업적,2
1301,1301,,PvpBookAdd,추가,pvp,pvp,8
1302,1302,,PvpBookRemove,삭제,pvp,pvp,8
1303,1303,,PvpBookUpdate,갱신,pvp,pvp,8
1304,1304,,PvpRevenge,복수,pvp,pvp,8
1305,1305,,PvpRidicule,조롱,pvp,pvp,8
1306,1306,,PvpScore,점수,pvp,pvp,8
1401,1401,,ComposePoint,조합,compose_point,소환,2
1403,1403,,OptionSet,설정,option,옵션,2
1404,1404,,WorldMapBookmarkAdd,추가,world_map,월드맵,2
1405,1405,,WorldMapBookmarkRemove,삭제,world_map,월드맵,2
1501,1501,,DailyResetAccount,리셋,daily_reset,일일리셋,2
1502,1502,,DailyResetCharacter,리셋,daily_reset,일일리셋,2
1503,1503,,DailyResetGuild,리셋,daily_reset,일일리셋,2
1601,1601,,DailyRewardBuy,구매,daily_reward,출석,2
1602,1602,,DailyRewardTake,수령,daily_reward,출석,2
1603,1603,,DailyRewardReset,리셋,daily_reward,출석,2
1701,1701,,QuestAccept,수락,quest,퀘스트,4
1702,1702,,QuestUpdate,수행,quest,퀘스트,4
1703,1703,,QuestDrop,포기,quest,퀘스트,4
1704,1704,,QuestRequest,의뢰,quest,퀘스트,4
1705,1705,,QuestRequestRefresh,의뢰 갱신,quest,퀘스트,4
1706,1706,,QuestPreview,보상 미리보기,quest,퀘스트,4
1707,1707,,QuestPreviewRemove,보상 미리보기 삭제,quest,퀘스트,4
1708,1708,,QuestComplete,완료,quest,퀘스트,4
2001,2001,,ShopLimit,상점 구매 제한,shop,상점,2
2002,2002,,CashShopWorldAdd,월드 추가,cash_shop,캐시 상점,5
2003,2003,,CashShopWorldRemove,월드 제거,cash_shop,캐시 상점,5
2004,2004,,CashShopCharacterAdd,캐릭터 추가,cash_shop,캐시 상점,5
2005,2005,,CashShopCharacterRemove,캐릭터 삭제,cash_shop,캐시 상점,5
2006,2006,,CashShopUnivAdd,계정 추가,cash_shop,캐시 상점,5
2007,2007,,CashShopUnivRemove,계정 삭제,cash_shop,캐시 상점,5
2008,2008,,CashShopItemAdd,아이템 추가,cash_shop,캐시 상점,5
2009,2009,,CashShopItemTake,아이템 삭제,cash_shop,캐시 상점,5
2010,2010,,CashShopPurchaseFailed,결제 처리 실패,cash_shop,캐시 상점,5
2011,2011,,CashShopBuyWithCurrency,캐시 상점에서 재화로 구매,cash_shop,캐시 상점,5
2012,2012,,AgeRangeSet,구매 나이 변경,cash_shop,캐시 상점,5
2101,2101,,GuildAddExp,경험치 획득,guild,길드,7
2102,2102,,GuildDonateReset,기부 리셋,guild,길드,7
2103,2103,,GuildAttendReset,출석 리셋,guild,길드,7
2104,2104,,GuildCreate,생성,guild,길드,7
2105,2105,,GuildBreak,해체,guild,길드,7
2106,2106,,GuildJoin,가입,guild,길드,7
2107,2107,,GuildApplied,가입 신청,guild,길드,7
2108,2108,,GuildQuit,탈퇴,guild,길드,7
2109,2109,,GuildApplicantRemove,지원자 제거,guild,길드,7
2110,2110,,GuildHouseExtend,하우스 대여,guild,길드,7
2111,2111,,GuildAttand,출석,guild,길드,7
2112,2112,,GuildAppoint,등급,guild,길드,7
2113,2113,,GuildSummon,소환,guild,길드,7
2114,2114,,GuildAllianceReq,동맹 신청,guild,길드,7
2115,2115,,GuildAllianceReqCancel,동맹 신청 취소,guild,길드,7
2116,2116,,GuildAllianceReqApprove,동맹 신청 확인,guild,길드,7
2117,2117,,GuildAllianceReqReject,동맹 신청 거절,guild,길드,7
2118,2118,,GuildAllianceBreak,동맹 파기,guild,길드,7
2119,2119,,GuildEnemyReg,적대 등록,guild,길드,7
2120,2120,,GuildEnemyUnReg,적대 등록 취소,guild,길드,7
2121,2121,,GuildConfig,설정 변경,guild,길드,7
2122,2122,,GuildMatBuy,재료 구매,guild,길드,7
2123,2123,,GuildMatReset,재료 정보 리셋,guild,길드,7
2124,2124,,GuildMatResetCountReset,재료 정보 리셋 재설정,guild,길드,7
2125,2125,,GuildCraft,길드 제작,guild,길드,7
2401,2401,,StorageGoldStash,골드 넣기,storage,창고,2
2402,2402,,StorageGoldPullout,골드 찾기,storage,창고,2
2403,2403,,StorageExpand,확장,storage,창고,2
2404,2404,,StorageItemStash,아이템 넣기,storage,창고,2
2405,2405,,StorageItemUpdate,아이템 갱신,storage,창고,2
2406,2406,,StorageItemPullout,아이템 찾기,storage,창고,2
2407,2407,,StorageAutoStashSet,자동 넣기 설정,storage,창고,2
2408,2408,,StorageAutoStashRemove,자동 넣기 설정 삭제,storage,창고,2
2501,2501,,FriendAdd,추가,friend,친구,7
2502,2502,,FriendRemove,삭제,friend,친구,7
2503,2503,,FriendDummyAdd,더미 추가,friend,친구,7
2504,2504,,BlockAdd,추가,block,차단,7
2505,2505,,BlockRemove,삭제,block,차단,7
2506,2506,,FriendReq,요청,friend,친구,7
2507,2507,,FriendReqCancel,요청 취소,friend,친구,7
2508,2508,,FriendReqRefuse,요청 거절,friend,친구,7
2601,2601,,ItemCollectionAdd,추가,item_collection,아이템 컬렉션,2
2602,2602,,ItemCollectionRemove,삭제,item_collection,아이템 컬렉션,2
2701,2701,,WarpCreate,생성,warp,워프,2
2702,2702,,WarpUpdate,갱신,warp,워프,2
2703,2703,,WarpRemove,삭제,warp,워프,2
2704,2704,,StuckEscape,탈출,escape,탈출,2
2705,2705,,UseTeleport,순간이동 사용,warp,워프,2
2901,2901,,CharacterSlotExpand,슬롯 확장,slot_expand,슬롯,2
3001,3001,,BrokenItemRecover,복구,broken_item,아이템 복구,2
3101,3101,,PartyCreate,생성,party,파티,7
3102,3102,,PartyInvite,초대,party,파티,7
3103,3103,,PartyCancelInviting,초대 취소,party,파티,7
3104,3104,,PartyAccept,수락,party,파티,7
3105,3105,,PartyReject,초대 거절,party,파티,7
3106,3106,,PartyLeave,탈퇴,party,파티,7
3107,3107,,PartyOption,설정,party,파티,7
3108,3108,,PartyChangeHost,파티장 변경,party,파티,7
3109,3109,,PartyKick,추방,party,파티,7
3110,3110,,PartyShareTarget,목표 공유,party,파티,7
3111,3111,,PartyShareScanList,검색 목록 공유,party,파티,7
3112,3112,,PartyShareScanListCancel,검색 목록 공유 취소,party,파티,7
3201,3201,,CharacterPos,위치 저장,zone_out,존이탈,2
3202,3202,,StatusChangeUpdate,상태 변화 갱신,zone_out,존이탈,2
3203,3203,,SkillCooltimeUpdate,스킬 쿨타임 갱신,zone_out,존이탈,2
3204,3204,,ItemCooltimeUpdate,아이템 쿨타임 갱신,zone_out,존이탈,2
3301,3301,,CheatUse,사용,cheat,치트,10
3401,3401,,ChatAbusing,채팅어뷰징,chat,채팅,10
3410,3410,,TaxAdd,증가,tax,세금,2
3411,3411,,TaxDistributeOrder,분배 하기,tax,세금,2
3501,3501,,BossSpawn,필드 보스 등장,boss,보스전,11
3601,3601,,MissionUpdate,미션 갱신,event_mission,이벤트 미션,11
3602,3602,,MissionReward,미션 보상,event_mission,이벤트 미션,11
3603,3603,,MissionGroupReward,미션 그룹 보상,event_mission,이벤트 미션,11
3604,3604,,MissionGroupClear,미션 그룹 삭제,event_mission,이벤트 미션,11
3705,3705,,TaxMailSend,분배,tax,세금,2
3706,3706,,TaxChange,세율 변경,tax,세금,2
3707,3707,,TaxChangeApplied,세율 변경 적용,tax,세금,11
3801,3801,,UnionCreate,생성,union,연합,7
3802,3802,,UnionBreak,해체,union,연합,7
3803,3803,,UnionJoin,가입,union,연합,7
3804,3804,,UnionApplied,가입 신청,union,연합,7
3805,3805,,UnionQuit,탈퇴,union,연합,7
3806,3806,,UnionApplicantRemove,지원자 제거,union,연합,7
3807,3807,,UnionAppoint,등급,union,연합,7
3808,3808,,UnionAllianceReq,동맹 신청,union,연합,7
3809,3809,,UnionAllianceReqRemove,동맹 신청 삭제,union,연합,7
3810,3810,,UnionAllianceAdd,동맹 신청 확인,union,연합,7
3811,3811,,UnionAllianceBreak,동맹 파기,union,연합,7
3812,3812,,UnionEnemyReg,적대 등록,union,연합,7
3813,3813,,UnionEnemyUnReg,적대 등록 취소,union,연합,7
3814,3814,,UnionConfig,설정 변경,union,연합,7
3815,3815,,DailyResetRealm,리셋,daily_reset,일일리셋,1
3816,3816,,DailyResetAllRealm,리셋,daily_reset,일일리셋,1
3817,3817,,SkillImbue,기술 부여,growth,성장,2
