OID,Cid,Comment,Tier,InitialPhase,PreviewPhase,DescName,Extension,ScriptName
401007,401007,이즈나의 메아리_고정 포탈,TierNone,40100701,40100701,이즈나의 메아리 입구,40100701,Doodad_DungeonPortal
401008,401008,침묵하는 잔해의 전장_스폰 포탈,TierNone,40100801,40100801,침묵하는 잔해의 전장 입구,40100801,Doodad_DungeonPortal
401009,401009,침묵하는 잔해의 전장_고정 포탈,TierNone,40100901,40100901,침묵하는 잔해의 전장 입구,40100901,Doodad_DungeonPortal
402001,402001,이니스 부두 포탈,TierNone,40200101,40200101,이니스 부두,,Doodad_WorldPortal
601000,601000,망자의 균열 1T 보스상자,TierNone,60100001,60100001,보스 보물 상자 1T,,Doodad_601000
601001,601001,망자의 균열 2T 보스상자,TierNone,60100101,60100101,보스 보물 상자 2T,,Doodad_601001
601002,601002,망자의 균열 3T 보스상자,TierNone,60100201,60100201,보스 보물 상자 3T,,Doodad_601002
601003,601003,망자의 균열 4T 보스상자,TierNone,60100301,60100301,보스 보물 상자 4T,,Doodad_601003
601004,601004,망자의 균열 5T 보스상자,TierNone,60100401,60100401,보스 보물 상자 5T,,Doodad_601004
601005,601005,망자의 균열 6T 보스상자,TierNone,60100501,60100501,보스 보물 상자 6T,,Doodad_601005
601006,601006,망자의 균열 7T 보스상자,TierNone,60100601,60100601,보스 보물 상자 7T,,Doodad_601006
901001,901001,퀘스트용_거북알 둥지,TierNone,90100101,90100101,거북알 둥지,,Doodad_901001
901002,901002,퀘스트용_요리솥,TierNone,90100201,90100201,요리솥,901002,Doodad_901002
901003,901003,퀘스트용_달구지,TierNone,90100301,90100301,망가진 달구지,,Doodad_901003
901004,901004,퀘스트용_풀숲,TierNone,90100401,90100401,풀숲,,Doodad_QuestDestroy
901005,901005,퀘스트용_사람의 발자국,TierNone,90100501,90100501,발자국,,Doodad_QuestEmpty
901006,901006,퀘스트용_수습 신관의 가방,TierNone,90100601,90100601,누군가의 가방,,Doodad_QuestDestroy
901007,901007,퀘스트용_바닥에 떨어진 천쪼가리,TierNone,90100701,90100701,천 쪼가리,,Doodad_QuestEmpty
901008,901008,퀘스트용_흩뿌려진 피,TierNone,90100801,90100801,흩뿌려진 피,,Doodad_QuestEmpty
901009,901009,퀘스트용_커다란 짐승의 발톱 자국,TierNone,90100901,90100901,커다란 짐승의 발톱 자국,,Doodad_QuestEmpty
901010,901010,퀘스트용_기도,TierNone,90101001,90101001,누이 여신상,,Doodad_QuestEmpty
901011,901011,퀘스트용_마굿간,TierNone,90101101,90101101,마굿간,,Doodad_901011
901012,901012,퀘스트용_게시판,TierNone,90101201,90101201,인력 게시판,,Doodad_QuestEmpty
901013,901013,퀘스트용_우편 가방,TierNone,90101301,90101301,우편 가방,,Doodad_901013
901014,901014,퀘스트용_세면대,TierNone,90101401,90101401,세면대,,Doodad_901014
901015,901015,퀘스트용_신관,TierNone,90101501,90101501,신관,,Doodad_901015
901016,901016,퀘스트용_향로,TierNone,90101601,90101601,향로,,Doodad_901016
901017,901017,퀘스트용_성수반,TierNone,90101701,90101701,성수반,,Doodad_901017
901018,901018,퀘스트용_촛대,TierNone,90101801,90101801,촛대,,Doodad_901018
901019,901019,퀘스트용_첫번째 성물 결계,TierNone,90101901,90101901,결계,,Doodad_901019
901020,901020,퀘스트용_두번째 성물 결계,TierNone,90102001,90102001,결계,,Doodad_901020
901021,901021,퀘스트용_세번째 성물 결계,TierNone,90102101,90102101,결계,,Doodad_901021
901022,901022,퀘스트용_네번째 성물 결계,TierNone,90102201,90102201,결계,,Doodad_901022
901023,901023,퀘스트용_중앙 성물,TierNone,90102301,90102301,성물,,Doodad_901023
901024,901024,퀘스트용_우편 수행자의 모자,TierNone,90102401,90102401,우편 수행자의 모자,,Doodad_QuestDestroy
901025,901025,퀘스트용_흩어진 종이,TierNone,90102501,90102501,흩어진 종이,,Doodad_QuestDestroy
901026,901026,퀘스트용_찢어진 가방 조각,TierNone,90102601,90102601,찢어진 가방 조각,,Doodad_QuestDestroy
901027,901027,퀘스트용_우편 가방,TierNone,90102701,90102701,우편 가방,,Doodad_QuestEmpty
901028,901028,퀘스트용_요리솥_불 붙이기,TierNone,90102801,90102801,요리솥,901002,Doodad_901002
901029,901029,퀘스트용_요리솥_스튜 조리하기,TierNone,90102901,90102901,요리솥,901002,Doodad_901002
901030,901030,퀘스트용_요리솥_남은 스튜 챙기기,TierNone,90103001,90103001,요리솥,901002,Doodad_901002
901031,901031,퀘스트용_풀숲,TierNone,90103101,90103101,풀숲,,Doodad_QuestEmpty
901032,901032,퀘스트용_풀숲,TierNone,90103201,90103201,풀숲,,Doodad_QuestEmpty
901033,901033,퀘스트용_풀숲,TierNone,90103301,90103301,풀숲,,Doodad_QuestEmpty
901034,901034,퀘스트용_풀숲,TierNone,90103401,90103401,풀숲,,Doodad_QuestEmpty
901035,901035,퀘스트용_풀숲,TierNone,90103501,90103501,풀숲,,Doodad_QuestEmpty
901036,901036,퀘스트용_절벽 내려가기,TierNone,90103601,90103601,절벽 내려가기,,Doodad_QuestEmpty
901037,901037,퀘스트용_목재,TierNone,90103701,90103701,목재 더미,,Doodad_QuestEmpty
901038,901038,퀘스트용_절벽 오르기,TierNone,90103801,90103801,절벽 올라가기,,Doodad_QuestEmpty
901039,901039,퀘스트용_포로로 잡힌 신관1,TierNone,90103901,90103901,포로로 잡힌 신관,,Doodad_QuestEmpty
901040,901040,퀘스트용_포로로 잡힌 주민1,TierNone,90104001,90104001,포로로 잡힌 주민,,Doodad_QuestEmpty
901041,901041,퀘스트용_포로로 잡힌 주민2,TierNone,90104101,90104101,포로로 잡힌 주민,,Doodad_QuestEmpty
901042,901042,퀘스트용_포로로 잡힌 주민3,TierNone,90104201,90104201,포로로 잡힌 주민,,Doodad_QuestEmpty
901043,901043,퀘스트용_포로로 잡힌 신관5,TierNone,90104301,90104301,포로로 잡힌 신관,,Doodad_QuestEmpty
901044,901044,퀘스트_고양이 변신 석상,TierNone,90104401,90104401,고양이 석상,,Doodad_QuestEmpty
902001,902001,M11 솔로 던전 부숴지는 입구,TierNone,90200101,90200101,망령의 균열 숨겨진 입구,,Doodad_902001
902002,902002,M11 파티 던전 부숴지는 입구,TierNone,90200201,90200201,망령의 제단 숨겨진 입구,,Doodad_902002
902003,902003,축복의 성소,TierNone,90200301,90200301,축복의 성소,,Doodad_902003
902004,902004,여신의 축복 구슬,TierNone,90200401,90200401,여신의 축복 구슬,,Doodad_902004
902005,902005,강인한 생명력 구슬,TierNone,90200501,90200501,강인한 생명력 구슬,,Doodad_902005
902006,902006,오버랩 몬스터 스폰_22007,TierNone,90200601,90200601,수상한 영역,,Doodad_902006
902007,902007,오버랩 몬스터 스폰_22008,TierNone,90200701,90200701,수상한 영역,,Doodad_902007
902008,902008,오버랩 몬스터 스폰_22009,TierNone,90200801,90200801,수상한 영역,,Doodad_902008
902009,902009,오버랩 몬스터 스폰_22010,TierNone,90200901,90200901,수상한 영역,,Doodad_902009
902010,902010,타이머 후 22027 몬스터 스폰,TierNone,90201001,90201001,불길의 기운이 모여드는 곳,902010,Doodad_902010
902011,902011,처치 후 공격 속도 구슬 스폰,TierNone,90201102,90201102,공격 속도 구슬 스폰,902011,Doodad_902011
902012,902012,처치 후 이동 속도 구슬 스폰,TierNone,90201202,90201202,이동 속도 구슬 스폰,902012,Doodad_902012
902013,902013,처치 후 쿨탐 감소 구슬 스폰,TierNone,90201302,90201302,쿨탐 감소 구슬 스폰,902013,Doodad_902013
902014,902014,오버랩 몬스터 스폰_22011,TierNone,90201401,90201401,오버랩 몬스터 스폰 영역,,Doodad_902014
902015,902015,오버랩 몬스터 스폰_22012,TierNone,90201501,90201501,오버랩 몬스터 스폰 영역,,Doodad_902015
902016,902016,오버랩 몬스터 스폰_22013,TierNone,90201601,90201601,오버랩 몬스터 스폰 영역,,Doodad_902016
902017,902017,오버랩 몬스터 스폰_22014,TierNone,90201701,90201701,수상한 영역,,Doodad_902017
902018,902018,오버랩 몬스터 스폰_22015,TierNone,90201801,90201801,수상한 영역,,Doodad_902018
902019,902019,오버랩 몬스터 스폰_22016,TierNone,90201901,90201901,수상한 영역,,Doodad_902019
902020,902020,오버랩 몬스터 스폰_22017,TierNone,90202001,90202001,수상한 영역,,Doodad_902020
902021,902021,오버랩 몬스터 스폰_22018,TierNone,90202101,90202101,수상한 영역,,Doodad_902021
902022,902022,오버랩 몬스터 스폰_22019,TierNone,90202201,90202201,수상한 영역,,Doodad_902022
902023,902023,오버랩 몬스터 스폰_22020,TierNone,90202301,90202301,수상한 영역,,Doodad_902023
902024,902024,오버랩 몬스터 스폰_22021,TierNone,90202401,90202401,수상한 영역,,Doodad_902024
902025,902025,몬스터 처치 후 부숴지는 벽,TierNone,90202501,90202501,몬스터 처치 후 부숴지는 벽,,Doodad_902025
902026,902026,샘솟는 마나샘 구슬,TierNone,90202601,90202601,샘솟는 마나샘 구슬,,Doodad_902026
902027,902027,던전 연출용 나비_Q.900003,TierNone,90202701,90202701,던전 연출용 나비,,Doodad_902027
902028,902028,던전 연출용 나비_Q.900007,TierNone,90202801,90202801,던전 연출용 나비,,Doodad_902028
902029,902029,던전 연출용 나비_Q.900009,TierNone,90202901,90202901,던전 연출용 나비,,Doodad_902029
902030,902030,1구역 완료 후 벽 파괴,TierNone,90203001,90203001,가로 막힌 벽,,Doodad_902030
902031,902031,Q900008 몬스터 스폰,TierNone,90203101,90203101,스폰 대기 중 상태,,Doodad_902031
902032,902032,Q900012 몬스터 스폰,TierNone,90203201,90203201,스폰 대기 중 상태,,Doodad_902032
902033,902033,Q900013 몬스터 스폰,TierNone,90203301,90203301,스폰 대기 중 상태,,Doodad_902033
902034,902034,이즈나 경비병 처치 시 근위병 스폰,TierNone,90203401,90203401,스폰 대기 중 상태,,Doodad_902034
902035,902035,경비대장 데로스 스폰,TierNone,90203501,90203501,스폰 대기 중 상태,,Doodad_902035
902036,902036,데로스 부관 처치 시 해골 스폰,TierNone,90203601,90203601,스폰 대기 중 상태,,Doodad_902036
902037,902037,강인한 생명력 구슬 초근접 오버랩,TierNone,90203701,90203701,강인한 생명의 원천,,Doodad_902037
902038,902038,샘솟는 마나샘 구슬 초근접 오버랩,TierNone,90203801,90203801,샘솟는 마나의 원천,,Doodad_902038
902039,902039,3구역 첫번째 스폰,TierNone,90203901,90203901,수상한 영역,,Doodad_902039
902040,902040,3구역 두번째 스폰,TierNone,90204001,90204001,수상한 영역,,Doodad_902040
902041,902041,3구역 세번째 스폰,TierNone,90204101,90204101,수상한 영역,,Doodad_902041
902042,902042,폴라리우스 구역 주기적 스폰,TierNone,90204201,90204201,회복 구슬 랜덤 스폰,,Doodad_902042
902043,902043,분노의 잔재 보물 상자,TierNone,90204301,90204301,분노의 잔재 보물 상자,,Doodad_902043
902044,902044,말카바돈 타임어택 스폰,TierNone,90204401,90204401,모여드는 잔재,,Doodad_902044
902045,902045,격노의 잔재 보물 상자,TierNone,90204501,90204501,격노의 잔재 보물 상자,,Doodad_902045
902046,902046,1구역 첫번째 벽 파괴 연출,TierNone,90204601,90204601,가로 막힌 벽,,Doodad_902046
902047,902047,2구역 완료후 벽 파괴 연출,TierNone,90204701,90204701,가로 막힌 벽,,Doodad_902047
902048,902048,3구역 완료 후 벽 파괴 연출,TierNone,90204801,90204801,가로 막힌 벽,,Doodad_902048
902049,902049,1구역 내리막길 연출,TierNone,90204901,90204901,감정의 떨림이 느껴지는 곳,,Doodad_902049
902050,902050,처음 물정령 처치 후 벽 파괴,TierNone,90205001,90205001,가로 막힌 벽,,Doodad_902050
902051,902051,2차 웨이브 후 벽 파괴,TierNone,90205101,90205101,가로 막힌 벽,,Doodad_902051
902052,902052,폴라리우스 전 벽 파괴,TierNone,90205201,90205201,가로 막힌 벽,,Doodad_902052
599,599,테스트 등짐 제작대,TierNone,59901,59901,등짐 제작대,599,Doodad_Craft
990,990,보스방 문,TierNone,99001,99001,거대한 문,,Doodad_990
991,991,망자의 균열 1T,TierNone,99101,99101,망자의 균열 1T,991,Doodad_DungeonPortal
992,992,망자의 균열 2T,TierNone,99201,99201,망자의 균열 2T,992,Doodad_DungeonPortal
993,993,망자의 균열 3T,TierNone,99301,99301,망자의 균열 3T,993,Doodad_DungeonPortal
994,994,망자의 균열 4T,TierNone,99401,99401,망자의 균열 4T,994,Doodad_DungeonPortal
995,995,망자의 균열 5T,TierNone,99501,99501,망자의 균열 5T,995,Doodad_DungeonPortal
996,996,망자의 균열 6T,TierNone,99601,99601,망자의 균열 6T,996,Doodad_DungeonPortal
997,997,망자의 균열 7T,TierNone,99701,99701,망자의 균열 7T,997,Doodad_DungeonPortal
998,998,M11 파티 던전,TierNone,99801,99801,잊혀진 망령의 제단(4인),998,Doodad_DungeonPortal
8000,8000,1T 장신구 상자,Tier1,800001,800001,잠겨있는 보물 상자,,Doodad_8000
