OID,Cid,Comment,Category,Value
143,143,체력 Lv.43,MaxHpVary,5700
144,144,체력 Lv.44,MaxHpVary,5800
145,145,체력 Lv.45,MaxHpVary,5900
146,146,체력 Lv.46,MaxHpVary,6000
147,147,체력 Lv.47,MaxHpVary,6100
148,148,체력 Lv.48,MaxHpVary,6200
149,149,체력 Lv.49,MaxHpVary,6300
150,150,체력 Lv.50,MaxHpVary,6400
151,151,체력 Lv.51,MaxHpVary,6500
152,152,체력 Lv.52,MaxHpVary,6600
153,153,체력 Lv.53,MaxHpVary,6700
154,154,체력 Lv.54,MaxHpVary,6800
155,155,체력 Lv.55,MaxHpVary,6900
156,156,체력 Lv.56,MaxHpVary,7000
157,157,체력 Lv.57,MaxHpVary,7100
158,158,체력 Lv.58,MaxHpVary,7200
159,159,체력 Lv.59,MaxHpVary,7300
160,160,체력 Lv.60,MaxHpVary,7400
161,161,체력 Lv.61,MaxHpVary,7500
162,162,체력 Lv.62,MaxHpVary,7600
163,163,체력 Lv.63,MaxHpVary,7700
164,164,체력 Lv.64,MaxHpVary,7800
165,165,체력 Lv.65,MaxHpVary,7900
166,166,체력 Lv.66,MaxHpVary,8000
167,167,체력 Lv.67,MaxHpVary,8100
168,168,체력 Lv.68,MaxHpVary,8200
169,169,체력 Lv.69,MaxHpVary,8300
170,170,체력 Lv.70,MaxHpVary,8400
171,171,체력 Lv.71,MaxHpVary,8500
172,172,체력 Lv.72,MaxHpVary,8600
173,173,체력 Lv.73,MaxHpVary,8700
174,174,체력 Lv.74,MaxHpVary,8800
175,175,체력 Lv.75,MaxHpVary,8900
176,176,체력 Lv.76,MaxHpVary,9000
177,177,체력 Lv.77,MaxHpVary,9100
178,178,체력 Lv.78,MaxHpVary,9200
179,179,체력 Lv.79,MaxHpVary,9300
180,180,체력 Lv.80,MaxHpVary,9400
181,181,체력 Lv.81,MaxHpVary,9500
182,182,체력 Lv.82,MaxHpVary,9600
183,183,체력 Lv.83,MaxHpVary,9700
184,184,체력 Lv.84,MaxHpVary,9800
185,185,체력 Lv.85,MaxHpVary,9900
186,186,체력 Lv.86,MaxHpVary,10000
187,187,체력 Lv.87,MaxHpVary,10100
188,188,체력 Lv.88,MaxHpVary,10200
189,189,체력 Lv.89,MaxHpVary,10300
190,190,체력 Lv.90,MaxHpVary,10400
191,191,체력 Lv.91,MaxHpVary,10500
192,192,체력 Lv.92,MaxHpVary,10600
193,193,체력 Lv.93,MaxHpVary,10700
194,194,체력 Lv.94,MaxHpVary,10800
195,195,체력 Lv.95,MaxHpVary,10900
196,196,체력 Lv.96,MaxHpVary,11000
197,197,체력 Lv.97,MaxHpVary,11100
198,198,체력 Lv.98,MaxHpVary,11200
199,199,체력 Lv.99,MaxHpVary,11300
200,200,체력 Lv.100,MaxHpVary,11400
201,201,마력 Lv.1,MaxMpVary,360
202,202,마력 Lv.2,MaxMpVary,380
203,203,마력 Lv.3,MaxMpVary,400
204,204,마력 Lv.4,MaxMpVary,420
205,205,마력 Lv.5,MaxMpVary,440
206,206,마력 Lv.6,MaxMpVary,460
207,207,마력 Lv.7,MaxMpVary,480
208,208,마력 Lv.8,MaxMpVary,500
209,209,마력 Lv.9,MaxMpVary,520
210,210,마력 Lv.10,MaxMpVary,540
211,211,마력 Lv.11,MaxMpVary,560
212,212,마력 Lv.12,MaxMpVary,580
213,213,마력 Lv.13,MaxMpVary,600
214,214,마력 Lv.14,MaxMpVary,620
215,215,마력 Lv.15,MaxMpVary,640
216,216,마력 Lv.16,MaxMpVary,660
217,217,마력 Lv.17,MaxMpVary,680
218,218,마력 Lv.18,MaxMpVary,700
219,219,마력 Lv.19,MaxMpVary,720
220,220,마력 Lv.20,MaxMpVary,740
221,221,마력 Lv.21,MaxMpVary,760
222,222,마력 Lv.22,MaxMpVary,780
223,223,마력 Lv.23,MaxMpVary,800
224,224,마력 Lv.24,MaxMpVary,820
225,225,마력 Lv.25,MaxMpVary,840
226,226,마력 Lv.26,MaxMpVary,860
227,227,마력 Lv.27,MaxMpVary,880
228,228,마력 Lv.28,MaxMpVary,900
229,229,마력 Lv.29,MaxMpVary,920
230,230,마력 Lv.30,MaxMpVary,940
231,231,마력 Lv.31,MaxMpVary,960
232,232,마력 Lv.32,MaxMpVary,980
233,233,마력 Lv.33,MaxMpVary,1000
234,234,마력 Lv.34,MaxMpVary,1020
235,235,마력 Lv.35,MaxMpVary,1040
236,236,마력 Lv.36,MaxMpVary,1060
237,237,마력 Lv.37,MaxMpVary,1080
238,238,마력 Lv.38,MaxMpVary,1100
239,239,마력 Lv.39,MaxMpVary,1120
240,240,마력 Lv.40,MaxMpVary,1140
241,241,마력 Lv.41,MaxMpVary,1160
242,242,마력 Lv.42,MaxMpVary,1180
243,243,마력 Lv.43,MaxMpVary,1200
244,244,마력 Lv.44,MaxMpVary,1220
245,245,마력 Lv.45,MaxMpVary,1240
246,246,마력 Lv.46,MaxMpVary,1260
247,247,마력 Lv.47,MaxMpVary,1280
248,248,마력 Lv.48,MaxMpVary,1300
249,249,마력 Lv.49,MaxMpVary,1320
250,250,마력 Lv.50,MaxMpVary,1340
251,251,마력 Lv.51,MaxMpVary,1360
252,252,마력 Lv.52,MaxMpVary,1380
253,253,마력 Lv.53,MaxMpVary,1400
254,254,마력 Lv.54,MaxMpVary,1420
255,255,마력 Lv.55,MaxMpVary,1440
256,256,마력 Lv.56,MaxMpVary,1460
257,257,마력 Lv.57,MaxMpVary,1480
258,258,마력 Lv.58,MaxMpVary,1500
259,259,마력 Lv.59,MaxMpVary,1520
260,260,마력 Lv.60,MaxMpVary,1540
261,261,마력 Lv.61,MaxMpVary,1560
262,262,마력 Lv.62,MaxMpVary,1580
263,263,마력 Lv.63,MaxMpVary,1600
264,264,마력 Lv.64,MaxMpVary,1620
265,265,마력 Lv.65,MaxMpVary,1640
266,266,마력 Lv.66,MaxMpVary,1660
267,267,마력 Lv.67,MaxMpVary,1680
268,268,마력 Lv.68,MaxMpVary,1700
269,269,마력 Lv.69,MaxMpVary,1720
270,270,마력 Lv.70,MaxMpVary,1740
271,271,마력 Lv.71,MaxMpVary,1760
272,272,마력 Lv.72,MaxMpVary,1780
273,273,마력 Lv.73,MaxMpVary,1800
274,274,마력 Lv.74,MaxMpVary,1820
275,275,마력 Lv.75,MaxMpVary,1840
276,276,마력 Lv.76,MaxMpVary,1860
277,277,마력 Lv.77,MaxMpVary,1880
278,278,마력 Lv.78,MaxMpVary,1900
279,279,마력 Lv.79,MaxMpVary,1920
280,280,마력 Lv.80,MaxMpVary,1940
281,281,마력 Lv.81,MaxMpVary,1960
282,282,마력 Lv.82,MaxMpVary,1980
283,283,마력 Lv.83,MaxMpVary,2000
284,284,마력 Lv.84,MaxMpVary,2020
285,285,마력 Lv.85,MaxMpVary,2040
286,286,마력 Lv.86,MaxMpVary,2060
287,287,마력 Lv.87,MaxMpVary,2080
288,288,마력 Lv.88,MaxMpVary,2100
289,289,마력 Lv.89,MaxMpVary,2120
290,290,마력 Lv.90,MaxMpVary,2140
291,291,마력 Lv.91,MaxMpVary,2160
292,292,마력 Lv.92,MaxMpVary,2180
293,293,마력 Lv.93,MaxMpVary,2200
294,294,마력 Lv.94,MaxMpVary,2220
295,295,마력 Lv.95,MaxMpVary,2240
296,296,마력 Lv.96,MaxMpVary,2260
297,297,마력 Lv.97,MaxMpVary,2280
298,298,마력 Lv.98,MaxMpVary,2300
299,299,마력 Lv.99,MaxMpVary,2320
300,300,마력 Lv.100,MaxMpVary,2340
301,301,체력 재생 Lv.1,RegenHpVary,5
302,302,체력 재생 Lv.2,RegenHpVary,5
303,303,체력 재생 Lv.3,RegenHpVary,5
304,304,체력 재생 Lv.4,RegenHpVary,5
305,305,체력 재생 Lv.5,RegenHpVary,5
306,306,체력 재생 Lv.6,RegenHpVary,5
307,307,체력 재생 Lv.7,RegenHpVary,5
308,308,체력 재생 Lv.8,RegenHpVary,5
309,309,체력 재생 Lv.9,RegenHpVary,5
310,310,체력 재생 Lv.10,RegenHpVary,5
311,311,체력 재생 Lv.11,RegenHpVary,5
312,312,체력 재생 Lv.12,RegenHpVary,5
313,313,체력 재생 Lv.13,RegenHpVary,5
314,314,체력 재생 Lv.14,RegenHpVary,5
315,315,체력 재생 Lv.15,RegenHpVary,5
316,316,체력 재생 Lv.16,RegenHpVary,5
317,317,체력 재생 Lv.17,RegenHpVary,5
318,318,체력 재생 Lv.18,RegenHpVary,5
319,319,체력 재생 Lv.19,RegenHpVary,5
320,320,체력 재생 Lv.20,RegenHpVary,5
321,321,체력 재생 Lv.21,RegenHpVary,5
322,322,체력 재생 Lv.22,RegenHpVary,5
323,323,체력 재생 Lv.23,RegenHpVary,5
324,324,체력 재생 Lv.24,RegenHpVary,5
325,325,체력 재생 Lv.25,RegenHpVary,5
326,326,체력 재생 Lv.26,RegenHpVary,5
327,327,체력 재생 Lv.27,RegenHpVary,5
328,328,체력 재생 Lv.28,RegenHpVary,5
329,329,체력 재생 Lv.29,RegenHpVary,5
330,330,체력 재생 Lv.30,RegenHpVary,5
331,331,체력 재생 Lv.31,RegenHpVary,5
332,332,체력 재생 Lv.32,RegenHpVary,5
333,333,체력 재생 Lv.33,RegenHpVary,5
334,334,체력 재생 Lv.34,RegenHpVary,5
335,335,체력 재생 Lv.35,RegenHpVary,5
336,336,체력 재생 Lv.36,RegenHpVary,5
337,337,체력 재생 Lv.37,RegenHpVary,5
338,338,체력 재생 Lv.38,RegenHpVary,5
339,339,체력 재생 Lv.39,RegenHpVary,5
340,340,체력 재생 Lv.40,RegenHpVary,5
341,341,체력 재생 Lv.41,RegenHpVary,5
342,342,체력 재생 Lv.42,RegenHpVary,5
343,343,체력 재생 Lv.43,RegenHpVary,5
344,344,체력 재생 Lv.44,RegenHpVary,5
345,345,체력 재생 Lv.45,RegenHpVary,5
346,346,체력 재생 Lv.46,RegenHpVary,5
347,347,체력 재생 Lv.47,RegenHpVary,5
348,348,체력 재생 Lv.48,RegenHpVary,5
349,349,체력 재생 Lv.49,RegenHpVary,5
350,350,체력 재생 Lv.50,RegenHpVary,5
351,351,체력 재생 Lv.51,RegenHpVary,5
352,352,체력 재생 Lv.52,RegenHpVary,5
353,353,체력 재생 Lv.53,RegenHpVary,5
354,354,체력 재생 Lv.54,RegenHpVary,5
355,355,체력 재생 Lv.55,RegenHpVary,5
356,356,체력 재생 Lv.56,RegenHpVary,5
357,357,체력 재생 Lv.57,RegenHpVary,5
358,358,체력 재생 Lv.58,RegenHpVary,5
359,359,체력 재생 Lv.59,RegenHpVary,5
360,360,체력 재생 Lv.60,RegenHpVary,5
361,361,체력 재생 Lv.61,RegenHpVary,5
362,362,체력 재생 Lv.62,RegenHpVary,5
363,363,체력 재생 Lv.63,RegenHpVary,5
364,364,체력 재생 Lv.64,RegenHpVary,5
365,365,체력 재생 Lv.65,RegenHpVary,5
366,366,체력 재생 Lv.66,RegenHpVary,5
367,367,체력 재생 Lv.67,RegenHpVary,5
368,368,체력 재생 Lv.68,RegenHpVary,5
369,369,체력 재생 Lv.69,RegenHpVary,5
370,370,체력 재생 Lv.70,RegenHpVary,5
371,371,체력 재생 Lv.71,RegenHpVary,5
372,372,체력 재생 Lv.72,RegenHpVary,5
373,373,체력 재생 Lv.73,RegenHpVary,5
374,374,체력 재생 Lv.74,RegenHpVary,5
375,375,체력 재생 Lv.75,RegenHpVary,5
376,376,체력 재생 Lv.76,RegenHpVary,5
377,377,체력 재생 Lv.77,RegenHpVary,5
378,378,체력 재생 Lv.78,RegenHpVary,5
379,379,체력 재생 Lv.79,RegenHpVary,5
380,380,체력 재생 Lv.80,RegenHpVary,5
381,381,체력 재생 Lv.81,RegenHpVary,5
382,382,체력 재생 Lv.82,RegenHpVary,5
383,383,체력 재생 Lv.83,RegenHpVary,5
384,384,체력 재생 Lv.84,RegenHpVary,5
385,385,체력 재생 Lv.85,RegenHpVary,5
386,386,체력 재생 Lv.86,RegenHpVary,5
387,387,체력 재생 Lv.87,RegenHpVary,5
388,388,체력 재생 Lv.88,RegenHpVary,5
389,389,체력 재생 Lv.89,RegenHpVary,5
390,390,체력 재생 Lv.90,RegenHpVary,5
391,391,체력 재생 Lv.91,RegenHpVary,5
392,392,체력 재생 Lv.92,RegenHpVary,5
393,393,체력 재생 Lv.93,RegenHpVary,5
394,394,체력 재생 Lv.94,RegenHpVary,5
395,395,체력 재생 Lv.95,RegenHpVary,5
396,396,체력 재생 Lv.96,RegenHpVary,5
397,397,체력 재생 Lv.97,RegenHpVary,5
398,398,체력 재생 Lv.98,RegenHpVary,5
399,399,체력 재생 Lv.99,RegenHpVary,5
400,400,체력 재생 Lv.100,RegenHpVary,5
401,401,마력 재생 Lv.1,RegenMpVary,3
402,402,마력 재생 Lv.2,RegenMpVary,3
403,403,마력 재생 Lv.3,RegenMpVary,3
404,404,마력 재생 Lv.4,RegenMpVary,3
405,405,마력 재생 Lv.5,RegenMpVary,3
406,406,마력 재생 Lv.6,RegenMpVary,3
407,407,마력 재생 Lv.7,RegenMpVary,3
408,408,마력 재생 Lv.8,RegenMpVary,3
409,409,마력 재생 Lv.9,RegenMpVary,3
410,410,마력 재생 Lv.10,RegenMpVary,3
411,411,마력 재생 Lv.11,RegenMpVary,3
412,412,마력 재생 Lv.12,RegenMpVary,3
413,413,마력 재생 Lv.13,RegenMpVary,3
414,414,마력 재생 Lv.14,RegenMpVary,3
415,415,마력 재생 Lv.15,RegenMpVary,3
416,416,마력 재생 Lv.16,RegenMpVary,3
417,417,마력 재생 Lv.17,RegenMpVary,3
418,418,마력 재생 Lv.18,RegenMpVary,3
419,419,마력 재생 Lv.19,RegenMpVary,3
420,420,마력 재생 Lv.20,RegenMpVary,3
421,421,마력 재생 Lv.21,RegenMpVary,3
422,422,마력 재생 Lv.22,RegenMpVary,3
423,423,마력 재생 Lv.23,RegenMpVary,3
424,424,마력 재생 Lv.24,RegenMpVary,3
425,425,마력 재생 Lv.25,RegenMpVary,3
426,426,마력 재생 Lv.26,RegenMpVary,3
427,427,마력 재생 Lv.27,RegenMpVary,3
428,428,마력 재생 Lv.28,RegenMpVary,3
429,429,마력 재생 Lv.29,RegenMpVary,3
430,430,마력 재생 Lv.30,RegenMpVary,3
431,431,마력 재생 Lv.31,RegenMpVary,3
432,432,마력 재생 Lv.32,RegenMpVary,3
433,433,마력 재생 Lv.33,RegenMpVary,3
434,434,마력 재생 Lv.34,RegenMpVary,3
435,435,마력 재생 Lv.35,RegenMpVary,3
436,436,마력 재생 Lv.36,RegenMpVary,3
437,437,마력 재생 Lv.37,RegenMpVary,3
438,438,마력 재생 Lv.38,RegenMpVary,3
439,439,마력 재생 Lv.39,RegenMpVary,3
440,440,마력 재생 Lv.40,RegenMpVary,3
441,441,마력 재생 Lv.41,RegenMpVary,3
442,442,마력 재생 Lv.42,RegenMpVary,3
443,443,마력 재생 Lv.43,RegenMpVary,3
444,444,마력 재생 Lv.44,RegenMpVary,3
445,445,마력 재생 Lv.45,RegenMpVary,3
446,446,마력 재생 Lv.46,RegenMpVary,3
447,447,마력 재생 Lv.47,RegenMpVary,3
448,448,마력 재생 Lv.48,RegenMpVary,3
449,449,마력 재생 Lv.49,RegenMpVary,3
450,450,마력 재생 Lv.50,RegenMpVary,3
451,451,마력 재생 Lv.51,RegenMpVary,3
452,452,마력 재생 Lv.52,RegenMpVary,3
453,453,마력 재생 Lv.53,RegenMpVary,3
454,454,마력 재생 Lv.54,RegenMpVary,3
455,455,마력 재생 Lv.55,RegenMpVary,3
456,456,마력 재생 Lv.56,RegenMpVary,3
457,457,마력 재생 Lv.57,RegenMpVary,3
458,458,마력 재생 Lv.58,RegenMpVary,3
459,459,마력 재생 Lv.59,RegenMpVary,3
460,460,마력 재생 Lv.60,RegenMpVary,3
461,461,마력 재생 Lv.61,RegenMpVary,3
462,462,마력 재생 Lv.62,RegenMpVary,3
463,463,마력 재생 Lv.63,RegenMpVary,3
464,464,마력 재생 Lv.64,RegenMpVary,3
465,465,마력 재생 Lv.65,RegenMpVary,3
466,466,마력 재생 Lv.66,RegenMpVary,3
467,467,마력 재생 Lv.67,RegenMpVary,3
468,468,마력 재생 Lv.68,RegenMpVary,3
469,469,마력 재생 Lv.69,RegenMpVary,3
470,470,마력 재생 Lv.70,RegenMpVary,3
471,471,마력 재생 Lv.71,RegenMpVary,3
472,472,마력 재생 Lv.72,RegenMpVary,3
473,473,마력 재생 Lv.73,RegenMpVary,3
474,474,마력 재생 Lv.74,RegenMpVary,3
475,475,마력 재생 Lv.75,RegenMpVary,3
476,476,마력 재생 Lv.76,RegenMpVary,3
477,477,마력 재생 Lv.77,RegenMpVary,3
478,478,마력 재생 Lv.78,RegenMpVary,3
479,479,마력 재생 Lv.79,RegenMpVary,3
480,480,마력 재생 Lv.80,RegenMpVary,3
481,481,마력 재생 Lv.81,RegenMpVary,3
482,482,마력 재생 Lv.82,RegenMpVary,3
483,483,마력 재생 Lv.83,RegenMpVary,3
484,484,마력 재생 Lv.84,RegenMpVary,3
485,485,마력 재생 Lv.85,RegenMpVary,3
486,486,마력 재생 Lv.86,RegenMpVary,3
487,487,마력 재생 Lv.87,RegenMpVary,3
488,488,마력 재생 Lv.88,RegenMpVary,3
489,489,마력 재생 Lv.89,RegenMpVary,3
490,490,마력 재생 Lv.90,RegenMpVary,3
491,491,마력 재생 Lv.91,RegenMpVary,3
492,492,마력 재생 Lv.92,RegenMpVary,3
493,493,마력 재생 Lv.93,RegenMpVary,3
494,494,마력 재생 Lv.94,RegenMpVary,3
495,495,마력 재생 Lv.95,RegenMpVary,3
496,496,마력 재생 Lv.96,RegenMpVary,3
497,497,마력 재생 Lv.97,RegenMpVary,3
498,498,마력 재생 Lv.98,RegenMpVary,3
499,499,마력 재생 Lv.99,RegenMpVary,3
500,500,마력 재생 Lv.100,RegenMpVary,3
601,601,누이여신 회복력 증가,RegenHpVary,25
602,602,누이여신 회복력 증가,RegenMpVary,25
603,603,누이 여신 기도 효과 : 공격력 증가,AttackVary,50
604,604,누이 여신 기도 효과 : 방어력 증가,PhysicalDefenseVary,100
605,605,누이 여신 기도 효과 : 이동 속도 증가,MoveSpeedVaryper,300
606,606,누이 여신 기도 효과 : 재사용 대기 시간 감소,SkillCooldownAccVary,30
1101,1101,무기 Tier1,AttackVary,60
1102,1102,무기 Tier2,AttackVary,80
1103,1103,무기 Tier3,AttackVary,120
1104,1104,무기 Tier4,AttackVary,180
1105,1105,무기 Tier5,AttackVary,260
1106,1106,무기 Tier6,AttackVary,360
1107,1107,무기 Tier7,AttackVary,480
1201,1201,방어구 Tier1,PhysicalDefenseVary,30
1202,1202,방어구 Tier2,PhysicalDefenseVary,40
1203,1203,방어구 Tier3,PhysicalDefenseVary,60
1204,1204,방어구 Tier4,PhysicalDefenseVary,90
1205,1205,방어구 Tier5,PhysicalDefenseVary,130
1206,1206,방어구 Tier6,PhysicalDefenseVary,180
1207,1207,방어구 Tier7,PhysicalDefenseVary,240
1301,1301,장신구(공격력) Tier1,AttackVary,15
1302,1302,장신구(공격력) Tier2,AttackVary,20
1303,1303,장신구(공격력) Tier3,AttackVary,30
1304,1304,장신구(공격력) Tier4,AttackVary,45
1305,1305,장신구(공격력) Tier5,AttackVary,65
1306,1306,장신구(공격력) Tier6,AttackVary,90
1307,1307,장신구(공격력) Tier7,AttackVary,120
1401,1401,장신구(방어력) Tier1,PhysicalDefenseVary,30
1402,1402,장신구(방어력) Tier2,PhysicalDefenseVary,40
1403,1403,장신구(방어력) Tier3,PhysicalDefenseVary,60
1404,1404,장신구(방어력) Tier4,PhysicalDefenseVary,90
1405,1405,장신구(방어력) Tier5,PhysicalDefenseVary,130
1406,1406,장신구(방어력) Tier6,PhysicalDefenseVary,180
1407,1407,장신구(방어력) Tier7,PhysicalDefenseVary,240
2102,2102,무기_고급 등급 능력치,AttackVary,20
2103,2103,무기_희귀 등급 능력치,AttackVary,40
2104,2104,무기_영웅 등급 능력치,AttackVary,60
2105,2105,무기_고대 등급 능력치,AttackVary,80
2106,2106,무기_유일 등급 능력치,AttackVary,100
2107,2107,무기_유물 등급 능력치,AttackVary,120
2202,2202,방어구_고급 등급 능력치,PhysicalDefenseVary,10
2203,2203,방어구_희귀 등급 능력치,PhysicalDefenseVary,20
2204,2204,방어구_영웅 등급 능력치,PhysicalDefenseVary,30
2205,2205,방어구_고대 등급 능력치,PhysicalDefenseVary,40
2206,2206,방어구_유일 등급 능력치,PhysicalDefenseVary,50
2207,2207,방어구_유물 등급 능력치,PhysicalDefenseVary,60
2302,2302,장신구(공격력)_고급 등급 능력치,AttackVary,5
2303,2303,장신구(공격력)_희귀 등급 능력치,AttackVary,10
2304,2304,장신구(공격력)_영웅 등급 능력치,AttackVary,15
2305,2305,장신구(공격력)_고대 등급 능력치,AttackVary,20
2306,2306,장신구(공격력)_유일 등급 능력치,AttackVary,25
2307,2307,장신구(공격력)_유물 등급 능력치,AttackVary,30
2402,2402,장신구(방어력)_고급 등급 능력치,PhysicalDefenseVary,10
2403,2403,장신구(방어력)_희귀 등급 능력치,PhysicalDefenseVary,20
2404,2404,장신구(방어력)_영웅 등급 능력치,PhysicalDefenseVary,30
2405,2405,장신구(방어력)_고대 등급 능력치,PhysicalDefenseVary,40
2406,2406,장신구(방어력)_유일 등급 능력치,PhysicalDefenseVary,50
2407,2407,장신구(방어력)_유물 등급 능력치,PhysicalDefenseVary,60
5000,5000,테스트 쾌속정,AttackVary,200
5001,5001,테스트 쾌속정,ShipHitVary,100
5002,5002,테스트 쾌속정,ShipMaxHpVary,2000
5003,5003,테스트 쾌속정,ShipDefVary,50
5004,5004,테스트 무역함,AttackVary,100
5005,5005,테스트 무역함,ShipHitVary,100
5006,5006,테스트 무역함,ShipMaxHpVary,3000
5007,5007,테스트 무역함,ShipDefVary,100
5008,5008,테스트 전투함,AttackVary,300
5009,5009,테스트 전투함,ShipHitVary,100
5010,5010,테스트 전투함,ShipMaxHpVary,4000
5011,5011,테스트 전투함,ShipDefVary,150
10101,10101,1티어 무기 1강,AttackVary,8
10102,10102,1티어 무기 2강,AttackVary,16
10103,10103,1티어 무기 3강,AttackVary,24
10104,10104,1티어 무기 4강,AttackVary,32
10105,10105,1티어 무기 5강,AttackVary,40
10106,10106,1티어 무기 6강,AttackVary,48
10107,10107,1티어 무기 7강,AttackVary,56
10108,10108,1티어 무기 8강,AttackVary,64
10109,10109,1티어 무기 9강,AttackVary,72
10110,10110,1티어 무기 10강,AttackVary,80
10201,10201,2티어 무기 1강,AttackVary,10
10202,10202,2티어 무기 2강,AttackVary,20
10203,10203,2티어 무기 3강,AttackVary,30
10204,10204,2티어 무기 4강,AttackVary,40
10205,10205,2티어 무기 5강,AttackVary,50
10206,10206,2티어 무기 6강,AttackVary,60
10207,10207,2티어 무기 7강,AttackVary,70
10208,10208,2티어 무기 8강,AttackVary,80
10209,10209,2티어 무기 9강,AttackVary,90
10210,10210,2티어 무기 10강,AttackVary,100
10301,10301,3티어 무기 1강,AttackVary,12
10302,10302,3티어 무기 2강,AttackVary,24
10303,10303,3티어 무기 3강,AttackVary,36
10304,10304,3티어 무기 4강,AttackVary,48
10305,10305,3티어 무기 5강,AttackVary,60
10306,10306,3티어 무기 6강,AttackVary,72
10307,10307,3티어 무기 7강,AttackVary,84
10308,10308,3티어 무기 8강,AttackVary,96
10309,10309,3티어 무기 9강,AttackVary,108
10310,10310,3티어 무기 10강,AttackVary,120
10401,10401,4티어 무기 1강,AttackVary,14
10402,10402,4티어 무기 2강,AttackVary,28
10403,10403,4티어 무기 3강,AttackVary,42
10404,10404,4티어 무기 4강,AttackVary,56
10405,10405,4티어 무기 5강,AttackVary,70
10406,10406,4티어 무기 6강,AttackVary,84
10407,10407,4티어 무기 7강,AttackVary,98
10408,10408,4티어 무기 8강,AttackVary,112
10409,10409,4티어 무기 9강,AttackVary,126
10410,10410,4티어 무기 10강,AttackVary,140
10501,10501,5티어 무기 1강,AttackVary,16
10502,10502,5티어 무기 2강,AttackVary,32
10503,10503,5티어 무기 3강,AttackVary,48
10504,10504,5티어 무기 4강,AttackVary,64
10505,10505,5티어 무기 5강,AttackVary,80
10506,10506,5티어 무기 6강,AttackVary,96
10507,10507,5티어 무기 7강,AttackVary,112
10508,10508,5티어 무기 8강,AttackVary,128
10509,10509,5티어 무기 9강,AttackVary,144
10510,10510,5티어 무기 10강,AttackVary,160
10601,10601,6티어 무기 1강,AttackVary,18
10602,10602,6티어 무기 2강,AttackVary,36
10603,10603,6티어 무기 3강,AttackVary,54
10604,10604,6티어 무기 4강,AttackVary,72
10605,10605,6티어 무기 5강,AttackVary,90
10606,10606,6티어 무기 6강,AttackVary,108
10607,10607,6티어 무기 7강,AttackVary,126
10608,10608,6티어 무기 8강,AttackVary,144
10609,10609,6티어 무기 9강,AttackVary,162
10610,10610,6티어 무기 10강,AttackVary,180
10701,10701,7티어 무기 1강,AttackVary,20
