OID,Cid,Comment,WorldLocationCids,MonsterCids,MonsterRaces,NpcCids,DoodadCids,DoodadPhaseCids,ItemCids,SubStepCids,SequenceCids,CraftCids,StatusChangeCids,DungeonCids,QuestCids,QuestObjectCids,ItemGradeInfoCids,ItemGrades
100305,100305,놀 무리에게서 짐 찾기,[],"[10201101,10201102,10201103,10201104,10201105,10201106,10201107]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100306,100306,주변 풀숲 수색하기,[],[],[],[],[],[],[],"[100307,100308,100309,100310,100311]",[],[],[],[],[],[],[],[]
100307,100307,주변 풀숲 수색하기,[],[],[],[],[901031],[],[],[],[],[],[],[],[],[],[],[]
100308,100308,주변 풀숲 수색하기,[],[],[],[],[901032],[],[],[],[],[],[],[],[],[],[],[]
100309,100309,주변 풀숲 수색하기,[],[],[],[],[901033],[],[],[],[],[],[],[],[],[],[],[]
100310,100310,주변 풀숲 수색하기,[],[],[],[],[901034],[],[],[],[],[],[],[],[],[],[],[]
100311,100311,주변 풀숲 수색하기,[],[],[],[],[901035],[],[],[],[],[],[],[],[],[],[],[]
100312,100312,신관에게 짐 전달하기,[],[],[],[100003],[],[],[],[],[1003122],[],[],[],[],[],[],[]
100401,100401,수습 신관 찾아보기,[1004011],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[]
100402,100402,수습 신관의 흔적 쫓기,[],[],[],[],[],[],[],"[100403,100404,100405,100406,100407]",[],[],[],[],[],[],[],[]
100403,100403,수습 신관의 흔적 쫓기,[],[],[],[],[901005],[],[],[],[],[],[],[],[],[],[],[]
100404,100404,수습 신관의 흔적 쫓기,[],[],[],[],[901006],[],[],[],[],[],[],[],[],[],[],[]
100405,100405,수습 신관의 흔적 쫓기,[],[],[],[],[901007],[],[],[],[],[],[],[],[],[],[],[]
100406,100406,수습 신관의 흔적 쫓기,[],[],[],[],[901008],[],[],[],[],[],[],[],[],[],[],[]
100407,100407,수습 신관의 흔적 쫓기,[],[],[],[],[901009],[],[],[],[],[],[],[],[],[],[],[]
100408,100408,수습 신관의 흔적 따라가기,[1004081],[],[],[],[],[],[],[],[],[],[],[100001],[],[],[],[]
100409,100409,수습 신관의 상태 확인하기,[],[],[],[100004],[],[],[],[],[],[],[],[],[],[],[],[]
100410,100410,신관 세리안과 합류하기,[1004101],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[]
100411,100411,누이 여신상에 기도하기,[],[],[],[],[901010],[],[],[],[],[],[],[],[],[],[],[]
100501,100501,달구지에 올라타기,[1005011],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[]
100502,100502,대신관 그왈흐에게 인사 올리기,[],[],[],[100005],[],[],[],[],[1005022],[],[],[],[],[],[],[]
100601,100601,이니스 섬 제례 소식,[],[],[],[],[],[],[],"[100602,100603,100604]",[],[],[],[],[],[],[],[]
100602,100602,대장장이에게 이야기 듣기,[],[],[],[100006],[],[],[],[],[1006021],[],[],[],[],[],[],[]
100603,100603,잡화상인에게 이야기 듣기,[],[],[],[100007],[],[],[],[],[1006031],[],[],[],[],[],[],[]
100604,100604,마구간지기에게 이야기 듣기,[],[],[],[100008],[],[],[],[],[1006041],[],[],[],[],[],[],[]
100605,100605,]를 눌러 탈 것 목록 확인,[],[],[],[],[],[],[],"[100606,100607]",[],[],[],[],[],[],[],[]
100606,100606,원하는 말 선택하기,[],[],[],[],[901011],[],[],[],[],[],[],[],[],[],[],[]
100607,100607,말을 탈 것 목록에 등록하기,[],[],[],[],[],[],"[44010020,44010021,44010022]",[],[],[],[],[],[],[],[],[]
100608,100608,V를 눌러 말 시승하기,[1006081],[],[],[],[],[],[],[],[],[],[501],[],[],[],[],[]
100609,100609,인력 게시판 확인하기,[],[],[],[],[901012],[],[],[],[],[],[],[],[],[],[],[]
100610,100610,우편 수행자의 사원에 문의하기,[1006111],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100611,100611,우편 수행자들의 상황 지켜보기,[],[],[],[],[],[],[],[],[1006112],[],[],[],[],[],[],[]
100701,100701,우편 수행자의 의뢰 받기,[],[],[],[100009],[],[],[],[],[],[],[],[],[],[],[],[]
100702,100702,고요의 숲으로 이동하기,[1007021],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[]
100703,100703,고요의 숲 사태 파악,[],[],[],[],[],[],[],[100704],[],[],[],[],[],[],[],[]
100704,100704,난폭해진 몬스터 진정시키기,[],"[10201101,10201102,10201103,10201105,10201106,10201107,10301101,10301102,10301103,10301301,10301801,10302101,10302102,10302103,10302301,10302801]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100705,100705,단서가 될만한 흔적 수색하기,[],[],[],[],[],[],[],"[100706,100707,100708]",[],[],[],[],[],[],[],[]
100706,100706,단서가 될만한 흔적 수색하기,[],[],[],[],[901024],[],[],[],[],[],[],[],[],[],[],[]
100707,100707,단서가 될만한 흔적 수색하기,[],[],[],[],[901025],[],[],[],[],[],[],[],[],[],[],[]
100708,100708,단서가 될만한 흔적 수색하기,[],[],[],[],[901026],[],[],[],[],[],[],[],[],[],[],[]
100709,100709,메다드 찾아보기,[1007091],[],[],[100001],[],[],[],[],[],[],[],[],[],[],[],[]
100801,100801,흩어진 우편물 수색,[],[],[],[],[],[],[],[100802],[],[],[],[],[],[],[],[]
100802,100802,정령 무리에게서 우편 찾기,[],"[10101101,10101103,10101104,10101301,10101303,10101304,10102101,10102103,10102104,10102301,10102303,10102304]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100803,100803,우편 가방 찾기,[1008031],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100804,100804,우편 가방을 지키는 몬스터 저지하기,[1008031],[],[],[],[],[],[],[],[],[],[],[100002],[],[],[],[]
100805,100805,우편 가방 챙기기,[],[],[],[],[901013],[],[],[],[],[],[],[],[],[],[],[]
100806,100806,우편 가방을 명상의 샘으로 옮기기,[],[],[],[],[901027],[],[],[],[],[],[],[],[],[],[],[]
100807,100807,이즈나의 메아리 정화하기,[],[],[],[],[401007],[],[],[],[],[],[],[90601],[],[],[],[]
100808,100808,메다드에게 돌아가기,[1008081],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100809,100809,누이 신전에 서신 배달하기,[],[],[],[100005],[],[],[],[],[1008092],[],[],[],[],[],[],[]
100901,100901,신성의 숲을 침략한 피 묻은 손 토벌하기,[9003031],[],[],[],[],[],[],[],[],[],[],[100003],[],[],[],[]
100902,100902,절벽 아래로 내려가기,[],[],[],[],[901036],[],[],[],[],[],[],[],[],[],[],[]
100903,100903,달그늘 쉼터로 이동하기,[1009031],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100904,100904,달그늘 쉼터를 침략한 피 묻은 손 토벌하기,[1013122],[],[],[],[],[],[],[],[],[],[],[100004],[],[],[],[]
200000,200000,바라기 마을 이동하기,[101001],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200001,200001,바라기 농가 이동하기,[2000011],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200002,200002,바라기 언덕 이동하기,[101003],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200003,200003,가라앉은 만 이동하기,[101005],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200004,200004,푸른 안개 숲 이동하기,[101004],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200005,200005,초승달 왕좌 이동하기,[101101],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200006,200006,파수 마을 이동하기,[101102],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200007,200007,백월만 이동하기,[101106],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200008,200008,우윳빛 강 마을 이동하기,[101201],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200009,200009,잊혀진 성 이동하기,[101203],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200010,200010,앰리아 마을 이동하기,[101204],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200011,200011,요정의 은신처 이동하기,[101206],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200012,200012,일벌백계의 폐허 1 이동하기,[101207],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200013,200013,일벌백계의 폐허 2 이동하기,[2000131],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
200014,200014,일벌백계의 폐허 3 이동하기,[2000141],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900001,900001,정령 근처로 이동하기,[9000011],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900002,900002,혼란스러워 하는 물정령 처치하기,[],[10102105],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900003,900003,자책과 슬픔이 느껴지는 장소로 이동하기,[9000031],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900004,900004,여신의 감정에 사로잡힌 정령 무리 처치하기,[],[],[],[],[],[],[],"[900005,900006]",[],[],[],[],[],[],[],[]
900005,900005,분노에 사로잡힌 물정령 처치하기,[],[10102307],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900006,900006,자책하는 바위 정령 처치하기,[],[10102308],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900007,900007,길을 막고 있는 벽으로 이동하기,[9000071],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900008,900008,길을 따라 경계의 깊은 곳으로 이동하기,[9000081],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900009,900009,잊혀진 해골 무리 처치하기,[],"[10402320,10402321,10402703]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900010,900010,잔류하는 감정의 덩어리를 따라 이동하기,[9000101],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900011,900011,잊혀진 망자의 회랑으로 이동하기,[9000111],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900012,900012,몰려드는 해골 무리 처치하기,[],"[10402322,10402323,10402704]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900013,900013,가로막는 해골 무리 처치하기,[],"[10402324,10402325,10402326]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900014,900014,끝나지 않는 참극의 무대로 이동하기,[9000141],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900015,900015,이즈나 외성을 경비하는 무리 처치하기,[],[],[],[],[],[],[],"[900016,900017,900018,900019]",[],[],[],[],[],[],[],[]
900016,900016,이즈나 외성 경비병의 망령 처치,[],[10702308],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900017,900017,이즈나 외성 근위병의 망령 처치,[],[10702307],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900018,900018,잊혀진 해골 전사 처치,[],[10402329],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900019,900019,잊혀진 해골 창병 처치,[],[10402330],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900020,900020,외성 경비대장 데로스와 부관 망령 처치하기,[],"[10702503,10702505,10702804]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900021,900021,데로스의 사념을 따라 막다른 곳으로 이동하기,[9000211],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900022,900022,여신의 심연을 마주할 수 있는 위치로 이동하기,[9000221],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900023,900023,이즈나 망령 무리들을 처치하기,[],[],[],[],[],[],[],"[900024,900025,900026]",[],[],[],[],[],[],[],[]
900024,900024,이즈나 내성 경비병의 망령 처치,[],[10702309],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900025,900025,이즈나 근위기사의 망령 처치,[],[10702310],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900026,900026,이즈나 내성 해골 무리 처치,[],"[10402336,10402337,10402338,10402339]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900027,900027,내성 경비대장 폴라리우스의 망령 처치하기,[],[10702805],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900028,900028,균열의 끝으로 이동하기,[9000281],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900029,900029,내성 경비대장 폴라리우스의 망령 처치하기,[],[10702805],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900030,900030,분노가 모여드는 곳으로 이동하기,[9000301],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900031,900031,모여드는 잔재와 공명하기,[],[],[],[],[902044],[],[],[],[],[],[],[],[],[],[],[]
900032,900032,말카바돈 처치하기,[],"[90002903,90002904]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900033,900033,잔재가 담긴 보물상자 확인하기,[],[],[],[],"[902043,902045]",[],[],[],[],[],[],[],[],[],[],[]
900034,900034,"격노의 잔재, 말카바돈 처치하기",[],[90002904],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900101,900101,수습 신관의 흔적 따라가기,[9001011],[],[],[],[],[],[],[],[],[],[],[100001],[],[],[],[]
900102,900102,몬스터를 처치하여 신관 구출하기,[],[],[],[],[],[],[],"[900103,900104]",[],[],[],[],[],[],[],[]
900103,900103,놀 우두머리 처치하기,[],[10290801],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900104,900104,난폭해진 놀 무리 처치하기,[],"[10290101,10290102,10290103]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900201,900201,난폭한 정령을 처치하고 가방 찾아보기,[],[],[],[],[],[],[],"[900202,900203,900204]",[],[],[],[],[],[],[],[]
900202,900202,분노한 바위 정령 처치,[],[10190303],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900203,900203,분노한 나무 정령 처치,[],[10190302],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900204,900204,분노한 이끼 정령 처치,[],[10190304],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900205,900205,오크 족장 처치하기,[],[10390801],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900301,900301,몰려온 피 묻은 손 처치하기,[],"[10802101,10802102,10802103,10802104,10802301]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900302,900302,막혀있는 길 뚫기,[],[90101104],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900303,900303,언덕 아래로 내려가기,[9003031],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900304,900304,신성의 숲을 점령한 피 묻은 손 잔당 토벌,[],[],[],[],[],[],[],"[900305,900306]",[],[],[],[],[],[],[],[]
900305,900305,피 묻은 손 잔당 몰아내기,[],"[10802101,10802102,10802103,10802104,10802301,10802701]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900306,900306,포로로 잡힌 신관 구출하기,[],[],[],[],[901039],[],[],[],[],[],[],[],[],[],[],[]
900307,900307,막혀있는 길 뚫기,[],[90101104],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900401,900401,입구를 지키는 피 묻은 손 처치하기,[],"[10802101,10802102,10802103,10802104,10802301]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900402,900402,달그늘 쉼터의 주민 구출,[],[],[],[],[],[],[],"[900403,900404,900405]",[],[],[],[],[],[],[],[]
900403,900403,잡화점 근처의 주민 구출하기,[],[],[],[],[901040],[],[],[],[],[],[],[],[],[],[],[]
900404,900404,대장간 근처의 주민 구출하기,[],[],[],[],[901041],[],[],[],[],[],[],[],[],[],[],[]
900405,900405,마구간 근처의 주민 구출하기,[],[],[],[],[901042],[],[],[],[],[],[],[],[],[],[],[]
900406,900406,달그늘 쉼터 중앙의 피 묻은 손 토벌,[],[],[],[],[],[],[],"[900407,900408]",[],[],[],[],[],[],[],[]
900407,900407,피 묻은 손 지휘관 처치하기,[],[10890701],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900408,900408,지휘관 주변의 피 묻은 손 처치하기,[],[10890101],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900409,900409,피 묻은 손 간부 처치하기,[],[10802801],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900410,900410,마을 안쪽으로 이동하기,[1013122],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
900411,900411,부활한 피 묻은 손 간부 처치하기,[],[10802901],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000101,1000101,이니스 바위게 처치하기,[],"[10001101,10001103]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000102,1000102,이니스 악어거북 처치하기,[],"[10001102,10001104]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000103,1000103,놀 투척꾼 처치하기,[],"[10201101,10201105,10290101]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000104,1000104,놀 약탈꾼 처치하기,[],"[10201102,10201106,10290102]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000105,1000105,놀 싸움꾼 처치하기,[],"[10201103,10201107,10290103]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000106,1000106,놀 우두머리 처치하기,[],"[10201801,10290801]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000201,1000201,이즈나의 메아리 클리어하기,[],[],[],[],[],[],[],[],[],[],[],[90601],[],[],[],[]
1000301,1000301,정착을 위한 첫 걸음 완료하기,[],[],[],[],[],[],[],[],[],[],[],[],[1000],[],[],[]
1000302,1000302,허가 받지 않은 자 완료하기,[],[],[],[],[],[],[],[],[],[],[],[],[1001],[],[],[]
1000303,1000303,"낯선 땅, 첫 무장 완료하기",[],[],[],[],[],[],[],[],[],[],[],[],[1002],[],[],[]
1000401,1000401,해산물 스튜 사용하기,[],[],[],[],[],[],[80100002],[],[],[],[],[],[],[],[],[]
1000402,1000402,특제 수프 사용하기,[],[],[],[],[],[],[41010006],[],[],[],[],[],[],[],[],[]
1000403,1000403,샐러드 사용하기,[],[],[],[],[],[],[41010007],[],[],[],[],[],[],[],[],[]
1000404,1000404,과일차 사용하기,[],[],[],[],[],[],[41010008],[],[],[],[],[],[],[],[],[]
1000405,1000405,발효주 사용하기,[],[],[],[],[],[],[41010009],[],[],[],[],[],[],[],[],[]
1000501,1000501,이니스 부두 발견하기,[100000],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000502,1000502,이니스 부두의 관리실 발견하기,[100001],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000503,1000503,여명의 길 발견하기,[100002],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000504,1000504,달그늘 쉼터 발견하기,[100003],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000505,1000505,고요의 숲 발견하기,[100004],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000506,1000506,신성의 숲 발견하기,[100005],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1000507,1000507,스툴 조작하기,[],[],[],[],[8501],[],[],[],[],[],[],[],[],[],[],[]
1000508,1000508,침대 누워보기,[],[],[],[],[8503],[],[],[],[],[],[],[],[],[],[],[]
1000509,1000509,가로등 켜기,[],[],[],[],"[8506,8507]",[],[],[],[],[],[],[],[],[],[],[]
