OID,Cid,Comment,CameraPreset,LightPreset,DisplayType,SpeakerName,SpeakerTarget,SpeakerTargetCid,NpcPortraitAssetCid,AnimAssetCid,SpeakerLookAtTarget,SpeakerLookAtTargetCid,ListenerLookAt,AllowListenerPlayer,Bubble
1000013,1000013,"100001,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,<B>이니스 섬</>까지의 여정이... 제법 험난했던 모양이야.
1000014,1000014,"100001,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,자네 얼굴을 보니... 우리가 함께 불탄 성 정벌에 나갔을 때가 떠오르는군.
1000015,1000015,"100001,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Player,,TRUE,TRUE,한밤중에... 육지에서 아주 큰 사건이 있었다지...
1000016,1000016,"100001,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Player,,TRUE,TRUE,수고 많았네. 여왕님께서도 자네의 노고를 누구보다 잘 알고 계셔.
1000017,1000017,"100001,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1001,Player,,TRUE,TRUE,자네가 섬에 잘 정착할 수 있도록 대신관께 직접 전언을 보내셨네.
1000018,1000018,"100001,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Player,,TRUE,TRUE,하지만 미안하게도... 자네의 고생은 아직 끝이 아니네.
1000019,1000019,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1001,Player,,FALSE,FALSE,"<B>이니스 섬</>에 정착하기로 한 이상, 기본적인 건 <B>자급자족</> 할 줄 알아야 하지."
1000020,1000020,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Player,,FALSE,FALSE,하하! 너무 긴장할 필요는 없어. 내가 옆에서 다 알려줄 테니까.
1000021,1000021,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Player,,FALSE,FALSE,"그보다 자네, 배고프지 않나? 우선 배부터 채우도록 하지."
1000022,1000022,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,Player,,FALSE,FALSE,먹을 게 어디 있냐고? 자네 정말 아무것도 안 보이나?
1000023,1000023,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Player,,FALSE,FALSE,"저기, 모래 위에 볼록하게 솟아 있는 것이 보이지? 바다거북이 알을 낳고 모래로 덮어둔 자리야."
1000024,1000024,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1001,Player,,FALSE,FALSE,"거북알은 영양도 좋고, 요리하기 좋은 재료라네. 그냥 불에 구우면 되거든."
1000025,1000025,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Player,,FALSE,FALSE,거북이한테야 좀 미안하지만... 지금 굶주린 자네한테는 최고 아닌가? 가서 거북알을 몇 개 챙겨오게.
1000026,1000026,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Player,,FALSE,FALSE,"아, 그리고 해변에 사는 <B>바위 게</>의 집게도 구워 먹으면 꽤 괜찮은 별미라네."
1000027,1000027,"100002,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Player,,FALSE,FALSE,일단 요리할 재료부터 모아오게. 나는 여기서 기다리고 있지.
1000028,1000028,"100008,end",,,Monologue,메다드,Npc,100001,,1003,None,,FALSE,FALSE,이제 배도 채웠겠다... 슬슬 움직여볼까?
1000029,1000029,"100008,end",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,"먼저, 자네가 섬에 정식으로 정착할 수 있도록 <B>관리실</>에서 <B>허가증</>을 받아야 하네."
1001000,1001000,"100105,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,우선 달구지 수리에 쓸 통나무부터 찾아보는 게 좋겠어.
1001001,1001001,"100106,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,"개척자, 자네가 가져온 통나무를 달구지 수리에 직접 써보게."
1001002,1001002,"100106,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,"좋아, 이제 재료는 충분하니 수리하는 데 어려움은 없을 거야."
1001003,1001003,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,말하자면... 섬에 허가증 없이는 살 수 없단 소리지! 잘못하면 다시 돌아가야 할 수도 있어.
1001004,1001004,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,"...하하, 농담일세! 자네를 잘 부탁한다며 여왕님이 직접 전언까지 하셨는데, 그걸 무시할 수는 없지!"
1001005,1001005,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,이미 대신관님께서 자네 입도 허가증을 관리실로 전달해달라 요청하셨다는군.
1001006,1001006,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,아마 대신관님 직속 부하인 신관이 부랴부랴 허가증을 가지고 왔을 거야.
1001007,1001007,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,"개척자, 이니스 섬에 온 소감은 어떤가?"
1001008,1001008,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,여긴 누이 여신을 따르는 신도들이 사는 조용한 섬이지.
1001009,1001009,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,섬에 외부인이 찾아올 일은 거의 없지만... 가끔 자네처럼 손님이 오는 날이 있긴 해.
1001010,1001010,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,특히 여러 왕국에서 고위 사절단이 방문하는 제례 기간 동안은 섬에 활력이 넘치지.
1001011,1001011,"100101,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,지금은 섬의 환경이 낯설겠지만... 자네라면 금방 적응할 걸세.
1001012,1001012,"100101,end",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1200,None,,TRUE,TRUE,아무도 없다니 이상하군. 아직 신관이 도착을 안 한 건가?
1001013,1001013,"100101,end",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,TRUE,TRUE,...흠. 누군가 왔다면 <B>섬 관리인</>이 기억하고 있겠지.
1001014,1001014,"100101,end",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,2003,None,,TRUE,TRUE,"라운! 라운, 거기 있는가?"
1001015,1001015,"100102,sequence",,,QuestBubbleToQuestBox,섬 관리인 라운,Npc,100002,2,1100,Npc,100001,TRUE,TRUE,메다드 씨 아니십니까! 관리실에는 무슨 일로 오셨는지요?
1001016,1001016,"100102,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Npc,100002,TRUE,TRUE,오늘부터 이니스 섬에서 살게 될 내 오래된 지인이네.
1001017,1001017,"100102,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Npc,100002,TRUE,TRUE,대신관님 직속 신관이 친구의 입도 허가증을 가져오기로 했는데... 혹시 전달받은 게 있나?
1001018,1001018,"100102,sequence",,,QuestBubbleToQuestBox,섬 관리인 라운,Npc,100002,2,1200,Npc,100001,TRUE,TRUE,"아니요. 오늘 누가 관리실을 방문하거나, 따로 배송 온 것은 없는데요."
1001019,1001019,"100102,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Npc,100002,TRUE,TRUE,사람을 이대로 세워두는 것도 예의가 아닌데....
1001020,1001020,"100102,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Npc,100002,TRUE,TRUE,"이 손님이 대신관님이 보증하는 인물이라 해도, 그냥 지나갈 수는 없겠지?"
1001021,1001021,"100102,sequence",,,QuestBubbleToQuestBox,섬 관리인 라운,Npc,100002,2,1001,Npc,100001,TRUE,TRUE,잘 아시지 않습니까? 허가증 없이 섬에 들어갈 수는 없습니다.
1001022,1001022,"100102,sequence",,,QuestBubbleToQuestBox,섬 관리인 라운,Npc,100002,2,1002,Npc,100001,TRUE,TRUE,이분이 대신관님이 보증하신 분이라면... 허가증을 가진 신관님이 반드시 오시겠죠.
1001023,1001023,"100102,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Npc,100002,TRUE,TRUE,관리인 말도 일리가 있군.
1001024,1001024,"100102,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,Player,,TRUE,TRUE,"미안하네, 개척자. 조금만 더 기다려보는 게 좋겠어."
1001025,1001025,"100103,sequence",,,Monologue,메다드,Npc,100001,,,None,,TRUE,TRUE,흐음...
1001026,1001026,"100103,sequence",,,Monologue,메다드,Npc,100001,,1200,None,,TRUE,TRUE,신관이 코빼기도 안 보이는군.
1001027,1001027,"100103,sequence",,,Monologue,메다드,Npc,100001,,,None,,TRUE,TRUE,어디서 길이라도 잃은 건가?
1001028,1001028,"100103,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1200,None,,TRUE,TRUE,어디서 위험한 일이라도 겪는 건 아닐지...
1001029,1001029,"100103,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,TRUE,TRUE,"이렇게 막연히 기다릴 게 아니라, 우리가 나서서 찾아보는 게 좋겠어."
1001030,1001030,"100103,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,Npc,100002,TRUE,TRUE,"관리인, 이동할 때 쓸 <B>달구지</> 하나 빌릴 수 있을까?"
1001031,1001031,"100103,sequence",,,QuestBubbleToQuestBox,섬 관리인 라운,Npc,100002,2,1003,Npc,100001,TRUE,TRUE,있긴 한데... 망가져서 당장은 못 씁니다. 쓰시려면 직접 <B>수리</>하셔야 할 겁니다.
1001032,1001032,"100103,sequence",,,QuestBubbleToQuestBox,섬 관리인 라운,Npc,100002,2,1002,Npc,100001,TRUE,TRUE,안 그래도 처분하려고 앞에 꺼내놨으니 확인해보십쇼.
1001033,1001033,"100103,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1105,None,,TRUE,TRUE,"...하아, 별 수 없군. 이 궂은 날씨에 맨몸으로 산을 오를 수도 없는 노릇이니...."
1001034,1001034,"100103,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,TRUE,TRUE,직접 수리 도구를 구해서 달구지를 수리해야겠어.
1001035,1001035,"100103,end",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Player,,FALSE,FALSE,"개척자, 미안하지만 수리 도구를 구해와 줄 수 있겠나?"
1001036,1001036,"100103,end",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1001,Player,,FALSE,FALSE,저기 뒤에 놓인 목재를 활용하면 금방 수리할 수 있을 거라네.
1001037,1001037,"100106,end",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1103,Player,,FALSE,FALSE,"말끔해졌군! 달구지는 잠시 뒤에 쓰고, 지금은 혹시 모를 전투에 대비해두자고."
1001038,1001038,"100106,end",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Player,,FALSE,FALSE,자네도 전투에 쓸 <B>장비</> 정도는 제작할 줄 알아야지!
1002000,1002000,"100202,progress",,,QuestBubble,메다드,Npc,100001,,1002,Player,,FALSE,FALSE,간단한 무기라면 <B>구리 광석</>과 <B>통나무</>를 가공해 만들 수 있어.
1002001,1002001,"100202,progress",,,QuestBubble,메다드,Npc,100001,,1001,Player,,FALSE,FALSE,채집물당 총 3번까지 채집할 수 있네.
1002002,1002002,"100203,progress",,,QuestBubble,메다드,Npc,100001,,1003,Player,,FALSE,FALSE,수집한 재료는 간이 가공대에서 <B>가공</>할 수 있지.
1002003,1002003,"100203,progress",,,QuestBubble,메다드,Npc,100001,,1002,Player,,FALSE,FALSE,옆에 배치된 <B>가공대</>에서 재료를 가공해보게.
1002004,1002004,"100204,progress",,,QuestBubble,메다드,Npc,100001,,1003,Player,,FALSE,FALSE,이제 가공한 재료를 가지고 장비를 만들 수 있네. 근처에 <B>무기</>와 <B>방어구 제작대</>가 보이지?
1002005,1002005,"100204,progress",,,QuestBubble,메다드,Npc,100001,,1001,Player,,FALSE,FALSE,원하는 장비를 골라 제작하게. 장비의 기술을 참고하면 선택에 도움이 될 걸세.
1002006,1002006,"100207,progress",,,QuestBubble,메다드,Npc,100001,,1100,Player,,FALSE,FALSE,이봐! 어서 달구지에 올라타!
1002007,1002007,"100207,progress",,,Monologue,메다드,Npc,100001,,1001,Player,,FALSE,FALSE,날이 더 흐려지기 전에 달그늘 쉼터에 도착했으면 좋겠군...
1002008,1002008,"100201,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1001,Player,,FALSE,FALSE,이니스 섬에서는 자급자족이 기본이네. 당연히 장비도 직접 <B>제작</>해야 하지!
1002009,1002009,"100201,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Player,,FALSE,FALSE,"간단해. 주변에서 <B>광석</>과 <B>통나무</>를 채집할 수 있으니, 그걸 <B>가공해</> 자네가 쓸 <B>장비를 제작하면 돼.</>"
1002010,1002010,"100201,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Player,,FALSE,FALSE,차근차근 하면 어려울 것 없네. 우선 <B>무기 재료</>를 캐는 것부터 시작하게.
1002011,1002011,"100204,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Player,,FALSE,FALSE,재료가 모였다면 <B>무기 제작대</>와 <B>방어구 제작대</>에서 제작을 진행해보게.
1002012,1002012,"100204,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1001,Player,,FALSE,FALSE,"어떤 장비를 착용하느냐에 따라 사용할 수 있는 <B>기술</>이 달라지니, 자네에게 맞는 걸로 골라."
1002013,1002013,"100204,end",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1102,Player,,FALSE,FALSE,좋아. 이제 장비 제작이 모두 끝났군.  준비가 끝나면 <B>달구지</>에 올라타도록 해.
1002014,1002014,"100207,end",,,DialogueBox,메다드,Npc,100001,,,None,,FALSE,FALSE,왜 자네를 서둘러 무장시켰는지 궁금하겠지. 혹시 누이 여신과 지역 생명체의 동조 현상에 대해 들어본 적이 있나?
1002015,1002015,"100207,end",,,DialogueBox,메다드,Npc,100001,,,None,,FALSE,FALSE,"여신의 기운이 예민해지고 그분의 마음이 흔들리면, 그 영향이 섬의 동물과 몬스터들에게까지 번질 때가 있다네."
1002016,1002016,"100207,end",,,DialogueBox,메다드,Npc,100001,,,None,,FALSE,FALSE,"저승을 찾는 영혼이 갑자기 늘면 누이 여신이 슬픔에 잠겨, 그 불안과 우울이 생명들에게 그대로 전이되는 거지."
1002017,1002017,"100207,end",,,DialogueBox,메다드,Npc,100001,,,None,,FALSE,FALSE,원래라면 온순한 녀석들까지도 예측할 수 없게 변해. 그러니 자네도 섬에서 몬스터를 만나면 각별히 조심하게.
1002018,1002018,"100207,end",,,DialogueBox,메다드,Npc,100001,,,None,,FALSE,FALSE,원래 이런 곳이 아닌데... 불안한 기운이 감도는군.
1002019,1002019,"100207,end",,,DialogueBox,메다드,Npc,100001,,,None,,FALSE,FALSE,음? 저기 뭔가 있는 것 같은데...?
1002020,1002020,"100207,end",,,DialogueBox,메다드,Npc,100001,,,None,,FALSE,FALSE,누군가 <B>놀 무리</>의 습격을 받은 거 같아. 빨리 도와주는 게 좋겠어!
1003000,1003000,"100301,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,우선 쓰러진 사람부터 확인하지. 크게 다치지 않았어야 할 텐데!
1003001,1003001,"100302,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,놀 무리로군! 어서 처치하게!
1003002,1003002,"100303,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,차림을 보아하니 누이 신전의 신관이로군. 괜찮은지 상태부터 살펴보자.
1003003,1003003,"100305,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,일단 신관님의 짐을 놀들이 가지고 간 건 아닌지 확인해보지.
1003004,1003004,"100306,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,놀들이 갖고 가진 않았군. 혹시 근처 풀숲에 떨어진건가?
1003005,1003005,"100307,progress",,,QuestBubble,메다드,Npc,100001,,,None,,FALSE,FALSE,"...그 짐, 신관님이 잃어버린 그것이 맞는 것 같네! 어서 가져다 드리게."
1003006,1003006,"100301,start",,,Bubble,메다드,Npc,100001,,1003,Npc,100003,TRUE,FALSE,"신관님, ...세리안 님! 괜찮으십니까?"
1003007,1003007,"100301,start",,,Monologue,신관 세리안,Npc,100003,,,Npc,100001,TRUE,FALSE,으으....
1003008,1003008,"100301,start",,,Bubble,신관 세리안,Npc,100003,,2201,Npc,100001,TRUE,FALSE,"아, 메다드 님이시군요... 도와주셔서 정말 감사합니다."
1003009,1003009,"100301,start",,,Bubble,메다드,Npc,100001,,1107,Npc,100003,TRUE,FALSE,"아니, 어쩌다 이런 위험한 상황에 처하신 겁니까?"
1003010,1003010,"100301,start",,,Bubble,신관 세리안,Npc,100003,,2201,Npc,100001,TRUE,FALSE,누이 여신님께서... 많이 노하신 모양입니다. 여기까지 오는 길도 여느 때와 달리 쉽지 않았습니다.
1003011,1003011,"100301,start",,,Bubble,메다드,Npc,100001,,1003,Npc,100003,TRUE,FALSE,...역시 여신님의 영향이었군요. 육지에서 피바람이 불고 있다는 소식이 돌던데... 그 여파가 이곳까지 미친 모양이군요.
1003012,1003012,"100303,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2201,Npc,100001,TRUE,TRUE,...두 분이 안 계셨다면 정말 죽었을지도 모르겠습니다. 도와주셔서 감사합니다.
1003013,1003013,"100303,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2201,Npc,100001,TRUE,TRUE,그런데... 혹시 제 <B>짐</>을 보지 못하셨습니까? <B>대신관님께서 맡기신 중요한 서류</>가 들어 있는 짐입니다.
1003014,1003014,"100303,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2201,Npc,100001,TRUE,TRUE,아마 저를 습격한 놀 무리 중 하나가 가져간 것 같습니다.
1003015,1003015,"100303,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Npc,100003,TRUE,TRUE,걱정 마십시오. 짐은 저희가 찾아드리죠.
1003016,1003016,"100303,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2201,Npc,100001,TRUE,TRUE,"...네, 감사합니다. 짐은 아래쪽에서 잃어버린 것 같으니, 그쪽을 살펴봐 주시면 되겠습니다."
1003017,1003017,"100304,start",,,Bubble,메다드,Npc,100001,,,None,,FALSE,FALSE,다치셨으니 서두르지 마시고 천천히 움직이십시오. 제가 앞장서겠습니다.
1003018,1003018,"100304,start",,,Bubble,신관 세리안,Npc,100003,,,None,,FALSE,FALSE,신성력이 있어서 회복은 금방 될 겁니다.
1003019,1003019,"100304,start",,,Bubble,신관 세리안,Npc,100003,,,None,,FALSE,FALSE,제 짐인 걸요. 저도 함께 찾아봐야지요.
1003020,1003020,"100304,start",,,Bubble,신관 세리안,Npc,100003,,,None,,FALSE,FALSE,그나저나... 저 분이 메다드님께서 말씀하신 그 오랜 친우분입니까?
1003021,1003021,"100304,start",,,Bubble,메다드,Npc,100001,,,None,,FALSE,FALSE,개척자입니다. 예전에 페레단 국왕 폐하와 함께 전장을 누볐던 용맹한 자이지요.
1003022,1003022,"100304,start",,,Bubble,신관 세리안,Npc,100003,,,None,,FALSE,FALSE,정말 훌륭하신 분이군요. 그런 분이 어쩌다 이런 곳까지....
1003023,1003023,"100304,start",,,Bubble,메다드,Npc,100001,,,None,,FALSE,FALSE,"치열하게 살아온 만큼, 이제는 누이 여신의 품에서 휴식할 때가 된 것이지요."
1003024,1003024,"100304,start",,,Bubble,신관 세리안,Npc,100003,,,None,,FALSE,FALSE,맞습니다. 마음의 안정을 되찾는 데엔 이만한 곳이 없죠. 저도 많이 돕겠습니다. 이니스 섬에 온 것을 환영합니다
1003025,1003025,"100304,start",,,Bubble,메다드,Npc,100001,,,None,,FALSE,FALSE,고맙습니다. 저 자가 이 곳에 잘 정착할 수 있도록 많은 도움 주십시오.
1003026,1003026,"100304,start",,,Monologue,신관 세리안,Npc,100003,,,None,,TRUE,FALSE,흐음....
1003027,1003027,"100304,start",,,Monologue,신관 세리안,Npc,100003,,,None,,TRUE,FALSE,도망치다가 여기 어딘가에 흘린 것 같은데....
1003028,1003028,"100304,start",,,Monologue,신관 세리안,Npc,100003,,,None,,TRUE,FALSE,"휴, 흩어진 짐을 다 찾기란 쉽지 않겠어."
1003029,1003029,"100307,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2201,Npc,100001,TRUE,TRUE,잃어버린 짐을 모두 찾아주셔서 정말 감사합니다.
1003030,1003030,"100307,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2201,Npc,100001,TRUE,TRUE,"혹시 두 분, 저와 비슷한 차림의 청년을 보지 못하셨을까요? 테린이라는 수습 신관입니다."
1003032,1003032,"100307,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2201,Npc,100001,TRUE,TRUE,...어느 순간 그 녀석이 보이지 않더군요. 당황한 채 찾고 있던 와중에 놀 무리의 습격까지 받고 말았습니다.
1003033,1003033,"100307,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2104,Npc,100001,TRUE,TRUE,테린... 이 말썽꾸러기 녀석! 도대체 어디로 사라진 건지!
1003036,1003036,"100307,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1003,Npc,100003,TRUE,TRUE,현재 섬의 몬스터들이 불안정한 상태라 오랜 시간 혼자 두는 건 위험합니다. 어서 그를 찾아야겠군요.
1003037,1003037,"100307,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1001,Npc,100003,TRUE,TRUE,신관님께서는 일단 안전한 곳으로 가 계십시오. <B>테린</>이라는 견습 신관은 저희가 찾아 데려오겠습니다.
1003038,1003038,"100307,sequence",,,QuestBubbleToQuestBox,신관 세리안,Npc,100003,4,2201,Npc,100001,TRUE,TRUE,"같이 가겠습니다. 테린 녀석, 제발 어디 <B>위험한 일</>에 휘말린 건 아니길..."
1004000,1004000,"100401,start",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,아무래도 안쪽까지 들어가서 살펴보는 게 좋겠군요.
