OID,Cid,DescName,Description,StatusChangeCid
20,20,집중력 강한편이야,"채널링 스킬 사용 중, 이동 속도 10% 증가, 모든 방어력 5% 증가",1007
21,21,맷집 강한편이야,"공격 시, 1초 동안 모든 방어력 10% 증가 ",1008
22,22,무쇠 주먹,기본 공격 피해량 +10%,1009
23,23,치명타,치명타 피해 증가 n 증가,1010
24,24,떡대,최대 체력 +12%,1011
25,25,아전인수,"대상이 이동 방해 CC 상태(수면, 기절, 부유, 속박, 넘어짐)일 때 스킬 피해량이 10% 증가합니다.",1015
26,26,코끼리 사냥,"대상의 현재 체력이 전체 체력의 90% 이상일 때, 대상 최대 체력의 30% 만큼의 추가 피해를 입힙니다. ",1016
27,27,약자 멸시,"대상의 현재 체력이 전체 체력의 40% 이하일 때, 대상 최대 체려의 10% 만큼의 추가 피해를 입힙니다. ",1017
28,28,독수리처럼 사냥한다,"적 대상에게 리프 스킬 사용 후 또는 리프 시 적에게 피해를 입힌 후, 짧은 시간 동안 다음 공격 시(스킬 + 기본 공격)에 '추가 피해'를 가한다.",1018
29,29,자연인,"전투 상태가 아닐 때, 이동 속도가 N 만큼 증가합니다. (전투 상태 돌입 시 해제됩니다)",1019
30,30,필살기 부자,"R 스킬 사용 시, 재사용 대기 시간이 n 만큼 감소(가능하다면 R스킬만 적용)",1020
31,31,치명적인 무기,치명타 확율 n 증가,1021
32,32,속사,공격 속도 n 증가,1022
33,33,약점 포착,공격력 n 증가,1023
34,34,마나 순환,"스킬 사용 시 '마나 순환' 스택이 1씩 쌓입니다. 스택은 n 초 동안 유지되며, 5스택 시 마력 지속 회복량이 n 만큼 증가합니다. ",1027
35,35,펫 마법 전문가,"펫 스킬 사용 후 2초에 걸쳐 감소하는 이동 속도를 얻고, 펫 스킬 재사용 대기 시간이 n 감소합니다. ",1028
36,36,과부하,"스킬 사용 시 마력 소모가 10% 증가하지만, 마법 피해가 10% 증가합니다.",1029
37,37,화염 마법,다음 공격 스킬 적중 시 대상에게 불을 붙여 n 초 동안 n의 마법 피해를 줍니다.,1030
38,38,얼음 마법,다음 공격 스킬 적중 시 대상을 얼어붙게 만들어 n 초 동안 이동 속도를 n 만큼 감소시킵니다. ,1031
39,39,어둠 마법,다음 공격 스킬 적중 시 대상을 n 초 동안 '마법 방어력'을 n 만큼 감소 시킵니다. ,1032
40,40,마법 재능,마법 피해량이 n 만큼 증가합니다. ,1033
41,41,마법 최적화,전체 마력량이 1% 증가합니다. ,1034
42,42,마나 회복,"마력이 전체 마력량의 20% 일때, n 초 동안 마력 지속 회복량이 n 증가합니다. ",1035
43,43,생명의 기운,"적을 이동 불가 상태로 만들면, 자신과 가장 가까운 아군 1명이 체력을 회복 (쿨타임 없음)",1039
44,44,방패로 때리기,"방어막 부여 중, 다음 기본 공격에 추가 피해를 입힙니다. (쿨타임 중)",1040
45,45,두꺼운 피부,"피해를 입었을 때, n 초간 받는 피해 감소 스탯이 n 만큼 증가한다. (쿨타임 김)",1041
46,46,안아프게 맞기,"넉백, 띄우기, 기절 등 상태 이상에 걸리면, 2초간 상태 이상 저항이 50% 증가하고 방어력이 10% 증가합니다. (쿨타임 10초)",1042
47,47,반사 작용,"방어막이 파괴되거나 해제되었을 때, 자신 주변의 적에게 최대 체력의 4%에 해당하는 마법 피해를 입힙니다. (쿨타임 8초)",1043
48,48,피부 재생,"피해를 입었을 때, n초 동안 읽은 피해의 n % 만큼 회복",1044
49,49,의지,물리 방어력 상승,1045
50,50,빠른 회복,보호막 및 체력 회복 효과가 n 만큼 증가,1046
51,51,정신 통일,마법 방어력 상승,1047
52,52,치얼업 베이비,내가 회복 스킬 사용한 대상에게 n 초 동안 공격 속도 증가 버프를 걸어줍니다 (쿨타임 중),1051
53,53,팀 플레이,"우호 대상에게 스킬 사용 시, 대상에게 n 초 동안 이동 속도 증가 버프를 걸어줍니다. (쿨타임 중)",1052
54,54,물 한잔 해,"우호 대상에게 스킬 사용 시, 대상의 마력을 n 만큼 회복시킵니다. ",1053
55,55,구르기 장인,"구르기(Shift)가 최대 2회까지 충전되며, 충전 간격은 6초입니다.",1054
56,56,소화력,"HP, MP 회복 포션 효과 증가",1055
57,57,달릴 준비,"스킬 시전을 n 번 할 때, n초 동안 이동 속도 n 증가",1056
58,58,가벼움,이동 속도 n 증가,1057
59,59,재능,시전 시간 n 감소 (스탯 추가 필요),1058
60,60,요정,재사용 대기 시간 n 감소,1059
