OID,Cid,Milestone,Comment,DescName,Desc,GroupCid,SkillLevel,SkillCid,LevelUpPoint,UpgradeStepCondition
30951,30951,Dev,점화 5T,화상,,30951,1,30951,1,0
100001,100001,Dev,신비한 가시 나무 Lv.1,신비한 가시 나무 Lv.1,지정한 영역에 신비한 가시 나무를 소환하여 영역 내 적에게 지속 피해를 입힙니다. 레벨업 효과  피해량 증가  마나 소모량 증가,100001,1,100001,1,0
100002,100002,Dev,신비한 가시 나무 Lv.2,신비한 가시 나무 Lv.2,지정한 영역에 신비한 가시 나무를 소환하여 영역 내 적에게 지속 피해를 입힙니다. 레벨업 효과  피해량 증가  마나 소모량 증가,100001,2,100002,1,0
100003,100003,Dev,신비한 가시 나무 Lv.3,신비한 가시 나무 Lv.3,지정한 영역에 신비한 가시 나무를 소환하여 영역 내 적에게 지속 피해를 입힙니다. 레벨업 효과  피해량 증가  마나 소모량 증가,100001,3,100003,1,0
100004,100004,Dev,신비한 가시 나무 Lv.4,신비한 가시 나무 Lv.4,지정한 영역에 신비한 가시 나무를 소환하여 영역 내 적에게 지속 피해를 입힙니다. 레벨업 효과  피해량 증가  마나 소모량 증가,100001,4,100004,1,0
100005,100005,Dev,신비한 가시 나무 Lv.5,신비한 가시 나무 Lv.5,지정한 영역에 신비한 가시 나무를 소환하여 영역 내 적에게 지속 피해를 입힙니다. 레벨업 효과  피해량 증가  마나 소모량 증가,100001,5,100005,1,0
100051,100051,Dev,가시 나무 덩쿨 Lv.1,가시 나무 덩쿨 Lv.1,지정한 방향 영역에 가시 나무 덩쿨을 소환하여 피해를 입히고 부유를 부여합니다. 부유 효과  공중에 띄워 행동 불가 레벨업 효과  피해량 증가  마나 소모량 증가  부유 지속 시간 증가,100051,1,100051,1,0
100052,100052,Dev,가시 나무 덩쿨 Lv.2,가시 나무 덩쿨 Lv.2,지정한 방향 영역에 가시 나무 덩쿨을 소환하여 피해를 입히고 부유를 부여합니다. 부유 효과  공중에 띄워 행동 불가 레벨업 효과  피해량 증가  마나 소모량 증가  부유 지속 시간 증가,100051,2,100052,1,0
100053,100053,Dev,가시 나무 덩쿨 Lv.3,가시 나무 덩쿨 Lv.3,지정한 방향 영역에 가시 나무 덩쿨을 소환하여 피해를 입히고 부유를 부여합니다. 부유 효과  공중에 띄워 행동 불가 레벨업 효과  피해량 증가  마나 소모량 증가  부유 지속 시간 증가,100051,3,100053,1,0
100054,100054,Dev,가시 나무 덩쿨 Lv.4,가시 나무 덩쿨 Lv.4,지정한 방향 영역에 가시 나무 덩쿨을 소환하여 피해를 입히고 부유를 부여합니다. 부유 효과  공중에 띄워 행동 불가 레벨업 효과  피해량 증가  마나 소모량 증가  부유 지속 시간 증가,100051,4,100054,1,0
100055,100055,Dev,가시 나무 덩쿨 Lv.5,가시 나무 덩쿨 Lv.5,지정한 방향 영역에 가시 나무 덩쿨을 소환하여 피해를 입히고 부유를 부여합니다. 부유 효과  공중에 띄워 행동 불가 레벨업 효과  피해량 증가  마나 소모량 증가  부유 지속 시간 증가,100051,5,100055,1,0
100101,100101,Dev,치유의 꽃잎 Lv.1,치유의 꽃잎 Lv.1,우호 대상에게 치유의 꽃입을 부여합니다. 치유의 꽃잎 효과  체력 지속 회복  최대 3중첩 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가,100101,1,100101,1,0
100102,100102,Dev,치유의 꽃잎 Lv.2,치유의 꽃잎 Lv.2,우호 대상에게 치유의 꽃입을 부여합니다. 치유의 꽃잎 효과  체력 지속 회복  최대 3중첩 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가,100101,2,100102,1,0
100103,100103,Dev,치유의 꽃잎 Lv.3,치유의 꽃잎 Lv.3,우호 대상에게 치유의 꽃입을 부여합니다. 치유의 꽃잎 효과  체력 지속 회복  최대 3중첩 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가,100101,3,100103,1,0
100104,100104,Dev,치유의 꽃잎 Lv.4,치유의 꽃잎 Lv.4,우호 대상에게 치유의 꽃입을 부여합니다. 치유의 꽃잎 효과  체력 지속 회복  최대 3중첩 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가,100101,4,100104,1,0
100105,100105,Dev,치유의 꽃잎 Lv.5,치유의 꽃잎 Lv.5,우호 대상에게 치유의 꽃입을 부여합니다. 치유의 꽃잎 효과  체력 지속 회복  최대 3중첩 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가,100101,5,100105,1,0
100150,100150,Dev,치유의 바람 Lv.1,치유의 바람 Lv.1,"치유의 바람을 일으켜 주변 우호 대상을 회복 시키고, 본인에게 보호막을 부여합니다. 보호막 효과  피격 피해 흡수 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가",100150,1,100150,1,0
100152,100152,Dev,치유의 바람 Lv.2,치유의 바람 Lv.2,"치유의 바람을 일으켜 주변 우호 대상을 회복 시키고, 본인에게 보호막을 부여합니다. 보호막 효과  피격 피해 흡수 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가",100150,2,100152,1,3
100154,100154,Dev,치유의 바람 Lv.3,치유의 바람 Lv.3,"치유의 바람을 일으켜 주변 우호 대상을 회복 시키고, 본인에게 보호막을 부여합니다. 보호막 효과  피격 피해 흡수 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가",100150,3,100154,1,6
100156,100156,Dev,치유의 바람 Lv.4,치유의 바람 Lv.4,"치유의 바람을 일으켜 주변 우호 대상을 회복 시키고, 본인에게 보호막을 부여합니다. 보호막 효과  피격 피해 흡수 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가",100150,4,100156,1,9
100158,100158,Dev,치유의 바람 Lv.5,치유의 바람 Lv.5,"치유의 바람을 일으켜 주변 우호 대상을 회복 시키고, 본인에게 보호막을 부여합니다. 보호막 효과  피격 피해 흡수 레벨업 효과  마나 소모량 증가  체력 지속 회복량 증가",100150,5,100158,1,9
100201,100201,Dev,1티어 한손검 Q 스킬 Lv.1,휘두르기 Lv.1,방패를 휘둘러 전방에 있는 적들에게 피해를 입힙니다.,100201,1,100201,1,0
100251,100251,Dev,1티어 한손검 W 스킬 Lv.1,방패 돌진 Lv.1,방패를 앞세워 전방의 적 하나에게 빠르게 돌진하여 피해를 입힙니다.,100251,1,100251,1,0
100301,100301,Dev,1티어 한손검 E 스킬 Lv.1,방패 투척 Lv.1,지정한 방향으로 방패를 던져 적중한 적에게 피해를 입힙니다.,100301,1,100301,1,0
100351,100351,Dev,1티어 한손검 R 스킬 Lv.1,파멸의 징벌 Lv.1,지정한 위치에 강력한 충격파를 방출하여 범위 내의 적들에게 피해를 입힙니다.,100351,1,100351,1,0
100401,100401,Dev,2티어 한손검 Q 스킬 Lv.1,제압 Lv.1,지정한 적 대상 한 명을 방패로 밀쳐 피해를 입히고 멀리 밀어냅니다.,100401,1,100401,1,0
100451,100451,Dev,2티어 한손검 W 스킬 Lv.1,복수의 갑옷 Lv.1,"몸에 복수의 갑옷을 둘러 방어력을 상승 시키고, 적에게 피해를 입었을 때 공격자에게 피해를 입힙니다.",100451,1,100451,1,0
100501,100501,Dev,2티어 한손검 E 스킬 Lv.1,모두 쉿 Lv.1,"현재 자신의 위치에 일정 시간 동안 피해를 입히는 영역을 소환합니다. 
영역 내 적들에겐 '침묵' 효과를 부여합니다.",100501,1,100501,1,0
100551,100551,Dev,2티어 한손검 R 스킬 Lv.1,진공 폭발 Lv.1,"주변 범위 내 적들에게 피해를 입히고 자신에게 끌어당깁니다. 
당겨진 적들의 모든 버프를 제거한 뒤 '느려짐'을 부여합니다.",100551,1,100551,1,0
100601,100601,Dev,3티어 한손검 Q 스킬 Lv.1,성스러운 일격 Lv.1,"적 대상에게 검격을 날려 대상 주위 범위 피해를 입힙니다. 
(일반 공격 시 Q 스킬 쿨타임 1초씩 감소)",100601,1,100601,1,0
100651,100651,Dev,3티어 한손검 W 스킬 Lv.1,가호의 빛 Lv.1,"본인과 주변 아군 1명을 회복 시키고, 이동 속도를 높입니다. 추가로 자신에겐 방어력 상승 버프도 부여합니다.",100651,1,100651,1,0
100701,100701,Dev,3티어 한손검 E 스킬 Lv.1,폭주하는 광휘 Lv.1,"[지속] 기본 공격 시 체력 회복
[사용] 10초 동안 평타 사거리 증가 및 광역 피해를 입힙니다. 
[반응형 기술] : 지정한 대상 하나를 당겨옵니다.",100701,1,100701,1,0
100751,100751,Dev,3티어 한손검 R 스킬 Lv.1,광휘의 심판 Lv.1,"본인 포함 지정한 아군을 1초간 무적 상태로 만듭니다. 1초 뒤, 대상 주변에 성스러운 칼날이 떨어지며 광역 피해를 입힙니다.
※액션바 : 성스러운 칼날이 떨어지는 광역 피해를 액션바 스킬로 분리",100751,1,100751,1,0
200000,200000,Dev,가벼운 손놀림 Lv.1,가벼운 손놀림 Lv.1,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,200000,1,200000,1,0
200001,200001,Dev,가벼운 손놀림 Lv.2,가벼운 손놀림 Lv.2,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,200000,2,200002,1,0
200002,200002,Dev,가벼운 손놀림 Lv.3,가벼운 손놀림 Lv.2,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,200000,3,200004,1,0
200003,200003,Dev,가벼운 손놀림 Lv.4,가벼운 손놀림 Lv.4,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,200000,4,200006,1,0
200004,200004,Dev,가벼운 손놀림 Lv.5,가벼운 손놀림 Lv.3,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,200000,5,200008,1,0
200051,200051,Dev,대지 가르기 Lv.1,대지 가르기 Lv.1,지정한 방향으로 검을 내리쳐 일직선 범위에 피해를 입히고 느려짐을 부여합니다. 느려짐 효과  이동 속도 감소 레벨업 효과  피해량 증가  마나 소모량 증가  디버프 지속 시간 증가  느려짐 증가,200051,1,200051,1,0
200052,200052,Dev,대지 가르기 Lv.2,대지 가르기 Lv.2,지정한 방향으로 검을 내리쳐 일직선 범위에 피해를 입히고 느려짐을 부여합니다. 느려짐 효과  이동 속도 감소 레벨업 효과  피해량 증가  마나 소모량 증가  디버프 지속 시간 증가  느려짐 증가,200051,2,200052,1,0
200053,200053,Dev,대지 가르기 Lv.3,대지 가르기 Lv.3,지정한 방향으로 검을 내리쳐 일직선 범위에 피해를 입히고 느려짐을 부여합니다. 느려짐 효과  이동 속도 감소 레벨업 효과  피해량 증가  마나 소모량 증가  디버프 지속 시간 증가  느려짐 증가,200051,3,200053,1,0
200054,200054,Dev,대지 가르기 Lv.4,대지 가르기 Lv.4,지정한 방향으로 검을 내리쳐 일직선 범위에 피해를 입히고 느려짐을 부여합니다. 느려짐 효과  이동 속도 감소 레벨업 효과  피해량 증가  마나 소모량 증가  디버프 지속 시간 증가  느려짐 증가,200051,4,200054,1,0
200055,200055,Dev,대지 가르기 Lv.5,대지 가르기 Lv.5,지정한 방향으로 검을 내리쳐 일직선 범위에 피해를 입히고 느려짐을 부여합니다. 느려짐 효과  이동 속도 감소 레벨업 효과  피해량 증가  마나 소모량 증가  디버프 지속 시간 증가  느려짐 증가,200051,5,200055,1,0
200101,200101,Dev,휘몰이 Lv.1,휘몰이 Lv.1,주변 범위를 검으로 베어 피해를 입힙니다. 일정 시간 내에 한 번 더 사용할 수 있습니다. 레벨업 효과  피해량 증가  마나 소모량 증가,200101,1,200101,1,0
200102,200102,Dev,휘몰이 Lv.2,휘몰이 Lv.2,주변 범위를 검으로 베어 피해를 입힙니다. 일정 시간 내에 한 번 더 사용할 수 있습니다. 레벨업 효과  피해량 증가  마나 소모량 증가,200101,2,200102,1,0
200103,200103,Dev,휘몰이 Lv.3,휘몰이 Lv.3,주변 범위를 검으로 베어 피해를 입힙니다. 일정 시간 내에 한 번 더 사용할 수 있습니다. 레벨업 효과  피해량 증가  마나 소모량 증가,200101,3,200103,1,0
200104,200104,Dev,휘몰이 Lv.4,휘몰이 Lv.4,주변 범위를 검으로 베어 피해를 입힙니다. 일정 시간 내에 한 번 더 사용할 수 있습니다. 레벨업 효과  피해량 증가  마나 소모량 증가,200101,4,200104,1,0
200105,200105,Dev,휘몰이 Lv.5,휘몰이 Lv.5,주변 범위를 검으로 베어 피해를 입힙니다. 일정 시간 내에 한 번 더 사용할 수 있습니다. 레벨업 효과  피해량 증가  마나 소모량 증가,200101,5,200105,1,0
200151,200151,Dev,적진으로 Lv.1,적진으로 Lv.1,지정한 위치로 도약하여 범위 피해를 입히고 넘어짐을 부여합니다. 넘어짐 효과  움직이거나 행동할 수 없음  받는 피해량 증가 레벨업 효과  재사용 대기시간 감소  피해량 증가  디버프 지속 시간 증가,200151,1,200151,1,0
200152,200152,Dev,적진으로 Lv.2,적진으로 Lv.2,지정한 위치로 도약하여 범위 피해를 입히고 넘어짐을 부여합니다. 넘어짐 효과  움직이거나 행동할 수 없음  받는 피해량 증가 레벨업 효과  재사용 대기시간 감소  피해량 증가  디버프 지속 시간 증가,200151,2,200152,1,3
200153,200153,Dev,적진으로 Lv.3,적진으로 Lv.3,지정한 위치로 도약하여 범위 피해를 입히고 넘어짐을 부여합니다. 넘어짐 효과  움직이거나 행동할 수 없음  받는 피해량 증가 레벨업 효과  재사용 대기시간 감소  피해량 증가  디버프 지속 시간 증가,200151,3,200153,1,6
200154,200154,Dev,적진으로 Lv.4,적진으로 Lv.4,지정한 위치로 도약하여 범위 피해를 입히고 넘어짐을 부여합니다. 넘어짐 효과  움직이거나 행동할 수 없음  받는 피해량 증가 레벨업 효과  재사용 대기시간 감소  피해량 증가  디버프 지속 시간 증가,200151,4,200154,1,9
200155,200155,Dev,적진으로 Lv.5,적진으로 Lv.5,지정한 위치로 도약하여 범위 피해를 입히고 넘어짐을 부여합니다. 넘어짐 효과  움직이거나 행동할 수 없음  받는 피해량 증가 레벨업 효과  재사용 대기시간 감소  피해량 증가  디버프 지속 시간 증가,200151,5,200155,1,9
200201,200201,Dev,결정타 Lv.1,결정타 Lv.1,지정한 대상과 주변 적들에게 피해를 입힙니다. 레벨업 효과  피해량 증가,200201,1,200201,1,0
200202,200202,Dev,결정타 Lv.2,결정타 Lv.2,지정한 대상과 주변 적들에게 피해를 입힙니다. 레벨업 효과  피해량 증가,200201,2,200202,1,0
200203,200203,Dev,결정타 Lv.3,결정타 Lv.3,지정한 대상과 주변 적들에게 피해를 입힙니다. 레벨업 효과  피해량 증가,200201,3,200203,1,0
200204,200204,Dev,결정타 Lv.4,결정타 Lv.4,지정한 대상과 주변 적들에게 피해를 입힙니다. 레벨업 효과  피해량 증가,200201,4,200204,1,0
200205,200205,Dev,결정타 Lv.5,결정타 Lv.5,지정한 대상과 주변 적들에게 피해를 입힙니다. 레벨업 효과  피해량 증가,200201,5,200205,1,0
200251,200251,Dev,폭주 Lv.1,폭주 Lv.1,폭주 상태가 되어 피해를 입을 수록 강해집니다. 폭주 효과  피격 시 '폭주' 1 중첩(최대 8중첩)  '폭주' 1 중첩 당 공격력 증가 레벨업 효과  폭주 지속 시간 증가  중첩 당 공격력 증가  기본 지속 효과(이동 속도) 증가  마나 소모량 증가,200251,1,200251,1,0
200252,200252,Dev,폭주 Lv.2,폭주 Lv.2,폭주 상태가 되어 피해를 입을 수록 강해집니다. 폭주 효과  피격 시 '폭주' 1 중첩(최대 8중첩)  '폭주' 1 중첩 당 공격력 증가 레벨업 효과  폭주 지속 시간 증가  중첩 당 공격력 증가  기본 지속 효과(이동 속도) 증가  마나 소모량 증가,200251,2,200252,1,0
200253,200253,Dev,폭주 Lv.3,폭주 Lv.3,폭주 상태가 되어 피해를 입을 수록 강해집니다. 폭주 효과  피격 시 '폭주' 1 중첩(최대 8중첩)  '폭주' 1 중첩 당 공격력 증가 레벨업 효과  폭주 지속 시간 증가  중첩 당 공격력 증가  기본 지속 효과(이동 속도) 증가  마나 소모량 증가,200251,3,200253,1,0
200254,200254,Dev,폭주 Lv.4,폭주 Lv.4,폭주 상태가 되어 피해를 입을 수록 강해집니다. 폭주 효과  피격 시 '폭주' 1 중첩(최대 8중첩)  '폭주' 1 중첩 당 공격력 증가 레벨업 효과  폭주 지속 시간 증가  중첩 당 공격력 증가  기본 지속 효과(이동 속도) 증가  마나 소모량 증가,200251,4,200254,1,0
200255,200255,Dev,폭주 Lv.5,폭주 Lv.5,폭주 상태가 되어 피해를 입을 수록 강해집니다. 폭주 효과  피격 시 '폭주' 1 중첩(최대 8중첩)  '폭주' 1 중첩 당 공격력 증가 레벨업 효과  폭주 지속 시간 증가  중첩 당 공격력 증가  기본 지속 효과(이동 속도) 증가  마나 소모량 증가,200251,5,200255,1,0
200301,200301,Dev,회오리 베기 Lv.1,회오리 베기 Lv.1,일정 시간 동안 검을 들고 회전하여 주변의 적을 공격합니다. 레벨업 효과  피해량 증가,200301,1,200301,1,0
200302,200302,Dev,회오리 베기 Lv.2,회오리 베기 Lv.2,일정 시간 동안 검을 들고 회전하여 주변의 적을 공격합니다. 레벨업 효과  피해량 증가,200301,2,200303,1,0
200303,200303,Dev,회오리 베기 Lv.3,회오리 베기 Lv.2,일정 시간 동안 검을 들고 회전하여 주변의 적을 공격합니다. 레벨업 효과  피해량 증가,200301,3,200305,1,0
200304,200304,Dev,회오리 베기 Lv.4,회오리 베기 Lv.4,일정 시간 동안 검을 들고 회전하여 주변의 적을 공격합니다. 레벨업 효과  피해량 증가,200301,4,200307,1,0
200305,200305,Dev,회오리 베기 Lv.5,회오리 베기 Lv.3,일정 시간 동안 검을 들고 회전하여 주변의 적을 공격합니다. 레벨업 효과  피해량 증가,200301,5,200309,1,0
200351,200351,Dev,기선 제압 Lv.1,기선 제압 Lv.1,"주변 적들에게 위축을 부여하고, 본인에겐 피해를 막을 수 있는 보호막을 생성합니다. 위축 효과  공격력 감소  공격 속도 감소  이동 속도 감소 보호막 효과  피격 피해 흡수 레벨업 효과  위축 지속 시간 증가  재사용 대기 시간 감소",200351,1,200351,1,0
200352,200352,Dev,기선 제압 Lv.2,기선 제압 Lv.2,"주변 적들에게 위축을 부여하고, 본인에겐 피해를 막을 수 있는 보호막을 생성합니다. 위축 효과  공격력 감소  공격 속도 감소  이동 속도 감소 보호막 효과  피격 피해 흡수 레벨업 효과  위축 지속 시간 증가  재사용 대기 시간 감소",200351,2,200352,1,0
200353,200353,Dev,기선 제압 Lv.3,기선 제압 Lv.3,"주변 적들에게 위축을 부여하고, 본인에겐 피해를 막을 수 있는 보호막을 생성합니다. 위축 효과  공격력 감소  공격 속도 감소  이동 속도 감소 보호막 효과  피격 피해 흡수 레벨업 효과  위축 지속 시간 증가  재사용 대기 시간 감소",200351,3,200353,1,0
200354,200354,Dev,기선 제압 Lv.4,기선 제압 Lv.4,"주변 적들에게 위축을 부여하고, 본인에겐 피해를 막을 수 있는 보호막을 생성합니다. 위축 효과  공격력 감소  공격 속도 감소  이동 속도 감소 보호막 효과  피격 피해 흡수 레벨업 효과  위축 지속 시간 증가  재사용 대기 시간 감소",200351,4,200354,1,0
200355,200355,Dev,기선 제압 Lv.5,기선 제압 Lv.5,"주변 적들에게 위축을 부여하고, 본인에겐 피해를 막을 수 있는 보호막을 생성합니다. 위축 효과  공격력 감소  공격 속도 감소  이동 속도 감소 보호막 효과  피격 피해 흡수 레벨업 효과  위축 지속 시간 증가  재사용 대기 시간 감소",200351,5,200355,1,0
200401,200401,Dev,1티어 양손검 Q 스킬 Lv.1,폭주 Lv.1,"회전 베기로 주변 적들을 공격하며 전방으로 돌진하고, 멈춘 지점에서 다시 한번 돌진하며 주변 범위에 피해를 입힙니다.",200401,1,200401,1,0
200451,200451,Dev,1티어 양손검 W 스킬 Lv.1,분노의 일격 Lv.1,분노를 검에 집중하여 다음 일반 공격 시 적에게 더욱 강력한 물리 피해를 입힙니다.,200451,1,200451,1,0
200501,200501,Dev,1티어 양손검 E 스킬 Lv.1,대지 분쇄 Lv.1,"양손검을 지면에 내리꽂아 충격파를 발생시키며, 주변 원형 범위 내의 모든 적에게 피해를 입힙니다.",200501,1,200501,1,0
200551,200551,Dev,1티어 양손검 R 스킬 Lv.1,공간 가르기 Lv.1,"지정한 방향으로 날카로운 검격을 날려 전방의 적들을 공격한 뒤, 전방 지면을 강타하여 전방 범위에 추가 피해를 입힙니다.",200551,1,200551,1,0
200601,200601,Dev,2티어 양손검 Q 스킬 Lv.1,몰아치기 Lv.1,"다음 세번의 일반 공격을 강화하여 추가 피해를 입히고 공격 속도가 330% 증가합니다. 
마지막 타격은 적을 공중에 띄웁니다.",200601,1,200601,1,0
200651,200651,Dev,2티어 양손검 W 스킬 Lv.1,찌르기 Lv.1,"지정한 방향에 일직선 영역으로 피해를 입히고, 느려짐을 부여합니다.",200651,1,200651,1,0
200701,200701,Dev,2티어 양손검 E 스킬 Lv.1,결투 돌입 Lv.1,"지정한 적에게 돌격해 자신에게 방어막을 부여한 뒤, 근처의 적들에게 피해를 입히고 3초 동안 공격 속도가 증가합니다.",200701,1,200701,1,0
200751,200751,Dev,2티어 양손검 R 스킬 Lv.1,섬광의 길 Lv.1,"지정한 방향으로 대미지를 입히고 직사각형의 영역을 생성하여, 영역 내의 우호 대상들에게 이동속도 증가 버프를 부여합니다.",200751,1,200751,1,0
300001,300001,Dev,충격 사격 Lv.1,충격 사격 Lv.1,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,300001,1,300001,1,0
300002,300002,Dev,충격 사격 Lv.2,충격 사격 Lv.2,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,300001,2,300002,1,0
300003,300003,Dev,충격 사격 Lv.3,충격 사격 Lv.3,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,300001,3,300003,1,0
300004,300004,Dev,충격 사격 Lv.4,충격 사격 Lv.4,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,300001,4,300004,1,0
300005,300005,Dev,충격 사격 Lv.5,충격 사격 Lv.5,다음 일반 공격을 강화하여 강한 피해를 입힙니다. 레벨업 효과  피해량 증가,300001,5,300005,1,0
300051,300051,Dev,발묶음 Lv.1,발묶음 Lv.1,덫 화살을 지정한 위치로 발사하여 피해를 입히고 속박을 부여합니다. 속박 효과  이동 관련 조작 불가 레벨업 효과  피해량 증가  마나 소모량 증가  속박 지속 시간 증가,300051,1,300051,1,0
300052,300052,Dev,발묶음 Lv.2,발묶음 Lv.2,덫 화살을 지정한 위치로 발사하여 피해를 입히고 속박을 부여합니다. 속박 효과  이동 관련 조작 불가 레벨업 효과  피해량 증가  마나 소모량 증가  속박 지속 시간 증가,300051,2,300052,1,3
300053,300053,Dev,발묶음 Lv.3,발묶음 Lv.3,덫 화살을 지정한 위치로 발사하여 피해를 입히고 속박을 부여합니다. 속박 효과  이동 관련 조작 불가 레벨업 효과  피해량 증가  마나 소모량 증가  속박 지속 시간 증가,300051,3,300053,1,6
300054,300054,Dev,발묶음 Lv.4,발묶음 Lv.4,덫 화살을 지정한 위치로 발사하여 피해를 입히고 속박을 부여합니다. 속박 효과  이동 관련 조작 불가 레벨업 효과  피해량 증가  마나 소모량 증가  속박 지속 시간 증가,300051,4,300054,1,9
300055,300055,Dev,발묶음 Lv.5,발묶음 Lv.5,덫 화살을 지정한 위치로 발사하여 피해를 입히고 속박을 부여합니다. 속박 효과  이동 관련 조작 불가 레벨업 효과  피해량 증가  마나 소모량 증가  속박 지속 시간 증가,300051,5,300055,1,9
300101,300101,Dev,불화살 소나기 Lv.1,불화살 소나기 Lv.1,마법 화살을 하늘에 쏴 불화살 소나기를 내려 지정한 범위에 피해를 입힙니다. 레벨업 효과  피해량 증가  마나 소모량 증가,300101,1,300101,1,0
300102,300102,Dev,불화살 소나기 Lv.2,불화살 소나기 Lv.2,마법 화살을 하늘에 쏴 불화살 소나기를 내려 지정한 범위에 피해를 입힙니다. 레벨업 효과  피해량 증가  마나 소모량 증가,300101,2,300102,1,0
300103,300103,Dev,불화살 소나기 Lv.3,불화살 소나기 Lv.3,마법 화살을 하늘에 쏴 불화살 소나기를 내려 지정한 범위에 피해를 입힙니다. 레벨업 효과  피해량 증가  마나 소모량 증가,300101,3,300103,1,0
