OID,Cid,Comment,StartDate,EndDate
100078,100078,,2023-12-06 09:00:00,2023-12-27 08:00:00
100079,100079,,2023-12-13 09:00:00,2023-12-27 08:00:00
100080,100080,,2023-12-13 09:00:00,2023-12-27 08:00:00
100081,100081,,2023-12-20 09:00:00,2024-01-10 08:00:00
100082,100082,,2023-12-20 09:00:00,2024-01-10 08:00:00
100083,100083,,2023-12-06 09:00:00,2023-12-13 08:00:00
100084,100084,,2023-12-06 09:00:00,2024-01-03 08:00:00
100085,100085,,2023-12-27 09:00:00,2024-01-10 08:00:00
100086,100086,,2023-12-27 09:00:00,2024-01-10 08:00:00
100087,100087,,2024-01-03 09:00:00,2024-01-24 08:00:00
100088,100088,,2024-01-03 09:00:00,2024-01-24 08:00:00
100089,100089,,2024-01-10 09:00:00,2024-01-24 08:00:00
100090,100090,,2024-01-10 09:00:00,2024-01-24 08:00:00
100091,100091,,2024-01-17 09:00:00,2024-02-07 08:00:00
100092,100092,,2024-01-17 09:00:00,2024-02-07 08:00:00
100093,100093,,2024-01-24 09:00:00,2024-02-07 08:00:00
100094,100094,,2024-01-24 09:00:00,2024-02-07 08:00:00
100095,100095,,2024-01-31 09:00:00,2024-02-21 08:00:00
100096,100096,,2024-01-31 09:00:00,2024-02-21 08:00:00
100097,100097,,2024-02-07 09:00:00,2024-02-21 08:00:00
100098,100098,,2024-02-07 09:00:00,2024-02-21 08:00:00
100099,100099,,2024-02-14 09:00:00,2024-03-06 08:00:00
100100,100100,,2024-02-14 09:00:00,2024-03-06 08:00:00
100101,100101,,2024-02-21 09:00:00,2024-03-06 08:00:00
100102,100102,,2024-02-21 09:00:00,2024-03-06 08:00:00
100103,100103,,2024-02-28 09:00:00,2024-03-20 08:00:00
100104,100104,,2024-02-28 09:00:00,2024-03-20 08:00:00
100105,100105,,2024-03-06 09:00:00,2024-03-20 08:00:00
100106,100106,,2024-03-06 09:00:00,2024-03-20 08:00:00
100107,100107,,2024-02-28 09:00:00,2024-03-06 08:00:00
100108,100108,,2024-02-28 09:00:00,2024-03-27 08:00:00
100109,100109,,2024-02-28 09:00:00,2024-03-06 08:00:00
100110,100110,,2024-02-28 09:00:00,2024-03-13 08:00:00
100111,100111,,2024-03-13 09:00:00,2024-04-03 08:00:00
100112,100112,,2024-03-13 09:00:00,2024-04-03 08:00:00
100113,100113,,2024-03-20 09:00:00,2024-04-03 08:00:00
100114,100114,,2024-03-20 09:00:00,2024-04-03 08:00:00
100115,100115,,2024-03-27 09:00:00,2024-04-17 08:00:00
100116,100116,,2024-03-27 09:00:00,2024-04-17 08:00:00
100117,100117,,2024-04-03 09:00:00,2024-04-17 08:00:00
100118,100118,,2024-04-03 09:00:00,2024-04-17 08:00:00
100119,100119,,2024-04-10 09:00:00,2024-05-01 08:00:00
100120,100120,,2024-04-10 09:00:00,2024-05-01 08:00:00
100121,100121,,2024-04-10 09:00:00,2024-04-17 08:00:00
100122,100122,,2024-04-10 09:00:00,2024-04-24 08:00:00
100123,100123,,2024-04-17 09:00:00,2024-05-01 08:00:00
100124,100124,,2024-04-17 09:00:00,2024-05-01 08:00:00
100401,100401,,2023-10-04 09:00:00,2023-10-18 08:00:00
100402,100402,,2023-10-04 09:00:00,2023-10-18 08:00:00
100403,100403,,2023-10-04 09:00:00,2023-10-18 08:00:00
101103,101103,,2023-10-11 09:00:00,2023-10-17 22:59:59
101104,101104,,2023-10-11 09:00:00,2023-10-17 22:59:59
300001,300001,,2023-02-09 00:00:00,2023-04-19 08:00:00
300002,300002,,2023-02-09 00:00:00,2023-09-20 08:00:00
300003,300003,,2023-02-09 00:00:00,2023-05-17 08:00:00
400001,400001,,2023-03-21 00:00:00,2025-01-08 08:00:00
400003,400003,,2023-03-21 00:00:00,2025-01-08 08:00:00
400005,400005,,2023-03-21 00:00:00,2023-04-19 08:00:00
400006,400006,,2023-04-19 09:00:00,2023-05-17 08:00:00
400007,400007,,2023-03-21 00:00:00,2023-05-17 08:00:00
400008,400008,,2023-05-03 09:00:00,2023-05-31 08:00:00
400009,400009,,2023-05-31 09:00:00,2023-07-12 08:00:00
400010,400010,,2023-05-10 09:00:00,2023-05-31 08:00:00
400011,400011,,2023-05-17 09:00:00,2023-06-14 08:00:00
400012,400012,,2023-05-17 09:00:00,2025-01-08 08:00:00
400013,400013,,2023-05-31 09:00:00,2023-06-28 08:00:00
400014,400014,,2023-05-31 09:00:00,2025-01-08 08:00:00
400015,400015,,2023-06-28 09:00:00,2023-08-16 08:00:00
400016,400016,,2023-06-14 09:00:00,2023-07-12 08:00:00
400017,400017,,2023-06-28 09:00:00,2023-07-26 08:00:00
400018,400018,,2023-07-12 09:00:00,2023-08-16 08:00:00
400019,400019,,2023-06-21 09:00:00,2023-10-04 08:00:00
400020,400020,,2023-07-12 09:00:00,2023-08-23 08:00:00
400021,400021,,2023-07-26 09:00:00,2023-09-06 08:00:00
400022,400022,,2023-08-09 09:00:00,2023-10-04 08:00:00
400023,400023,,2023-07-26 09:00:00,2025-01-08 08:00:00
400024,400024,,2023-07-26 09:00:00,2023-08-30 08:00:00
400025,400025,,2023-08-16 09:00:00,2023-09-13 08:00:00
400031,400031,,2023-08-30 09:00:00,2023-09-27 08:00:00
400032,400032,,2023-09-13 09:00:00,2023-10-11 08:00:00
400033,400033,,2023-09-13 09:00:00,2025-01-08 08:00:00
400034,400034,,2023-10-18 09:00:00,2023-12-20 08:00:00
400035,400035,,2023-09-27 09:00:00,2023-10-25 08:00:00
400036,400036,,2023-09-27 09:00:00,2023-10-25 08:00:00
400037,400037,,2023-10-05 09:00:00,2024-01-10 08:00:00
400038,400038,,2023-10-11 09:00:00,2023-11-08 08:00:00
400039,400039,,2023-10-18 09:00:00,2023-11-22 08:00:00
400040,400040,,2023-09-26 09:00:00,2025-01-08 08:00:00
400041,400041,,2023-10-25 09:00:00,2023-11-29 08:00:00
400042,400042,,2023-11-08 09:00:00,2023-12-06 08:00:00
400043,400043,,2023-11-22 09:00:00,2023-12-20 08:00:00
400044,400044,,2023-11-01 09:00:00,2023-12-13 08:00:00
400045,400045,,2023-10-25 09:00:00,2023-11-08 08:00:00
400046,400046,,2023-11-29 09:00:00,2023-12-27 08:00:00
400047,400047,,2023-12-13 09:00:00,2024-01-10 08:00:00
400048,400048,,2023-12-20 09:00:00,2024-01-17 08:00:00
400049,400049,,2023-11-29 09:00:00,2024-01-10 08:00:00
400050,400050,,2023-12-13 09:00:00,2024-01-31 08:00:00
400051,400051,,2023-12-20 09:00:00,2024-02-14 08:00:00
400052,400052,,2023-12-27 09:00:00,2024-01-24 08:00:00
400053,400053,,2024-01-10 09:00:00,2024-02-07 08:00:00
400054,400054,,2024-01-17 09:00:00,2024-02-14 08:00:00
400055,400055,,2024-01-10 09:00:00,2024-02-28 08:00:00
400056,400056,,2023-12-20 09:00:00,2025-01-08 08:00:00
400057,400057,,2023-12-20 09:00:00,2025-01-08 08:00:00
400058,400058,,2023-12-20 09:00:00,2025-01-08 08:00:00
400059,400059,,2024-01-24 09:00:00,2024-02-21 08:00:00
400060,400060,,2024-02-07 09:00:00,2024-03-06 08:00:00
400061,400061,,2024-02-14 09:00:00,2024-03-13 08:00:00
400062,400062,,2024-01-31 09:00:00,2024-03-13 08:00:00
400063,400063,,2024-02-14 09:00:00,2024-03-27 08:00:00
400064,400064,,2024-02-14 09:00:00,2024-03-06 08:00:00
400065,400065,,2024-02-14 09:00:00,2024-03-06 08:00:00
400066,400066,,2024-01-10 09:00:00,2024-04-24 08:00:00
400067,400067,,2024-02-21 09:00:00,2024-03-20 08:00:00
400068,400068,,2024-03-06 09:00:00,2024-04-03 08:00:00
400069,400069,,2024-03-13 09:00:00,2024-04-10 08:00:00
400070,400070,,2024-03-20 09:00:00,2025-03-20 08:00:00
400071,400071,,2024-03-13 09:00:00,2024-04-17 08:00:00
400072,400072,,2024-03-13 09:00:00,2024-05-01 08:00:00
400073,400073,,2024-02-28 09:00:00,2024-04-17 08:00:00
400074,400074,,2024-03-27 09:00:00,2024-04-17 08:00:00
400075,400075,,2024-03-27 09:00:00,2024-05-08 08:00:00
400076,400076,,2024-04-10 09:00:00,2024-04-24 08:00:00
400077,400077,,2024-03-20 09:00:00,2024-04-17 08:00:00
400078,400078,,2024-04-03 09:00:00,2024-05-01 08:00:00
400079,400079,,2024-04-10 09:00:00,2024-05-08 08:00:00
400080,400080,,2024-03-20 09:00:00,2025-01-08 08:00:00
400081,400081,,2024-04-17 09:00:00,2024-05-15 08:00:00
426510,426510,,2023-04-26 09:00:00,2023-05-10 08:00:00
504191,504191,,2023-04-19 09:00:00,2023-05-17 08:00:00
504192,504192,,2023-04-19 09:00:00,2023-05-17 08:00:00
505311,505311,,2023-05-31 09:00:00,2023-06-21 08:00:00
605101,605101,,2023-05-10 00:00:00,2023-05-17 23:59:59
606071,606071,,2023-06-07 00:00:00,2023-06-14 23:59:59
726161,726161,,2023-07-26 09:00:00,2023-08-02 08:00:00
2122722,2122722,,2023-08-11 09:00:00,2023-12-27 08:00:00
3000000,3000000,,2023-07-12 09:00:00,2023-07-18 23:00:00
3000001,3000001,,2023-07-12 09:00:00,2023-10-24 23:00:00
3000002,3000002,,2023-07-12 09:00:00,2023-07-26 08:00:00
400026,400026,,2023-08-23 09:00:00,2023-10-18 08:00:00
400027,400027,,2023-07-26 09:00:00,2024-07-24 08:00:00
400028,400028,,2023-09-06 09:00:00,2023-11-01 08:00:00
400029,400029,,2023-09-20 09:00:00,2023-10-18 08:00:00
400030,400030,,2023-10-04 09:00:00,2023-11-29 08:00:00
506,506,,2023-03-21 00:00:00,2023-04-19 08:00:00
700001,700001,,2023-04-05 09:00:00,2023-04-19 08:00:00
700002,700002,,2023-04-05 09:00:00,2023-04-26 08:00:00
700003,700003,,2023-05-17 09:00:00,2023-05-31 08:00:00
700004,700004,,2023-05-17 09:00:00,2023-06-07 08:00:00
700005,700005,,2023-05-31 09:00:00,2023-06-14 08:00:00
700006,700006,,2023-05-31 09:00:00,2023-06-21 08:00:00
700007,700007,,2023-04-26 09:00:00,2023-05-10 08:00:00
700008,700008,,2023-05-10 09:00:00,2023-05-24 08:00:00
700009,700009,,2023-03-24 00:00:00,2023-03-26 23:59:59
700010,700010,,2023-03-29 09:00:00,2023-04-05 08:00:00
700011,700011,,2023-05-10 09:00:00,2023-05-24 08:00:00
700012,700012,,2023-05-17 09:00:00,2023-06-07 08:00:00
700013,700013,,2023-06-07 09:00:00,2023-06-21 08:00:00
700014,700014,,2023-04-12 09:00:00,2023-04-19 08:00:00
700015,700015,,2023-04-26 09:00:00,2023-05-09 08:00:00
700016,700016,,2023-06-14 09:00:01,2023-08-29 08:00:00
700017,700017,,2023-03-21 00:00:00,2023-06-14 09:00:00
700018,700018,,2023-05-03 09:00:00,2023-05-17 08:00:00
700019,700019,,2023-06-07 09:00:00,2023-06-21 08:00:00
700020,700020,,2023-06-07 09:00:00,2023-06-28 08:00:00
700021,700021,,2023-05-10 09:00:00,2023-05-17 08:00:00
700022,700022,,2023-06-21 09:00:00,2023-07-05 08:00:00
700023,700023,,2023-06-28 09:00:00,2023-07-12 08:00:00
700024,700024,,2023-06-28 09:00:00,2023-07-19 08:00:00
700025,700025,,2023-06-21 09:00:00,2023-07-05 08:00:00
700026,700026,,2023-07-05 09:00:00,2023-07-12 08:00:00
700027,700027,,2023-07-12 00:00:00,2023-07-19 23:59:59
700028,700028,,2023-07-19 09:00:00,2023-08-02 08:00:00
700029,700029,,2023-07-19 09:00:00,2023-08-09 08:00:00
700030,700030,,2023-07-12 09:00:00,2023-07-26 08:00:00
700031,700031,,2023-07-12 09:00:00,2023-08-02 08:00:00
700032,700032,,2023-08-02 00:00:00,2023-08-09 23:59:59
700033,700033,,2023-08-23 09:00:00,2023-09-06 08:00:00
700034,700034,,2023-07-26 09:00:00,2023-08-09 08:00:00
700035,700035,,2023-07-26 09:00:00,2023-08-16 08:00:00
700036,700036,,2023-08-09 09:00:00,2023-08-23 08:00:00
700037,700037,,2023-08-09 09:00:00,2023-09-06 08:00:00
700038,700038,,2023-08-16 09:00:00,2023-08-30 08:00:00
700039,700039,,2023-08-16 09:00:00,2023-09-06 08:00:00
700040,700040,,2023-08-23 09:00:00,2023-09-06 08:00:00
700041,700041,,2023-08-23 09:00:00,2023-09-13 08:00:00
700042,700042,,2023-08-02 09:00:00,2023-08-09 08:00:00
700043,700043,,2023-09-06 09:00:00,2023-09-13 08:00:00
700044,700044,,2023-09-13 00:00:00,2023-09-20 23:59:59
700045,700045,,2023-09-20 09:00:00,2023-10-04 08:00:00
700046,700046,,2023-08-30 09:00:00,2023-09-13 08:00:00
700047,700047,,2023-09-06 09:00:00,2023-09-20 08:00:00
700048,700048,,2023-09-06 09:00:00,2023-09-27 08:00:00
700049,700049,,2023-09-13 09:00:00,2023-09-27 08:00:00
700050,700050,,2023-09-13 09:00:00,2023-10-04 08:00:00
700051,700051,,2023-09-26 09:00:01,2023-11-08 08:00:00
700052,700052,,2023-03-21 00:00:00,2023-09-26 09:00:00
700053,700053,,2023-10-04 09:00:00,2023-10-18 08:00:00
700054,700054,,2023-10-04 09:00:00,2023-10-25 08:00:00
700055,700055,,2023-09-26 09:00:00,2023-10-04 08:00:00
700056,700056,,2023-10-18 09:00:00,2023-11-01 08:00:00
700057,700057,,2023-09-26 09:00:00,2023-10-04 08:00:00
700058,700058,,2023-09-26 09:00:00,2023-10-11 08:00:00
700059,700059,,2023-10-11 09:00:00,2023-10-25 08:00:00
700060,700060,,2023-10-18 09:00:00,2023-11-01 08:00:00
700061,700061,,2023-10-18 09:00:00,2023-11-08 08:00:00
700062,700062,,2023-09-26 09:00:00,2023-10-25 08:00:00
700063,700063,,2023-10-25 09:00:00,2023-11-08 08:00:00
700064,700064,,2023-10-25 09:00:00,2023-11-15 08:00:00
700065,700065,,2023-10-25 09:00:00,2023-11-08 08:00:00
700066,700066,,2023-11-08 09:00:00,2023-11-15 08:00:00
700067,700067,,2023-11-01 09:00:00,2023-11-15 08:00:00
700068,700068,,2023-11-08 09:00:00,2023-11-22 08:00:00
700069,700069,,2023-11-08 09:00:00,2023-11-29 08:00:00
700070,700070,,2023-11-22 09:00:00,2023-12-06 08:00:00
700071,700071,,2023-11-15 09:00:00,2023-11-29 08:00:00
700072,700072,,2023-11-29 09:00:00,2023-12-13 08:00:00
700073,700073,,2023-11-29 09:00:00,2023-12-20 08:00:00
700074,700074,,2023-12-06 09:00:00,2023-12-20 08:00:00
700075,700075,,2023-12-06 09:00:00,2023-12-27 08:00:00
700076,700076,,2023-12-13 09:00:00,2024-01-03 08:00:00
700077,700077,,2023-12-20 09:00:00,2024-01-03 08:00:00
700078,700078,,2023-12-20 09:00:00,2024-01-10 08:00:00
700079,700079,,2023-12-13 09:00:01,2024-01-31 08:00:00
700080,700080,,2023-03-21 00:00:00,2023-12-13 09:00:00
700081,700081,,2023-12-13 09:00:00,2023-12-27 08:00:00
1700068,1700068,,2023-11-01 09:00:00,2023-11-22 08:00:00
700090,700090,,2024-01-03 09:00:00,2024-01-17 08:00:00
700091,700091,,2024-01-10 09:00:00,2024-01-24 08:00:00
700092,700092,,2024-01-10 09:00:00,2024-01-24 08:00:00
700093,700093,,2024-01-10 09:00:00,2024-01-31 08:00:00
700094,700094,,2024-01-24 09:00:00,2024-02-07 08:00:00
700095,700095,,2024-01-24 09:00:00,2024-02-14 08:00:00
700096,700096,,2024-01-03 09:00:00,2024-01-24 08:00:00
700097,700097,,2024-03-10 09:00:01,2024-03-15 08:00:00
700098,700098,,2023-03-21 00:00:00,2024-03-10 09:00:00
700099,700099,,2024-02-14 09:00:00,2024-03-06 08:00:00
700100,700100,,2024-01-31 09:00:00,2024-02-14 08:00:00
700101,700101,,2024-01-31 09:00:00,2024-02-21 08:00:00
700102,700102,,2024-02-07 09:00:00,2024-02-21 08:00:00
700103,700103,,2024-02-14 09:00:00,2024-02-28 08:00:00
700104,700104,,2024-02-14 09:00:00,2024-03-06 08:00:00
