OID,Cid,Milestone,Comment,ContentType,Episode,Stage,QuestStartCid,QuestTitle,QuestTitleIpnish,QuestGoal,QuestDesc,QuestStepCids,QuestFailCids,LayerRuleSetCids,GoalWorldLocationCid,CanAbandon,NextQuestCids,StatusChangeCids,NormalLootGroupCid,SelectLootGroupCid,Exp,Gold,Labor,Mastery
1002,1002,Dev,,Main,1,3,,"낯선 땅, 첫 무장","Nasya Minta, Lok Thoum",,"아무리 기다려도 오지 않는 대신관의 심부름꾼을 찾아 나서기로 결심한 개척자.
메다드는 섬을 돌아다니려면 최소한의 무장이 필요하다고 조언하며, 가벼운 장비라도 제작할 때라고 말한다.","[100201,100204,100207]",[],[],0,0,[1003],[],,,560,6600,0,[]
1003,1003,Dev,,Main,1,4,,사라진 신관의 행방,Esya Karobon aen Minax,,"궂은 날씨 속을 달리던 개척자의 시야에, 쓰러진 신관의 모습이 들어온다.
개척자의 도움으로 정신을 차린 신관은, 대신관에게서 맡은 귀중한 짐을 잃어버렸다며 난처해한다.","[100301,100303,100304,100306,100312]",[],[],0,0,[1004],[],8011003,,590,6900,0,[]
1004,1004,Dev,,Main,1,5,,달빛이 닿지 않는 길,Thioloen One Fkan Thomb,,"사라진 신관의 짐을 찾아준 개척자 일행. 신관은 감사의 뜻을 전하며, 자신을 따라온 수습 신관을 보았는지 묻는다. 전투 능력이 없는 어린 신관에게 이니스 섬은 안전하지 않은 곳이다. 개척자는 도움을 요청하는 신관의 말에 따라, 사라진 수습 신관의 행방을 찾기로 한다.","[100401,100402,100408,100409,100410,100411]",[],[],0,0,[1005],[],8011004,,620,7200,0,[]
1005,1005,Dev,,Main,1,6,,이니스 섬 정착,Ynys Mintre Enlut,,수습 신관을 구하고 사라진 허가증을 찾아 섬 출입 권한을 확보한 개척자. 이후 마지막 여정까지 신관을 안전하게 호위하여 목적지인 달그늘 쉼터로 가야한다. 쉼터에서 개척자를 기다리는 인물이 있는 듯하다. ,"[100501,100502]",[],[],0,0,[1006],[],,,650,7600,0,[]
1006,1006,Dev,,Main,1,7,,5년만의 제례,Redita Ybea,,"개척자가 이니스 섬에 정착한 지 5년이 지났다. 제례 기간이 다가오자 섬은 활기로 가득 차고, 섬 사람들 모두 제례 준비로 바쁘다. 개척자도 그들을 돕기 위해 달그늘 쉼터를 한 바퀴 둘러보기로 한다.","[100601,100605,100609,100610,100611]",[],[4],0,0,[1007],[],8011006,,680,8000,0,[]
1007,1007,Dev,,Main,1,8,,잃어버린 서신,Onorijand Yvis,,"개척자는 인력 게시판에서 본 우편 수행자의 사원을 찾아간다. 그곳에서 표정이 어두운 우편 수행자들을 만나, 상황을 듣게 된다. 아무래도 제례 기간에 맞춰 배송해야 하는 물건에 문제가 생긴 듯하다.","[100701,100702,100703,100705,100709]",[],[4],0,0,[1008],[],8011007,,710,8400,0,[]
1008,1008,Dev,,Main,1,9,,이즈나의 기운,Ezna aen Geamu,,"개척자는 고요의 숲에서 얻은 단서를 기억술사 메다드에게 전달하고, 함께 사라진 우편물을 수색하기로 한다.
우편 수행자가 몬스터에게 공격을 받은 이유는 과거 이즈나 대학살 사건과 누이 여신이 연관된 것으로 보인다.","[100801,100804,100805,100806,100807,100808,100809]",[],[4],0,0,[1009],[],,,750,8800,0,[]
1009,1009,Dev,,Main,1,10,,피 묻은 손의 침략,Dran Garpel Tek aen Kabeka,,"이니스 섬에 피 묻은 손이 침입했다. 예상치 못한 공격으로 섬이 혼란에 빠졌다. 개척자와 메다드는 힘을 모아 피 묻은 손의 무리를 물리치고, 섬의 주민들을 구해야 한다.","[100901,100902,100903,100904]",[],"[1,4]",0,0,[],[],8011015,,790,9200,0,[]
2000,2000,Dev,,Main,,,,솔즈리드 반도 퀘스트,,,솔즈리드 반도 GoArea 테스트,"[200000,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014]",[],[],0,0,[],[],8011015,,790,9200,0,[]
9000,9000,Dev,,Dungeon,,,,이즈나의 메아리 정화,,,"이즈나의 메아리는 누이 여신이 이즈나의 대학살 이후 가지게 된 깊은 슬픔과 죄책감이 투영된 공간이다.
여신의 깊은 슬픔과 죄책감에 동화되어 변이된 존재들과, 계속해서 여신의 감정속에 남아 끝없는 전투를 벌이는 존재를 마주치게 된다.
개척자는 이를 정화하고, 분노의 잔재를 처치해야 한다.","[900001,900002,900003,900004,900007,900008,900009,900010,900011,900012,900013,900014,900015,900020,900021,900022,900023,900028,900029,900030,900031,900032,900033]",[9],[],0,1,[],[],,,5,100,0,[]
9001,9001,Dev,,Dungeon,,,,달빛이 닿지 않는 길,,잡혀간 수습 신관 구출,,"[900101,900102]",[],[4],0,1,[],[],,,0,0,0,[]
9002,9002,Dev,,Dungeon,,,,이즈나의 기운,,우편 가방을 지키는 몬스터 저지,,"[900201,900205]",[],[],0,1,[],[],,,0,0,0,[]
9003,9003,Dev,,Dungeon,,,,피 묻은 손의 침략,,신성의 숲을 침략한 피 묻은 손 토벌,,"[900301,900303,900304]",[],[],,,,[],,,,,,
9004,9004,Dev,,Dungeon,,,,피 묻은 손의 침략,,달그늘 쉼터를 침략한 피 묻은 손 토벌,,"[900401,900402,900406,900409,900410,900411]",[],[],,,,[],,,,,,
