OID,Cid,UserCondition,UserConditionValue,Trigger,TargetTier
30363,30363,Equipment,Cloth,KillMonster,Tier6
30364,30364,Equipment,Cloth,KillMonster,Tier6
30365,30365,Equipment,Cloth,KillMonster,Tier6
30371,30371,Equipment,Cloth,KillMonster,Tier7
30372,30372,Equipment,Cloth,KillMonster,Tier7
30373,30373,Equipment,Cloth,KillMonster,Tier7
30374,30374,Equipment,Cloth,KillMonster,Tier7
30375,30375,Equipment,Cloth,KillMonster,Tier7
30376,30376,Equipment,Cloth,KillMonster,Tier7
30377,30377,Equipment,Cloth,KillMonster,Tier7
30378,30378,Equipment,Cloth,KillMonster,Tier7
30379,30379,Equipment,Cloth,KillMonster,Tier7
40001,40001,None,Max,DoodadInteractionOre,Tier1
40002,40002,None,Max,DoodadInteractionOre,Tier2
40003,40003,None,Max,DoodadInteractionOre,Tier3
40004,40004,None,Max,DoodadInteractionOre,Tier4
40005,40005,None,Max,DoodadInteractionOre,Tier5
40006,40006,None,Max,DoodadInteractionOre,Tier6
40007,40007,None,Max,DoodadInteractionOre,Tier7
