OID,Cid,Comment,EnhanceStatGroup,EnhanceStep,StatModifiedCids,EnchantSlot
20310,20310,3티어 방어구 10강,203,10,[20310],
20400,20400,4티어 방어구 1강,204,0,,
20401,20401,4티어 방어구 1강,204,1,[20401],
20402,20402,4티어 방어구 2강,204,2,[20402],
20403,20403,4티어 방어구 3강,204,3,[20403],
20404,20404,4티어 방어구 4강,204,4,[20404],
20405,20405,4티어 방어구 5강,204,5,[20405],
20406,20406,4티어 방어구 6강,204,6,[20406],
20407,20407,4티어 방어구 7강,204,7,[20407],
20408,20408,4티어 방어구 8강,204,8,[20408],
20409,20409,4티어 방어구 9강,204,9,[20409],
20410,20410,4티어 방어구 10강,204,10,[20410],
20500,20500,5티어 방어구 1강,205,0,,
20501,20501,5티어 방어구 1강,205,1,[20501],
20502,20502,5티어 방어구 2강,205,2,[20502],
20503,20503,5티어 방어구 3강,205,3,[20503],
20504,20504,5티어 방어구 4강,205,4,[20504],
20505,20505,5티어 방어구 5강,205,5,[20505],
20506,20506,5티어 방어구 6강,205,6,[20506],
20507,20507,5티어 방어구 7강,205,7,[20507],
20508,20508,5티어 방어구 8강,205,8,[20508],
20509,20509,5티어 방어구 9강,205,9,[20509],
20510,20510,5티어 방어구 10강,205,10,[20510],
20600,20600,6티어 방어구 1강,206,0,,
20601,20601,6티어 방어구 1강,206,1,[20601],
20602,20602,6티어 방어구 2강,206,2,[20602],
20603,20603,6티어 방어구 3강,206,3,[20603],
20604,20604,6티어 방어구 4강,206,4,[20604],
20605,20605,6티어 방어구 5강,206,5,[20605],
20606,20606,6티어 방어구 6강,206,6,[20606],
20607,20607,6티어 방어구 7강,206,7,[20607],
20608,20608,6티어 방어구 8강,206,8,[20608],
20609,20609,6티어 방어구 9강,206,9,[20609],
20610,20610,6티어 방어구 10강,206,10,[20610],
20700,20700,7티어 방어구 1강,207,0,,
20701,20701,7티어 방어구 1강,207,1,[20701],
20702,20702,7티어 방어구 2강,207,2,[20702],
20703,20703,7티어 방어구 3강,207,3,[20703],
20704,20704,7티어 방어구 4강,207,4,[20704],
20705,20705,7티어 방어구 5강,207,5,[20705],
20706,20706,7티어 방어구 6강,207,6,[20706],
20707,20707,7티어 방어구 7강,207,7,[20707],
20708,20708,7티어 방어구 8강,207,8,[20708],
20709,20709,7티어 방어구 9강,207,9,[20709],
20710,20710,7티어 방어구 10강,207,10,[20710],
30300,30300,3티어 악세(공격력) 1강,303,0,,
30301,30301,3티어 악세(공격력) 1강,303,1,[30301],
30302,30302,3티어 악세(공격력) 2강,303,2,[30302],
30303,30303,3티어 악세(공격력) 3강,303,3,[30303],
30304,30304,3티어 악세(공격력) 4강,303,4,[30304],
30305,30305,3티어 악세(공격력) 5강,303,5,[30305],
30306,30306,3티어 악세(공격력) 6강,303,6,[30306],
30307,30307,3티어 악세(공격력) 7강,303,7,[30307],
30308,30308,3티어 악세(공격력) 8강,303,8,[30308],
30309,30309,3티어 악세(공격력) 9강,303,9,[30309],
30310,30310,3티어 악세(공격력) 10강,303,10,[30310],
30400,30400,4티어 악세(공격력) 1강,304,0,,
30401,30401,4티어 악세(공격력) 1강,304,1,[30401],
30402,30402,4티어 악세(공격력) 2강,304,2,[30402],
30403,30403,4티어 악세(공격력) 3강,304,3,[30403],
30404,30404,4티어 악세(공격력) 4강,304,4,[30404],
30405,30405,4티어 악세(공격력) 5강,304,5,[30405],
30406,30406,4티어 악세(공격력) 6강,304,6,[30406],
30407,30407,4티어 악세(공격력) 7강,304,7,[30407],
30408,30408,4티어 악세(공격력) 8강,304,8,[30408],
30409,30409,4티어 악세(공격력) 9강,304,9,[30409],
30410,30410,4티어 악세(공격력) 10강,304,10,[30410],
30500,30500,5티어 악세(공격력) 1강,305,0,,
30501,30501,5티어 악세(공격력) 1강,305,1,[30501],
30502,30502,5티어 악세(공격력) 2강,305,2,[30502],
30503,30503,5티어 악세(공격력) 3강,305,3,[30503],
30504,30504,5티어 악세(공격력) 4강,305,4,[30504],
30505,30505,5티어 악세(공격력) 5강,305,5,[30505],
30506,30506,5티어 악세(공격력) 6강,305,6,[30506],
30507,30507,5티어 악세(공격력) 7강,305,7,[30507],
30508,30508,5티어 악세(공격력) 8강,305,8,[30508],
30509,30509,5티어 악세(공격력) 9강,305,9,[30509],
30510,30510,5티어 악세(공격력) 10강,305,10,[30510],
30600,30600,6티어 악세(공격력) 1강,306,0,,
30601,30601,6티어 악세(공격력) 1강,306,1,[30601],
30602,30602,6티어 악세(공격력) 2강,306,2,[30602],
30603,30603,6티어 악세(공격력) 3강,306,3,[30603],
30604,30604,6티어 악세(공격력) 4강,306,4,[30604],
30605,30605,6티어 악세(공격력) 5강,306,5,[30605],
30606,30606,6티어 악세(공격력) 6강,306,6,[30606],
30607,30607,6티어 악세(공격력) 7강,306,7,[30607],
30608,30608,6티어 악세(공격력) 8강,306,8,[30608],
30609,30609,6티어 악세(공격력) 9강,306,9,[30609],
30610,30610,6티어 악세(공격력) 10강,306,10,[30610],
30700,30700,7티어 악세(공격력) 1강,307,0,,
30701,30701,7티어 악세(공격력) 1강,307,1,[30701],
30702,30702,7티어 악세(공격력) 2강,307,2,[30702],
30703,30703,7티어 악세(공격력) 3강,307,3,[30703],
30704,30704,7티어 악세(공격력) 4강,307,4,[30704],
30705,30705,7티어 악세(공격력) 5강,307,5,[30705],
30706,30706,7티어 악세(공격력) 6강,307,6,[30706],
30707,30707,7티어 악세(공격력) 7강,307,7,[30707],
30708,30708,7티어 악세(공격력) 8강,307,8,[30708],
30709,30709,7티어 악세(공격력) 9강,307,9,[30709],
30710,30710,7티어 악세(공격력) 10강,307,10,[30710],
40300,40300,3티어 악세(방어력) 1강,403,0,,
40301,40301,3티어 악세(방어력) 1강,403,1,[40301],
40302,40302,3티어 악세(방어력) 2강,403,2,[40302],
40303,40303,3티어 악세(방어력) 3강,403,3,[40303],
40304,40304,3티어 악세(방어력) 4강,403,4,[40304],
40305,40305,3티어 악세(방어력) 5강,403,5,[40305],
40306,40306,3티어 악세(방어력) 6강,403,6,[40306],
40307,40307,3티어 악세(방어력) 7강,403,7,[40307],
40308,40308,3티어 악세(방어력) 8강,403,8,[40308],
40309,40309,3티어 악세(방어력) 9강,403,9,[40309],
40310,40310,3티어 악세(방어력) 10강,403,10,[40310],
40400,40400,4티어 악세(방어력) 1강,404,0,,
40401,40401,4티어 악세(방어력) 1강,404,1,[40401],
40402,40402,4티어 악세(방어력) 2강,404,2,[40402],
40403,40403,4티어 악세(방어력) 3강,404,3,[40403],
40404,40404,4티어 악세(방어력) 4강,404,4,[40404],
40405,40405,4티어 악세(방어력) 5강,404,5,[40405],
40406,40406,4티어 악세(방어력) 6강,404,6,[40406],
40407,40407,4티어 악세(방어력) 7강,404,7,[40407],
40408,40408,4티어 악세(방어력) 8강,404,8,[40408],
40409,40409,4티어 악세(방어력) 9강,404,9,[40409],
40410,40410,4티어 악세(방어력) 10강,404,10,[40410],
40500,40500,5티어 악세(방어력) 1강,405,0,,
40501,40501,5티어 악세(방어력) 1강,405,1,[40501],
40502,40502,5티어 악세(방어력) 2강,405,2,[40502],
40503,40503,5티어 악세(방어력) 3강,405,3,[40503],
40504,40504,5티어 악세(방어력) 4강,405,4,[40504],
40505,40505,5티어 악세(방어력) 5강,405,5,[40505],
40506,40506,5티어 악세(방어력) 6강,405,6,[40506],
40507,40507,5티어 악세(방어력) 7강,405,7,[40507],
40508,40508,5티어 악세(방어력) 8강,405,8,[40508],
40509,40509,5티어 악세(방어력) 9강,405,9,[40509],
40510,40510,5티어 악세(방어력) 10강,405,10,[40510],
40600,40600,6티어 악세(방어력) 1강,406,0,,
40601,40601,6티어 악세(방어력) 1강,406,1,[40601],
40602,40602,6티어 악세(방어력) 2강,406,2,[40602],
40603,40603,6티어 악세(방어력) 3강,406,3,[40603],
40604,40604,6티어 악세(방어력) 4강,406,4,[40604],
40605,40605,6티어 악세(방어력) 5강,406,5,[40605],
40606,40606,6티어 악세(방어력) 6강,406,6,[40606],
40607,40607,6티어 악세(방어력) 7강,406,7,[40607],
40608,40608,6티어 악세(방어력) 8강,406,8,[40608],
40609,40609,6티어 악세(방어력) 9강,406,9,[40609],
40610,40610,6티어 악세(방어력) 10강,406,10,[40610],
40700,40700,7티어 악세(방어력) 1강,407,0,,
40701,40701,7티어 악세(방어력) 1강,407,1,[40701],
40702,40702,7티어 악세(방어력) 2강,407,2,[40702],
40703,40703,7티어 악세(방어력) 3강,407,3,[40703],
40704,40704,7티어 악세(방어력) 4강,407,4,[40704],
40705,40705,7티어 악세(방어력) 5강,407,5,[40705],
40706,40706,7티어 악세(방어력) 6강,407,6,[40706],
40707,40707,7티어 악세(방어력) 7강,407,7,[40707],
40708,40708,7티어 악세(방어력) 8강,407,8,[40708],
40709,40709,7티어 악세(방어력) 9강,407,9,[40709],
40710,40710,7티어 악세(방어력) 10강,407,10,[40710],
