OID,Cid,Comment,SequenceBehavior,EnqueuePolicy,HideRemotePlayer,HideMonster,BindingNpcSpawners,Sequence,DestWorldLocationCid,SendFirst
1008091,1008091,서신 배달 안내,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/1008091.1008091_C,0,true
1008092,1008092,5월의 그왈흐와 대화,AllowSkipNoInput,Queue,TRUE,TRUE,[],/Game/A_X7_Sequencer/Quest/1008092.1008092_C,0,false
1008099,1008099,5월의 그왈흐와 대화,NoSkipNoInput,Queue,TRUE,TRUE,"[10000502,10000112]",/Game/A_X7_Sequencer/Quest/1008099.1008099,0,false
1009011,1009011,1009012 재생,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/1009011.1009011_C,0,true
1009012,1009012,날틀 타러 가자고 안내,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/1009012.1009012_C,0,true
1009032,1009032,두다드_날틀 연출,NoSkipNoInput,Queue,TRUE,TRUE,[],/Game/A_X7_Sequencer/Quest/1009032.1009032_C,0,true
1009041,1009041,1009042 재생,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/1009041.1009041_C,0,true
1009042,1009042,부두로 이동하자고 안내,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/1009042.1009042_C,0,true
1009049,1009049,안드리온 1세 도착하는 연출,NoSkipNoInput,Queue,TRUE,TRUE,[],,0,true
1009052,1009052,안드리온 1세와 대화,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/1009052.1009052_C,0,true
9000111,9000111,잊혀진 망자의 회랑 웨이브 연출,AllowSkipNoInput,SessionCutIn ,TRUE,TRUE,[],/Game/A_X7_Sequencer/Quest/9000131.9000131,0,false
9000151,9000151,해골 전사 스폰,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9000151.9000151_C,0,false
901036,901036,절벽 내려가기,NoSkipNoInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/901036_Climb_Down_02.901036_Climb_Down_02,100099,false
901038,901038,절벽 올라가기,NoSkipNoInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/901038_Climb_Up_02.901038_Climb_Up_02,100098,false
9001011,9001011,여명의 길 - 몬스터 스폰 시퀀스,AllowSkipNoInput,SessionCutIn ,TRUE,TRUE,[10000401],/Game/A_X7_Sequencer/Quest/900101.900101,0,false
9001021,9001021,여명의 길 - 놀 우두머리 / 놀 스폰,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9001021.9001021_C,0,false
9002011,9002011,고요의 숲 - 난폭한 정령 스폰,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9002011.9002011_C,0,false
9002021,9002021,고요의 숲 - 오크 족장 스폰,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9002021.9002021_C,0,false
9002012,9002012,고요의 숲 - 오크 대장 스폰 시퀀스,AllowSkipNoInput,SessionCutIn ,TRUE,TRUE,[],/Game/A_X7_Sequencer/Quest/900201.900201,0,false
9003,9003,Quest 9003 progress,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9003.9003_C,0,true
9004,9004,Quest 9004 progress,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9004.9004_C,0,true
9003011,9003011,9003 몬스터 셋팅,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9003011.9003011_C,0,false
9004011,9004011,불타는 달그늘 마을 전경,AllowSkipNoInput,AllCutIn,TRUE,TRUE,[],/Game/A_X7_Sequencer/Cutscenes/C02/C02_master.C02_master,0,false
9004012,9004012,9004 몬스터 셋팅,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9004012.9004012_C,0,false
9004061,9004061,900406 몬스터 셋팅,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9004061.9004061_C,0,false
9004078,9004078,간부 몬스터 셋팅,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9004078.9004078_C,0,false
9004079,9004079,부활한 피 묻은 손 간부 연출,NoSkipNoInput,AllCutIn,TRUE,TRUE,[],/Game/A_X7_Sequencer/Cutscenes/C03/C03_master.C03_master,1013122,false
9004091,9004091,900409 몬스터 셋팅,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/9004091.9004091_C,0,false
901039,901039,901039 두다드,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/901039.901039_C,0,true
901040,901040,901040 두다드,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/901040.901040_C,0,true
901041,901041,901041 두다드,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/901041.901041_C,0,true
901042,901042,901042 두다드,AllowInput,Queue,FALSE,FALSE,[],/Game/A_X7_Sequencer/Quest/901042.901042_C,0,true
