OID,Cid,Comment,DescName,Description,Tier,CargoBackAssetCid,CargoCategory,StatusChangeCids,RecipiencyTime,LifeTime,FieldTime,DoodadCid
20609,20609,,[임시]6T 목재 교역품,,Tier6,20609,Commodity,,600000,10800000,1800000,320609
20701,20701,,[임시]7T 무기 교역품,,Tier7,20701,Commodity,,600000,10800000,1800000,320701
20702,20702,,[임시]7T 방어구 교역품,,Tier7,20702,Commodity,,600000,10800000,1800000,320702
20703,20703,,[임시]7T 장신구 교역품,,Tier7,20703,Commodity,,600000,10800000,1800000,320703
20704,20704,,[임시]7T 요리 교역품,,Tier7,20704,Commodity,,600000,10800000,1800000,320704
20705,20705,,[임시]7T 연금 교역품,,Tier7,20705,Commodity,,600000,10800000,1800000,320705
20706,20706,,[임시]7T 주괴 교역품,,Tier7,20706,Commodity,,600000,10800000,1800000,320706
20707,20707,,[임시]7T 피혁 교역품,,Tier7,20707,Commodity,,600000,10800000,1800000,320707
20708,20708,,[임시]7T 천 교역품,,Tier7,20708,Commodity,,600000,10800000,1800000,320708
20709,20709,,[임시]7T 목재 교역품,,Tier7,20709,Commodity,,600000,10800000,1800000,320709
1020001,1020001,군수품,[임시]이니스 섬 고급 무기 +1 군수품,[임시]등짐 구매 상인에게 판매하여 델피나드의 별을 획득할 수 있습니다.,Tier2,1020001,Supplies,,600000,3600000,600000,320002
3990001,3990001,우편 퀘스트,[임시]우편 수행자의 등짐,[임시]우편 수행자의 등짐입니다. 퀘스트 목표 위치까지 운반하세요.,Tier1,3990001,Cargo,,600000,3600000,600000,310004
