root_id,root_type,root_name,nodeId,id,name,comment,skill_effect
20000208,skill_effect_root,몬스터_공용_중독 Lv.8,200002080030001,20000208,몬스터_공용_중독 Lv.8,8%,200002080030002
20000209,skill_effect_root,몬스터_공용_중독 Lv.9,200002090030001,20000209,몬스터_공용_중독 Lv.9,9%,200002090030002
20000210,skill_effect_root,몬스터_공용_중독 Lv.10,200002100030001,20000210,몬스터_공용_중독 Lv.10,10%,200002100030002
20000601,skill_effect_root,몬스터_공용_불 붙음 Lv.1,200006010030001,20000601,몬스터_공용_불 붙음 Lv.1,1%,200006010030002
20000602,skill_effect_root,몬스터_공용_불 붙음 Lv.2,200006020030001,20000602,몬스터_공용_불 붙음 Lv.2,2%,200006020030002
20000603,skill_effect_root,몬스터_공용_불 붙음 Lv.3,200006030030001,20000603,몬스터_공용_불 붙음 Lv.3,3%,200006030030002
20000604,skill_effect_root,몬스터_공용_불 붙음 Lv.4,200006040030001,20000604,몬스터_공용_불 붙음 Lv.4,4%,200006040030002
20000605,skill_effect_root,몬스터_공용_불 붙음 Lv.5,200006050030001,20000605,몬스터_공용_불 붙음 Lv.5,5%,200006050030002
20000606,skill_effect_root,몬스터_공용_불 붙음 Lv.6,200006060030001,20000606,몬스터_공용_불 붙음 Lv.6,6%,200006060030002
20000607,skill_effect_root,몬스터_공용_불 붙음 Lv.7,200006070030001,20000607,몬스터_공용_불 붙음 Lv.7,7%,200006070030002
20000608,skill_effect_root,몬스터_공용_불 붙음 Lv.8,200006080030001,20000608,몬스터_공용_불 붙음 Lv.8,8%,200006080030002
20000609,skill_effect_root,몬스터_공용_불 붙음 Lv.9,200006090030001,20000609,몬스터_공용_불 붙음 Lv.9,9%,200006090030002
20000610,skill_effect_root,몬스터_공용_불 붙음 Lv.10,200006100030001,20000610,몬스터_공용_불 붙음 Lv.10,10%,200006100030002
21000003,skill_effect_root,이즈나의 메아리 - 외성 경비대장 데로스의 망령 강화(효과),210000030030001,21000003,이즈나의 메아리 - 외성 경비대장 데로스의 망령 강화(효과),틱당 10% HP회복,210000030030002
21250020,skill_effect_root,[누이신전]경비병 대상에게 의심 Stack적용,212500200030001,21250020,[누이신전]경비병 대상에게 의심 Stack적용,29000008	[누이신전] 경비병 시야영역에 들어온 대상,212500200030002
21990001,skill_effect_root,오크 주술사 회복_Dot,219900010030001,21990001,오크 주술사 회복_Dot,,219900010030002
29000010,skill_effect_root,[누이신전] PC에 의해 발생한 몬스터 어그로 디버프,290000100030001,29000010,[누이신전] PC에 의해 발생한 몬스터 어그로 디버프,SC 29000010,290000100030002
29790001,skill_effect_root,안드리온이 몬스터를 소환,297900010030001,29790001,안드리온이 몬스터를 소환,SC 29000004,297900010030002
29790002,skill_effect_root,안드리온이 호위부대를 소환,297900020030001,29790002,안드리온이 호위부대를 소환,SC 29000005,297900020030002
30350002,skill_effect_root,몬스터 말카바돈 화염 도트 피해,303500020030001,30350002,몬스터 말카바돈 화염 도트 피해,,303500020030002
40610001,skill_effect_root,탈것_주인회복,406100010030001,40610001,탈것_주인회복,,406100010030002
