OID,Cid,Comment,TagCid,TagCondition,TargetCondition,TargetWhether,TagConditionFailedStringKey
119,119,정화 있음,119,TRUE,All,TRUE,
120,120,정화 없음,119,FALSE,All,TRUE,
121,121,넘어짐 있음,121,TRUE,All,TRUE,
122,122,넘어짐 없음,121,FALSE,All,TRUE,
123,123,도발 있음,123,TRUE,All,TRUE,
124,124,도발 없음,123,FALSE,All,TRUE,
125,125,매혹 있음,125,TRUE,All,TRUE,
126,126,매혹 없음,125,FALSE,All,TRUE,
127,127,공포 있음,127,TRUE,All,TRUE,
128,128,공포 없음,127,FALSE,All,TRUE,
129,129,실명 있음,129,TRUE,All,TRUE,
130,130,실명 없음,129,FALSE,All,TRUE,
131,131,유령화 있음,131,TRUE,All,TRUE,
132,132,유령화 없음,131,FALSE,All,TRUE,
133,133,화상 있음,133,TRUE,All,TRUE,
134,134,화상 없음,133,FALSE,All,TRUE,
135,135,빙결 있음,135,TRUE,All,TRUE,
136,136,빙결 없음,135,FALSE,All,TRUE,
137,137,석화 있음,137,TRUE,All,TRUE,StoneFailed
138,138,석화 없음,137,FALSE,All,TRUE,StoneFailed
139,139,당겨짐,139,TRUE,All,TRUE,
140,140,밀림,140,TRUE,All,TRUE,
141,141,느려짐 있음,141,TRUE,All,TRUE,
142,142,느려짐 없음,141,FALSE,All,TRUE,
143,143,출혈 있음,143,TRUE,All,TRUE,
144,144,출혈 없음,143,FALSE,All,TRUE,
145,145,중독 있음,145,TRUE,All,TRUE,
146,146,중독 없음,145,FALSE,All,TRUE,
147,147,약화 있음,147,TRUE,All,TRUE,
148,148,약화 없음,147,FALSE,All,TRUE,
149,149,탈 것 탑승 상태,149,TRUE,Self,TRUE,
150,150,탈 것 탑승 상태 아님,149,FALSE,Self,TRUE,
151,151,이동속도 증가 상태,151,TRUE,All,TRUE,
152,152,이동속도 증가 상태 아님,151,FALSE,All,TRUE,
153,153,탈것 질주 상태,7001,TRUE,All,TRUE,
154,154,탈것 질주 상태 아님,7001,FALSE,All,TRUE,
159,159,변신 상태,159,TRUE,All,TRUE,
160,160,변신 상태 아님,159,FALSE,All,TRUE,
170,170,치명상 있음,170,TRUE,All,TRUE,
90001,90001,던전: 이즈나의 메아리에 위치,90001,TRUE,Self,TRUE,
701,701,이니스 섬에 위치,701,TRUE,Self,TRUE,NoZoneYnis
703,703,누이 신전에 위치,703,TRUE,Self,TRUE,NoZoneNuiTemple
100002,100002,신비한 가시 나무,100002,TRUE,All,TRUE,
100701,100701,폭주하는 광휘 Lv.1,100701,TRUE,All,TRUE,
100751,100751,광휘의 심판(본인) Lv.1,100751,TRUE,All,TRUE,
200001,200001,결정타 있음,200001,TRUE,All,TRUE,
200003,200003,결정타 있음,200003,TRUE,All,TRUE,
200005,200005,결정타 있음,200005,TRUE,All,TRUE,
200007,200007,결정타 있음,200007,TRUE,All,TRUE,
200009,200009,결정타 있음,200009,TRUE,All,TRUE,
200100,200100,휘몰이(1타 체크),200100,TRUE,All,TRUE,
200401,200401,1티어 양손검 Q 스킬  1타 썼음,200401,TRUE,All,TRUE,
200451,200451,1티어 양손검 W 스킬 1타 썼음,200451,TRUE,All,TRUE,
200601,200601,2티어 양손검 Q 스킬 몰아치기(2중첩) 있음,200601,TRUE,All,TRUE,
200606,200606,2티어 양손검 Q 스킬 일반 공격 강화(3타 띄우기) 체크 있음,200606,TRUE,All,TRUE,
300001,300001,충격 사격 (Lv.1),300001,TRUE,All,TRUE,
300002,300002,충격 사격 (Lv.2),300002,TRUE,All,TRUE,
300003,300003,충격 사격 (Lv.3),300003,TRUE,All,TRUE,
300004,300004,충격 사격 (Lv.4),300004,TRUE,All,TRUE,
300005,300005,충격 사격 (Lv.5),300005,TRUE,All,TRUE,
400050,400050,빙결 있음,400050,TRUE,All,TRUE,
400051,400051,빙결 없음,400050,FALSE,All,TRUE,
400156,400156,심판의 낙뢰 사용했음,400156,TRUE,All,TRUE,
400157,400157,심판의 낙뢰 사용했음,400157,TRUE,All,TRUE,
400158,400158,심판의 낙뢰 사용했음,400158,TRUE,All,TRUE,
400159,400159,심판의 낙뢰 사용했음,400159,TRUE,All,TRUE,
400160,400160,심판의 낙뢰 사용했음,400160,TRUE,All,TRUE,
500451,500451,어둠의 일격 1타 사용했음,500451,TRUE,All,TRUE,
500001,500001,Q_내리꽂기 Lv.1 있음,500001,TRUE,All,TRUE,
500002,500002,Q_내리꽂기 Lv.2 있음,500002,TRUE,All,TRUE,
500003,500003,Q_내리꽂기 Lv.3 있음,500003,TRUE,All,TRUE,
500004,500004,Q_내리꽂기 Lv.4 있음,500004,TRUE,All,TRUE,
500005,500005,Q_내리꽂기 Lv.5 있음,500005,TRUE,All,TRUE,
500151,500151,어둠의 일격 1타 사용했음,500151,TRUE,All,TRUE,
500251,500251,W_무기 연마 Lv.1 있음,500251,TRUE,All,TRUE,
500252,500252,W_무기 연마 Lv.2 있음,500252,TRUE,All,TRUE,
500253,500253,W_무기 연마 Lv.3 있음,500253,TRUE,All,TRUE,
500254,500254,W_무기 연마 Lv.4 있음,500254,TRUE,All,TRUE,
500255,500255,W_무기 연마 Lv.5 있음,500255,TRUE,All,TRUE,
500301,500301,쌍수 달인 Lv.1 ,500301,TRUE,All,TRUE,
500302,500302,쌍수 달인 Lv.2,500302,TRUE,All,TRUE,
500303,500303,쌍수 달인 Lv.3,500303,TRUE,All,TRUE,
500304,500304,쌍수 달인 Lv.4,500304,TRUE,All,TRUE,
500305,500305,쌍수 달인 Lv.5,500305,TRUE,All,TRUE,
500356,500356,암살자의 분노 반응형 기술 Lv.1,500356,TRUE,All,TRUE,
500357,500357,암살자의 분노 반응형 기술 Lv.2,500357,TRUE,All,TRUE,
500358,500358,암살자의 분노 반응형 기술 Lv.3,500358,TRUE,All,TRUE,
500359,500359,암살자의 분노 반응형 기술 Lv.4,500359,TRUE,All,TRUE,
500360,500360,암살자의 분노 반응형 기술 Lv.5,500360,TRUE,All,TRUE,
500551,500551,암살자의 분노 있음,500551,TRUE,All,TRUE,
500601,500601,피냄새 있음,500601,TRUE,All,TRUE,
500651,500651,침묵의 일격 Lv.1,500651,TRUE,All,TRUE,
800027,800027,이즈나의 메아리 몬스터 일때만,800027,TRUE,All,TRUE,
800029,800029,이즈나의 메아리 탐험가 일때만,800029,TRUE,All,TRUE,
20900000,20900000,보스 몬스터 확인용,20900000,TRUE,All,TRUE,
20000003,20000003,몬스터_공용_기절,101,TRUE,All,TRUE,
20000004,20000004,몬스터_공용_어둠,109,TRUE,All,TRUE,
20000005,20000005,몬스터_공용_부유,115,TRUE,All,TRUE,
21000001,21000001,이즈나의 메아리 - 외성 경비대장 데로스 확인용,21000001,TRUE,Self,TRUE,
21000007,21000007,이즈나의 메아리 - 내성 경비대장 폴라리우스의 망령 확인용,21000007,TRUE,Self,TRUE,
29000002,29000002,안드리온+마상 / 확인용,29000002,TRUE,All,TRUE,
29000008,29000008,[누이신전] PC가 경비병에게 감지되고 있음,29000008,TRUE,All,TRUE,
29000011,29000011,[누이신전] PC가 경비병에게 발각됨,29000011,TRUE,All,TRUE,
30410103,30410103,말카바돈_화염버프 상태임,30410103,TRUE,Self,TRUE,
90100001,90100001,모닥불의 온기,90100005,TRUE,All,TRUE,
90100002,90100002,모닥불의 온기가 식음,90100005,FALSE,All,TRUE,
