OID,Cid,Comment,SkillId,InitialCooltimeMin,InitialCooltimeMax,Interval,ChargeTime
29110032,29110032,"오크 대장_기술2_강찍기,크게배기,회전배기3타",29110032,20000,30000,0,0
30310008,30310008,말카바돈_기술1_브레스,30310008,0,0,0,0
30210001,30210001,말카바돈_기술2_화염지대,30210001,0,0,0,0
30210002,30210002,말카바돈_기술3_화염 폭발(대형),30210002,0,0,0,0
30210003,30210003,말카바돈_기술4_화염구 2회(중형),30210003,0,0,0,0
30310009,30310009,말카바돈_기술5_화염 범위 폭격(11회),30310009,0,0,0,0
30110007,30110007,말카바돈_기술6_1_전방 3연타,30110007,0,0,0,0
30110008,30110008,말카바돈_기술6_2_후방감지 공격,30110008,0,0,0,0
30110009,30110009,말카바돈_기술7_1_좌측 공격,30110009,0,0,0,0
30110010,30110010,말카바돈_기술7_2_우측 공격,30110010,0,0,0,0
30110011,30110011,말카바돈_기술8_1_전방 공격,30110011,0,0,0,0
30110012,30110012,"말카바돈_기술8_2_후방 강타,화염구 3회",30110012,0,0,0,0
30110013,30110013,말카바돈_기술9_우측 약손,30110013,0,0,0,0
30310010,30310010,말카바돈_기술10_화염발톱,30310010,0,0,0,0
30310011,30310011,말카바돈_기술11_화염 투척(대형),30310011,0,0,0,0
30310012,30310012,말카바돈_기술12_버프1연계 폭발,30310012,0,0,0,0
30310013,30310013,말카바돈_기술13_카이팅 방지용 기술,30310013,0,0,0,0
30310014,30310014,말카바돈_기술14_화염 장벽,30310014,0,0,0,0
30410005,30410005,말카바돈_버프2_광폭화,30410005,0,0,0,0
30410006,30410006,말카바돈_버프1_기술12연계 버프,30410006,0,0,0,0
21110011,21110011,스켈레톤_궁병_근거리 밀치기,21110011,0,0,0,0
21250007,21250007,스켈레톤_궁병_원거리 강타,21250007,5000,15000,0,0
21410001,21410001,스켈레톤_궁병_강화,21410001,20000,30000,0,0
21110014,21110014,스켈레톤_창병_내려치기,21110014,0,0,0,0
21110015,21110015,스켈레톤_창병_찌르기,21110015,0,0,0,0
21110016,21110016,스켈레톤_마법병_근거리 밀치기,21110016,0,0,0,0
21250009,21250009,스켈레톤_마법병_원거리 강타,21250009,5000,15000,0,0
21550001,21550001,스켈레톤_마법병_발 묶기,21550001,30000,40000,0,0
21250010,21250010,스켈레톤_전사_투척,21250010,10000,20000,0,0
21310001,21310001,스켈레톤_전사_독분사,21310001,30000,40000,0,0
21110019,21110019,스켈레톤_전사_3연타,21110019,5000,15000,0,0
21110024,21110024,도바비안_투사_기술1_빠른3연타,21110024,0,0,0,0
21310002,21310002,도바비안_주술사_영역,21310002,15000,25000,0,0
21550002,21550002,도바비안_주술사_저주,21550002,0,0,0,0
21110029,21110029,도바비안_전사_기술1_찌르기,21110029,0,0,0,0
21410002,21410002,도바비안_전사_강화_방패막기,21410002,0,0,0,0
21110030,21110030,도바비안_전사_기술2_방패강타,21110030,0,0,0,0
21310003,21310003,도바비안_지휘관_2연타,21310003,0,0,0,0
21310005,21310005,도바비안_지휘관_범위공격,21310005,0,0,0,0
21310006,21310006,도바비안_지휘관_영역공격,21310006,10000,20000,0,0
21510002,21510002,도바비안_지휘관_약화,21510002,30000,40000,0,0
25110003,25110003,오우거 곤봉_기술1_리프 어택,25110003,0,0,0,0
25110004,25110004,오우거 곤봉_기술2_휘두르고 밟기,25110004,0,0,0,0
25110005,25110005,오우거 곤봉_기술3_점프 강찍기,25110005,0,0,0,0
25110006,25110006,오우거 곤봉_기술4_좌우 휘두르기,25110006,0,0,0,0
25110007,25110007,오우거 곤봉_기술5_발차기,25110007,0,0,0,0
25110008,25110008,오우거 도끼_기술1_휘두르고 찍기,25110008,0,0,0,0
25110009,25110009,오우거 도끼_기술2_강 배기,25110009,0,0,0,0
25110010,25110010,오우거 도끼_기술3_강 찍기,25110010,0,0,0,0
25110011,25110011,오우거 도끼_기술4_2회전배기,25110011,0,0,0,0
25110012,25110012,오우거 대검_기술1_강 찍기,25110012,0,0,0,0
25110013,25110013,오우거 대검_기술2_횡배기,25110013,0,0,0,0
25110014,25110014,"오우거 대검_기술3_리프 강 찍기,찍기",25110014,0,0,0,0
25750001,25750001,오우거 카이팅 방지 기술_리프 넘어트리기,25750001,0,0,0,0
21310007,21310007,몬스터 팬텀 궁병_기술1_점프샷,21310007,0,0,0,0
21250014,21250014,몬스터 팬텀 궁병_기술2_차징샷,21250014,0,0,0,0
21110033,21110033,몬스터 팬텀 대검병_기술1_내려치기,21110033,0,0,0,0
21110034,21110034,몬스터 팬텀 대검병_기술2_올려배기,21110034,0,0,0,0
21110036,21110036,몬스터 팬텀 창병_기술1_강한 찌르기,21110036,0,0,0,0
21110037,21110037,몬스터 팬텀 창병_기술2_휘두르고 찌르기,21110037,0,0,0,0
21110040,21110040,몬스터 팬텀 검병_기술1_점프 내려배기,21110040,0,0,0,0
21110041,21110041,"몬스터 팬텀 검병_기술2_횡배기 2회, 찌르기",21110041,0,0,0,0
21510003,21510003,몬스터 팬텀 양손도끼_기술1_광역넉백,21510003,0,0,0,0
21110044,21110044,몬스터 팬텀 양손도끼_기술2_이중배기,21110044,0,0,0,0
25110018,25110018,몬스터 팬텀 지휘관_기술1_강한 횡배기,25110018,0,0,0,0
25310001,25310001,몬스터 팬텀 지휘관_기술2_주먹 찍기(넉백),25310001,0,0,0,0
25110019,25110019,몬스터 팬텀 지휘관_기술3_찍고 점프찍기,25110019,0,0,0,0
25110020,25110020,몬스터 팬텀 지휘관_기술4_양손 강배기 2회,25110020,0,0,0,0
25550001,25550001,몬스터 팬텀 지휘관_기술5_당기기,25550001,0,0,0,0
25410001,25410001,몬스터 팬텀 지휘관_강화_광폭화,25410001,30000,30000,0,0
21610001,21610001,몬스터 팬텀 공용_포션 마시기,21610001,20000,30000,0,0
21250015,21250015,몬스터 물 정령_대상 위치 물기둥 생성,21250015,3000,13000,0,0
21110046,21110046,몬스터 나무 정령_강타,21110046,3000,13000,0,0
21310008,21310008,몬스터 돌 정령_돌진,21310008,5000,15000,0,0
21250019,21250019,몬스터 이끼 정령_위치 덩쿨 묶기,21250019,5000,15000,0,0
21110045,21110045,몬스터 피 묻은 손 전사_강타,21110045,5000,15000,0,0
21250016,21250016,몬스터 피 묻은 손 궁수_3연사,21250016,3000,13000,0,0
21250017,21250017,몬스터 피 묻은 손 마법사_대상 위치 폭발,21250017,3000,13000,0,1000
21250018,21250018,몬스터 피 묻은 손 암살자_급습,21250018,1000,11000,0,0
23110003,23110003,몬스터 피 묻은 손 돌격대장_강타,23110003,3000,13000,0,0
23110004,23110004,몬스터 피 묻은 손 돌격대장_회전배기,23110004,5000,15000,0,0
23410001,23410001,몬스터 피 묻은 손 돌격대장_분노(버프),23410001,15000,25000,0,0
25250001,25250001,몬스터 피 묻은 손 지휘관_3연타,25250001,3000,13000,0,0
25250002,25250002,몬스터 피 묻은 손 지휘관_저주의 손길,25250002,10000,20000,0,0
25610001,25610001,몬스터 피 묻은 손 지휘관_회복,25610001,20000,30000,0,0
29310001,29310001,몬스터 피 묻은 손 간부_광역 낙뢰,29310001,20000,20000,0,0
29310002,29310002,몬스터 피 묻은 손 간부_주변 넉백,29310002,10000,10000,0,0
29310003,29310003,몬스터 피 묻은 손 간부_피의 창,29310003,15000,15000,0,0
29250001,29250001,몬스터 피 묻은 손 간부_피의 창,29250001,15000,15000,0,0
29610001,29610001,몬스터 피 묻은 손 간부_회복,29610001,30000,40000,0,0
30150001,30150001,몬스터 부활한 피 묻은 손 간부_방패 타격,30150001,10000,10000,0,0
30310015,30310015,몬스터 부활한 피 묻은 손 간부_횡배기 영역공격,30310015,20000,20000,0,0
30250003,30250003,몬스터 부활한 피 묻은 손 간부_급습,30250003,15000,15000,0,0
30410007,30410007,몬스터 부활한 피 묻은 손 간부_광폭화,30410007,15000,15000,0,0
30610001,30610001,몬스터 부활한 피 묻은 손 간부_회복+부하소환,30610001,15000,15000,0,0
30110027,30110027,몬스터 부활한 피 묻은 손 간부_강타,30110027,15000,15000,0,0
30110028,30110028,몬스터 부활한 피 묻은 손 간부_회전배기,30110028,15000,15000,0,0
30410008,30410008,몬스터 부활한 피 묻은 손 간부_분노(버프),30410008,25000,25000,0,0
30110018,30110018,하얀 모래의 페르눈 기술1 집게발 일점 폭파,30110018,0,0,0,0
30110019,30110019,하얀 모래의 페르눈 기술2 집게발 쓸기,30110019,0,0,0,0
30110020,30110020,하얀 모래의 페르눈 기술3 거품분사,30110020,0,0,0,0
30110021,30110021,하얀 모래의 페르눈 기술4 지면연타,30110021,0,0,0,0
30350003,30350003,하얀 모래의 페르눈 기술5 파고들기-뛰어오르기,30350003,0,0,0,0
30350004,30350004,하얀 모래의 페르눈 기술6 짧은 점프,30350004,0,0,0,0
30310016,30310016,하얀 모래의 페르눈 기술7 큰 점프,30310016,0,0,0,0
30110022,30110022,하얀 모래의 페르눈 기술8 돌진,30110022,0,0,0,0
30210004,30210004,영혼을 거두는 모르가리스 기술1 암흑 칼날,30210004,0,0,0,0
30310017,30310017,영혼을 거두는 모르가리스 기술2 사기 발산,30310017,0,0,0,0
30310018,30310018,영혼을 거두는 모르가리스 기술3 사령의 창,30310018,0,0,0,0
30110026,30110026,영혼을 거두는 모르가리스 기술4 영혼 분쇄,30110026,0,0,0,0
30310019,30310019,영혼을 거두는 모르가리스 기술5 망령의 파도,30310019,0,0,0,0
30710001,30710001,영혼을 거두는 모르가리스 소환 강림,30710001,0,0,0,0
30510001,30510001,영혼을 거두는 모르가리스 약화 영혼 수확,30510001,0,0,0,0
21110048,21110048,몬스터_난폭한 맷돼지 타격,21110048,10000,20000,0,0
23110005,23110005,몬스터_성난 불곰 타격,23110005,10000,20000,0,0
21350001,21350001,몬스터_멧돼지 돌진 공격,21350001,10000,20000,0,0
21110050,21110050,몬스터_바다 거북 기술(Range넓음),21110050,15000,25000,0,0
21110053,21110053,몬스터_바다 게 기술(Range넓음),21110053,15000,25000,0,0
21250021,21250021,몬스터_흙 정령_돌 투척,21250021,10000,20000,0,0
23110007,23110007,몬스터_흙 정령_Big_영역 공격,23110007,15000,25000,0,0
21610003,21610003,몬스터_수습 의무병_회복,21610003,30000,40000,0,0
21610004,21610004,몬스터_피 묻은 손 수습 의무병_회복,21610004,30000,40000,0,0
21110054,21110054,몬스터 두들링 전사 회전배기(3Hit),21110054,20000,30000,0,0
21310012,21310012,몬스터 두들링 주술사 화염구(1Hit/화염Dot),21310012,30000,40000,0,0
21110055,21110055,몬스터 두들링 염탐꾼 지면파괴(1Hit),21110055,30000,40000,0,0
21110056,21110056,몬스터 두들링 염탐꾼 양손타격(2Hit),21110056,15000,25000,0,0
21110060,21110060,몬스터 벌 강타,21110060,15000,25000,0,0
25150001,25150001,몬스터 벌 중독강타,25150001,10000,20000,0,0
21110062,21110062,몬스터 거미 강타,21110062,15000,25000,0,0
23550001,23550001,몬스터 거미 속박,23550001,10000,20000,0,0
21410003,21410003,몬스터_망자 주민_분노,21410003,25000,35000,0,0
21110063,21110063,몬스터_망자 염탐꾼_기술1,21110063,20000,30000,0,0
21110064,21110064,몬스터_망자 염탐꾼_기술2,21110064,20000,30000,0,0
21110065,21110065,몬스터_망자 염탐꾼_기술3,21110065,20000,30000,0,0
21110066,21110066,몬스터_망자 염탐꾼_기술4,21110066,20000,30000,0,0
21110067,21110067,몬스터_망자 전사_기술1,21110067,20000,30000,0,0
21110068,21110068,몬스터_망자 전사_기술2,21110068,20000,30000,0,0
21550003,21550003,몬스터_망자 전사_공포,21550003,25000,35000,0,0
30150002,30150002,몬스터_심연의 코맥 기술1 연쇄폭발,30150002,30000,40000,0,0
30310020,30310020,몬스터_심연의 코맥 기술2 배기,30310020,10000,20000,0,0
23410002,23410002,몬스터_데로스 부하_대장 SC지급,23410002,0,0,0,0
21450001,21450001,몬스터_대학살의 파편 조각_폴라리우스 버프,21450001,0,0,0,0
20310001,20310001,토템 폭발,20310001,0,0,0,0
20550001,20550001,접근 시 창꽂힘 영역 스폰,20550001,0,0,0,0
20450001,20450001,토템_이속증가 발사,20450001,0,0,0,0
20450002,20450002,토템_공속증가 발사,20450002,0,0,0,0
20450003,20450003,토템_시전감소 발사,20450003,0,0,0,0
29790001,29790001,(퀘스트) 안드리온에게 몬스터 소환,29790001,0,0,0,0
29790002,29790002,(퀘스트) 안드리온에게 호위병 소환,29790002,0,0,0,0
21990001,21990001,테스트_인디케이터_원형_O,21990001,0,0,0,0
21990002,21990002,테스트_인디케이터_원형_I,21990002,0,0,0,0
21990003,21990003,테스트_인디케이터_삼각_O,21990003,0,0,0,0
21990004,21990004,테스트_인디케이터_삼각_I,21990004,0,0,0,0
21990005,21990005,테스트_인디케이터_사각_O,21990005,0,0,0,0
21990006,21990006,테스트_인디케이터_사각_I,21990006,0,0,0,0
21990007,21990007,테스트_인디케이터_사각_L,21990007,0,0,0,0
21990008,21990008,테스트_인디케이터_사각_R,21990008,0,0,0,0
21150003,21150003,[누이신전]경비병이 발각 대상 공격,21150003,0,0,0,0
21310009,21310009,[누이신전] 신관 영역 기도1,21310009,0,0,0,0
