OID,Cid,ZoneCid,Boundaries
110,110,1000,"((X=379500.000000,Y=-181910.000000),(X=379520.000000,Y=-181980.000000),(X=379590.000000,Y=-182040.000000),(X=379741.000000,Y=-182105.000000),(X=379742.000000,Y=-182105.000000),(X=379780.000000,Y=-181970.000000),(X=379540.000000,Y=-181850.000000),(X=0.000000,Y=0.000000),(X=379660.000000,Y=-182070.000000),(X=379720.000000,Y=-182110.000000),(X=379740.000000,Y=-182110.000000),(X=379742.000000,Y=-182105.000000),(X=0.000000,Y=0.000000),(X=379779.000000,Y=-181972.000000),(X=379910.000000,Y=-182050.000000),(X=379920.000000,Y=-182040.000000),(X=379780.000000,Y=-181970.000000),(X=0.000000,Y=0.000000),(X=379760.000000,Y=-182040.000000),(X=379810.000000,Y=-181990.000000),(X=379780.000000,Y=-181972.000000),(X=379779.000000,Y=-181972.000000),(X=0.000000,Y=0.000000),(X=379648.000000,Y=-181904.000000),(X=379882.000000,Y=-182021.000000),(X=379780.000000,Y=-181750.000000),(X=379700.000000,Y=-181730.000000),(X=0.000000,Y=0.000000),(X=379600.000000,Y=-181880.000000),(X=379648.000000,Y=-181904.000000),(X=379670.000000,Y=-181830.000000),(X=0.000000,Y=0.000000),(X=379810.000000,Y=-181830.000000),(X=379882.000000,Y=-182021.000000),(X=379920.000000,Y=-182040.000000),(X=379940.000000,Y=-182020.000000),(X=379980.000000,Y=-181940.000000))"
111,111,1000,"((X=372656.000000,Y=-174923.000000),(X=372700.000000,Y=-174960.000000),(X=372957.000000,Y=-175063.000000),(X=373138.000000,Y=-174857.000000),(X=373120.000000,Y=-174830.000000),(X=0.000000,Y=0.000000),(X=372680.000000,Y=-175170.000000),(X=372820.000000,Y=-175220.000000),(X=372957.000000,Y=-175063.000000),(X=372750.000000,Y=-174980.000000),(X=372700.000000,Y=-175080.000000),(X=0.000000,Y=0.000000),(X=372973.000000,Y=-175045.000000),(X=373130.000000,Y=-175090.000000),(X=373160.000000,Y=-174970.000000),(X=373160.000000,Y=-174890.000000),(X=373138.000000,Y=-174857.000000),(X=0.000000,Y=0.000000),(X=372889.000000,Y=-175141.000000),(X=372982.000000,Y=-175048.000000),(X=372973.000000,Y=-175045.000000),(X=0.000000,Y=0.000000),(X=372920.000000,Y=-175110.000000),(X=373060.000000,Y=-175070.000000),(X=372982.000000,Y=-175048.000000),(X=0.000000,Y=0.000000),(X=372630.000000,Y=-174900.000000),(X=372656.000000,Y=-174923.000000),(X=372970.000000,Y=-174860.000000),(X=372792.000000,Y=-174830.000000),(X=372660.000000,Y=-174810.000000),(X=0.000000,Y=0.000000),(X=372850.000000,Y=-174840.000000),(X=372970.000000,Y=-174860.000000),(X=373020.000000,Y=-174850.000000),(X=372970.000000,Y=-174790.000000),(X=372920.000000,Y=-174770.000000))"
112,112,1000,"((X=367613.000000,Y=-149451.000000),(X=367750.000000,Y=-149520.000000),(X=367790.000000,Y=-149510.000000),(X=367840.000000,Y=-149460.000000),(X=367850.000000,Y=-149380.000000),(X=367840.000000,Y=-149290.000000),(X=367810.000000,Y=-149230.000000),(X=367740.000000,Y=-149180.000000),(X=367690.000000,Y=-149220.000000),(X=0.000000,Y=0.000000),(X=367610.000000,Y=-149450.000000),(X=367613.000000,Y=-149451.000000),(X=367670.000000,Y=-149280.000000),(X=367610.000000,Y=-149270.000000),(X=0.000000,Y=0.000000),(X=367610.000000,Y=-149620.000000),(X=367660.000000,Y=-149610.000000),(X=367700.000000,Y=-149560.000000),(X=367710.000000,Y=-149500.000000),(X=367610.000000,Y=-149450.000000),(X=0.000000,Y=0.000000),(X=367450.000000,Y=-149373.000000),(X=367550.000000,Y=-149507.000000),(X=367550.000000,Y=-149300.000000),(X=367520.000000,Y=-149280.000000),(X=0.000000,Y=0.000000),(X=367550.000000,Y=-149507.000000),(X=367610.000000,Y=-149587.000000),(X=367610.000000,Y=-149300.000000),(X=367550.000000,Y=-149340.000000),(X=0.000000,Y=0.000000),(X=367410.000000,Y=-149320.000000),(X=367450.000000,Y=-149373.000000),(X=367490.000000,Y=-149320.000000),(X=0.000000,Y=0.000000),(X=367390.000000,Y=-149500.000000),(X=367440.000000,Y=-149520.000000),(X=367544.000000,Y=-149499.000000),(X=367440.000000,Y=-149360.000000),(X=367420.000000,Y=-149390.000000),(X=0.000000,Y=0.000000),(X=367532.000000,Y=-149502.000000),(X=367550.000000,Y=-149590.000000),(X=367610.000000,Y=-149620.000000),(X=367610.000000,Y=-149587.000000),(X=367544.000000,Y=-149499.000000),(X=367532.000000,Y=-149501.000000),(X=0.000000,Y=0.000000),(X=367490.000000,Y=-149510.000000),(X=367540.000000,Y=-149540.000000),(X=367532.000000,Y=-149501.000000))"
113,113,1000,"((X=355569.000000,Y=-156287.000000),(X=355790.000000,Y=-156420.000000),(X=356030.000000,Y=-156300.000000),(X=356050.000000,Y=-156200.000000),(X=355990.000000,Y=-156100.000000),(X=355850.000000,Y=-156100.000000),(X=0.000000,Y=0.000000),(X=355528.000000,Y=-156263.000000),(X=355569.000000,Y=-156287.000000),(X=355730.000000,Y=-156180.000000),(X=355530.000000,Y=-156260.000000),(X=0.000000,Y=0.000000),(X=355199.000000,Y=-156646.000000),(X=355320.000000,Y=-156710.000000),(X=355450.000000,Y=-156730.000000),(X=355590.000000,Y=-156540.000000),(X=355626.000000,Y=-156322.000000),(X=355528.000000,Y=-156263.000000),(X=0.000000,Y=0.000000),(X=355610.000000,Y=-156420.000000),(X=355690.000000,Y=-156360.000000),(X=355626.000000,Y=-156322.000000),(X=0.000000,Y=0.000000),(X=355110.000000,Y=-156410.000000),(X=355120.000000,Y=-156490.000000),(X=355170.000000,Y=-156630.000000),(X=355199.000000,Y=-156646.000000),(X=355410.000000,Y=-156400.000000))"
114,114,1000,"((X=358450.000000,Y=-151590.000000),(X=358500.000000,Y=-151670.000000),(X=358590.000000,Y=-151790.000000),(X=358740.000000,Y=-151740.000000),(X=358760.000000,Y=-151680.000000),(X=358524.000000,Y=-151256.000000),(X=0.000000,Y=0.000000),(X=358524.000000,Y=-151256.000000),(X=358710.000000,Y=-151590.000000),(X=358820.000000,Y=-151490.000000),(X=358559.000000,Y=-151099.000000),(X=0.000000,Y=0.000000),(X=358420.000000,Y=-151320.000000),(X=358490.000000,Y=-151410.000000),(X=358559.000000,Y=-151099.000000),(X=358521.000000,Y=-151042.000000),(X=0.000000,Y=0.000000),(X=358460.000000,Y=-151210.000000),(X=358521.000000,Y=-151042.000000),(X=358470.000000,Y=-150965.000000),(X=0.000000,Y=0.000000),(X=358400.000000,Y=-150800.000000),(X=358476.000000,Y=-150975.000000),(X=358659.000000,Y=-151249.000000),(X=358814.000000,Y=-151032.000000),(X=358620.000000,Y=-150700.000000),(X=358520.000000,Y=-150690.000000),(X=0.000000,Y=0.000000),(X=358470.000000,Y=-150965.000000),(X=358476.000000,Y=-150975.000000),(X=358477.000000,Y=-150975.000000),(X=358470.000000,Y=-150960.000000),(X=0.000000,Y=0.000000),(X=358690.000000,Y=-150820.000000),(X=358814.000000,Y=-151032.000000),(X=358830.000000,Y=-151010.000000),(X=358800.000000,Y=-150840.000000),(X=0.000000,Y=0.000000),(X=358659.000000,Y=-151249.000000),(X=358720.000000,Y=-151340.000000),(X=358760.000000,Y=-151220.000000),(X=358730.000000,Y=-151150.000000))"
115,115,1000,"((X=362049.000000,Y=-149379.000000),(X=362080.000000,Y=-149810.000000),(X=362140.000000,Y=-149920.000000),(X=362270.000000,Y=-149870.000000),(X=362340.000000,Y=-149780.000000),(X=362320.000000,Y=-149710.000000),(X=362260.000000,Y=-149590.000000),(X=0.000000,Y=0.000000),(X=362047.000000,Y=-149351.000000),(X=362049.000000,Y=-149379.000000),(X=362170.000000,Y=-149500.000000),(X=362100.000000,Y=-149390.000000),(X=0.000000,Y=0.000000),(X=361590.000000,Y=-149400.000000),(X=361710.000000,Y=-149510.000000),(X=361810.000000,Y=-149520.000000),(X=362054.000000,Y=-149439.000000),(X=362047.000000,Y=-149351.000000),(X=361950.000000,Y=-149280.000000),(X=361830.000000,Y=-149240.000000),(X=361680.000000,Y=-149270.000000),(X=361620.000000,Y=-149350.000000),(X=0.000000,Y=0.000000),(X=361900.000000,Y=-149490.000000),(X=361920.000000,Y=-149590.000000),(X=362068.000000,Y=-149646.000000),(X=362054.000000,Y=-149439.000000),(X=362053.000000,Y=-149439.000000),(X=0.000000,Y=0.000000),(X=362000.000000,Y=-149620.000000),(X=362070.000000,Y=-149670.000000),(X=362068.000000,Y=-149646.000000))"
1,1,9997,"((X=-608.000000,Y=-1130.000000),(X=-390.000000,Y=-1554.000000),(X=-344.000000,Y=-1561.000000),(X=-291.000000,Y=-1487.000000),(X=-257.000000,Y=-1181.000000),(X=-286.000000,Y=-1112.000000),(X=-401.000000,Y=-1051.000000),(X=0.000000,Y=0.000000),(X=-270.000000,Y=-1298.000000),(X=-248.000000,Y=-1231.000000),(X=-251.000000,Y=-1195.000000),(X=-257.000000,Y=-1181.000000),(X=0.000000,Y=0.000000),(X=-401.000000,Y=-1051.000000),(X=-337.000000,Y=-1085.000000),(X=-338.000000,Y=-1084.000000),(X=-397.000000,Y=-1049.000000),(X=0.000000,Y=0.000000),(X=-618.000000,Y=-1111.000000),(X=-608.000000,Y=-1130.000000),(X=-514.000000,Y=-1094.000000),(X=-581.000000,Y=-1091.000000),(X=0.000000,Y=0.000000),(X=-770.000000,Y=-1307.000000),(X=-688.000000,Y=-1531.000000),(X=-595.000000,Y=-1549.000000),(X=-501.000000,Y=-1559.000000),(X=-409.000000,Y=-1516.000000),(X=-618.000000,Y=-1111.000000),(X=-647.000000,Y=-1127.000000),(X=-723.000000,Y=-1232.000000),(X=0.000000,Y=0.000000),(X=-772.000000,Y=-1355.000000),(X=-729.000000,Y=-1419.000000),(X=-770.000000,Y=-1307.000000))"
2,2,9997,"((X=-1049.000000,Y=-904.000000),(X=-1047.000000,Y=-931.000000),(X=-1036.000000,Y=-987.000000),(X=-944.000000,Y=-980.000000),(X=-910.000000,Y=-888.000000),(X=-1047.000000,Y=-865.000000),(X=0.000000,Y=0.000000),(X=-1042.000000,Y=-956.000000),(X=-1040.000000,Y=-987.000000),(X=-1036.000000,Y=-987.000000),(X=0.000000,Y=0.000000),(X=-1027.000000,Y=-986.000000),(X=-956.000000,Y=-1012.000000),(X=-944.000000,Y=-980.000000),(X=0.000000,Y=0.000000),(X=-912.000000,Y=-994.000000),(X=-827.000000,Y=-1000.000000),(X=-788.000000,Y=-949.000000),(X=-816.000000,Y=-903.000000),(X=-842.000000,Y=-899.000000),(X=0.000000,Y=0.000000),(X=-940.000000,Y=-969.000000),(X=-901.000000,Y=-979.000000),(X=-842.000000,Y=-899.000000),(X=-910.000000,Y=-888.000000),(X=0.000000,Y=0.000000),(X=-1000.000000,Y=-873.000000),(X=-816.000000,Y=-904.000000),(X=-816.000000,Y=-903.000000),(X=-897.000000,Y=-770.000000),(X=-898.000000,Y=-770.000000),(X=-981.000000,Y=-804.000000),(X=-998.000000,Y=-814.000000),(X=0.000000,Y=0.000000),(X=-1023.000000,Y=-869.000000),(X=-1000.000000,Y=-873.000000),(X=-999.000000,Y=-844.000000),(X=0.000000,Y=0.000000),(X=-909.000000,Y=-762.000000),(X=-899.000000,Y=-770.000000),(X=-897.000000,Y=-770.000000),(X=-904.000000,Y=-759.000000),(X=0.000000,Y=0.000000),(X=-935.000000,Y=-785.000000),(X=-899.000000,Y=-770.000000),(X=-908.000000,Y=-763.000000),(X=0.000000,Y=0.000000),(X=-904.000000,Y=-760.000000),(X=-826.000000,Y=-887.000000),(X=-773.000000,Y=-843.000000),(X=-840.000000,Y=-772.000000),(X=0.000000,Y=0.000000),(X=-840.000000,Y=-772.000000),(X=-809.000000,Y=-805.000000),(X=-799.000000,Y=-780.000000),(X=0.000000,Y=0.000000),(X=-826.000000,Y=-887.000000),(X=-810.000000,Y=-913.000000),(X=-787.000000,Y=-889.000000),(X=-795.000000,Y=-861.000000),(X=-826.000000,Y=-886.000000),(X=0.000000,Y=0.000000),(X=-794.000000,Y=-694.000000),(X=-765.000000,Y=-730.000000),(X=-742.000000,Y=-734.000000),(X=-704.000000,Y=-678.000000),(X=-718.000000,Y=-650.000000),(X=0.000000,Y=0.000000),(X=-904.000000,Y=-760.000000),(X=-830.000000,Y=-774.000000),(X=-823.000000,Y=-745.000000),(X=-822.000000,Y=-710.000000),(X=-904.000000,Y=-759.000000),(X=0.000000,Y=0.000000),(X=-822.000000,Y=-721.000000),(X=-779.000000,Y=-713.000000),(X=-794.000000,Y=-694.000000),(X=-822.000000,Y=-710.000000),(X=0.000000,Y=0.000000),(X=-991.000000,Y=-594.000000),(X=-762.000000,Y=-675.000000),(X=-718.000000,Y=-650.000000),(X=-763.000000,Y=-562.000000),(X=-991.000000,Y=-577.000000),(X=0.000000,Y=0.000000),(X=-754.000000,Y=-579.000000),(X=-739.000000,Y=-609.000000),(X=-724.000000,Y=-580.000000),(X=0.000000,Y=0.000000),(X=-763.000000,Y=-562.000000),(X=-754.000000,Y=-579.000000),(X=-752.000000,Y=-579.000000),(X=-757.000000,Y=-562.000000),(X=0.000000,Y=0.000000),(X=-933.000000,Y=-744.000000),(X=-909.000000,Y=-762.000000),(X=-762.000000,Y=-675.000000),(X=-869.000000,Y=-637.000000),(X=0.000000,Y=0.000000),(X=-946.000000,Y=-610.000000),(X=-892.000000,Y=-676.000000),(X=-869.000000,Y=-637.000000),(X=0.000000,Y=0.000000),(X=-917.000000,Y=-646.000000),(X=-909.000000,Y=-704.000000),(X=-892.000000,Y=-676.000000),(X=0.000000,Y=0.000000),(X=-918.000000,Y=-719.000000),(X=-909.000000,Y=-704.000000),(X=-911.000000,Y=-688.000000),(X=0.000000,Y=0.000000),(X=-991.000000,Y=-553.000000),(X=-989.000000,Y=-577.000000),(X=-856.000000,Y=-568.000000),(X=-822.000000,Y=-523.000000),(X=-861.000000,Y=-500.000000),(X=-889.000000,Y=-486.000000),(X=0.000000,Y=0.000000),(X=-994.000000,Y=-514.000000),(X=-991.000000,Y=-553.000000),(X=-915.000000,Y=-503.000000),(X=-955.000000,Y=-497.000000),(X=0.000000,Y=0.000000),(X=-991.000000,Y=-577.000000),(X=-989.000000,Y=-577.000000),(X=-991.000000,Y=-550.000000),(X=0.000000,Y=0.000000),(X=-856.000000,Y=-568.000000),(X=-788.000000,Y=-564.000000),(X=-849.000000,Y=-559.000000),(X=0.000000,Y=0.000000),(X=-849.000000,Y=-559.000000),(X=-813.000000,Y=-562.000000),(X=-847.000000,Y=-556.000000),(X=0.000000,Y=0.000000),(X=-847.000000,Y=-556.000000),(X=-831.000000,Y=-559.000000),(X=-834.000000,Y=-539.000000))"
3,3,9997,"((X=-1387.000000,Y=-1040.000000),(X=-1307.000000,Y=-1212.000000),(X=-1174.000000,Y=-1135.000000),(X=-1184.000000,Y=-1079.000000),(X=-1218.000000,Y=-1045.000000),(X=0.000000,Y=0.000000),(X=-1218.000000,Y=-1045.000000),(X=-1197.000000,Y=-1066.000000),(X=-1198.000000,Y=-1046.000000),(X=0.000000,Y=0.000000),(X=-1412.000000,Y=-987.000000),(X=-1387.000000,Y=-1040.000000),(X=-1255.000000,Y=-1044.000000),(X=-1262.000000,Y=-1014.000000),(X=-1276.000000,Y=-987.000000),(X=-1338.000000,Y=-950.000000),(X=0.000000,Y=0.000000),(X=-1256.000000,Y=-1041.000000),(X=-1255.000000,Y=-1044.000000),(X=-1231.000000,Y=-1045.000000),(X=0.000000,Y=0.000000),(X=-1307.000000,Y=-1212.000000),(X=-1298.000000,Y=-1231.000000),(X=-1240.000000,Y=-1239.000000),(X=-1218.000000,Y=-1231.000000),(X=-1186.000000,Y=-1208.000000),(X=-1211.000000,Y=-1156.000000),(X=0.000000,Y=0.000000),(X=-1211.000000,Y=-1156.000000),(X=-1198.000000,Y=-1183.000000),(X=-1188.000000,Y=-1166.000000),(X=-1198.000000,Y=-1149.000000),(X=0.000000,Y=0.000000),(X=-1478.000000,Y=-1020.000000),(X=-1438.000000,Y=-1143.000000),(X=-1394.000000,Y=-1198.000000),(X=-1364.000000,Y=-1210.000000),(X=-1327.000000,Y=-1217.000000),(X=-1305.000000,Y=-1216.000000),(X=-1412.000000,Y=-987.000000),(X=0.000000,Y=0.000000),(X=-1438.000000,Y=-1143.000000),(X=-1436.000000,Y=-1150.000000),(X=-1414.000000,Y=-1173.000000),(X=-1438.000000,Y=-1142.000000),(X=0.000000,Y=0.000000),(X=-1489.000000,Y=-1103.000000),(X=-1445.000000,Y=-1122.000000),(X=-1478.000000,Y=-1020.000000),(X=-1486.000000,Y=-1024.000000),(X=0.000000,Y=0.000000),(X=-1513.000000,Y=-1037.000000),(X=-1508.000000,Y=-1052.000000),(X=-1487.000000,Y=-1057.000000),(X=-1486.000000,Y=-1024.000000),(X=0.000000,Y=0.000000),(X=-1531.000000,Y=-977.000000),(X=-1513.000000,Y=-1037.000000),(X=-1472.000000,Y=-1017.000000),(X=-1385.000000,Y=-884.000000),(X=-1387.000000,Y=-822.000000),(X=-1398.000000,Y=-813.000000),(X=0.000000,Y=0.000000),(X=-1386.000000,Y=-850.000000),(X=-1385.000000,Y=-884.000000),(X=-1381.000000,Y=-878.000000),(X=0.000000,Y=0.000000),(X=-1541.000000,Y=-990.000000),(X=-1519.000000,Y=-1016.000000),(X=-1531.000000,Y=-977.000000),(X=0.000000,Y=0.000000),(X=-1472.000000,Y=-1017.000000),(X=-1370.000000,Y=-966.000000),(X=-1398.000000,Y=-904.000000),(X=0.000000,Y=0.000000),(X=-1381.000000,Y=-941.000000),(X=-1370.000000,Y=-966.000000),(X=-1360.000000,Y=-961.000000),(X=0.000000,Y=0.000000),(X=-1504.000000,Y=-945.000000),(X=-1401.000000,Y=-817.000000),(X=-1417.000000,Y=-787.000000),(X=-1487.000000,Y=-823.000000),(X=0.000000,Y=0.000000),(X=-1407.000000,Y=-805.000000),(X=-1401.000000,Y=-817.000000),(X=-1398.000000,Y=-813.000000),(X=0.000000,Y=0.000000),(X=-1487.000000,Y=-824.000000),(X=-1467.000000,Y=-813.000000),(X=-1485.000000,Y=-809.000000),(X=-1487.000000,Y=-823.000000),(X=0.000000,Y=0.000000),(X=-1536.000000,Y=-902.000000),(X=-1519.000000,Y=-963.000000),(X=-1504.000000,Y=-945.000000),(X=-1496.000000,Y=-887.000000),(X=0.000000,Y=0.000000),(X=-1512.000000,Y=-893.000000),(X=-1496.000000,Y=-887.000000),(X=-1492.000000,Y=-858.000000),(X=0.000000,Y=0.000000),(X=-1528.000000,Y=-930.000000),(X=-1524.000000,Y=-969.000000),(X=-1519.000000,Y=-963.000000),(X=-1519.000000,Y=-962.000000))"
7,7,9997,"((X=-2022.000000,Y=-260.000000),(X=-1990.000000,Y=-444.000000),(X=-1844.000000,Y=-570.000000),(X=-1779.000000,Y=-513.000000),(X=-1780.000000,Y=-431.000000),(X=-1843.000000,Y=-386.000000),(X=0.000000,Y=0.000000),(X=-2049.000000,Y=-354.000000),(X=-2021.000000,Y=-417.000000),(X=-1990.000000,Y=-444.000000),(X=-2016.000000,Y=-297.000000),(X=0.000000,Y=0.000000),(X=-2042.000000,Y=-485.000000),(X=-2028.000000,Y=-569.000000),(X=-1998.000000,Y=-615.000000),(X=-1932.000000,Y=-606.000000),(X=-1857.000000,Y=-581.000000),(X=-1844.000000,Y=-570.000000),(X=-1936.000000,Y=-491.000000),(X=0.000000,Y=0.000000),(X=-1991.000000,Y=-443.000000),(X=-1986.000000,Y=-488.000000),(X=-1936.000000,Y=-491.000000),(X=0.000000,Y=0.000000),(X=-1973.000000,Y=-295.000000),(X=-1876.000000,Y=-363.000000),(X=-1837.000000,Y=-285.000000),(X=-1854.000000,Y=-220.000000),(X=-1897.000000,Y=-200.000000),(X=-1943.000000,Y=-231.000000),(X=0.000000,Y=0.000000),(X=-2024.000000,Y=-252.000000),(X=-2022.000000,Y=-260.000000),(X=-1973.000000,Y=-295.000000),(X=-1962.000000,Y=-273.000000),(X=-1962.000000,Y=-272.000000),(X=0.000000,Y=0.000000),(X=-1994.000000,Y=-262.000000),(X=-1963.000000,Y=-273.000000),(X=-1962.000000,Y=-273.000000),(X=-1950.000000,Y=-246.000000))"
8,8,9997,"((X=-2105.000000,Y=70.000000),(X=-2068.000000,Y=-19.000000),(X=-1870.000000,Y=70.000000),(X=-1921.000000,Y=319.000000),(X=-2051.000000,Y=225.000000),(X=0.000000,Y=0.000000),(X=-2081.000000,Y=13.000000),(X=-2070.000000,Y=-20.000000),(X=-2068.000000,Y=-19.000000),(X=0.000000,Y=0.000000),(X=-2117.000000,Y=177.000000),(X=-2085.000000,Y=127.000000),(X=-2051.000000,Y=225.000000),(X=0.000000,Y=0.000000),(X=-2039.000000,Y=-6.000000),(X=-2003.000000,Y=-37.000000),(X=-1863.000000,Y=37.000000),(X=-1870.000000,Y=70.000000),(X=0.000000,Y=0.000000),(X=-1921.000000,Y=319.000000),(X=-1896.000000,Y=197.000000),(X=-1807.000000,Y=330.000000),(X=-1806.000000,Y=402.000000),(X=0.000000,Y=0.000000),(X=-1896.000000,Y=197.000000),(X=-1890.000000,Y=168.000000),(X=-1869.000000,Y=237.000000),(X=0.000000,Y=0.000000),(X=-2120.000000,Y=261.000000),(X=-2088.000000,Y=198.000000),(X=-1806.000000,Y=402.000000),(X=-1806.000000,Y=413.000000),(X=-1995.000000,Y=519.000000),(X=-2109.000000,Y=313.000000),(X=0.000000,Y=0.000000),(X=-1995.000000,Y=518.000000),(X=-1876.000000,Y=452.000000),(X=-1916.000000,Y=532.000000),(X=-1989.000000,Y=530.000000),(X=-1995.000000,Y=519.000000),(X=0.000000,Y=0.000000),(X=-2182.000000,Y=312.000000),(X=-2101.000000,Y=327.000000),(X=-2049.000000,Y=421.000000),(X=-2140.000000,Y=421.000000),(X=0.000000,Y=0.000000),(X=-2109.000000,Y=313.000000),(X=-2101.000000,Y=327.000000),(X=-2106.000000,Y=326.000000),(X=0.000000,Y=0.000000),(X=-2180.000000,Y=421.000000),(X=-2158.000000,Y=375.000000),(X=-2140.000000,Y=421.000000),(X=0.000000,Y=0.000000),(X=-2117.000000,Y=421.000000),(X=-2049.000000,Y=421.000000),(X=-2021.000000,Y=472.000000),(X=-2093.000000,Y=476.000000))"
9,9,9997,"((X=-2477.000000,Y=-280.000000),(X=-2448.000000,Y=-333.000000),(X=-2403.000000,Y=-387.000000),(X=-2291.000000,Y=-333.000000),(X=-2306.000000,Y=-141.000000),(X=-2307.000000,Y=-141.000000),(X=0.000000,Y=0.000000),(X=-2343.000000,Y=-358.000000),(X=-2290.000000,Y=-340.000000),(X=-2291.000000,Y=-333.000000),(X=0.000000,Y=0.000000),(X=-2307.000000,Y=-141.000000),(X=-2294.000000,Y=-292.000000),(X=-2257.000000,Y=-285.000000),(X=-2242.000000,Y=-244.000000),(X=-2299.000000,Y=-135.000000),(X=0.000000,Y=0.000000),(X=-2299.000000,Y=-135.000000),(X=-2261.000000,Y=-208.000000),(X=-2248.000000,Y=-167.000000),(X=-2254.000000,Y=-99.000000),(X=0.000000,Y=0.000000),(X=-2254.000000,Y=-99.000000),(X=-2252.000000,Y=-125.000000),(X=-2252.000000,Y=-124.000000),(X=-2253.000000,Y=-98.000000),(X=0.000000,Y=0.000000),(X=-2516.000000,Y=-83.000000),(X=-2487.000000,Y=-124.000000),(X=-2345.000000,Y=-155.000000),(X=-2436.000000,Y=-44.000000),(X=0.000000,Y=0.000000),(X=-2469.000000,Y=-154.000000),(X=-2437.000000,Y=-194.000000),(X=-2400.000000,Y=-217.000000),(X=-2336.000000,Y=-165.000000),(X=-2345.000000,Y=-155.000000),(X=-2455.000000,Y=-131.000000),(X=0.000000,Y=0.000000),(X=-2404.000000,Y=-83.000000),(X=-2343.000000,Y=-157.000000),(X=-2374.000000,Y=-2.000000),(X=-2395.000000,Y=-35.000000),(X=0.000000,Y=0.000000),(X=-2364.000000,Y=-52.000000),(X=-2343.000000,Y=-157.000000),(X=-2336.000000,Y=-165.000000),(X=-2253.000000,Y=-98.000000),(X=-2254.000000,Y=-62.000000),(X=-2311.000000,Y=-26.000000),(X=0.000000,Y=0.000000),(X=-2491.000000,Y=-255.000000),(X=-2477.000000,Y=-280.000000),(X=-2437.000000,Y=-247.000000))"
0,0,9999,"((X=14676.000000,Y=15752.000000),(X=14779.000000,Y=15707.000000),(X=15054.000000,Y=15668.000000),(X=14998.000000,Y=16045.000000),(X=14772.000000,Y=16008.000000),(X=14685.000000,Y=15888.000000),(X=0.000000,Y=0.000000),(X=14871.000000,Y=16024.000000),(X=14998.000000,Y=16044.000000),(X=14998.000000,Y=16045.000000),(X=14992.000000,Y=16083.000000),(X=14967.000000,Y=16074.000000),(X=0.000000,Y=0.000000),(X=14878.000000,Y=15693.000000),(X=14953.000000,Y=15613.000000),(X=15054.000000,Y=15665.000000),(X=15054.000000,Y=15668.000000),(X=0.000000,Y=0.000000),(X=14992.000000,Y=16083.000000),(X=15039.000000,Y=15769.000000),(X=15139.000000,Y=15869.000000),(X=15179.000000,Y=15939.000000),(X=15250.000000,Y=16097.000000),(X=15177.000000,Y=16133.000000),(X=15080.000000,Y=16114.000000),(X=0.000000,Y=0.000000),(X=15039.000000,Y=15769.000000),(X=15047.000000,Y=15712.000000),(X=15071.000000,Y=15801.000000))"
