OID,Cid,Boundaries
90601,90601,"((X=-443187.000000,Y=413626.000000),(X=-443049.000000,Y=413245.000000),(X=-442284.000000,Y=413105.000000),(X=-441587.000000,Y=413514.000000),(X=-441679.000000,Y=414091.000000),(X=-442620.000000,Y=414363.000000),(X=-442858.000000,Y=414291.000000))"
90602,90602,"((X=-439497.000000,Y=421896.000000),(X=-435514.000000,Y=419689.000000),(X=-434324.000000,Y=419738.000000),(X=-433674.000000,Y=420333.000000),(X=-433373.000000,Y=421799.000000),(X=-433880.000000,Y=423268.000000),(X=-435386.000000,Y=424058.000000),(X=-437916.000000,Y=423034.000000),(X=0.000000,Y=0.000000),(X=-433674.000000,Y=420333.000000),(X=-433596.000000,Y=420404.000000),(X=-433583.000000,Y=420775.000000),(X=0.000000,Y=0.000000),(X=-444961.000000,Y=413514.000000),(X=-443345.000000,Y=413361.000000),(X=-442672.000000,Y=414568.000000),(X=-444800.000000,Y=415341.000000),(X=0.000000,Y=0.000000),(X=-444800.000000,Y=415341.000000),(X=-443107.000000,Y=414726.000000),(X=-443537.000000,Y=420028.000000),(X=-444469.000000,Y=419085.000000),(X=0.000000,Y=0.000000),(X=-443537.000000,Y=420028.000000),(X=-443167.000000,Y=415457.000000),(X=-440222.000000,Y=420856.000000),(X=-442992.000000,Y=420579.000000),(X=0.000000,Y=0.000000),(X=-442099.000000,Y=417415.000000),(X=-437908.000000,Y=421015.000000),(X=-438018.000000,Y=421077.000000),(X=-438019.000000,Y=421077.000000),(X=-440222.000000,Y=420856.000000),(X=0.000000,Y=0.000000),(X=-440557.000000,Y=418740.000000),(X=-437528.000000,Y=420805.000000),(X=-437908.000000,Y=421015.000000),(X=0.000000,Y=0.000000),(X=-438382.000000,Y=420223.000000),(X=-437156.000000,Y=420599.000000),(X=-437528.000000,Y=420805.000000),(X=0.000000,Y=0.000000),(X=-441059.000000,Y=420773.000000),(X=-438018.000000,Y=421077.000000),(X=-439497.000000,Y=421896.000000))"
90603,90603,"((X=-433165.000000,Y=416197.000000),(X=-430190.000000,Y=414235.000000),(X=-428214.000000,Y=413272.000000),(X=-425421.000000,Y=414589.000000),(X=-431152.000000,Y=420530.000000),(X=-432967.000000,Y=421754.000000),(X=0.000000,Y=0.000000),(X=-433584.000000,Y=420802.000000),(X=-433572.000000,Y=420222.000000),(X=-433066.000000,Y=418975.000000),(X=-432967.000000,Y=421754.000000),(X=-433313.000000,Y=421987.000000),(X=0.000000,Y=0.000000),(X=-426879.000000,Y=416100.000000),(X=-425421.000000,Y=414589.000000),(X=-424104.000000,Y=415210.000000),(X=-423351.000000,Y=416716.000000),(X=-423573.000000,Y=417210.000000),(X=-424351.000000,Y=417321.000000),(X=0.000000,Y=0.000000),(X=-428461.000000,Y=417741.000000),(X=-426879.000000,Y=416100.000000),(X=-425067.000000,Y=416975.000000),(X=-426079.000000,Y=417531.000000),(X=-427079.000000,Y=417950.000000))"
90604,90604,"((X=-424677.000000,Y=418784.000000),(X=-424358.000000,Y=418348.000000),(X=-423873.000000,Y=418425.000000),(X=-423334.000000,Y=418872.000000),(X=-423430.000000,Y=419714.000000),(X=-424127.000000,Y=419787.000000),(X=-424556.000000,Y=419295.000000))"
90605,90605,"((X=-430089.000000,Y=421687.000000),(X=-429101.000000,Y=419592.000000),(X=-424551.000000,Y=418609.000000),(X=-424734.000000,Y=418856.000000),(X=-426446.000000,Y=420689.000000),(X=-429630.000000,Y=422972.000000),(X=0.000000,Y=0.000000),(X=-427730.000000,Y=419295.000000),(X=-426709.000000,Y=418011.000000),(X=-424362.000000,Y=417330.000000),(X=-424229.000000,Y=417397.000000),(X=-424361.000000,Y=418352.000000),(X=-424551.000000,Y=418609.000000),(X=0.000000,Y=0.000000),(X=-426369.000000,Y=417913.000000),(X=-425074.000000,Y=416969.000000),(X=-424362.000000,Y=417330.000000),(X=0.000000,Y=0.000000),(X=-429661.000000,Y=427569.000000),(X=-429529.000000,Y=426109.000000),(X=-426981.000000,Y=424533.000000),(X=-426980.000000,Y=424533.000000),(X=-426051.000000,Y=426186.000000),(X=-426369.000000,Y=427580.000000),(X=-427389.000000,Y=428106.000000),(X=-429101.000000,Y=427975.000000),(X=0.000000,Y=0.000000),(X=-429630.000000,Y=422972.000000),(X=-428368.000000,Y=422067.000000),(X=-426980.000000,Y=424533.000000),(X=-428695.000000,Y=425594.000000),(X=0.000000,Y=0.000000),(X=-428368.000000,Y=422067.000000),(X=-427027.000000,Y=421106.000000),(X=-427631.000000,Y=423377.000000))"
90606,90606,"((X=-434985.000000,Y=429599.000000),(X=-433738.000000,Y=428311.000000),(X=-431731.000000,Y=427968.000000),(X=-429086.000000,Y=429461.000000),(X=-430971.000000,Y=432154.000000),(X=-432752.000000,Y=432860.000000),(X=-434211.000000,Y=432133.000000),(X=0.000000,Y=0.000000),(X=-429964.000000,Y=430715.000000),(X=-429086.000000,Y=429461.000000),(X=-428734.000000,Y=429660.000000),(X=0.000000,Y=0.000000),(X=-430615.000000,Y=428599.000000),(X=-428725.000000,Y=428008.000000),(X=-427968.000000,Y=428063.000000),(X=-427994.000000,Y=429025.000000),(X=-428734.000000,Y=429660.000000))"
100001,100001,"((X=353132.000000,Y=-138061.000000),(X=354100.000000,Y=-139000.000000),(X=360293.000000,Y=-137566.000000),(X=363644.000000,Y=-133480.000000),(X=353628.000000,Y=-136534.000000),(X=0.000000,Y=0.000000),(X=358420.000000,Y=-138000.000000),(X=360200.000000,Y=-137680.000000),(X=360293.000000,Y=-137566.000000),(X=0.000000,Y=0.000000),(X=354600.000000,Y=-133540.000000),(X=354740.000000,Y=-135140.000000),(X=354920.000000,Y=-136140.000000),(X=363644.000000,Y=-133480.000000),(X=363921.000000,Y=-133142.000000),(X=355538.000000,Y=-130650.000000),(X=0.000000,Y=0.000000),(X=361502.000000,Y=-136092.000000),(X=370430.000000,Y=-138410.000000),(X=371250.000000,Y=-135320.000000),(X=363921.000000,Y=-133142.000000),(X=0.000000,Y=0.000000),(X=361020.000000,Y=-136680.000000),(X=362380.000000,Y=-136320.000000),(X=361502.000000,Y=-136092.000000),(X=0.000000,Y=0.000000),(X=355538.000000,Y=-130650.000000),(X=368020.000000,Y=-134360.000000),(X=364160.000000,Y=-130270.000000),(X=361060.000000,Y=-128040.000000),(X=356704.000000,Y=-127059.000000),(X=0.000000,Y=0.000000),(X=356704.000000,Y=-127059.000000),(X=359240.000000,Y=-127630.000000),(X=358650.000000,Y=-124260.000000),(X=357974.000000,Y=-123147.000000),(X=0.000000,Y=0.000000),(X=343550.000000,Y=-122670.000000),(X=343680.000000,Y=-123440.000000),(X=345960.000000,Y=-127580.000000),(X=350456.000000,Y=-126318.000000),(X=344960.000000,Y=-122080.000000),(X=0.000000,Y=0.000000),(X=347100.000000,Y=-127260.000000),(X=347730.000000,Y=-128310.000000),(X=351862.000000,Y=-127403.000000),(X=350456.000000,Y=-126318.000000),(X=350455.000000,Y=-126318.000000),(X=0.000000,Y=0.000000),(X=348550.000000,Y=-128130.000000),(X=352273.000000,Y=-127720.000000),(X=351862.000000,Y=-127403.000000),(X=0.000000,Y=0.000000),(X=349820.000000,Y=-127990.000000),(X=352420.000000,Y=-130900.000000),(X=355470.000000,Y=-130860.000000),(X=355645.000000,Y=-130320.000000),(X=352273.000000,Y=-127720.000000),(X=0.000000,Y=0.000000),(X=346870.000000,Y=-122030.000000),(X=347320.000000,Y=-123900.000000),(X=355645.000000,Y=-130320.000000),(X=357974.000000,Y=-123147.000000),(X=356330.000000,Y=-120440.000000),(X=353830.000000,Y=-118480.000000),(X=350920.000000,Y=-118890.000000),(X=0.000000,Y=0.000000),(X=352740.000000,Y=-137680.000000),(X=353132.000000,Y=-138061.000000),(X=353628.000000,Y=-136534.000000),(X=353280.000000,Y=-136640.000000))"
100002,100002,"((X=375350.000000,Y=-129670.000000),(X=375731.000000,Y=-140652.000000),(X=388651.000000,Y=-144859.000000),(X=385453.000000,Y=-128840.000000),(X=383520.000000,Y=-126085.000000),(X=378960.000000,Y=-127000.000000),(X=376090.000000,Y=-127960.000000),(X=0.000000,Y=0.000000),(X=386015.000000,Y=-131654.000000),(X=388651.000000,Y=-144859.000000),(X=389533.000000,Y=-145146.000000),(X=392406.000000,Y=-136221.000000),(X=389475.000000,Y=-132703.000000),(X=0.000000,Y=0.000000),(X=369930.000000,Y=-138530.000000),(X=375690.000000,Y=-139463.000000),(X=375690.000000,Y=-139462.000000),(X=375410.000000,Y=-131400.000000),(X=372630.000000,Y=-133470.000000),(X=370780.000000,Y=-135630.000000),(X=0.000000,Y=0.000000),(X=373080.000000,Y=-139040.000000),(X=373820.000000,Y=-140030.000000),(X=375731.000000,Y=-140652.000000),(X=375690.000000,Y=-139462.000000),(X=0.000000,Y=0.000000),(X=372400.000000,Y=-144800.000000),(X=379701.000000,Y=-149608.000000),(X=381173.000000,Y=-145683.000000),(X=373280.000000,Y=-143610.000000),(X=0.000000,Y=0.000000),(X=375520.000000,Y=-153860.000000),(X=378050.000000,Y=-154010.000000),(X=379701.000000,Y=-149608.000000),(X=376120.000000,Y=-147250.000000),(X=0.000000,Y=0.000000),(X=374250.000000,Y=-140170.000000),(X=375065.000000,Y=-144079.000000),(X=381173.000000,Y=-145683.000000),(X=382262.000000,Y=-142778.000000),(X=0.000000,Y=0.000000),(X=374270.000000,Y=-143870.000000),(X=375065.000000,Y=-144079.000000),(X=374790.000000,Y=-142760.000000),(X=0.000000,Y=0.000000),(X=379849.000000,Y=-149213.000000),(X=384390.000000,Y=-153670.000000),(X=387400.000000,Y=-153192.000000),(X=388190.000000,Y=-150970.000000),(X=387400.000000,Y=-144451.000000),(X=382262.000000,Y=-142778.000000),(X=0.000000,Y=0.000000),(X=387400.000000,Y=-144451.000000),(X=387990.000000,Y=-149320.000000),(X=388820.000000,Y=-147360.000000),(X=389533.000000,Y=-145146.000000),(X=0.000000,Y=0.000000),(X=378530.000000,Y=-152730.000000),(X=382008.000000,Y=-151332.000000),(X=379849.000000,Y=-149213.000000),(X=0.000000,Y=0.000000),(X=380720.000000,Y=-151850.000000),(X=382536.000000,Y=-151850.000000),(X=382008.000000,Y=-151332.000000),(X=0.000000,Y=0.000000),(X=381720.000000,Y=-151850.000000),(X=383310.000000,Y=-152610.000000),(X=382536.000000,Y=-151850.000000))"
100003,100003,"((X=375840.000000,Y=-158780.000000),(X=377000.000000,Y=-159360.000000),(X=386419.000000,Y=-154508.000000),(X=386020.000000,Y=-153510.000000),(X=380337.000000,Y=-154022.000000),(X=377210.000000,Y=-156820.000000),(X=0.000000,Y=0.000000),(X=377780.000000,Y=-156310.000000),(X=380337.000000,Y=-154022.000000),(X=377912.000000,Y=-154241.000000),(X=377830.000000,Y=-154630.000000),(X=0.000000,Y=0.000000),(X=379360.000000,Y=-158144.000000),(X=382170.000000,Y=-158790.000000),(X=384510.000000,Y=-158970.000000),(X=387676.000000,Y=-156871.000000),(X=388030.000000,Y=-156060.000000),(X=387300.000000,Y=-155210.000000),(X=386325.000000,Y=-154556.000000),(X=0.000000,Y=0.000000),(X=385400.000000,Y=-158380.000000),(X=387210.000000,Y=-157940.000000),(X=387676.000000,Y=-156871.000000),(X=0.000000,Y=0.000000),(X=386325.000000,Y=-154556.000000),(X=386480.000000,Y=-154660.000000),(X=386419.000000,Y=-154508.000000),(X=0.000000,Y=0.000000),(X=379264.000000,Y=-158194.000000),(X=380560.000000,Y=-158420.000000),(X=379360.000000,Y=-158144.000000),(X=379264.000000,Y=-158193.000000),(X=0.000000,Y=0.000000),(X=378650.000000,Y=-158510.000000),(X=379530.000000,Y=-158240.000000),(X=379264.000000,Y=-158193.000000),(X=0.000000,Y=0.000000),(X=377912.000000,Y=-154241.000000),(X=383533.000000,Y=-153734.000000),(X=382580.000000,Y=-152000.000000),(X=382090.000000,Y=-151610.000000),(X=381150.000000,Y=-151580.000000),(X=379780.000000,Y=-151660.000000),(X=378520.000000,Y=-152390.000000),(X=378180.000000,Y=-152960.000000),(X=0.000000,Y=0.000000),(X=382970.000000,Y=-152710.000000),(X=383533.000000,Y=-153734.000000),(X=384132.000000,Y=-153680.000000),(X=383500.000000,Y=-152960.000000),(X=0.000000,Y=0.000000),(X=384000.000000,Y=-153530.000000),(X=384132.000000,Y=-153680.000000),(X=384800.000000,Y=-153620.000000))"
100004,100004,"((X=370530.000000,Y=-154930.000000),(X=374346.000000,Y=-157649.000000),(X=374347.000000,Y=-157649.000000),(X=372710.000000,Y=-154530.000000),(X=372040.000000,Y=-154060.000000),(X=370980.000000,Y=-154100.000000),(X=0.000000,Y=0.000000),(X=375188.000000,Y=-158249.000000),(X=375506.000000,Y=-158475.000000),(X=378390.000000,Y=-154120.000000),(X=375560.000000,Y=-153840.000000),(X=0.000000,Y=0.000000),(X=373943.000000,Y=-156880.000000),(X=374346.000000,Y=-157649.000000),(X=375188.000000,Y=-158249.000000),(X=375360.000000,Y=-156210.000000),(X=0.000000,Y=0.000000),(X=375506.000000,Y=-158475.000000),(X=375904.000000,Y=-158759.000000),(X=377844.000000,Y=-155870.000000),(X=377900.000000,Y=-154860.000000),(X=0.000000,Y=0.000000),(X=367280.000000,Y=-161420.000000),(X=367960.000000,Y=-162300.000000),(X=370704.000000,Y=-164061.000000),(X=371867.000000,Y=-164771.000000),(X=375279.000000,Y=-159690.000000),(X=368420.000000,Y=-158780.000000),(X=367570.000000,Y=-159770.000000),(X=0.000000,Y=0.000000),(X=369160.000000,Y=-163070.000000),(X=369161.000000,Y=-163118.000000),(X=370704.000000,Y=-164061.000000),(X=370706.000000,Y=-164062.000000),(X=370704.000000,Y=-164060.000000),(X=0.000000,Y=0.000000),(X=371260.000000,Y=-157910.000000),(X=372060.000000,Y=-159263.000000),(X=375279.000000,Y=-159690.000000),(X=375904.000000,Y=-158759.000000),(X=372183.000000,Y=-156108.000000),(X=0.000000,Y=0.000000),(X=371670.000000,Y=-157110.000000),(X=372183.000000,Y=-156108.000000),(X=371909.000000,Y=-155913.000000),(X=0.000000,Y=0.000000),(X=371473.000000,Y=-155602.000000),(X=371740.000000,Y=-156760.000000),(X=371909.000000,Y=-155913.000000),(X=371473.000000,Y=-155601.000000),(X=0.000000,Y=0.000000),(X=371330.000000,Y=-155500.000000),(X=371560.000000,Y=-155980.000000),(X=371473.000000,Y=-155601.000000),(X=0.000000,Y=0.000000),(X=369400.000000,Y=-158910.000000),(X=372060.000000,Y=-159263.000000),(X=371923.000000,Y=-159030.000000),(X=0.000000,Y=0.000000),(X=370870.000000,Y=-158980.000000),(X=371923.000000,Y=-159030.000000),(X=371680.000000,Y=-158620.000000),(X=0.000000,Y=0.000000),(X=371867.000000,Y=-164771.000000),(X=380473.000000,Y=-170031.000000),(X=390755.000000,Y=-172487.000000),(X=391782.000000,Y=-170037.000000),(X=375890.000000,Y=-158780.000000),(X=0.000000,Y=0.000000),(X=380473.000000,Y=-170031.000000),(X=385059.000000,Y=-172833.000000),(X=385090.000000,Y=-172780.000000),(X=385090.000000,Y=-171134.000000),(X=0.000000,Y=0.000000),(X=385090.000000,Y=-171840.000000),(X=385490.000000,Y=-171229.000000),(X=385090.000000,Y=-171134.000000),(X=0.000000,Y=0.000000),(X=376850.000000,Y=-159460.000000),(X=391614.000000,Y=-169918.000000),(X=392790.000000,Y=-167954.000000),(X=382390.000000,Y=-159260.000000),(X=380520.000000,Y=-158210.000000),(X=378640.000000,Y=-158610.000000),(X=0.000000,Y=0.000000),(X=391614.000000,Y=-169918.000000),(X=391782.000000,Y=-170037.000000),(X=392342.000000,Y=-168702.000000),(X=0.000000,Y=0.000000),(X=377280.000000,Y=-156710.000000),(X=377820.000000,Y=-156310.000000),(X=377844.000000,Y=-155870.000000),(X=0.000000,Y=0.000000),(X=383983.000000,Y=-160592.000000),(X=392790.000000,Y=-167954.000000),(X=393515.000000,Y=-166743.000000),(X=393566.000000,Y=-162220.000000),(X=386162.000000,Y=-159056.000000),(X=0.000000,Y=0.000000),(X=386162.000000,Y=-159056.000000),(X=388300.000000,Y=-159970.000000),(X=387790.000000,Y=-159380.000000),(X=386880.000000,Y=-158550.000000),(X=0.000000,Y=0.000000),(X=383402.000000,Y=-160106.000000),(X=383983.000000,Y=-160592.000000),(X=384780.000000,Y=-160030.000000),(X=0.000000,Y=0.000000),(X=366752.000000,Y=-171751.000000),(X=368280.000000,Y=-177890.000000),(X=378363.000000,Y=-184174.000000),(X=383865.000000,Y=-174854.000000),(X=379550.000000,Y=-171576.000000),(X=377050.000000,Y=-170590.000000),(X=0.000000,Y=0.000000),(X=381740.000000,Y=-173240.000000),(X=383865.000000,Y=-174854.000000),(X=385059.000000,Y=-172833.000000),(X=383060.000000,Y=-171612.000000),(X=0.000000,Y=0.000000),(X=382190.000000,Y=-171080.000000),(X=382340.000000,Y=-172500.000000),(X=383060.000000,Y=-171612.000000),(X=0.000000,Y=0.000000),(X=370430.000000,Y=-179230.000000),(X=373889.000000,Y=-184126.000000),(X=378251.000000,Y=-184363.000000),(X=378363.000000,Y=-184174.000000),(X=0.000000,Y=0.000000),(X=378251.000000,Y=-184363.000000),(X=380260.000000,Y=-184471.000000),(X=383810.000000,Y=-182533.000000),(X=384897.000000,Y=-177210.000000),(X=383486.000000,Y=-175496.000000),(X=0.000000,Y=0.000000),(X=383486.000000,Y=-175496.000000),(X=383983.000000,Y=-176100.000000),(X=383980.000000,Y=-174660.000000),(X=0.000000,Y=0.000000),(X=365547.000000,Y=-171887.000000),(X=365550.000000,Y=-171930.000000),(X=365950.000000,Y=-174060.000000),(X=366880.000000,Y=-175310.000000),(X=367680.000000,Y=-175480.000000),(X=366752.000000,Y=-171751.000000),(X=0.000000,Y=0.000000),(X=369234.000000,Y=-163163.000000),(X=371260.000000,Y=-167360.000000),(X=377360.000000,Y=-169520.000000),(X=379670.000000,Y=-169540.000000),(X=0.000000,Y=0.000000),(X=369161.000000,Y=-163118.000000),(X=369210.000000,Y=-164690.000000),(X=370150.000000,Y=-165060.000000),(X=369234.000000,Y=-163163.000000),(X=0.000000,Y=0.000000),(X=365350.000000,Y=-168550.000000),(X=365547.000000,Y=-171887.000000),(X=375411.000000,Y=-170775.000000),(X=372680.000000,Y=-168332.000000),(X=371030.000000,Y=-168083.000000),(X=366170.000000,Y=-167980.000000),(X=0.000000,Y=0.000000),(X=374410.000000,Y=-169880.000000),(X=375410.000000,Y=-170775.000000),(X=375411.000000,Y=-170775.000000),(X=375720.000000,Y=-170740.000000))"
