OID,Cid,Comment,MonsterCid,Interval,SpawnerScheduleCids
10503001,10503001,망가진 시체 투사,10503101,30000,
10503002,10503002,망가진 시체 전사,10503102,30000,
10601001,10601001,나차쉬 투사,10601101,10000,
10601002,10601002,나차쉬 주술사,10601102,10000,
10601003,10601003,나차쉬 전사,10601103,10000,
10601004,10601004,나차쉬 지휘관,10601104,10000,
10701001,10701001,팬텀 궁병,10701101,10000,
10701002,10701002,팬텀 대검병,10701102,10000,
10701003,10701003,팬텀 창병,10701103,10000,
10701004,10701004,팬텀 검병,10701104,10000,
10701005,10701005,팬텀 양손도끼병,10701105,10000,
10702001,10702001,팬텀 대검병,10702301,300000,
10702002,10702002,팬텀 대검병,10702302,300000,
10702003,10702003,이즈나 외성 근위병의 망령,10702307,900000,
10702004,10702004,이즈나 외성 경비병의 망령,10702308,900000,
10702005,10702005,이즈나 내성 경비병의 망령,10702309,900000,
10702006,10702006,이즈나 근위기사의 망령,10702310,900000,
10702007,10702007,데로스 직속 부관의 망령,10702503,900000,
10702008,10702008,폴라리우스 직속 근위기사의 망령,10702504,900000,
10702009,10702009,데로스 직속 부관의 망령,10702505,900000,
10702010,10702010,이즈나 외성 부관의 망령,10702703,900000,
10702011,10702011,폴라리우스 직속 근위기사의 망령,10702704,900000,
10702012,10702012,팬텀 대장,10702801,300000,
10702013,10702013,외성 경비대장 데로스의 망령,10702804,900000,
10702014,10702014,내성 경비대장 폴라리우스의 망령,10702805,900000,
10703001,10703001,성채 경비병 원혼,10703101,30000,
10703002,10703002,성채 병사 원혼,10703102,30000,
10703003,10703003,성채 궁수 원혼,10703103,30000,
10703004,10703004,성채 지휘관 원혼,10703701,120000,
10706001,10706001,팬텀 창병,10706301,300000,
10706002,10706002,팬텀 양손도끼병,10706302,300000,
10802001,10802001,피 묻은 손 전사,10802101,0,
10802002,10802002,피 묻은 손 궁수,10802102,0,
10802003,10802003,피 묻은 손 마법사,10802103,0,
10802004,10802004,피 묻은 손 암살자,10802104,0,
10802005,10802005,피 묻은 손 돌격대장,10802301,0,
10802006,10802006,피 묻은 손 지휘관,10802701,0,
10802007,10802007,피 묻은 손 간부,10802801,0,
10802008,10802008,부활한 피 묻은 손 간부,10802901,0,
10803001,10803001,피 묻은 손 돌격대원,10803101,30000,
10803002,10803002,피 묻은 손 수습 의무병,10803102,30000,
10803003,10803003,피 묻은 손 선원,10803103,30000,
10803004,10803004,피 묻은 손 정찰대원,10803104,30000,
10803005,10803005,피 묻은 손 돌격대장,10803301,60000,
10803006,10803006,피 묻은 손 상급지휘관,10803302,120000,
10890001,10890001,피 묻은 손 전사,10890101,0,
10890002,10890002,피 묻은 손 지휘관,10890701,0,
10901001,10901001,오우거 도끼,10901501,900000,
10901002,10901002,오우거 곤봉,10901502,900000,
10901003,10901003,오우거 대검,10901503,900000,
10902001,10902001,잔재를 수호하는 오우거,10902802,900000,
11002001,11002001,두들링 염탐꾼,11002101,30000,
11002002,11002002,두들링 주술사,11002102,30000,
11002003,11002003,두들링 전사,11002103,30000,
11102001,11102001,육식성 말벌,11102101,30000,
11102002,11102002,호위 벌,11102102,30000,
11102003,11102003,새끼 평원 거미,11102103,30000,
11102004,11102004,평원 거미,11102104,30000,
11102005,11102005,난폭한 평원 거미,11102302,60000,
11102006,11102006,여왕 벌,11102501,120000,
90001001,90001001,말카바돈,90001902,3600000,
90002001,90002001,말카바돈,90002901,300000,
90002002,90002002,분노의 잔재 말카바돈,90002903,900000,
90002003,90002003,격노의 잔재 말카바돈,90002904,900000,
90003001,90003001,스칼니토스,90003901,3600000,
90003002,90003002,하얀 모래의 페르눈,90003902,3600000,
90003003,90003003,영혼을 거두는 모르가리스,90003903,3600000,
90101001,90101001,상자,90101101,5000,
90101002,90101002,상자,90101101,0,
90101003,90101003,상자,90101102,0,
90101004,90101004,상자,90101103,0,
90101005,90101005,목책,90101104,0,
90101006,90101006,목책,90101105,0,
90101007,90101007,상자,90101106,0,
90101008,90101008,상자,90101107,0,
90101009,90101009,통,90101108,0,
90101010,90101010,통,90101109,0,
90102001,90102001,대학살의 파편 조각,90102101,900000,
95001001,95001001,허수아비,95001101,3000,
95001002,95001002,허수아비- 1 - Mob,95001106,10000,
95001003,95001003,허수아비- 2 - Mob,95001107,10000,
95001004,95001004,폭발하는 석상,95001113,300000,
95003001,95003001,몬스터 소환,95003111,3600000,
95003002,95003002,호위병 소환,95003112,3600000,
95003003,95003003,신전 경비병,95003116,5000,
95101001,95101001,토끼,95101101,40000,
95102001,95102001,사슴,95102101,40000,
95103001,95103001,여우,95103101,40000,
95104001,95104001,멧돼지,95104101,40000,
95105001,95105001,늑대,95105101,40000,
95106001,95106001,무스,95106101,40000,
95107001,95107001,곰,95107101,40000,
99901001,99901001,놀 우두머리(테스트),99901102,5000,
