OID,Cid,Comment,DescName,IsShowTooltip,AssetType,SharingType,TriggerCids
10100502,10100502,섬유5T_달빛 면환_연출,,FALSE,10100502,Shared,[101005021]
10100503,10100503,섬유5T_달빛 면환_소진됨,달빛초 줄기,TRUE,10100502,Shared,[101005031]
10100601,10100601,섬유6T_햇빛초_소환,햇빛초,FALSE,10100601,Shared,[101006011]
10100602,10100602,섬유6T_햇빛초_연출,,FALSE,10100602,Shared,[101006021]
10100603,10100603,섬유6T_햇빛초_소진됨,햇빛초 줄기,TRUE,10100602,Shared,[101006031]
10200101,10200101,목재1T_참나무_소환,참나무,FALSE,10200101,Shared,[102001011]
10200102,10200102,목재1T_참나무_소진됨,참나무 그루터기,TRUE,10200102,Shared,[102001021]
10200201,10200201,목재2T_단풍나무_소환,단풍나무,FALSE,10200201,Shared,[102002011]
10200202,10200202,목재2T_단풍나무_소진됨,단풍나무 그루터기,TRUE,10200202,Shared,[102002021]
10200301,10200301,목재3T_은행나무_소환,은행나무,FALSE,10200301,Shared,[102003011]
10200302,10200302,목재3T_은행나무_소진됨,은행나무 그루터기,TRUE,10200302,Shared,[102003021]
10200401,10200401,목재4T_자작나무_소환,자작나무,FALSE,10200401,Shared,[102004011]
10200402,10200402,목재4T_자작나무_소진됨,자작나무 그루터기,TRUE,10200402,Shared,[102004021]
10200501,10200501,목재5T_호두나무_소환,호두나무,FALSE,10200501,Shared,[102005011]
10200502,10200502,목재5T_호두나무_소진됨,호두나무 그루터기,TRUE,10200502,Shared,[102005021]
10200601,10200601,목재6T_흑단나무_소환,흑단나무,FALSE,10200601,Shared,[102006011]
10200602,10200602,목재6T_흑단나무_소진됨,흑단나무 그루터기,TRUE,10200602,Shared,[102006021]
10300101,10300101,가죽1T_토끼_소환,토끼,TRUE,10300101,Shared,"[103001011,103001012]"
10300201,10300201,가죽2T_사슴_소환,사슴,TRUE,10300201,Shared,"[103002011,103002012]"
10300301,10300301,가죽3T_여우_소환,여우,TRUE,10300201,Shared,"[103003011,103003012]"
10300401,10300401,가죽4T_멧돼지_소환,멧돼지,TRUE,10300301,Shared,"[103004011,103004012]"
10300501,10300501,가죽5T_늑대_소환,늑대,TRUE,10300201,Shared,"[103005011,103005012]"
10300601,10300601,가죽6T_무스_소환,무스,TRUE,10300401,Shared,"[103006011,103006012]"
10300701,10300701,가죽7T_곰_소환,곰,TRUE,10300401,Shared,"[103007011,103007012]"
20000101,20000101,무기 제작대_회수가능,무기 제작대,TRUE,20000501,Shared,"[200001011,200001012]"
20000201,20000201,무기 제작대_배치용,무기 제작대,FALSE,20000501,Shared,[200001011]
20000301,20000301,장검 제작대_레벨 배치용,장검 제작대,FALSE,20000301,Shared,[200001011]
20000401,20000401,양손검 제작대_레벨 배치용,양손검 제작대,FALSE,20000401,Shared,[200001011]
20000501,20000501,단검 제작대_레벨 배치용,단검 제작대,FALSE,20000501,Shared,[200001011]
20000601,20000601,활 제작대_레벨 배치용,활 제작대,FALSE,20000601,Shared,[200001011]
20000701,20000701,지팡이 제작대_레벨 배치용,지팡이 제작대,FALSE,20000701,Shared,[200001011]
20100101,20100101,방어구 제작대_회수가능,방어구 제작대,TRUE,20100301,Shared,"[200001011,201001012]"
20100201,20100201,방어구 제작대_배치용,방어구 제작대,FALSE,20100301,Shared,[200001011]
20100301,20100301,판금 방어구 제작대_레벨 배치용,판금 방어구 제작대,FALSE,20100301,Shared,[200001011]
20100401,20100401,가죽 방어구 제작대_레벨 배치용,가죽 방어구 제작대,FALSE,20100401,Shared,[200001011]
20100501,20100501,천 방어구 제작대_레벨 배치용,천 방어구 제작대,FALSE,20100501,Shared,[200001011]
21000101,21000101,요리 제작대_회수가능,요리 제작대,TRUE,21000101,Shared,"[210001011,210001012]"
21000201,21000201,요리 제작대_마을배치용(동기식),요리 제작대,FALSE,21000101,Shared,[200001011]
21000203,21000203,요리 제작대_필드배치용(동기식),요리 제작대,FALSE,21000203,Shared,[200001011]
21100101,21100101,연금술 제작대_회수가능,연금술 제작대,FALSE,21100101,Shared,"[210001011,210001012]"
21100201,21100201,연금술 제작대_배치용(동기식),연금술 제작대,FALSE,21100101,Shared,[200001011]
22000101,22000101,광석 가공대_회수가능,광석 가공대,TRUE,22000101,Shared,"[210001011,220001012]"
22100101,22100101,섬유 가공대_회수가능,섬유 가공대,TRUE,22100101,Shared,"[210001011,221001012]"
22200101,22200101,통나무 가공대_회수가능,통나무 가공대,TRUE,22200101,Shared,"[210001011,222001012]"
22300101,22300101,통가죽 가공대_회수가능,통가죽 가공대,TRUE,22300101,Shared,"[210001011,223001012]"
22000201,22000201,간이 주괴 제작대_배치용,간이 주괴 가공대,TRUE,22000101,Shared,[200001011]
22100201,22100201,간이 천 제작대_배치용,간이 천 가공대,TRUE,22100101,Shared,[200001011]
22200201,22200201,간이 목재 제작대_배치용,간이 목재 가공대,TRUE,22200101,Shared,[200001011]
22300201,22300201,간이 피혁 제작대_배치용,간이 피혁 가공대,TRUE,22300101,Shared,[200001011]
22400101,22400101,간이 재료 가공대_배치용,간이 재료 가공대,FALSE,22000101,Shared,[200001011]
29000101,29000101,특산품 제작대_레벨 배치용,특산품 제작대,FALSE,29000101,Shared,[200001011]
29090101,29090101,솔즈리드 반도 무역품 제작대_레벨 배치용(동기),솔즈리드 반도 무역품 제작대,FALSE,29090101,Shared,[200001011]
29090201,29090201,릴리엇 구릉지 무역품 제작대_레벨 배치용(동기) ,릴리엇 구릉지 무역품 제작대 ,FALSE,29090201,Shared,[200001011]
29090301,29090301,가랑돌 평원 무역품 제작대_레벨 배치용(동기) ,가랑돌 평원 무역품 제작대 ,FALSE,29090301,Shared,[200001011]
29090401,29090401,하얀 숲 무역품 제작대_레벨 배치용(동기) ,하얀 숲 무역품 제작대 ,FALSE,29090401,Shared,[200001011]
29090501,29090501,마리아노플 무역품 제작대_레벨 배치용(동기),마리아노플 무역품 제작대,FALSE,29090501,Shared,[200001011]
31000101,31000101,TEST_판매 불가 등짐,TEST_판매 불가 등짐,TRUE,31000101,Exclusive,[310001011]
31000201,31000201,TEST_골드 보상 등짐,TEST_골드 보상 등짐,TRUE,31000201,Exclusive,[310002011]
31000301,31000301,TEST_아이템 보상 등짐,TEST_아이템 보상 등짐,TRUE,31000301,Exclusive,[310003011]
31000401,31000401,우편 수행자의 등짐,우편 수행자의 등짐,TRUE,31000401,Exclusive,[310004011]
31010101,31010101,1T 무기 보급품,1T 무기 보급품,TRUE,31010101,Exclusive,[310101011]
31010201,31010201,1T 방어구 보급품,1T 방어구 보급품,TRUE,31010201,Exclusive,[310102011]
31010301,31010301,1T 장신구 보급품,1T 장신구 보급품,TRUE,31010301,Exclusive,[310103011]
31010401,31010401,1T 요리 보급품,1T 요리 보급품,TRUE,31010401,Exclusive,[310104011]
31010501,31010501,1T 연금 보급품,1T 연금 보급품,TRUE,31010501,Exclusive,[310105011]
31010601,31010601,1T 주괴 보급품,1T 주괴 보급품,TRUE,31010601,Exclusive,[310106011]
31010701,31010701,1T 피혁 보급품,1T 피혁 보급품,TRUE,31010701,Exclusive,[310107011]
31010801,31010801,1T 천 보급품,1T 천 보급품,TRUE,31010801,Exclusive,[310108011]
31010901,31010901,1T 목재 보급품,1T 목재 보급품,TRUE,31010901,Exclusive,[310109011]
31020101,31020101,2T 무기 보급품,2T 무기 보급품,TRUE,31020101,Exclusive,[310201011]
31020201,31020201,2T 방어구 보급품,2T 방어구 보급품,TRUE,31020201,Exclusive,[310202011]
31020301,31020301,2T 장신구 보급품,2T 장신구 보급품,TRUE,31020301,Exclusive,[310203011]
31020401,31020401,2T 요리 보급품,2T 요리 보급품,TRUE,31020401,Exclusive,[310204011]
31020501,31020501,2T 연금 보급품,2T 연금 보급품,TRUE,31020501,Exclusive,[310205011]
31020601,31020601,2T 주괴 보급품,2T 주괴 보급품,TRUE,31020601,Exclusive,[310206011]
31020701,31020701,2T 피혁 보급품,2T 피혁 보급품,TRUE,31020701,Exclusive,[310207011]
31020801,31020801,2T 천 보급품,2T 천 보급품,TRUE,31020801,Exclusive,[310208011]
31020901,31020901,2T 목재 보급품,2T 목재 보급품,TRUE,31020901,Exclusive,[310209011]
31030101,31030101,3T 무기 보급품,3T 무기 보급품,TRUE,31030101,Exclusive,[310301011]
31030201,31030201,3T 방어구 보급품,3T 방어구 보급품,TRUE,31030201,Exclusive,[310302011]
31030301,31030301,3T 장신구 보급품,3T 장신구 보급품,TRUE,31030301,Exclusive,[310303011]
31030401,31030401,3T 요리 보급품,3T 요리 보급품,TRUE,31030401,Exclusive,[310304011]
31030501,31030501,3T 연금 보급품,3T 연금 보급품,TRUE,31030501,Exclusive,[310305011]
31030601,31030601,3T 주괴 보급품,3T 주괴 보급품,TRUE,31030601,Exclusive,[310306011]
31030701,31030701,3T 피혁 보급품,3T 피혁 보급품,TRUE,31030701,Exclusive,[310307011]
31030801,31030801,3T 천 보급품,3T 천 보급품,TRUE,31030801,Exclusive,[310308011]
31030901,31030901,3T 목재 보급품,3T 목재 보급품,TRUE,31030901,Exclusive,[310309011]
31040101,31040101,4T 무기 보급품,4T 무기 보급품,TRUE,31040101,Exclusive,[310401011]
31040201,31040201,4T 방어구 보급품,4T 방어구 보급품,TRUE,31040201,Exclusive,[310402011]
31040301,31040301,4T 장신구 보급품,4T 장신구 보급품,TRUE,31040301,Exclusive,[310403011]
31040401,31040401,4T 요리 보급품,4T 요리 보급품,TRUE,31040401,Exclusive,[310404011]
31040501,31040501,4T 연금 보급품,4T 연금 보급품,TRUE,31040501,Exclusive,[310405011]
31040601,31040601,4T 주괴 보급품,4T 주괴 보급품,TRUE,31040601,Exclusive,[310406011]
31040701,31040701,4T 피혁 보급품,4T 피혁 보급품,TRUE,31040701,Exclusive,[310407011]
31040801,31040801,4T 천 보급품,4T 천 보급품,TRUE,31040801,Exclusive,[310408011]
31040901,31040901,4T 목재 보급품,4T 목재 보급품,TRUE,31040901,Exclusive,[310409011]
32000101,32000101,TEST_델피나드의 별 보상 등짐,TEST_델피나드의 별 보상 등짐,TRUE,32000101,Exclusive,[320001011]
32000201,32000201,이니스 섬 견습생의 무기 군수품,이니스 섬 견습생의 무기 군수품,TRUE,32000201,Exclusive,[320002011]
32050101,32050101,5T 무기 교역품,5T 무기 교역품,TRUE,32050101,Exclusive,[320501011]
32050201,32050201,5T 방어구 교역품,5T 방어구 교역품,TRUE,32050201,Exclusive,[320502011]
32050301,32050301,5T 장신구 교역품,5T 장신구 교역품,TRUE,32050301,Exclusive,[320503011]
32050401,32050401,5T 요리 교역품,5T 요리 교역품,TRUE,32050401,Exclusive,[320504011]
32050501,32050501,5T 연금 교역품,5T 연금 교역품,TRUE,32050501,Exclusive,[320505011]
32050601,32050601,5T 주괴 교역품,5T 주괴 교역품,TRUE,32050601,Exclusive,[320506011]
32050701,32050701,5T 피혁 교역품,5T 피혁 교역품,TRUE,32050701,Exclusive,[320507011]
32050801,32050801,5T 천 교역품,5T 천 교역품,TRUE,32050801,Exclusive,[320508011]
32050901,32050901,5T 목재 교역품,5T 목재 교역품,TRUE,32050901,Exclusive,[320509011]
32060101,32060101,6T 무기 교역품,6T 무기 교역품,TRUE,32060101,Exclusive,[320601011]
32060201,32060201,6T 방어구 교역품,6T 방어구 교역품,TRUE,32060201,Exclusive,[320602011]
32060301,32060301,6T 장신구 교역품,6T 장신구 교역품,TRUE,32060301,Exclusive,[320603011]
32060401,32060401,6T 요리 교역품,6T 요리 교역품,TRUE,32060401,Exclusive,[320604011]
32060501,32060501,6T 연금 교역품,6T 연금 교역품,TRUE,32060501,Exclusive,[320605011]
32060601,32060601,6T 주괴 교역품,6T 주괴 교역품,TRUE,32060601,Exclusive,[320606011]
32060701,32060701,6T 피혁 교역품,6T 피혁 교역품,TRUE,32060701,Exclusive,[320607011]
32060801,32060801,6T 천 교역품,6T 천 교역품,TRUE,32060801,Exclusive,[320608011]
32060901,32060901,6T 목재 교역품,6T 목재 교역품,TRUE,32060901,Exclusive,[320609011]
32070101,32070101,7T 무기 교역품,7T 무기 교역품,TRUE,32070101,Exclusive,[320701011]
32070201,32070201,7T 방어구 교역품,7T 방어구 교역품,TRUE,32070201,Exclusive,[320702011]
32070301,32070301,7T 장신구 교역품,7T 장신구 교역품,TRUE,32070301,Exclusive,[320703011]
32070401,32070401,7T 요리 교역품,7T 요리 교역품,TRUE,32070401,Exclusive,[320704011]
32070501,32070501,7T 연금 교역품,7T 연금 교역품,TRUE,32070501,Exclusive,[320705011]
32070601,32070601,7T 주괴 교역품,7T 주괴 교역품,TRUE,32070601,Exclusive,[320706011]
32070701,32070701,7T 피혁 교역품,7T 피혁 교역품,TRUE,32070701,Exclusive,[320707011]
32070801,32070801,7T 천 교역품,7T 천 교역품,TRUE,32070801,Exclusive,[320708011]
32070901,32070901,7T 목재 교역품,7T 목재 교역품,TRUE,32070901,Exclusive,[320709011]
33000101,33000101,TEST_에노아의 태양 보상 등짐,TEST_에노아의 태양 보상 등짐,TRUE,33000101,Exclusive,[330001011]
40100101,40100101,솔로 던전 3티어_M11 스펙_활성화,이즈나의 메아리,TRUE,998401,Shared,[401001011]
40100102,40100102,솔로 던전 3티어_M11 스펙_감추기,,FALSE,1,Shared,[401001021]
40100103,40100103,솔로 던전 3티어_M11 스펙_분기,이즈나의 메아리,FALSE,1,Shared,[401001031]
40100201,40100201,솔로 던전 4티어_M11 스펙_활성화,망자의 균열: 4단계,TRUE,998401,Shared,"[401002011,401002012]"
40100202,40100202,솔로 던전 4티어_M11 스펙_감추기,,FALSE,1,Shared,[401002021]
40100203,40100203,솔로 던전 4티어_M11 스펙_분기,,FALSE,1,Shared,[401002031]
40100301,40100301,솔로 던전 5티어_M11 스펙_활성화,망자의 균열: 5단계,TRUE,998401,Shared,"[401003011,401003012]"
40100302,40100302,솔로 던전 5티어_M11 스펙_감추기,,FALSE,1,Shared,[401003021]
40100303,40100303,솔로 던전 5티어_M11 스펙_분기,망자의 균열: 3단계,FALSE,1,Shared,[401003031]
40100401,40100401,파티 던전 6티어_M11 스펙,되살아난 망령의 제단 (파티),TRUE,998402,Shared,[401004011]
40100501,40100501,오픈 던전 6티어_M11 스펙,뒤틀린 생명의 균열 (채집),TRUE,998403,Shared,[401005011]
40100701,40100701,이즈나의 메아리 입구_상시 활성화,이즈나의 메아리,TRUE,40100701,Shared,[401007011]
40100801,40100801,파괴된 잔해의 전장_스폰 포탈,파괴된 잔해의 전장,TRUE,998402,Shared,"[401008011,401008012]"
40100901,40100901,파괴된 잔해의 전장_고정 포탈,파괴된 잔해의 전장 입구,TRUE,998402,Shared,[401009011]
40101001,40101001,이즈나의 메아리 파티 입구,이즈나의 메아리 (파티),TRUE,40100701,Shared,[401001011]
40200101,40200101,이니스 부두로 포털,이니스 부두 ,FALSE,40200101,Shared,[402001011]
60100001,60100001,깨망균 보스상자_닫혀있음_1T,보스 보물 상자 1T,FALSE,60100001,Exclusive,[601000011]
60100002,60100002,깨망균 보스상자_일반_열리는중,,FALSE,60100001,Exclusive,[601000021]
60100003,60100003,깨망균 보스상자_대성공_열리는중,,FALSE,60100001,Exclusive,[601000031]
60100004,60100004,깨망균 보스상자_열려있음,,FALSE,60100001,Exclusive,[601000041]
60100101,60100101,깨망균 보스상자_닫혀있음_2T,보스 보물 상자 2T,FALSE,60100001,Exclusive,[601001011]
60100201,60100201,깨망균 보스상자_닫혀있음_3T,보스 보물 상자 3T,FALSE,60100001,Exclusive,[601002011]
60100301,60100301,깨망균 보스상자_닫혀있음_4T,보스 보물 상자 4T,FALSE,60100001,Exclusive,[601003011]
60100401,60100401,깨망균 보스상자_닫혀있음_5T,보스 보물 상자 5T,FALSE,60100001,Exclusive,[601004011]
60100501,60100501,깨망균 보스상자_닫혀있음_6T,보스 보물 상자 6T,FALSE,60100001,Exclusive,[601005011]
60100601,60100601,깨망균 보스상자_닫혀있음_7T,보스 보물 상자 7T,FALSE,60100001,Exclusive,[601006011]
90100101,90100101,모래사장_덮인 모래둔턱,모래 둔턱,TRUE,90100101,Shared,[901001011]
90100102,90100102,모래사장_거북알 노출 상태,거북알 둥지,TRUE,90100102,Shared,[901001021]
90100103,90100103,모래사장_텅 빈 상태,빈 모래 둔턱,TRUE,90100103,Shared,[901001031]
90100201,90100201,요리솥_모닥불 꺼진 상태,꺼진 모닥불,TRUE,90100201,Exclusive,[]
90100202,90100202,요리솥_모닥불 켜지고 빈 요리솥 상태,간이 요리 제작대,TRUE,90100202,Exclusive,[901002021]
90100203,90100203,요리솥_모닥불 켜지고 스튜 조리중 상태,스튜가 완성된 솥,TRUE,90100203,Exclusive,[901002031]
90100204,90100204,요리솥_요리솥 회수 상태,모닥불,TRUE,90100204,Exclusive,[901002041]
90100205,90100205,요리솥_꺼진 모닥불 소멸 연출,꺼진 모닥불,TRUE,90100201,Exclusive,[901002051]
90100301,90100301,달구지_망가진 상태,망가진 달구지,TRUE,4,Shared,[901003011]
90100302,90100302,달구지_수리된 상태,,FALSE,4,Shared,
90100401,90100401,부쉬_인터렉션 가능 상태,풀숲,TRUE,1,Shared,[901004011]
90100500,90100500,사람의 발자국_인터렉션 불가능 상태,,FALSE,90100501,Shared,
90100501,90100501,사람의 발자국_인터렉션 가능 상태,누군가의 발자국,TRUE,90100501,Shared,[901005011]
90100601,90100601,수습 신관의 가방_인터렉션 가능 상태,누군가의 가방,TRUE,90100601,Shared,[901006011]
90100701,90100701,바닥에 떨어진 천쪼가리_인터렉션 가능 상태,천 쪼가리,TRUE,90100701,Shared,[901007011]
90100800,90100800,흩뿌려진 피_인터렉션 불가능 상태,,FALSE,90100801,Shared,
90100801,90100801,흩뿌려진 피_인터렉션 가능 상태,흩뿌려진 피,TRUE,90100801,Shared,[901008011]
90100900,90100900,커다란 짐승의 발톱 자국_인터렉션 불가능 상태,,FALSE,90100901,Shared,
90100901,90100901,커다란 짐승의 발톱 자국_인터렉션 가능 상태,커다란 짐승의 발톱 자국,TRUE,90100901,Shared,[901009011]
90101001,90101001,누이 여신상_인터렉션 가능 상태,,FALSE,5,Shared,[901010011]
90101101,90101101,마굿간_인터렉션 가능 상태,,FALSE,6,Shared,"[901011011,901011012,901011013]"
90101102,90101102,마굿간_갈색 말 선택 연출,,FALSE,6,Exclusive,[901011021]
90101103,90101103,마굿간_흰색 말 선택 연출,,FALSE,6,Exclusive,[901011021]
90101104,90101104,마굿간_검은색 말 선택 연출,,FALSE,6,Exclusive,[901011021]
90101201,90101201,인력 게시판_인터렉션 가능 상태,,FALSE,90101201,Shared,[901012011]
90101301,90101301,우편 가방_인터렉션 가능 상태 (챙기기),우편 가방,TRUE,1,Shared,[901013011]
90101401,90101401,세면대_인터렉션 가능 상태,세면대,FALSE,90101401,Exclusive,[901014011]
90101402,90101402,세면대_완료 연출,,FALSE,90101401,Exclusive,
90101501,90101501,신관_인터렉션 가능 상태,신관,FALSE,90101501,Exclusive,[901015011]
90101502,90101502,신관_완료 연출,,FALSE,90101501,Exclusive,
90101601,90101601,향로_인터렉션 가능 상태,향로,FALSE,90101601,Exclusive,[901016011]
90101602,90101602,향로_완료 연출,,FALSE,90101601,Exclusive,
90101701,90101701,성수반_인터렉션 가능 상태,성수반,FALSE,90101701,Exclusive,[901017011]
90101702,90101702,성수반_완료 연출,,FALSE,90101701,Exclusive,
90101801,90101801,촛대_인터렉션 가능 상태,촛대,FALSE,90101801,Exclusive,[901018011]
90101802,90101802,촛대_완료 연출,,FALSE,90101801,Exclusive,
90101901,90101901,첫번째 성물 결계_인터렉션 가능 상태,결계,FALSE,90101901,Exclusive,[901019011]
90101902,90101902,첫번째 성물 결계_완료 연출,,FALSE,90101901,Exclusive,
90102001,90102001,두번째 성물 결계_인터렉션 가능 상태,결계,FALSE,90101901,Exclusive,[901020011]
90102002,90102002,두번째 성물 결계_완료 연출,,FALSE,90101901,Exclusive,
90102101,90102101,세번째 성물 결계_인터렉션 가능 상태,결계,FALSE,90101901,Exclusive,[901021011]
90102102,90102102,세번째 성물 결계_완료 연출,,FALSE,90101901,Exclusive,
90102201,90102201,네번째 성물 결계_인터렉션 가능 상태,결계,FALSE,90101901,Exclusive,[901022011]
90102202,90102202,네번째 성물 결계_완료 연출,,FALSE,90101901,Exclusive,
90102301,90102301,중앙 성물 결계_인터렉션 가능 상태,결계,FALSE,90102301,Exclusive,[901023011]
90102302,90102302,중앙 성물 결계_완료 연출,,FALSE,90102301,Exclusive,
90102401,90102401,우편 수행자의 모자_인터렉션 가능 상태,우편 수행자의 모자,FALSE,90102401,Shared,[901024011]
90102501,90102501,흩어진 종이_인터렉션 가능 상태,흩어진 종이,FALSE,90102501,Shared,[901025011]
90102601,90102601,찢어진 가방 조각_인터렉션 가능 상태,찢어진 가방 조각,FALSE,90102601,Shared,[901026011]
90102701,90102701,우편 가방_인터렉션 가능 상태 (내려놓기),,FALSE,1,Shared,[901027011]
90102801,90102801,요리솥_불 붙이기,꺼진 모닥불,TRUE,1,Shared,[901028011]
90102901,90102901,요리솥_스튜 조리하기,간이 요리 제작대,TRUE,1,Shared,[901029011]
90103001,90103001,요리솥_남은 스튜 챙기기,스튜가 완성된 솥,TRUE,1,Shared,[901030011]
90103101,90103101,부쉬_인터렉션 가능 상태,풀숲,TRUE,1,Shared,[901031011]
90103201,90103201,부쉬_인터렉션 가능 상태,풀숲,TRUE,1,Shared,[901032011]
90103301,90103301,부쉬_인터렉션 가능 상태,풀숲,TRUE,1,Shared,[901033011]
90103401,90103401,부쉬_인터렉션 가능 상태,풀숲,TRUE,1,Shared,[901034011]
90103501,90103501,부쉬_인터렉션 가능 상태,풀숲,TRUE,1,Shared,[901035011]
90103601,90103601,지형 상호작용_절벽 내려가기,,FALSE,90103601,Shared,[901036011]
90103701,90103701,목재_목재 챙기기,목재 더미,TRUE,8,Shared,[901037011]
90103801,90103801,지형 상호작용_절벽 오르기,,FALSE,90103601,Shared,[901038011]
90103901,90103901,포로로 잡힌 신관1_구출하기,포로로 잡힌 신관,FALSE,9,Shared,[901039011]
90104001,90104001,포로로 잡힌 주민1_구출하기,포로로 잡힌 주민,FALSE,9,Shared,[901040011]
90104101,90104101,포로로 잡힌 주민2_구출하기,포로로 잡힌 주민,FALSE,9,Shared,[901041011]
90104201,90104201,포로로 잡힌 주민3_구출하기,포로로 잡힌 주민,FALSE,9,Shared,[901042011]
90104301,90104301,포로로 잡힌 신관1_구출하기,포로로 잡힌 신관,FALSE,9,Shared,[901043011]
90104401,90104401,고양이 석상,고양이 석상,FALSE,90104401,Shared,[901044011]
90200101,90200101,M11 솔로 던전 숨겨진 바위문_닫혀있는 중,통로를 막은 바위,FALSE,90200101,Exclusive,[902001011]
90200102,90200102,M11 솔로 던전 숨겨진 바위문_부숴지는 중,통로를 막은 바위,FALSE,90200102,Exclusive,[902001021]
90200103,90200103,M11 솔로 던전 숨겨진 바위문_클리어,통로를 막은 바위,FALSE,90200103,Exclusive,[902001031]
90200201,90200201,M11 파티 던전 숨겨진 바위문_닫혀있는 중,통로를 막은 바위,FALSE,90200201,Exclusive,[902002011]
90200202,90200202,M11 파티 던전 숨겨진 바위문_부숴지는 중,통로를 막은 바위,FALSE,90200202,Exclusive,[902002021]
90200203,90200203,M11 파티 던전 숨겨진 바위문_클리어,통로를 막은 바위,FALSE,90200203,Exclusive,[902002031]
90200301,90200301,M11 축복의 성소_비활성화,대기 중인 축복의 성소,FALSE,90200301,Exclusive,[902003011]
90200302,90200302,M11 축복의 성소_토템 스폰,활성화 된 축복의 성소,FALSE,90200302,Exclusive,[902003021]
90200401,90200401,공격 속도 구슬_오버랩 및 타이머,,FALSE,90200401,Exclusive,[902004012]
90200402,90200402,공격 속도 구슬_스폰 후 소멸로,,FALSE,90200402,Exclusive,[902004021]
90200501,90200501,이동 속도 구슬_오버랩 및 타이머,,FALSE,90200501,Exclusive,[902005012]
90200502,90200502,이동 속도 구슬_스폰 후 소멸로,,FALSE,90200502,Exclusive,[902005021]
90200601,90200601,몬스터 소환 후 쉐이킹 페이즈로,,FALSE,90200601,Exclusive,[902006011]
90200602,90200602,카메라 쉐이킹 후 소멸,,FALSE,90200601,Exclusive,[902006021]
90200701,90200701,몬스터 소환 후 쉐이킹 페이즈로,,FALSE,90200601,Exclusive,[902007011]
90200702,90200702,카메라 쉐이킹 후 소멸,,FALSE,90200601,Exclusive,[902007021]
90200801,90200801,몬스터 소환 후 쉐이킹 페이즈로,,FALSE,90200601,Exclusive,[902008011]
90200802,90200802,카메라 쉐이킹 후 소멸,,FALSE,90200601,Exclusive,[902008021]
90200901,90200901,몬스터 소환 후 쉐이킹 페이즈로,,FALSE,90200601,Exclusive,[902009011]
90200902,90200902,카메라 쉐이킹 후 소멸,,FALSE,90200601,Exclusive,[902009021]
90201001,90201001,"몬스터 사망 후 오버랩 두다드 등장 (오버랩,타이머)",,FALSE,90201001,Exclusive,[902010011]
