OID,Cid,Comment,StepGoal,QuestVolumes,AutoMoveSourceType,Condition,ConditionTargetCid,Count,LocationDisplayType,MapDisplayType,HideSubSteps,LootItemAssetCid,IncreaseProbability,ActiveNpcSpawnerCids,ActiveSpawnerCids,ActiveDoodadPhaseCids,DeleteItemCids,StartSequenceCids,EndSequenceCids,ProgressSequenceCid,NormalLootGroupCid
100502,100502,이니스 섬 정착,대신관 그왈흐에게 인사 올리기,,None,Talk,100502,1,All,QuestLegend,false,,1,[10000501],[],[],[],[1005021],"[1005029,1005]",,
100601,100601,5년만의 제례,이니스 섬 제례 소식,,None,StepsDone,100601,3,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100602,100602,5년만의 제례,대장장이에게 이야기 듣기,,None,Talk,100602,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100603,100603,5년만의 제례,잡화상인에게 이야기 듣기,,None,Talk,100603,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100604,100604,5년만의 제례,마구간지기에게 이야기 듣기,,None,Talk,100604,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100605,100605,5년만의 제례,]를 눌러 탈 것 목록 확인,,None,StepsDone,100605,2,All,QuestLegend,false,,1,[],[],[],[],[],[],1006,
100606,100606,5년만의 제례,원하는 말 선택하기,,None,Interaction,100606,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100607,100607,5년만의 제례,말을 탈 것 목록에 등록하기,,None,UseQuestItem,100607,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100608,100608,5년만의 제례,V를 눌러 말 시승하기,,None,StatusChange,100608,1,All,QuestLegend,false,,1,[],[],[],[],[],[],1006,
100609,100609,5년만의 제례,인력 게시판 확인하기,,None,Interaction,100609,1,All,QuestLegend,false,,1,[],[],[],[],[1006091],[],,
100610,100610,5년만의 제례,우편 수행자의 사원에 문의하기,,None,GoArea,100610,1,All,QuestLegend,false,,1,"[10000901,10001001]",[],[],[],[],[],,
100611,100611,5년만의 제례,우편 수행자들의 상황 지켜보기,,None,Sequence,100611,1,All,QuestLegend,false,,1,"[10000901,10001001]",[],[],[],[1006112],[],,
100701,100701,잃어버린 서신,우편 수행자의 의뢰 받기,,None,Talk,100701,1,All,QuestLegend,false,,1,"[10000901,10001001]",[],[],[],[],[],,
100702,100702,잃어버린 서신,고요의 숲으로 이동하기,,None,GoArea,100702,1,All,QuestLegend,false,,1,[],[],[],[],[1007021],[1],,
100703,100703,잃어버린 서신,고요의 숲 사태 파악,,None,StepsDone,100703,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100704,100704,잃어버린 서신,난폭해진 몬스터 진정시키기,[10070400],None,HuntMonster,100704,10,All,Dot,false,,1,[],[],[],[],[],[],,
100705,100705,잃어버린 서신,단서가 될만한 흔적 수색하기,,None,StepsDone,100705,3,All,QuestLegend,true,,1,[],[],[],[],[],[],,
100706,100706,잃어버린 서신,단서가 될만한 흔적 수색하기,,None,Interaction,100706,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100707,100707,잃어버린 서신,단서가 될만한 흔적 수색하기,,None,Interaction,100707,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100708,100708,잃어버린 서신,단서가 될만한 흔적 수색하기,,None,Interaction,100708,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100709,100709,잃어버린 서신,메다드 찾아보기,,None,GoArea,100709,1,All,QuestLegend,false,,1,[10001101],[],[],[],[],[1007099],,
100801,100801,이즈나의 기운,흩어진 우편물 수색,,None,StepsDone,100801,1,All,QuestLegend,false,,1,[],[],[],[],[1008011],[1],1008,
100802,100802,이즈나의 기운,정령 무리에게서 우편 찾기,"[10080201,10080202]",None,HuntMonster,100802,10,All,Dot,false,100802,0.7,[],[],[],[],[],[],,
100803,100803,이즈나의 기운,우편 가방 찾기,,None,GoArea,100803,1,All,QuestLegend,false,,1,[],[],[],[],[],[],1008,
100804,100804,이즈나의 기운,우편 가방을 지키는 몬스터 저지하기,[10080400],None,DungeonClear,100804,1,None,QuestLegend,false,,1,[10000401],[],[],[],[],[],1008,
100805,100805,이즈나의 기운,우편 가방 챙기기,,None,Interaction,100805,1,All,QuestLegend,false,100805,1,[10001102],[],[],[],[],[],1008,
100806,100806,이즈나의 기운,우편 가방을 명상의 샘으로 옮기기,,None,Interaction,100806,1,All,QuestLegend,false,,1,[10001102],[],[],[],[],[],1008,
100807,100807,이즈나의 기운,이즈나의 메아리 정화하기,,None,DungeonClear,100807,1,All,QuestLegend,false,,1,[10001102],[],[],[],[1008071],[1],,
100808,100808,이즈나의 기운,메다드에게 돌아가기,,None,GoArea,100808,1,All,QuestLegend,false,,1,[10001102],[],[],[],[],[],1008,
100809,100809,이즈나의 기운,누이 신전에 서신 배달하기,,None,Talk,100809,1,All,QuestLegend,false,,1,"[10000502,10000112]",[],[],[],[1008091],[1008099],1008,
100901,100901,피 묻은 손의 침략,신성의 숲을 침략한 피 묻은 손 토벌하기,"[10090100,10090101]",None,DungeonClear,100901,1,None,QuestLegend,false,,1,[],[],[],[],[],[],,
100902,100902,피 묻은 손의 침략,절벽 아래로 내려가기,,None,Interaction,100902,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100903,100903,피 묻은 손의 침략,달그늘 쉼터로 이동하기,,None,GoArea,100903,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
100904,100904,피 묻은 손의 침략,달그늘 쉼터를 침략한 피 묻은 손 토벌하기,[10090400],None,DungeonClear,100904,1,None,QuestLegend,false,,1,[],[],[],[],[],[],,
200000,200000,솔즈리드 반도 퀘스트,바라기 마을 이동하기,,None,GoArea,200000,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200001,200001,솔즈리드 반도 퀘스트,바라기 농가 이동하기,,None,GoArea,200001,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200002,200002,솔즈리드 반도 퀘스트,바라기 언덕 이동하기,,None,GoArea,200002,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200003,200003,솔즈리드 반도 퀘스트,가라앉은 만 이동하기,,None,GoArea,200003,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200004,200004,솔즈리드 반도 퀘스트,푸른 안개 숲 이동하기,,None,GoArea,200004,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200005,200005,솔즈리드 반도 퀘스트,초승달 왕좌 이동하기,,None,GoArea,200005,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200006,200006,솔즈리드 반도 퀘스트,파수 마을 이동하기,,None,GoArea,200006,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200007,200007,솔즈리드 반도 퀘스트,백월만 이동하기,,None,GoArea,200007,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200008,200008,솔즈리드 반도 퀘스트,우윳빛 강 마을 이동하기,,None,GoArea,200008,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200009,200009,솔즈리드 반도 퀘스트,잊혀진 성 이동하기,,None,GoArea,200009,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200010,200010,솔즈리드 반도 퀘스트,앰리아 마을 이동하기,,None,GoArea,200010,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200011,200011,솔즈리드 반도 퀘스트,요정의 은신처 이동하기,,None,GoArea,200011,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200012,200012,솔즈리드 반도 퀘스트,일벌백계의 폐허 1 이동하기,,None,GoArea,200012,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200013,200013,솔즈리드 반도 퀘스트,일벌백계의 폐허 2 이동하기,,None,GoArea,200013,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
200014,200014,솔즈리드 반도 퀘스트,일벌백계의 폐허 3 이동하기,,None,GoArea,200014,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
900001,900001,이즈나의 메아리 정화,정령 근처로 이동하기,,None,GoArea,900001,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
900002,900002,이즈나의 메아리 정화,혼란스러워 하는 물정령 처치하기,[90000200],None,HuntMonster,900002,2,All,Dot,false,,1,[],[],[],[],[],[],,
900003,900003,이즈나의 메아리 정화,자책과 슬픔이 느껴지는 장소로 이동하기,,None,GoArea,900003,1,All,QuestLegend,false,,1,[],[],"[902050,90205002]",[],[],[],,
900004,900004,이즈나의 메아리 정화,여신의 감정에 사로잡힌 정령 무리 처치하기,[90000400],None,StepsDone,900004,2,All,QuestLegend,false,,1,[],[],[],[],[],[],,
900005,900005,이즈나의 메아리 정화,분노에 사로잡힌 물정령 처치하기,,None,HuntMonster,900005,2,All,Dot,false,,1,[],[],[],[],[],[],,
900006,900006,이즈나의 메아리 정화,자책하는 바위 정령 처치하기,,None,HuntMonster,900006,3,All,Dot,false,,1,[],[],[],[],[],[],,
900007,900007,이즈나의 메아리 정화,길을 막고 있는 벽으로 이동하기,,None,GoArea,900007,1,All,QuestLegend,false,,1,[],[],"[902046,90204602]",[],[],[],,
900008,900008,이즈나의 메아리 정화,길을 따라 경계의 깊은 곳으로 이동하기,,None,GoArea,900008,1,All,QuestLegend,false,,1,[],[],"[902049,90204902]",[],[],[],,
900009,900009,이즈나의 메아리 정화,잊혀진 해골 무리 처치하기,[90000900],None,HuntMonster,900009,6,All,Dot,false,,1,[],[],"[902031,90203102]",[],[],[],,
900010,900010,이즈나의 메아리 정화,잔류하는 감정의 덩어리를 따라 이동하기,,None,GoArea,900010,1,All,QuestLegend,false,,1,[],[],"[902030,90203002]",[],[],[],,
900011,900011,이즈나의 메아리 정화,잊혀진 망자의 회랑으로 이동하기,,None,GoArea,900011,1,All,QuestLegend,false,,1,[],[],[],[],[],[9000111],,
900012,900012,이즈나의 메아리 정화,몰려드는 해골 무리 처치하기,[90001200],None,HuntMonster,900012,9,All,Dot,false,,1,[],[],"[902033,90203302]",[],[],[],,
900013,900013,이즈나의 메아리 정화,가로막는 해골 무리 처치하기,[90001300],None,HuntMonster,900013,5,All,Dot,false,,1,[],[],"[902032,90203202]",[],[],[],,
900014,900014,이즈나의 메아리 정화,끝나지 않는 참극의 무대로 이동하기,,None,GoArea,900014,1,All,QuestLegend,false,,1,[],[],"[902051,90205102]",[],[],[],,
900015,900015,이즈나의 메아리 정화,이즈나 외성을 경비하는 무리 처치하기,[90001500],None,StepsDone,900015,4,All,QuestLegend,false,,1,[],[],[],[],[9000151],[],,
900016,900016,이즈나의 메아리 정화,이즈나 외성 경비병의 망령 처치,,None,HuntMonster,900016,2,All,Dot,false,,1,[],[],[],[],[],[],,
900017,900017,이즈나의 메아리 정화,이즈나 외성 근위병의 망령 처치,,None,HuntMonster,900017,2,All,Dot,false,,1,[],[],[],[],[],[],,
900018,900018,이즈나의 메아리 정화,잊혀진 해골 전사 처치,,None,HuntMonster,900018,2,All,Dot,false,,1,[],[],[],[],[],[],,
900019,900019,이즈나의 메아리 정화,잊혀진 해골 창병 처치,,None,HuntMonster,900019,4,All,Dot,false,,1,[],[],[],[],[],[],,
900020,900020,이즈나의 메아리 정화,외성 경비대장 데로스와 부관 망령 처치하기,[90002000],None,HuntMonster,900020,3,All,Dot,false,,1,[],[],"[902035,90203502]",[],[],[],,
900021,900021,이즈나의 메아리 정화,데로스의 사념을 따라 막다른 곳으로 이동하기,,None,GoArea,900021,1,All,QuestLegend,false,,1,[],[],"[902047,90204702]",[],[],[],,
900022,900022,이즈나의 메아리 정화,여신의 심연을 마주할 수 있는 위치로 이동하기,,None,GoArea,900022,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
900023,900023,이즈나의 메아리 정화,이즈나 망령 무리들을 처치하기,"[90002300,90002301,90002302]",None,StepsDone,900023,3,All,QuestLegend,false,,1,[],[],[],[],[],[],,
900024,900024,이즈나의 메아리 정화,이즈나 내성 경비병의 망령 처치,,None,HuntMonster,900024,4,All,Dot,false,,1,[],[],"[902039,90203902]",[],[],[],,
900025,900025,이즈나의 메아리 정화,이즈나 근위기사의 망령 처치,,None,HuntMonster,900025,2,All,Dot,false,,1,[],[],"[902040,90204002]",[],[],[],,
900026,900026,이즈나의 메아리 정화,이즈나 내성 해골 무리 처치,,None,HuntMonster,900026,4,All,Dot,false,,1,[],[],"[902041,90204102]",[],[],[],,
900027,900027,이즈나의 메아리 정화,내성 경비대장 폴라리우스의 망령 처치하기,,None,HuntMonster,900027,1,All,Dot,false,,1,[],[],[],[],[],[],,
900028,900028,이즈나의 메아리 정화,균열의 끝으로 이동하기,,None,GoArea,900028,1,All,QuestLegend,false,,1,[],[],"[902052,90205202]",[],[],[],,
900029,900029,이즈나의 메아리 정화,내성 경비대장 폴라리우스의 망령 처치하기,[90002900],None,HuntMonster,900029,1,All,Dot,false,,1,[],[],[],[],[],[],,
900030,900030,이즈나의 메아리 정화,분노가 모여드는 곳으로 이동하기,,None,GoArea,900030,1,All,QuestLegend,false,,1,[],[],"[902048,90204802]",[],[],[],,
900031,900031,이즈나의 메아리 정화,모여드는 잔재와 공명하기,,None,Interaction,900031,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
900032,900032,이즈나의 메아리 정화,말카바돈 처치하기,[90003200],None,HuntMonster,900032,1,All,Dot,false,,1,[],[],[],[],[],[],,
900033,900033,이즈나의 메아리 정화,잔재가 담긴 보물상자 확인하기,,None,Interaction,900033,1,All,QuestLegend,false,,1,[],[],[],[],[],[],,
900034,900034,이즈나의 메아리 정화,"격노의 잔재, 말카바돈 처치하기",,None,HuntMonster,900034,1,All,Dot,false,,1,[],[],[],[],[],[],,
900101,900101,달빛이 닿지 않는 길,수습 신관의 흔적 따라가기,,None,GoArea,900101,1,All,QuestLegend,false,,1,[10000401],[],[],[],[],[9001011],,
900102,900102,달빛이 닿지 않는 길,몬스터를 처치하여 신관 구출하기,,None,StepsDone,900102,2,All,QuestLegend,false,,1,[10000401],[],[],[],[9001021],[],,
900103,900103,달빛이 닿지 않는 길,놀 우두머리 처치하기,,None,HuntMonster,900103,1,All,Dot,false,,1,[],[],[],[],[],[],,
900104,900104,달빛이 닿지 않는 길,난폭해진 놀 무리 처치하기,,None,HuntMonster,900104,8,All,Dot,false,,1,[],[],[],[],[],[],,
900201,900201,이즈나의 기운,난폭한 정령을 처치하고 가방 찾아보기,[],None,StepsDone,900201,3,All,QuestLegend,false,,1,[],[],[],[],[9002011],[9002012],1008,
900202,900202,이즈나의 기운,분노한 바위 정령 처치,[10080600],None,HuntMonster,900202,2,All,Dot,false,,1,[],[],[],[],[],[],,
900203,900203,이즈나의 기운,분노한 나무 정령 처치,[10080601],None,HuntMonster,900203,2,All,Dot,false,,1,[],[],[],[],[],[],,
900204,900204,이즈나의 기운,분노한 이끼 정령 처치,[10080602],None,HuntMonster,900204,3,All,Dot,false,,1,[],[],[],[],[],[],,
900205,900205,이즈나의 기운,오크 족장 처치하기,[10080603],None,HuntMonster,900205,1,All,Dot,false,,1,[],[],[],[],[9002021],[],1008,
900301,900301,피 묻은 손의 침략,몰려온 피 묻은 손 처치하기,[10090100],None,HuntMonster,900301,10,All,Dot,false,,1,[],[],[],[],[9003011],[],9003,
900302,900302,피 묻은 손의 침략,막혀있는 길 뚫기,[90030200],None,HuntMonster,900302,2,All,Dot,false,,1,[],[],[],[],[],[],9003,
900303,900303,피 묻은 손의 침략,언덕 아래로 내려가기,,None,GoArea,900303,1,All,QuestLegend,false,,1,[],[],[],[],[],[],9003,
900304,900304,피 묻은 손의 침략,신성의 숲을 점령한 피 묻은 손 잔당 토벌,,None,StepsDone,900304,2,All,QuestLegend,false,,1,[],[],[],[],[],[],9003,
900305,900305,피 묻은 손의 침략,피 묻은 손 잔당 몰아내기,[10090101],None,HuntMonster,900305,30,All,Dot,false,,1,[],[],[],[],[],[],,
900306,900306,피 묻은 손의 침략,포로로 잡힌 신관 구출하기,,None,Interaction,900306,1,All,QuestLegend,false,,1,"[10003101,10003201,10003301]",[],[],[],[],[],,
900307,900307,피 묻은 손의 침략,막혀있는 길 뚫기,[90030700],None,HuntMonster,900307,2,All,Dot,false,,1,[],[],[],[],[],[],9003,
900401,900401,피 묻은 손의 침략,입구를 지키는 피 묻은 손 처치하기,[90040100],None,HuntMonster,900401,4,All,Dot,false,,1,[],[],[],[],"[9004011,9004012]",[],9004,
900402,900402,피 묻은 손의 침략,달그늘 쉼터의 주민 구출,,None,StepsDone,900402,3,All,QuestLegend,false,,1,[],[],[],[],[],[],9004,
900403,900403,피 묻은 손의 침략,잡화점 근처의 주민 구출하기,,None,Interaction,900403,1,All,QuestLegend,false,,1,"[10003401,10003501]",[],[],[],[],[],,
900404,900404,피 묻은 손의 침략,대장간 근처의 주민 구출하기,,None,Interaction,900404,1,All,QuestLegend,false,,1,"[10003601,10003701]",[],[],[],[],[],,
900405,900405,피 묻은 손의 침략,마구간 근처의 주민 구출하기,,None,Interaction,900405,1,All,QuestLegend,false,,1,"[10003801,10003901]",[],[],[],[],[],,
900406,900406,피 묻은 손의 침략,달그늘 쉼터 중앙의 피 묻은 손 토벌,[90040600],None,StepsDone,900406,2,All,QuestLegend,false,,1,[],[],[],[],[9004061],[],,
900407,900407,피 묻은 손의 침략,피 묻은 손 지휘관 처치하기,,None,HuntMonster,900407,1,All,Dot,false,,1,[],[],[],[],[],[],,
