OID,Cid,Comment,ContinentCid,ZoneGroupCid,TitleZoneCid,AreaType,DescName,ZoneOrder,MinLevel,MapPath,SubLevel,RandomLocation,ReturnLocation,RevivalLocation,SubZoneCid,CanSaveMemory,CanSaveLastLoc,BGMId,LevelTitle,StatusChangeCids,IsCommandletArg
9984,9984,망자의 균열 4T,1,1,9984,Normal,망자의 균열 4T,1004,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Battle_Dungeon_4T,,[9984],[9984],[9984],,false,true,1,,,false
9985,9985,망자의 균열 5T,1,1,9985,Normal,망자의 균열 5T,1005,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Battle_Dungeon_5T,,[9985],[9985],[9985],,false,true,1,,,false
9986,9986,망자의 균열 6T,1,1,9986,Normal,망자의 균열 6T,1006,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Battle_Dungeon_6T,,[9986],[9986],[9986],,false,true,1,,,false
9987,9987,망자의 균열 7T,1,1,9987,Normal,망자의 균열 7T,1007,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Battle_Dungeon_7T,,[9987],[9987],[9987],,false,true,1,,,false
9988,9988,M11 팀테스트 파티 던전,1,1,9988,Normal,되살아난 망령의 제단 (파티),1008,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Test_Dungeon_Party,,[9988],[9988],[9988],,false,true,1,,,false
9989,9989,M11 팀테스트 오픈 던전,1,1,9989,War,뒤틀린 생명의 균열 (채집),1009,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Open_Dungeon,,"[998901,998902,998903,998904]","[998901,998902,998903,998904]","[998901,998902,998903,998904]",,false,true,1,,,false
9990,9990,,1,1,9990,NormalRevengeable,길드영지,112,1,/Game/A_X7_Maps/Samples_Map/GuildHousing_PT/GuildHousing_PT,,[9990],[9990],[9990],,false,true,1,,,true
9991,9991,솔로 던전,1,1,9991,War,솔로 던전,121,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Test_Dungeon_C,,[9991],[9991],[9991],,false,true,1,,,false
9992,9992,파티 던전,1,1,9992,War,파티 던전,122,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Test_Dungeon_D,,[9992],[9992],[9992],,false,true,1,,,false
9993,9993,오픈 던전,1,1,9993,War,오픈 던전,123,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Test_Dungeon_E,,[9993],[9993],[9993],,false,true,1,,,false
9994,9994,던전 구현 테스트 존 A,1,1,9994,War,던전 구현 테스트 존 A,118,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Test_Dungeon_A,,[9994],[9994],[9994],,false,true,1,,,false
9995,9995,던전 구현 테스트 존 B,1,1,9995,War,던전 구현 테스트 존 B,119,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Test_Dungeon_B,,[9995],[9995],[9995],,false,true,1,,,false
9996,9996,던전 구현 테스트 존 C,1,1,9996,War,던전 구현 테스트 존 C,120,1,/Game/A_X7_Maps/Samples_Map/Dungeon_Test/Test_Dungeon_B,,[9996],[9996],[9996],,false,true,1,,,false
9997,9997,기획 테스트 존,1,1,9997,War,기획 테스트 존,10,1,/Game/A_X7_Maps/Samples_Map/CombatZone/CombatZone,,[1125],[1125],[1125],[999701],false,true,1,,,true
9998,9998,,1,1,9998,Disputed,황금 평원,113,1,/Game/Content/+ART/Maps/Golden_Plains_PT/Golden_Plains,,[],[],[],"[20023,20024,20025,20026,20027,20028,20029,20030]",false,true,1,,,false
9999,9999,,1,1,9999,Normal,이니스 섬,10,1,/Game/A_X7_Maps/Samples_Map/YnisIsland/YnisIsland,,"[999901,999902,999903]",[999902],"[999902,999901]","[999901,999902,999903,999904,999905]",false,true,64,,,true
