OID,Cid,BoundDiameter,BoundHeight,AnimGroup,HitBoxSize
10054,10054,120.000000,250.000000,MobBloodhandBoss,"(X=0.000000,Y=0.000000,Z=0.000000)"
10055,10055,90.000000,250.000000,MobWildBoar,"(X=0.000000,Y=0.000000,Z=0.000000)"
10056,10056,150.000000,300.000000,MobAngryBear,"(X=0.000000,Y=0.000000,Z=0.000000)"
10057,10057,100.000000,300.000000,MobBee,"(X=0.000000,Y=0.000000,Z=0.000000)"
10058,10058,100.000000,300.000000,MobBee,"(X=0.000000,Y=0.000000,Z=0.000000)"
10059,10059,100.000000,300.000000,MobBee,"(X=0.000000,Y=0.000000,Z=0.000000)"
10060,10060,80.000000,200.000000,MobSpyder,"(X=0.000000,Y=0.000000,Z=0.000000)"
10061,10061,80.000000,200.000000,MobSpyder,"(X=0.000000,Y=0.000000,Z=0.000000)"
10062,10062,80.000000,200.000000,MobSpyder,"(X=0.000000,Y=0.000000,Z=0.000000)"
10063,10063,80.000000,300.000000,MobSkeletonWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10064,10064,80.000000,300.000000,MobSkeletonStaff,"(X=0.000000,Y=0.000000,Z=0.000000)"
10065,10065,80.000000,300.000000,MobSkeletonWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10066,10066,80.000000,300.000000,MobSkeletonBow,"(X=0.000000,Y=0.000000,Z=0.000000)"
10067,10067,80.000000,300.000000,MobSkeletonSpear,"(X=0.000000,Y=0.000000,Z=0.000000)"
10068,10068,80.000000,300.000000,MobSkeletonWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10069,10069,80.000000,300.000000,MobNuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10070,10070,100.000000,300.000000,MobPhantomSpear,"(X=0.000000,Y=0.000000,Z=0.000000)"
10071,10071,100.000000,300.000000,MobPhantomSword,"(X=0.000000,Y=0.000000,Z=0.000000)"
10072,10072,100.000000,300.000000,MobPhantomBow,"(X=0.000000,Y=0.000000,Z=0.000000)"
10073,10073,100.000000,300.000000,MobPhantomSword,"(X=0.000000,Y=0.000000,Z=0.000000)"
10074,10074,100.000000,300.000000,MobSandSpiritSmall,"(X=0.000000,Y=0.000000,Z=0.000000)"
10075,10075,200.000000,500.000000,MobSandSpiritBig,"(X=0.000000,Y=0.000000,Z=0.000000)"
10076,10076,80.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10077,10077,80.000000,200.000000,NuianFeamle,"(X=0.000000,Y=0.000000,Z=0.000000)"
10078,10078,80.000000,200.000000,MobCrab,"(X=0.000000,Y=0.000000,Z=0.000000)"
10079,10079,200.000000,200.000000,MobSnapper,"(X=0.000000,Y=0.000000,Z=0.000000)"
10080,10080,160.000000,400.000000,MobOrcWarrior,"(X=0.000000,Y=0.000000,Z=0.000000)"
10081,10081,80.000000,200.000000,MobCat,"(X=0.000000,Y=0.000000,Z=0.000000)"
10082,10082,160.000000,400.000000,MobOrcShieldaxe,"(X=0.000000,Y=0.000000,Z=0.000000)"
10083,10083,80.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10084,10084,400.000000,600.000000,Nakisian_Tanker_B01,"(X=0.000000,Y=0.000000,Z=0.000000)"
10085,10085,400.000000,600.000000,Malkabaddon,"(X=0.000000,Y=0.000000,Z=0.000000)"
10086,10086,250.000000,300.000000,MobEperunun,"(X=0.000000,Y=0.000000,Z=0.000000)"
10087,10087,250.000000,400.000000,MobMorgaris,"(X=0.000000,Y=0.000000,Z=0.000000)"
10088,10088,250.000000,400.000000,MobMorgaris,"(X=0.000000,Y=0.000000,Z=0.000000)"
10089,10089,120.000000,200.000000,MobBearFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10090,10090,80.000000,200.000000,MobBearCub,"(X=0.000000,Y=0.000000,Z=0.000000)"
10091,10091,120.000000,200.000000,MobBearMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10092,10092,120.000000,200.000000,MobBearFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10093,10093,80.000000,200.000000,MobBearCub,"(X=0.000000,Y=0.000000,Z=0.000000)"
10094,10094,75.000000,100.000000,MobBoarFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
10095,10095,75.000000,100.000000,MobBoaryoung,"(X=0.000000,Y=0.000000,Z=0.000000)"
10096,10096,80.000000,200.000000,MobBloodhandStrong,"(X=0.000000,Y=0.000000,Z=0.000000)"
10097,10097,80.000000,200.000000,MobBloodhandSword,"(X=0.000000,Y=0.000000,Z=0.000000)"
10098,10098,80.000000,200.000000,MobBloodhandBow,"(X=0.000000,Y=0.000000,Z=0.000000)"
10099,10099,80.000000,200.000000,MobBloodhandStaff,"(X=0.000000,Y=0.000000,Z=0.000000)"
10100,10100,80.000000,200.000000,MobBloodhandDagger,"(X=0.000000,Y=0.000000,Z=0.000000)"
10101,10101,80.000000,200.000000,MobBloodhandCommander,"(X=0.000000,Y=0.000000,Z=0.000000)"
10102,10102,80.000000,200.000000,MobMorgaris,"(X=0.000000,Y=0.000000,Z=0.000000)"
30000,30000,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30001,30001,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30002,30002,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30003,30003,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30004,30004,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30005,30005,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30006,30006,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30007,30007,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30008,30008,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30009,30009,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30010,30010,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30011,30011,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30012,30012,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30013,30013,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30014,30014,80.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30015,30015,80.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30016,30016,100.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
30017,30017,80.000000,200.000000,NuianMale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31000,31000,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31001,31001,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31002,31002,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31003,31003,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31004,31004,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31005,31005,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31006,31006,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31007,31007,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31008,31008,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31009,31009,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31010,31010,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31011,31011,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31012,31012,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31013,31013,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31014,31014,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
31015,31015,100.000000,200.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
39000,39000,100.000000,200.000000,VehiCart,"(X=0.000000,Y=0.000000,Z=0.000000)"
39001,39001,80.000000,200.000000,MobYnisCarriage,"(X=0.000000,Y=0.000000,Z=0.000000)"
39002,39002,80.000000,200.000000,MobAndrion,"(X=0.000000,Y=0.000000,Z=0.000000)"
40000,40000,0.000000,0.000000,NuianFemale,"(X=0.000000,Y=0.000000,Z=0.000000)"
40001,40001,0.100000,0.100000,Totem_Invisible,"(X=0.000000,Y=0.000000,Z=0.000000)"
40002,40002,100.000000,300.000000,TotemBoom01,"(X=0.000000,Y=0.000000,Z=0.000000)"
40003,40003,100.000000,300.000000,TotemBoom01,"(X=0.000000,Y=0.000000,Z=0.000000)"
40004,40004,80.000000,40.000000,ObjBox,"(X=0.000000,Y=0.000000,Z=0.000000)"
40005,40005,80.000000,40.000000,ObjBox,"(X=0.000000,Y=0.000000,Z=0.000000)"
40006,40006,80.000000,150.000000,ObjBox,"(X=0.000000,Y=0.000000,Z=0.000000)"
40007,40007,100.000000,300.000000,ObjBarricade,"(X=0.000000,Y=0.000000,Z=0.000000)"
40008,40008,200.000000,200.000000,ObjBarricade,"(X=0.000000,Y=0.000000,Z=0.000000)"
40009,40009,80.000000,80.000000,ObjBox,"(X=0.000000,Y=0.000000,Z=0.000000)"
40010,40010,80.000000,120.000000,ObjBox,"(X=0.000000,Y=0.000000,Z=0.000000)"
40011,40011,80.000000,80.000000,ObjBarrel,"(X=0.000000,Y=0.000000,Z=0.000000)"
40012,40012,120.000000,80.000000,ObjBarrel,"(X=0.000000,Y=0.000000,Z=0.000000)"
40013,40013,120.000000,80.000000,ObjStalactite,"(X=0.000000,Y=0.000000,Z=0.000000)"
40014,40014,100.000000,200.000000,daru_warehouse,"(X=0.000000,Y=0.000000,Z=0.000000)"
40015,40015,100.000000,200.000000,Scarecrow,"(X=0.000000,Y=0.000000,Z=0.000000)"
4294967396,4294967396,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967397,4294967397,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967398,4294967398,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967399,4294967399,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967400,4294967400,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967496,4294967496,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967497,4294967497,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967498,4294967498,100.000000,200.000000,TradeShip,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967499,4294967499,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967500,4294967500,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967501,4294967501,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967502,4294967502,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967503,4294967503,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967504,4294967504,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967505,4294967505,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967506,4294967506,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294967507,4294967507,100.000000,200.000000,Speedboat,"(X=150.000000,Y=400.000000,Z=100.000000)"
4294967508,4294967508,100.000000,200.000000,Sailship,"(X=150.000000,Y=600.000000,Z=400.000000)"
4294967509,4294967509,100.000000,200.000000,Sailship,"(X=150.000000,Y=600.000000,Z=400.000000)"
4294967510,4294967510,100.000000,200.000000,Sailship,"(X=150.000000,Y=600.000000,Z=400.000000)"
4294967511,4294967511,100.000000,200.000000,Speedboat,"(X=150.000000,Y=400.000000,Z=400.000000)"
4294967512,4294967512,100.000000,200.000000,Speedboat,"(X=150.000000,Y=400.000000,Z=400.000000)"
4294967513,4294967513,100.000000,200.000000,TradeShip,"(X=150.000000,Y=600.000000,Z=400.000000)"
4294967514,4294967514,100.000000,200.000000,TradeShip,"(X=150.000000,Y=600.000000,Z=400.000000)"
4294976296,4294976296,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976297,4294976297,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976298,4294976298,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976299,4294976299,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976300,4294976300,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976301,4294976301,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976302,4294976302,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976303,4294976303,100.000000,400.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976304,4294976304,100.000000,500.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976305,4294976305,100.000000,400.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976306,4294976306,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976307,4294976307,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976308,4294976308,100.000000,500.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976309,4294976309,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976310,4294976310,100.000000,200.000000,TradeShip,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976311,4294976311,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976312,4294976312,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976313,4294976313,100.000000,200.000000,TradeShip,"(X=150.000000,Y=600.000000,Z=400.000000)"
4294976314,4294976314,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976315,4294976315,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976316,4294976316,100.000000,200.000000,TradeShip,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976317,4294976317,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976318,4294976318,100.000000,500.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976319,4294976319,100.000000,200.000000,Speedboat,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976320,4294976320,100.000000,200.000000,Sailship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976321,4294976321,100.000000,200.000000,Midship,"(X=100.000000,Y=100.000000,Z=100.000000)"
4294976396,4294976396,100.000000,200.000000,Leviathan,"(X=100.000000,Y=100.000000,Z=100.000000)"
