OID,Cid,PathType,PathPoints
108020043,108020043,Circulation,"((X=363076.000000,Y=-147343.000000,Z=1614.082316),(X=363226.000000,Y=-148530.000000,Z=1628.710582),(X=363141.000000,Y=-149437.000000,Z=1628.710582),(X=363345.000000,Y=-150072.000000,Z=1628.710582))"
108020044,108020044,Circulation,"((X=363840.000000,Y=-148750.000000,Z=1614.712123),(X=365646.000000,Y=-148801.000000,Z=1629.340389))"
108020045,108020045,Circulation,"((X=365702.000000,Y=-149628.000000,Z=1590.210913),(X=366647.000000,Y=-152374.000000,Z=1604.839179))"
108020046,108020046,Circulation,"((X=363351.000000,Y=-151025.000000,Z=1762.989281),(X=363614.000000,Y=-152058.000000,Z=1757.644967),(X=364849.000000,Y=-152085.000000,Z=1759.887063),(X=365839.000000,Y=-151362.000000,Z=1754.450982))"
108020047,108020047,Circulation,"((X=366295.000000,Y=-154479.000000,Z=1580.211356),(X=368611.000000,Y=-153781.000000,Z=1594.839622))"
108020048,108020048,Circulation,"((X=357903.000000,Y=-150723.000000,Z=2610.872081),(X=357295.000000,Y=-152598.000000,Z=2625.500347))"
108020049,108020049,Circulation,"((X=356248.000000,Y=-152858.000000,Z=2563.118364),(X=357016.000000,Y=-154754.000000,Z=2577.746630))"
1020100801,1020100801,Circulation,"((X=382410.000000,Y=-138800.000000,Z=-310.000000),(X=382490.000000,Y=-135900.000000,Z=-310.000000),(X=381680.000000,Y=-134315.000000,Z=-310.000000),(X=379620.000000,Y=-132420.000000,Z=-310.000000),(X=377875.000000,Y=-132010.000000,Z=-329.122284),(X=377760.000000,Y=-130480.000000,Z=-327.455978),(X=378562.039239,Y=-129307.615660,Z=-319.845268),(X=379562.039239,Y=-129722.615660,Z=-319.845268),(X=380192.039239,Y=-130567.615660,Z=-319.845268),(X=380132.039239,Y=-132067.615660,Z=-319.845268),(X=381017.039239,Y=-133562.615660,Z=-319.845268),(X=382152.039239,Y=-134617.615660,Z=-319.845268),(X=383292.039239,Y=-134977.615660,Z=-319.845268),(X=384642.039239,Y=-135227.615660,Z=-319.845268),(X=385522.039239,Y=-136217.615660,Z=-319.845268),(X=386202.039239,Y=-137967.615660,Z=-319.845268),(X=386182.039239,Y=-139547.615660,Z=-319.845268),(X=385072.039239,Y=-141027.615660,Z=-319.845268),(X=382592.039239,Y=-139857.615660,Z=-319.845268))"
1020100802,1020100802,Circulation,"((X=381397.000000,Y=-128109.000000,Z=-310.000000),(X=381814.000000,Y=-129197.000000,Z=-310.000000),(X=381976.000000,Y=-130239.000000,Z=-310.000000),(X=382518.000000,Y=-130892.000000,Z=-310.000000),(X=382889.000000,Y=-132129.000000,Z=-310.000000),(X=384338.000000,Y=-132964.000000,Z=-310.000000),(X=386423.000000,Y=-133650.000000,Z=-310.000000),(X=387187.000000,Y=-133996.000000,Z=-310.000000),(X=387787.000000,Y=-135003.000000,Z=-310.000000),(X=388323.000000,Y=-136416.000000,Z=-310.000000),(X=388948.000000,Y=-138053.000000,Z=-310.000000),(X=389173.000000,Y=-139527.000000,Z=-310.000000),(X=388947.000000,Y=-140617.000000,Z=-310.000000))"
1030200401,1030200401,RoundTrip,"((X=380819.000000,Y=-161570.000000,Z=1407.870964),(X=381630.000000,Y=-161630.000000,Z=1407.870964),(X=383130.000000,Y=-162170.000000,Z=1407.870964),(X=383280.000000,Y=-163600.000000,Z=1407.870964),(X=382410.000000,Y=-164640.000000,Z=1407.870964),(X=381460.000000,Y=-164410.000000,Z=1407.870964),(X=380120.000000,Y=-164380.000000,Z=1407.870964),(X=379590.000000,Y=-163550.000000,Z=1407.870964),(X=379620.000000,Y=-162490.000000,Z=1407.870964),(X=379956.000000,Y=-161841.000000,Z=1407.870964))"
1030200402,1030200402,Circulation,"((X=384007.000000,Y=-162084.000000,Z=1406.973970),(X=384900.000000,Y=-162300.000000,Z=1406.973970),(X=386140.000000,Y=-162970.000000,Z=1406.973970),(X=385730.000000,Y=-164220.000000,Z=1406.973970),(X=384380.000000,Y=-165420.000000,Z=1406.973970),(X=382980.000000,Y=-166120.000000,Z=1406.973970),(X=382600.000000,Y=-165210.000000,Z=1406.973970),(X=382910.000000,Y=-164160.000000,Z=1406.973970),(X=383230.000000,Y=-162940.000000,Z=1406.973970),(X=383454.000000,Y=-162235.000000,Z=1406.973970))"
1030200403,1030200403,RoundTrip,"((X=382845.584867,Y=-166464.270650,Z=1612.115215),(X=382750.939139,Y=-168085.843194,Z=1832.115215),(X=381817.240074,Y=-168531.908512,Z=1612.115215),(X=380372.852584,Y=-168349.109323,Z=1612.115215),(X=378216.948690,Y=-168340.100091,Z=1612.115215),(X=376377.992108,Y=-167775.116315,Z=1612.115215),(X=376503.080049,Y=-166509.271483,Z=1612.115215))"
1030200404,1030200404,Circulation,"((X=371832.000000,Y=-163875.000000,Z=1405.137560),(X=373186.000000,Y=-163861.000000,Z=1405.137560),(X=374650.000000,Y=-164490.000000,Z=1405.137560),(X=376500.000000,Y=-166060.000000,Z=1405.137560),(X=375730.000000,Y=-167620.000000,Z=1405.137560),(X=373540.000000,Y=-167220.000000,Z=1405.137560),(X=372450.000000,Y=-166990.000000,Z=1405.137560),(X=371700.000000,Y=-166090.000000,Z=1405.137560),(X=371620.000000,Y=-165460.000000,Z=1405.137560),(X=371628.000000,Y=-164797.000000,Z=1405.137560))"
1030200405,1030200405,RoundTrip,"((X=360890.000000,Y=-157080.000000,Z=2713.202128),(X=361140.000000,Y=-158460.000000,Z=2713.202128),(X=361150.000000,Y=-159220.000000,Z=2713.202128),(X=361330.000000,Y=-160030.000000,Z=2713.202128),(X=360760.000000,Y=-160300.000000,Z=2713.202128),(X=360410.000000,Y=-160000.000000,Z=2713.202128),(X=360020.000000,Y=-159460.000000,Z=2713.202128),(X=358930.000000,Y=-158400.000000,Z=2713.202128),(X=359120.000000,Y=-157500.000000,Z=2713.202128),(X=360360.000000,Y=-156940.000000,Z=2713.202128))"
1030200406,1030200406,RoundTrip,"((X=358300.000000,Y=-157420.000000,Z=2711.706889),(X=357650.000000,Y=-156870.000000,Z=2711.706889),(X=357400.000000,Y=-156140.000000,Z=2711.706889),(X=357860.000000,Y=-155380.000000,Z=2711.706889),(X=358720.000000,Y=-154850.000000,Z=2711.706889),(X=360160.000000,Y=-154560.000000,Z=2711.706889),(X=360720.000000,Y=-156010.000000,Z=2711.706889),(X=360300.000000,Y=-156860.000000,Z=2711.706889),(X=359570.000000,Y=-157360.000000,Z=2711.706889),(X=359013.000000,Y=-157696.000000,Z=2711.706889))"
1030200407,1030200407,RoundTrip,"((X=358215.889466,Y=-151975.149758,Z=2710.193660),(X=358953.847814,Y=-152412.938200,Z=2710.193660),(X=359438.445658,Y=-153013.408791,Z=2710.193660),(X=359266.122337,Y=-153884.904444,Z=2710.193660),(X=358639.257338,Y=-154677.078839,Z=2710.193660),(X=357385.285785,Y=-155442.098671,Z=2710.193660),(X=356363.128741,Y=-154271.075624,Z=2710.193660),(X=356467.082546,Y=-153328.688439,Z=2710.193660),(X=356982.048107,Y=-152609.167438,Z=2710.193660),(X=357369.500002,Y=-152250.954843,Z=2710.193660))"
1030200408,1030200408,RoundTrip,"((X=363910.000000,Y=-148280.000000,Z=1651.859289),(X=365170.000000,Y=-148890.000000,Z=1651.859289),(X=365960.000000,Y=-150200.000000,Z=1651.859289),(X=365540.000000,Y=-151700.000000,Z=1651.859289),(X=364860.000000,Y=-152960.000000,Z=1651.859289),(X=365620.000000,Y=-154220.000000,Z=1651.859289),(X=366860.000000,Y=-154880.000000,Z=1651.859289),(X=368350.000000,Y=-155530.000000,Z=1651.859289),(X=368500.000000,Y=-153660.000000,Z=1651.859289),(X=367960.000000,Y=-153020.000000,Z=1651.859289))"
1030200409,1030200409,RoundTrip,"((X=361859.000000,Y=-149085.000000,Z=1501.166073),(X=363854.000000,Y=-148881.000000,Z=1507.352597),(X=364680.000000,Y=-149903.000000,Z=1499.687802),(X=365747.000000,Y=-151061.000000,Z=1501.166073),(X=366521.000000,Y=-152649.000000,Z=1501.166073),(X=366359.000000,Y=-153955.000000,Z=1498.615536),(X=364922.000000,Y=-153308.000000,Z=1503.789669),(X=364109.000000,Y=-152215.000000,Z=1500.587094),(X=363379.000000,Y=-150825.000000,Z=1505.307736),(X=362998.000000,Y=-147291.000000,Z=1501.308529))"
1030200410,1030200410,Circulation,"((X=390139.000000,Y=-161656.000000,Z=1363.749837),(X=391032.000000,Y=-161872.000000,Z=1363.749837),(X=391901.000000,Y=-162783.000000,Z=1363.749837),(X=391222.000000,Y=-163856.000000,Z=1363.749837),(X=390858.000000,Y=-165566.000000,Z=1363.749837),(X=389243.000000,Y=-165020.000000,Z=1363.749837),(X=388984.000000,Y=-164238.000000,Z=1363.749837),(X=389698.000000,Y=-163446.000000,Z=1363.749837),(X=389742.000000,Y=-162534.000000,Z=1363.749837),(X=389835.000000,Y=-161940.000000,Z=1363.749837))"
1030200411,1030200411,Circulation,"((X=388179.000000,Y=-167472.000000,Z=1360.434538),(X=388713.000000,Y=-167847.000000,Z=1360.434538),(X=389228.000000,Y=-168660.000000,Z=1360.434538),(X=388426.000000,Y=-169211.000000,Z=1360.434538),(X=387952.000000,Y=-169695.000000,Z=1360.434538),(X=387489.000000,Y=-170119.000000,Z=1360.434538),(X=386439.000000,Y=-169937.000000,Z=1360.434538),(X=385981.000000,Y=-169253.000000,Z=1360.434538),(X=386178.000000,Y=-168409.000000,Z=1360.434538),(X=387787.000000,Y=-168023.000000,Z=1360.434538))"
1030200412,1030200412,RoundTrip,"((X=362751.000000,Y=-142819.000000,Z=1501.165634),(X=363813.000000,Y=-142709.000000,Z=1507.352157),(X=364955.000000,Y=-142712.000000,Z=1499.687362),(X=365370.000000,Y=-143450.000000,Z=1501.165634),(X=366629.000000,Y=-144037.000000,Z=1501.165634),(X=366393.000000,Y=-145540.000000,Z=1498.615097),(X=365140.000000,Y=-145636.000000,Z=1503.789230),(X=363889.000000,Y=-144948.000000,Z=1500.586654),(X=362520.000000,Y=-144555.000000,Z=1505.307296),(X=362178.000000,Y=-143451.000000,Z=1501.308090))"
1030200413,1030200413,RoundTrip,"((X=365825.000000,Y=-146002.000000,Z=1454.928191),(X=367067.000000,Y=-145435.000000,Z=1461.114714),(X=368058.000000,Y=-146208.000000,Z=1453.449919),(X=367790.000000,Y=-147617.000000,Z=1454.928191),(X=367825.000000,Y=-148526.000000,Z=1454.928191),(X=368121.000000,Y=-150109.000000,Z=1452.377654),(X=366242.000000,Y=-151191.000000,Z=1457.551787),(X=366973.000000,Y=-149116.000000,Z=1454.349211),(X=366270.000000,Y=-148137.000000,Z=1459.069853),(X=365966.000000,Y=-147410.000000,Z=1455.070647))"
1030200414,1030200414,RoundTrip,"((X=350684.000000,Y=-159637.000000,Z=2425.701656),(X=351573.000000,Y=-155860.000000,Z=2425.701656))"
1030200501,1030200501,RoundTrip,"((X=362645.000000,Y=-146119.000000,Z=1550.750086),(X=364740.000000,Y=-148080.000000,Z=1550.750086),(X=366660.000000,Y=-150900.000000,Z=1550.750086),(X=366320.000000,Y=-152610.000000,Z=1550.750086),(X=367610.000000,Y=-154060.000000,Z=1550.750086),(X=365610.000000,Y=-154320.000000,Z=1550.750086),(X=363700.000000,Y=-151870.000000,Z=1550.750086),(X=363030.000000,Y=-149910.000000,Z=1550.750086),(X=362990.000000,Y=-148740.000000,Z=1550.750086),(X=362441.000000,Y=-147170.000000,Z=1550.750086))"
1080200410,1080200410,Circulation,"((X=357026.000000,Y=-152250.000000,Z=2604.025248),(X=358821.000000,Y=-152753.000000,Z=2618.653514))"
1080200411,1080200411,Circulation,"((X=359172.000000,Y=-153520.000000,Z=2661.263438),(X=360708.000000,Y=-156164.000000,Z=2675.891704))"
1080200412,1080200412,Circulation,"((X=357397.000000,Y=-155377.000000,Z=2574.832231),(X=359685.000000,Y=-154230.000000,Z=2589.460497))"
1080200413,1080200413,Circulation,"((X=357174.000000,Y=-156185.000000,Z=2500.137669),(X=357617.000000,Y=-157300.000000,Z=2514.765935),(X=358844.000000,Y=-158317.000000,Z=2514.765935))"
1080200414,1080200414,Circulation,"((X=359505.000000,Y=-159085.000000,Z=2609.262257),(X=360474.000000,Y=-158621.000000,Z=2623.890523),(X=360860.000000,Y=-157521.000000,Z=2623.890523))"
1080200415,1080200415,Circulation,"((X=360234.173781,Y=-160387.775688,Z=2542.140359),(X=361040.173781,Y=-159813.775688,Z=2556.768625),(X=361556.173781,Y=-159215.775688,Z=2556.768625),(X=360954.173781,Y=-158474.775688,Z=2556.768625),(X=360251.173781,Y=-158759.775688,Z=2556.768625),(X=359874.173781,Y=-159485.775688,Z=2556.768625),(X=360143.173781,Y=-160207.775688,Z=2556.768625))"
1080200416,1080200416,Circulation,"((X=362413.000000,Y=-158892.000000,Z=2570.553132),(X=363012.000000,Y=-157794.000000,Z=2313.543433),(X=363377.000000,Y=-156509.000000,Z=2022.101709),(X=363553.000000,Y=-155694.000000,Z=1833.931638),(X=363608.000000,Y=-154496.000000,Z=1614.563230),(X=363845.000000,Y=-153576.000000,Z=1614.188169))"
