OID,Cid,Comment,TriggerType,TriggerCid,TriggerCount
310402011,310402011,4T 방어구 보급품,Interaction,310402011,1
310403011,310403011,4T 장신구 보급품,Interaction,310403011,1
310404011,310404011,4T 요리 보급품,Interaction,310404011,1
310405011,310405011,4T 연금 보급품,Interaction,310405011,1
310406011,310406011,4T 주괴 보급품,Interaction,310406011,1
310407011,310407011,4T 피혁 보급품,Interaction,310407011,1
310408011,310408011,4T 천 보급품,Interaction,310408011,1
310409011,310409011,4T 목재 보급품,Interaction,310409011,1
320001011,320001011,TEST_델피나드의 별 보상 등짐_메기,Interaction,320001011,1
320002011,320002011,이니스 섬 견습생의 무기 군수품_메기,Interaction,320002011,1
320501011,320501011,5T 무기 교역품,Interaction,320501011,1
320502011,320502011,5T 방어구 교역품,Interaction,320502011,1
320503011,320503011,5T 장신구 교역품,Interaction,320503011,1
320504011,320504011,5T 요리 교역품,Interaction,320504011,1
320505011,320505011,5T 연금 교역품,Interaction,320505011,1
320506011,320506011,5T 주괴 교역품,Interaction,320506011,1
320507011,320507011,5T 피혁 교역품,Interaction,320507011,1
320508011,320508011,5T 천 교역품,Interaction,320508011,1
320509011,320509011,5T 목재 교역품,Interaction,320509011,1
320601011,320601011,6T 무기 교역품,Interaction,320601011,1
320602011,320602011,6T 방어구 교역품,Interaction,320602011,1
320603011,320603011,6T 장신구 교역품,Interaction,320603011,1
320604011,320604011,6T 요리 교역품,Interaction,320604011,1
320605011,320605011,6T 연금 교역품,Interaction,320605011,1
320606011,320606011,6T 주괴 교역품,Interaction,320606011,1
320607011,320607011,6T 피혁 교역품,Interaction,320607011,1
320608011,320608011,6T 천 교역품,Interaction,320608011,1
320609011,320609011,6T 목재 교역품,Interaction,320609011,1
320701011,320701011,7T 무기 교역품,Interaction,320701011,1
320702011,320702011,7T 방어구 교역품,Interaction,320702011,1
320703011,320703011,7T 장신구 교역품,Interaction,320703011,1
320704011,320704011,7T 요리 교역품,Interaction,320704011,1
320705011,320705011,7T 연금 교역품,Interaction,320705011,1
320706011,320706011,7T 주괴 교역품,Interaction,320706011,1
320707011,320707011,7T 피혁 교역품,Interaction,320707011,1
320708011,320708011,7T 천 교역품,Interaction,320708011,1
320709011,320709011,7T 목재 교역품,Interaction,320709011,1
330001011,330001011,TEST_에노아의 태양 보상 등짐_메기,Interaction,330001011,1
401001011,401001011,솔로 던전 3티어_포탈 인터렉션 (-> 비활성화),Interaction,401001011,1
401001012,401001012,솔로 던전 3티어_타이머(-> 5분 후 분기),Timer,401001012,1
401001021,401001021,솔로 던전 3티어_타이머(-> 3분 후 분기),Timer,401001021,1
401001031,401001031,솔로 던전 3티어_타이머(최초상태(분기)),Timer,401001031,1
401002011,401002011,솔로 던전 4티어_포탈 인터렉션 (-> 비활성화),Interaction,401002011,1
401002012,401002012,솔로 던전 4티어_타이머(-> 5분 후 분기),Timer,401002012,1
401002021,401002021,솔로 던전 4티어_타이머(-> 3분 후 분기),Timer,401002021,1
401002031,401002031,솔로 던전 4티어_타이머(최초상태(분기)),Timer,401002031,1
401003011,401003011,솔로 던전 5티어_포탈 인터렉션 (-> 비활성화),Interaction,401003011,1
401003012,401003012,솔로 던전 5티어_타이머(-> 5분 후 분기),Timer,401003012,1
401003021,401003021,솔로 던전 5티어_타이머(-> 3분 후 분기),Timer,401003021,1
401003031,401003031,솔로 던전 5티어_타이머(최초상태(분기)),Timer,401003031,1
401004011,401004011,파티 던전 6티어_포탈 인터렉션,Interaction,401004011,1
401005011,401005011,오픈 던전 6티어_포탈 인터렉션,Interaction,401005011,1
401007011,401007011,이즈나의 메아리 입구 인터렉션,Interaction,401007011,1
401008011,401008011,침묵하는 잔해의 전장 인터렉션,Interaction,401008011,1
401008012,401008012,침묵하는 잔해의 전장 소멸 타이머,Timer,401008012,1
401009011,401009011,침묵하는 잔해의 전장 인터렉션,Interaction,401009011,1
401010011,401010011,이즈나의 메아리 입구 인터렉션,Interaction,401010011,1
402001011,402001011,이니스 부두 포털,Interaction,402001011,1
601000011,601000011,깨망균 보스상자 1T 열기,Interaction,601000011,1
601000021,601000021,깨망균 보스상자 일반 열리는중,Timer,601000021,1
601000031,601000031,깨망균 보스상자 대성공 열리는중,Timer,601000031,1
601000041,601000041,깨망균 보스상자 -> 소멸,Timer,601000041,1
601001011,601001011,깨망균 보스상자 2T 열기,Interaction,601001011,1
601002011,601002011,깨망균 보스상자 3T 열기,Interaction,601002011,1
601003011,601003011,깨망균 보스상자 4T 열기,Interaction,601003011,1
601004011,601004011,깨망균 보스상자 5T 열기,Interaction,601004011,1
601005011,601005011,깨망균 보스상자 6T 열기,Interaction,601005011,1
601006011,601006011,깨망균 보스상자 7T 열기,Interaction,601006011,1
901001011,901001011,모래 둔턱 파기,Interaction,901001011,1
901001021,901001021,거북알 가져가기,Interaction,901001021,1
901001031,901001031,빈 모래 둔턱 -> 모래 둔턱 리젠,Timer,901001031,1
901002011,901002011,모닥불 켜고 요리솥 올리기,Interaction,901002011,1
901002021,901002021,재료 넣고 요리하기,Interaction,901002021,1
901002031,901002031,요리 회수하기,Interaction,901002031,1
901002041,901002041,모닥불 -> 꺼진 모닥불,Timer,901002041,1
901002051,901002051,꺼진 모닥불 -> 소멸,Timer,901002051,1
901003011,901003011,망가진 달구지 수리하기,Interaction,901003011,1
901004011,901004011,풀숲 인터렉션 하기,Interaction,901004011,1
901005011,901005011,누군가의 발자국 인터렉션 하기,Interaction,901005011,1
901006011,901006011,누군가의 가방 인터렉션 하기,Interaction,901006011,1
901007011,901007011,천 쪼가리 인터렉션 하기,Interaction,901007011,1
901008011,901008011,흩뿌려진 피 인터렉션 하기,Interaction,901008011,1
901009011,901009011,커다란 짐승의 발톱 자국 인터렉션 하기,Interaction,901009011,1
901010011,901010011,누이 여신상 인터렉션 하기,Interaction,901010011,1
901011011,901011011,갈색 말 고르기,Interaction,901011011,1
901011012,901011012,흰색 말 고르기,Interaction,901011012,1
901011013,901011013,검은색 말 고르기,Interaction,901011013,1
901011021,901011021,말 연출,Timer,901011021,1
901012011,901012011,인력 게시판 확인하기,Interaction,901012011,1
901013011,901013011,우편 가방 집어들기,Interaction,901013011,1
901014011,901014011,손과 얼굴 씻기,Interaction,901014011,1
901015011,901015011,신관과 인사하기,Interaction,901015011,1
901016011,901016011,향 피우기,Interaction,901016011,1
901017011,901017011,성수로 정화하기,Interaction,901017011,1
901018011,901018011,초에 불 붙이기,Interaction,901018011,1
901019011,901019011,첫번째 결계 교란하기,Interaction,901019011,1
901020011,901020011,두번째 결계 교란하기,Interaction,901020011,1
901021011,901021011,세번째 결계 교란하기,Interaction,901021011,1
901022011,901022011,네번째 결계 교란하기,Interaction,901022011,1
901023011,901023011,중앙 성물 훔치기,Interaction,901023011,1
901024011,901024011,우편 수행자의 모자 확인하기,Interaction,901024011,1
901025011,901025011,흩어진 종이 확인하기,Interaction,901025011,1
901026011,901026011,찢어진 가방 조각 확인하기,Interaction,901026011,1
901027011,901027011,우편 가방 내려놓기,Interaction,901027011,1
901028011,901028011,불 붙이기,Interaction,901028011,1
901029011,901029011,스튜 조리하기,Interaction,901029011,1
901030011,901030011,남은 스튜 챙기기,Interaction,901030011,1
901031011,901031011,풀숲 인터렉션 하기,Interaction,901031011,1
901032011,901032011,풀숲 인터렉션 하기,Interaction,901032011,1
901033011,901033011,풀숲 인터렉션 하기,Interaction,901033011,1
901034011,901034011,풀숲 인터렉션 하기,Interaction,901034011,1
901035011,901035011,풀숲 인터렉션 하기,Interaction,901035011,1
901036011,901036011,절벽 내려가기,Interaction,901036011,1
901037011,901037011,목재 챙기기,Interaction,901037011,1
901038011,901038011,절벽 오르기,Interaction,901038011,1
901039011,901039011,포로로 잡힌 신관 구출하기,Interaction,901039011,1
901040011,901040011,포로로 잡힌 주민 구출하기,Interaction,901040011,1
901041011,901041011,포로로 잡힌 주민 구출하기,Interaction,901041011,1
901042011,901042011,포로로 잡힌 주민 구출하기,Interaction,901042011,1
901043011,901043011,포로로 잡힌 신관 구출하기,Interaction,901043011,1
901044011,901044011,고양이 석상 인터렉션(버프받기),Interaction,901044011,1
902001011,902001011,통로를 막은 벽에 폭탄 설치하기,Interaction,902001011,1
902001021,902001021,통로를 막은 벽에 폭탄 타들어가는 중,Timer,902001021,1
902001031,902001031,통로를 막은 벽 파괴 -> 소멸,Timer,902001031,1
902002011,902002011,통로를 막은 벽에 폭탄 설치하기,Interaction,902002011,1
902002021,902002021,통로를 막은 벽에 폭탄 타들어가는 중,Timer,902002021,1
902002031,902002031,통로를 막은 벽 파괴 -> 소멸,Timer,902002031,1
902003011,902003011,축복의 성소 인터렉션 하여 활성화,Interaction,902003011,1
902003021,902003021,축복의 성소 토템 스폰 -> 비활성화,Timer,902003021,1
902004011,902004011,공격 속도 구슬 오버렙 토템,Overlap,902004011,1
902004012,902004012,오버랩 기간 경과 후 소멸 페이즈로,Timer,902004012,1
902004021,902004021,오버랩 이벤트 후 소멸 연출,Timer,902004021,1
902005011,902005011,이동 속도 구슬 오버렙 토템,Overlap,902005011,1
902005012,902005012,오버랩 기간 경과 후 소멸 페이즈로,Timer,902005012,1
902005021,902005021,오버랩 이벤트 후 소멸 연출,Timer,902005021,1
902006011,902006011,몬스터 소환 후 쉐이킹 페이즈로,Overlap,902006011,1
902006021,902006021,카메라 쉐이킹 후 소멸,Timer,902006021,1
902007011,902007011,몬스터 소환 후 쉐이킹 페이즈로,Overlap,902007011,1
902007021,902007021,카메라 쉐이킹 후 소멸,Timer,902007021,1
902008011,902008011,몬스터 소환 후 쉐이킹 페이즈로,Overlap,902008011,1
902008021,902008021,카메라 쉐이킹 후 소멸,Timer,902008021,1
902009011,902009011,몬스터 소환 후 쉐이킹 페이즈로,Overlap,902009011,1
902009021,902009021,카메라 쉐이킹 후 소멸,Timer,902009021,1
902010011,902010011,몬스터 사망 후 오버랩 페이즈,Overlap,902010011,1
902010021,902010021,오버랩 성공 후 2초간 타이머,Timer,902010021,1
902010031,902010031,소환 연출,Timer,902010031,1
902010041,902010041,몬스터 소환 후 소멸 페이즈로,Timer,902010041,1
902010051,902010051,소멸페이즈에서 잠시 후 소멸,Timer,902010051,1
902011011,902011011,구슬 오버랩 활성화,Overlap,902011011,1
902011012,902011012,구슬 소멸까지 타이머,Timer,902011012,1
902011021,902011021,구슬 부유 중,Timer,902011021,1
902011031,902011031,소멸 전 1초 연출,Timer,902011031,1
902012011,902012011,구슬 오버랩 활성화,Overlap,902012011,1
902012012,902012012,구슬 소멸까지 타이머,Timer,902012012,1
902012021,902012021,구슬 부유 중,Timer,902012021,1
902012031,902012031,소멸 전 1초 연출,Timer,902012031,1
902013011,902013011,구슬 오버랩 활성화,Overlap,902013011,1
902013012,902013012,구슬 소멸까지 타이머,Timer,902013012,1
902013021,902013021,구슬 부유 중,Timer,902013021,1
902013031,902013031,소멸 전 1초 연출,Timer,902013031,1
902014011,902014011,몬스터 스폰 오버랩 발동,Overlap,902014011,1
902015011,902015011,몬스터 스폰 오버랩 발동,Overlap,902015011,1
902016011,902016011,몬스터 스폰 오버랩 발동,Overlap,902016011,1
902017011,902017011,몬스터 스폰 오버랩 발동,Overlap,902017011,1
902018011,902018011,몬스터 스폰 오버랩 발동,Overlap,902018011,1
902019011,902019011,몬스터 스폰 오버랩 발동,Overlap,902019011,1
902020011,902020011,몬스터 스폰 오버랩 발동,Overlap,902020011,1
902021011,902021011,1웨이브 스폰 후 다음 웨이브 대기 상태로,Overlap,902021011,1
902021021,902021021,대기 상태에서 2웨이브 페이즈로,Timer,902021012,1
902021031,902021031,2웨이브 스폰 후 소멸 페이즈로,Timer,902021013,1
902022011,902022011,1웨이브 스폰 후 다음 웨이브 대기 상태로,Overlap,902022011,1
902022021,902022021,대기 상태에서 2웨이브 페이즈로,Timer,902022012,1
902022031,902022031,2웨이브 스폰 후 소멸 페이즈로,Timer,902022013,1
902023011,902023011,몬스터 스폰 오버랩 발동,Overlap,902023011,1
902024011,902024011,몬스터 스폰 오버랩 발동,Overlap,902024011,1
902025021,902025021,2초 뒤 벽 폭파,Timer,902025021,1
902025031,902025031,벽 폭파 후 통로 열림,Timer,902025031,1
902026011,902026011,시전 감소 구슬 오버렙 토템,Overlap,902026011,1
902026012,902026012,오버랩 기간 경과 후 소멸 페이즈로,Timer,902026012,1
902026021,902026021,오버랩 이벤트 후 소멸 연출,Timer,902026021,1
902027031,902027031,퀘스트 다음 스텝에서 타이머 후 소멸,Timer,902027031,1
902028021,902028021,소멸 타이머,Timer,902028021,1
902028031,902028031,퀘스트 다음 스텝에서 타이머 후 소멸,Timer,902028031,1
902029021,902029021,퀘스트 연출 후 자동 소멸,Timer,902029021,1
902029031,902029031,퀘스트 다음 스텝에서 타이머 후 소멸,Timer,902029031,1
902030021,902030021,퀘스트 연출을 위한 타이머 후 다음 페이즈,Timer,902030021,1
902030031,902030031,다음 페이즈에서 소멸,Timer,902030031,1
902031021,902031021,0.5초뒤 스폰하고 2차 웨이브로,Timer,902031021,1
902031031,902031031,5초 뒤 스폰하고 소멸 페이즈로,Timer,902031031,1
902032021,902032021,즉시 스폰하고 소멸 페이즈로,Timer,902032021,1
902033021,902033021,즉시 스폰하고 소멸 페이즈로,Timer,902033021,1
902034011,902034011,확률 페이즈로 넘어가는 중,Timer,902034011,1
902034021,902034021,강인 마법사가 있는 페이즈,Timer,902034021,1
902034031,902034031,생기 마법사가 있는 페이즈,Timer,902034031,1
902034041,902034041,근위병_해골 창병,Timer,902034041,1
902034051,902034051,근위병_해골창병_강인 마법사,Timer,902034051,1
902034061,902034061,근위병_해골창병_생기 마법사,Timer,902034061,1
902034071,902034071,근위병_해골창병_강인 마법사_생기 마법사,Timer,902034071,1
902035021,902035021,데로스 스폰,Timer,902035021,1
902035031,902035031,3초 뒤 부관 스폰,Timer,902035031,1
902036011,902036011,확률 페이즈로 넘어가는 중,Timer,902036011,1
902036021,902036021,잊혀진 해골 창병 등장_50%,Timer,902036021,1
902036031,902036031,잊혀진 해골 궁병 등장_50%,Timer,902036031,1
902037011,902037011,강인한 생명력 구슬 오버랩,Overlap,902037011,1
902037012,902037012,강인한 생명력 구슬 소멸 타이머,Timer,902037012,1
902037021,902037021,강인한 생명력 흡수 연출,Timer,902037021,1
902038011,902038011,샘솟는 마나샘 구슬 오버랩,Overlap,902038011,1
902038012,902038012,샘솟는 생명력 구슬 소멸 타이머,Timer,902038012,1
902038021,902038021,샘솟는 마나샘 흡수 연출,Timer,902038021,1
902039021,902039021,퀘스트 진행으로 스폰 대기,Overlap,902039021,1
902039031,902039031,몬스터 스폰 후 소멸,Timer,902039031,1
902040021,902040021,퀘스트 진행으로 스폰 대기,Overlap,902040021,1
902040031,902040031,몬스터 스폰 후 소멸,Timer,902040031,1
902041021,902041021,퀘스트 진행으로 스폰 대기,Overlap,902041021,1
902041031,902041031,몬스터 스폰 후 소멸,Timer,902041031,1
902042011,902042011,폴라리우스 구역 주기적 스폰_기본 쿨타임,Timer,902042011,1
902042021,902042021,강인한 생명력 구슬 오버랩,Overlap,902042021,1
902042022,902042022,강인한 생명력 구슬 소멸 타이머,Timer,902042022,1
902042031,902042031,샘솟는 마나샘 구슬 오버랩,Overlap,902042031,1
902042032,902042032,샘솟는 생명력 구슬 소멸 타이머,Timer,902042032,
902042041,902042041,아무것도 없음_딜레이 발생 페이즈,Timer,902042041,1
902042051,902042051,강인한 생명력 흡수 연출,Timer,902042051,1
902042061,902042061,샘솟는 마나샘 흡수 연출,Timer,902042061,1
902043011,902043011,말카바돈 처치 후 보물 상자_닫힘 idle,Interaction,902043011,1
902043021,902043021,말카바돈 처치 후 보물 상자_열림 연출,Timer,902043021,1
902043031,902043031,말카바돈 처치 후 보물 상자_열림 유지(5분),Timer,902043031,1
902044011,902044011,격노의 잔재 말카바돈 타임어택 시작_10분 인터렉션,Interaction,902044011,1
902044012,902044012,10분 이후부터 분노의 잔재 말카바돈 타이머,Timer,902044012,1
902044021,902044021,10분 이후부터 분노의 잔재 말카바돈 스폰 오버랩,Interaction,902044021,1
902044022,902044022,10분 이후부터 분노의 잔재 말카바돈 타임어택,Timer,902044022,1
902044031,902044031,격노 소환되는 중,Timer,902044031,1
902044041,902044041,분노 소환되는 중,Timer,902044041,1
902045011,902045011,말카바돈 처치 후 보물 상자_닫힘 idle,Interaction,902045011,1
902045021,902045021,말카바돈 처치 후 보물 상자_열림 연출,Timer,902045021,1
902045031,902045031,말카바돈 처치 후 보물 상자_열림 유지(5분),Timer,902045031,1
902046021,902046021,오버랩 기간 경과 후 소멸 페이즈로 (6초),Timer,902046021,1
902046031,902046031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),Timer,902046031,1
902047021,902047021,오버랩 기간 경과 후 소멸 페이즈로 (6초),Timer,902047021,1
902047031,902047031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),Timer,902047031,1
902048021,902048021,오버랩 기간 경과 후 소멸 페이즈로 (6초),Timer,902048021,1
902048031,902048031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),Timer,902048031,1
902049021,902049021,연출이 무한 지속되지 않도록 타이머 강제 페이즈 (20초),Timer,902049021,1
902049031,902049031,소멸 페이즈로 (0.5초),Timer,902049031,1
902050021,902050021,오버랩 기간 경과 후 소멸 페이즈로 (6초),Timer,902050021,1
902050031,902050031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),Timer,902050031,1
902051021,902051021,오버랩 기간 경과 후 소멸 페이즈로 (6초),Timer,902051021,1
902051031,902051031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),Timer,902051031,1
902052021,902052021,오버랩 기간 경과 후 소멸 페이즈로 (6초),Timer,902052021,1
902052031,902052031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),Timer,902052031,1
5990101,5990101,테스트 등짐 제작대_UI오픈,Interaction,5990101,1
9985011,9985011,깨어난 망자의 균열 (파티),Interaction,9985011,1
9986011,9986011,깨어난 망자의 균열 (오픈),Interaction,9986011,1
9987011,9987011,깨어난 망자의 균열 (고정 1인),Interaction,9987011,1
990011,990011,망균 1~7T 중보방 문 열기,Interaction,990011,1
990021,990021,망균 1~7T 중보방 부서짐 연출 -> 소멸,Timer,990021,1
991011,991011,망자의 균열 1T,Interaction,991011,1
992011,992011,망자의 균열 2T,Interaction,992011,1
993011,993011,망자의 균열 3T,Interaction,993011,1
994011,994011,망자의 균열 4T,Interaction,994011,1
995011,995011,망자의 균열 5T,Interaction,995011,1
996011,996011,망자의 균열 6T,Interaction,996011,1
997011,997011,망자의 균열 7T,Interaction,997011,1
998011,998011,M11 파티 던전,Interaction,998011,1
80000101,80000101,1T_잠긴 보물 상자 (힘으로 열기),Interaction,80000101,1
80000102,80000102,1T_잠긴 보물 상자 (열쇠로 열기),Interaction,80000102,1
80000201,80000201,1T_잠긴 보물 상자_(4초 열림 연출),Timer,80000201,1
80000301,80000301,1T_잠긴 보물 상자_(56초) > idle,Timer,80000301,1
80000401,80000401,1T_잠긴 보물 상자_(1분) -> idle,Timer,80000401,1
80000501,80000501,1T_잠긴 보물 상자_(5초) -> idle,Timer,80000501,1
80010101,80010101,놀존_1~2T_잠긴 보물 상자 (힘으로 열기),Interaction,80010101,1
80010102,80010102,놀존_1~2T_잠긴 보물 상자 (열쇠로 열기),Interaction,80010102,1
80010201,80010201,놀존_1~2T_잠긴 보물 상자_(4초)-> 열린상태,Timer,80010201,1
80010301,80010301,놀존_1~2T_잠긴 보물 상자_(56초)-> idle,Timer,80010301,1
80010401,80010401,놀존_1~2T_잠긴 보물 상자_(60초)-> idle,Timer,80010401,1
80010501,80010501,놀존_1~2T_잠긴 보물 상자_(5초) > idle,Timer,80010501,1
80020101,80020101,오크존_1~2T_잠긴 보물 상자 (힘으로 열기),Interaction,80020101,1
80020102,80020102,오크존_1~2T_잠긴 보물 상자 (열쇠로 열기),Interaction,80020102,1
80020201,80020201,오크존_1~2T_잠긴 보물 상자_(4초)->열린 상태,Timer,80020201,1
80020301,80020301,오크존_1~2T_잠긴 보물 상자_(56초)-> idle,Timer,80020301,1
80020401,80020401,오크존_1~2T_잠긴 보물 상자_(60초)-> idle,Timer,80020401,1
80020501,80020501,오크존_1~2T_잠긴 보물 상자_(5초) > idle,Timer,80020501,1
80030101,80030101,1T 망토_보물 상자_(열쇠로 열기),Interaction,80030101,1
80030201,80030201,1T 망토_보물 상자_(4초)  -> 열린 상태,Timer,80030201,1
80030301,80030301,1T 망토_보물 상자_(56초) > idle,Timer,80030301,1
80040101,80040101,2T 망토_보물 상자_(열쇠로 열기),Interaction,80040101,1
80040201,80040201,2T 망토_보물 상자_(4초) > 열린 상태 이펙트,Timer,80040201,1
80040301,80040301,2T 망토_보물 상자_(56초) > idle,Timer,80040301,1
85000101,85000101,등받이의자 앉기,Interaction,85000101,1
85000102,85000102,등받이의자 앉기(아이템제한),Interaction,85000102,1
85000103,85000103,등받이의자 앉기(버프제한),Interaction,85000103,1
85010101,85010101,스툴 앉기,Interaction,85010101,1
