OID,Cid,Comment,DescName,MaxStack
206,206,,가랑돌 평원 희귀 의뢰서 (귀속),99999
207,207,,그위오니드 숲 일반 의뢰서 (귀속),99999
208,208,,그위오니드 숲 고급 의뢰서 (귀속),99999
209,209,,그위오니드 숲 희귀 의뢰서 (귀속),99999
210,210,,하얀 숲 일반 의뢰서 (귀속),99999
211,211,,하얀 숲 고급 의뢰서 (귀속),99999
212,212,,하얀 숲 희귀 의뢰서 (귀속),99999
213,213,,태초의 요람 일반 의뢰서 (귀속),99999
214,214,,태초의 요람 고급 의뢰서 (귀속),99999
215,215,,태초의 요람 희귀 의뢰서 (귀속),99999
216,216,,청동 바위산 일반 의뢰서 (귀속),99999
217,217,,청동 바위산 고급 의뢰서 (귀속),99999
218,218,,청동 바위산 희귀 의뢰서 (귀속),99999
219,219,,마리아노플 일반 의뢰서 (귀속),99999
220,220,,마리아노플 고급 의뢰서 (귀속),99999
221,221,,마리아노플 희귀 의뢰서 (귀속),99999
222,222,,황금 평원 일반 의뢰서 (귀속),99999
223,223,,황금 평원 고급 의뢰서 (귀속),99999
224,224,,황금 평원 희귀 의뢰서 (귀속),99999
225,225,,긴 모래톱 일반 의뢰서 (귀속),99999
226,226,,긴 모래톱 고급 의뢰서 (귀속),99999
227,227,,긴 모래톱 희귀 의뢰서 (귀속),99999
228,228,,두 왕관 일반 의뢰서 (귀속),99999
229,229,,두 왕관 고급 의뢰서 (귀속),99999
230,230,,두 왕관 희귀 의뢰서 (귀속),99999
231,231,,십자별 평원 일반 의뢰서 (귀속),99999
232,232,,십자별 평원 고급 의뢰서 (귀속),99999
233,233,,십자별 평원 희귀 의뢰서 (귀속),99999
234,234,,지옥 늪지대 일반 의뢰서 (귀속),99999
235,235,,지옥 늪지대 고급 의뢰서 (귀속),99999
236,236,,지옥 늪지대 희귀 의뢰서 (귀속),99999
237,237,,뼈의 땅 일반 의뢰서 (귀속),99999
238,238,,뼈의 땅 고급 의뢰서 (귀속),99999
239,239,,뼈의 땅 희귀 의뢰서 (귀속),99999
240,240,,여신의 보금자리 일반 의뢰서 (귀속),99999
241,241,,여신의 보금자리 고급 의뢰서 (귀속),99999
242,242,,여신의 보금자리 희귀 의뢰서 (귀속),99999
243,243,,신기루의 목격지 일반 의뢰서 (귀속),99999
244,244,,신기루의 목격지 고급 의뢰서 (귀속),99999
245,245,,신기루의 목격지 희귀 의뢰서 (귀속),99999
246,246,,온화의 성소 일반 의뢰서 (귀속),99999
247,247,,온화의 성소 고급 의뢰서 (귀속),99999
248,248,,온화의 성소 희귀 의뢰서 (귀속),99999
249,249,,나락의 섬 일반 의뢰서 (귀속),99999
250,250,,나락의 섬 고급 의뢰서 (귀속),99999
251,251,,나락의 섬 희귀 의뢰서 (귀속),99999
252,252,,타락한 자의 바다 일반 의뢰서 (귀속),99999
253,253,,타락한 자의 바다 고급 의뢰서 (귀속),99999
254,254,,타락한 자의 바다 희귀 의뢰서 (귀속),99999
255,255,,잊혀진 부귀의 바다 일반 의뢰서 (귀속),99999
256,256,,잊혀진 부귀의 바다 고급 의뢰서 (귀속),99999
257,257,,잊혀진 부귀의 바다 희귀 의뢰서 (귀속),99999
301,301,,잔념의 희귀 의뢰서 (귀속),99999
302,302,,변질의 희귀 의뢰서 (귀속),99999
303,303,,망각의 희귀 의뢰서 (귀속),99999
304,304,,환각의 희귀 의뢰서 (귀속),99999
305,305,,방황의 영웅 의뢰서 (귀속),99999
306,306,,투쟁의 영웅 의뢰서 (귀속),99999
307,307,,심연의 영웅 의뢰서 (귀속),99999
308,308,,이면의 영웅 의뢰서 (귀속),99999
309,309,,파도의 희귀 의뢰서 (귀속),99999
310,310,,맥기의 영웅 의뢰서 (귀속),99999
311,311,,실베스터의 영웅 의뢰서 (귀속),99999
312,312,,무스페로사의 영웅 의뢰서 (귀속),99999
313,313,,용병 조합의 직업 기술 의뢰서 (귀속),99999
314,314,,용병 조합의 함선 기술 의뢰서 (귀속),99999
315,315,,용병 조합의 직업 장비 의뢰서 (귀속),99999
316,316,,용병 조합의 함선 장비 의뢰서 (귀속),99999
317,317,,용병 조합의 노동력 의뢰서 (귀속),99999
318,318,,욕망의 희귀 의뢰서 (귀속),99999
319,319,,원념의 영웅 의뢰서 (귀속),99999
320,320,,기원의 영웅 의뢰서 (귀속),99999
321,321,,갈망의 영웅 의뢰서 (귀속),99999
322,322,,불명의 영웅 의뢰서 (귀속),99999
323,323,,원망의 영웅 의뢰서 (귀속),99999
401,401,,유스틴의 축복 (귀속),99999
402,402,,유스틴의 각성 (귀속),99999
403,403,,가능성의 증표 (귀속),99999
501,501,,던전 입장석 선택 상자 (귀속),99999
601,601,,악몽의 흔적,99999
602,602,,악몽의 흔적 (귀속),99999
603,603,,악몽의 흔적 (이벤트),99999
610,610,,환몽의 두루마리,99999
611,611,,환몽의 두루마리 (귀속),99999
612,612,,환몽의 두루마리 (이벤트),99999
620,620,,저주받은 금화,99999
621,621,,저주받은 금화 (귀속),99999
622,622,,저주받은 금화 (이벤트),99999
801,801,,마력이 봉인된 델피나드의 검,1
802,802,,마력이 봉인된 델피나드의 대검,1
803,803,,마력이 봉인된 델피나드의 단검,1
804,804,,마력이 봉인된 델피나드의 활,1
805,805,,마력이 봉인된 델피나드의 지팡이,1
806,806,,마력이 봉인된 델피나드의 총,1
807,807,,마력이 봉인된 레비아탄의 보호 망토,1
808,808,,마력이 봉인된 어스름의 보름돌,1
809,809,,마력이 봉인된 에페리움의 검,1
810,810,,마력이 봉인된 에페리움의 대검,1
811,811,,마력이 봉인된 에페리움의 단검,1
812,812,,마력이 봉인된 에페리움의 활,1
813,813,,마력이 봉인된 에페리움의 지팡이,1
814,814,,마력이 봉인된 에페리움의 총,1
815,815,,마력이 봉인된 델피나드의 투구,1
816,816,,마력이 봉인된 델피나드의 흉갑,1
817,817,,마력이 봉인된 델피나드의 경갑,1
818,818,,마력이 봉인된 델피나드의 장갑,1
819,819,,마력이 봉인된 델피나드의 장화,1
820,820,,마력이 봉인된 시기하는 자의 안광,1
821,821,,마력이 봉인된 시기하는 자의 심장,1
822,822,,마력이 봉인된 시기하는 자의 의지,1
823,823,,마력이 봉인된 시기하는 자의 손짓,1
824,824,,마력이 봉인된 시기하는 자의 발걸음,1
825,825,,마력이 봉인된 이프니르의 머리띠,1
826,826,,마력이 봉인된 이프니르의 상의,1
827,827,,마력이 봉인된 이프니르의 하의,1
828,828,,마력이 봉인된 이프니르의 토시,1
829,829,,마력이 봉인된 이프니르의 신발,1
830,830,,마력이 봉인된 철벽 전술서 - 견고한 갑옷,1
831,831,,마력이 봉인된 격투 병법서 - 대지의 기운,1
832,832,,마력이 봉인된 암살자의 사명 - 치명적 계략,1
833,833,,마력이 봉인된 야성과 생존 - 파괴의 촉,1
834,834,,마력이 봉인된 마법 비술서 - 신성한 가호,1
835,835,,마력이 봉인된 광기의 금서 - 꿰뚫는 탄환,1
836,836,,마력이 봉인된 철벽 전술서 - 굳건한 태세,1
837,837,,마력이 봉인된 격투 병법서 - 막고 반격,1
838,838,,마력이 봉인된 암살자의 사명 - 기술 봉쇄,1
839,839,,마력이 봉인된 야성과 생존 - 그림자 화살,1
840,840,,마력이 봉인된 마법 비술서 - 별똥별,1
841,841,,마력이 봉인된 광기의 금서 - 연막,1
843,843,,마력이 봉인된 델피나드의 마도서,1
844,844,,마력이 봉인된 에페리움의 마도서,1
845,845,,마력이 봉인된 악몽과 시련 - 잔악한 지배,1
846,846,,마력이 봉인된 악몽과 시련 - 지옥의 덫,1
930,930,,일반 함선 장비 상자 (귀속),99999
1001,1001,,무기 강화 주문서,99999
1002,1002,,방어구 강화 주문서,99999
1003,1003,,장신구 강화 주문서,99999
1004,1004,,무기 강화 주문서 (귀속),99999
1005,1005,,방어구 강화 주문서 (귀속),99999
1006,1006,,장신구 강화 주문서 (귀속),99999
1007,1007,,유물 장신구 강화 주문서 (귀속),99999
1008,1008,,DEPRECATED_유물 팔찌 강화 주문서 (귀속),99999
1009,1009,,DEPRECATED_유물 성물 강화 주문서 (귀속),99999
1010,1010,,DEPRECATED_유물 반지 강화 주문서 (귀속),99999
1011,1011,,축복받은 무기 강화 주문서,99999
1012,1012,,축복받은 방어구 강화 주문서,99999
1013,1013,,축복받은 장신구 강화 주문서,99999
1014,1014,,축복받은 무기 강화 주문서 (귀속),99999
1015,1015,,축복받은 방어구 강화 주문서 (귀속),99999
1016,1016,,축복받은 장신구 강화 주문서 (귀속),99999
1021,1021,,저주받은 무기 강화 주문서,99999
1022,1022,,저주받은 방어구 강화 주문서,99999
1023,1023,,저주받은 장신구 강화 주문서,99999
1024,1024,,저주받은 무기 강화 주문서 (귀속),99999
1025,1025,,저주받은 방어구 강화 주문서 (귀속),99999
1026,1026,,저주받은 장신구 강화 주문서 (귀속),99999
1031,1031,,장비 마법부여석,99999
1032,1032,,장신구 마법부여석,99999
1033,1033,,장비 마법부여석 (귀속),99999
1034,1034,,장신구 마법부여석 (귀속),99999
1035,1035,,기술부여석,99999
1036,1036,,기술부여석 (귀속),99999
1041,1041,,축복받은 장비 마법부여석,99999
1042,1042,,축복받은 장신구 마법부여석,99999
1043,1043,,축복받은 장비 마법부여석 (귀속),99999
1044,1044,,축복받은 장신구 마법부여석 (귀속),99999
1045,1045,,축복받은 기술부여석,99999
1046,1046,,축복받은 기술부여석 (귀속),99999
1051,1051,,저주받은 마법부여석,99999
1052,1052,,저주받은 마법부여석 (귀속),99999
1060,1060,,함선 무기 강화 주문서,99999
1061,1061,,함선 방어구 강화 주문서,99999
1062,1062,,함선 장신구 강화 주문서,99999
1063,1063,,함선 무기 강화 주문서 (귀속),99999
1064,1064,,함선 방어구 강화 주문서 (귀속),99999
1065,1065,,함선 장신구 강화 주문서 (귀속),99999
1066,1066,,축복받은 함선 무기 강화 주문서,99999
1067,1067,,축복받은 함선 방어구 강화 주문서,99999
1068,1068,,축복받은 함선 장신구 강화 주문서,99999
1069,1069,,축복받은 함선 무기 강화 주문서 (귀속),99999
1070,1070,,축복받은 함선 방어구 강화 주문서 (귀속),99999
1071,1071,,축복받은 함선 장신구 강화 주문서 (귀속),99999
1072,1072,,저주받은 함선 무기 강화 주문서,99999
1073,1073,,저주받은 함선 방어구 강화 주문서,99999
1074,1074,,저주받은 함선 장신구 강화 주문서,99999
1075,1075,,저주받은 함선 무기 강화 주문서 (귀속),99999
1076,1076,,저주받은 함선 방어구 강화 주문서 (귀속),99999
1077,1077,,저주받은 함선 장신구 강화 주문서 (귀속),99999
1078,1078,,함선 장비 마법부여석,99999
1079,1079,,함선 장신구 마법부여석,99999
1080,1080,,함선 장비 마법부여석 (귀속),99999
1081,1081,,함선 장신구 마법부여석 (귀속),99999
1082,1082,,축복받은 함선 장비 마법부여석,99999
1083,1083,,축복받은 함선 장신구 마법부여석,99999
1084,1084,,축복받은 함선 장비 마법부여석 (귀속),99999
1085,1085,,축복받은 함선 장신구 마법부여석 (귀속),99999
1086,1086,,저주받은 함선 마법부여석,99999
1087,1087,,저주받은 함선 마법부여석 (귀속),99999
1088,1088,,스탯 초기화 물약 (귀속),99999
1089,1089,,정원의 열쇠 (귀속),99999
1090,1090,,영웅 등급 직업 합성 포인트 아이템 (귀속),99999
1091,1091,,전설 등급 직업 합성 포인트 아이템 (귀속),99999
1092,1092,,영웅 등급 그로아 합성 포인트 아이템 (귀속),99999
1093,1093,,전설 등급 그로아 합성 포인트 아이템 (귀속),99999
1094,1094,,영웅 등급 탈것 합성 포인트 아이템 (귀속),99999
1095,1095,,전설 등급 탈것 합성 포인트 아이템 (귀속),99999
1101,1101,,아키움 조각 (귀속),99999999
1102,1102,,아키움 결정 (귀속),99999999
1103,1103,,오래된 양피지 (귀속),99999
1104,1104,,광휘의 수정,99999
1105,1105,,누리숲 목재,99999
1106,1106,,별오름 철,99999
1107,1107,,구름결 옷감,99999
1108,1108,,바람혼 가죽,99999
1109,1109,,영롱한 수정,99999
1110,1110,,결이 좋은 목재,99999
1111,1111,,강도 높은 철,99999
1112,1112,,고운 빛깔 옷감,99999
1113,1113,,결이 좋은 가죽,99999
1114,1114,,수정,99999
1115,1115,,목재,99999
1116,1116,,철,99999
1117,1117,,옷감,99999
1118,1118,,가죽,99999
1119,1119,,전설 제작 도면,99999
1120,1120,,영웅 제작 도면,99999
1121,1121,,희귀 제작 도면,99999
1122,1122,,붉은 용의 사슬 비늘,99999
1123,1123,,바다의 따스한 숨결,99999
1124,1124,,심연의 결정,99999
1125,1125,,별의 파편 조각,99999
1126,1126,,새벽빛 호수 첨가제,99999
1127,1127,,영원한 여름의 열기,99999
1128,1128,,영원한 겨울의 한기,99999
1129,1129,,노을빛 진주,99999
1130,1130,,붉은빛 산호,99999
1131,1131,,바다빛 산호,99999
1132,1132,,황홀한 여명(폐기 예정),99999
1133,1133,,정원의 신비한 가루,99999
1134,1134,,전설 무기 제작 도면 (귀속),99999
1135,1135,,전설 방어구 제작 도면 (귀속),99999
1136,1136,,전설 장신구 제작 도면 (귀속),99999
1137,1137,,영웅 무기 제작 도면 (귀속),99999
1138,1138,,영웅 방어구 제작 도면 (귀속),99999
1139,1139,,영웅 장신구 제작 도면 (귀속),99999
1140,1140,,희귀 무기 제작 도면 (귀속),99999
1141,1141,,희귀 방어구 제작 도면 (귀속),99999
1142,1142,,희귀 장신구 제작 도면 (귀속),99999
1143,1143,,전설 무기 제작 도면 조각 (귀속),99999
1144,1144,,전설 방어구 제작 도면 조각 (귀속),99999
1145,1145,,전설 장신구 제작 도면 조각 (귀속),99999
1146,1146,,영웅 무기 제작 도면 조각 (귀속),99999
1147,1147,,영웅 방어구 제작 도면 조각 (귀속),99999
1148,1148,,영웅 장신구 제작 도면 조각 (귀속),99999
1149,1149,,희귀 무기 제작 도면 조각 (귀속),99999
1150,1150,,희귀 방어구 제작 도면 조각 (귀속),99999
1151,1151,,희귀 장신구 제작 도면 조각 (귀속),99999
1152,1152,,전설 제작 도면 (귀속),99999
1153,1153,,영웅 제작 도면 (귀속),99999
1154,1154,,희귀 제작 도면 (귀속),99999
1155,1155,,에아나드의 잉크 (전설),99999
1156,1156,,에아나드의 잉크 (영웅),99999
1157,1157,,에아나드의 잉크 (희귀),99999
1158,1158,,에아나드의 잉크 (전설) (귀속),99999
1159,1159,,에아나드의 잉크 (영웅) (귀속),99999
1160,1160,,에아나드의 잉크 (희귀) (귀속),99999
1161,1161,,전설 무기 제작 도면,99999
1162,1162,,전설 방어구 제작 도면,99999
1163,1163,,전설 장신구 제작 도면,99999
1164,1164,,영웅 무기 제작 도면,99999
1165,1165,,영웅 방어구 제작 도면,99999
1166,1166,,영웅 장신구 제작 도면,99999
1167,1167,,희귀 무기 제작 도면,99999
1168,1168,,희귀 방어구 제작 도면,99999
1169,1169,,희귀 장신구 제작 도면,99999
1170,1170,,전설 무기 제작 도면 조각,99999
1171,1171,,전설 방어구 제작 도면 조각,99999
1172,1172,,전설 장신구 제작 도면 조각,99999
1173,1173,,영웅 무기 제작 도면 조각,99999
1174,1174,,영웅 방어구 제작 도면 조각,99999
1175,1175,,영웅 장신구 제작 도면 조각,99999
1176,1176,,희귀 무기 제작 도면 조각,99999
1177,1177,,희귀 방어구 제작 도면 조각,99999
1178,1178,,희귀 장신구 제작 도면 조각,99999
1182,1182,,유스틴의 축복 조각 (귀속),99999
1183,1183,,심해의 파편,99999
1184,1184,,심해의 결정,99999
1185,1185,,심해의 정수,99999
1186,1186,,불투명한 연마제,99999
1187,1187,,거친 입자의 연마제,99999
1188,1188,,끈적임 없는 연마제,99999
1189,1189,,무지개빛 연마제,99999
1190,1190,,심연의 상징,99999
1191,1191,,고요한 바다의 주인,99999
1192,1192,,유스틴의 각성 조각 (귀속),99999
1193,1193,,검붉은 혼의 파편,99999
1201,1201,,안탈론 토벌 증표,99999
1202,1202,,안탈론 토벌 훈장,99999
1211,1211,,빛바랜 희귀 무기 제작 도면 조각 (귀속),99999
1212,1212,,빛바랜 희귀 방어구 제작 도면 조각 (귀속),99999
1213,1213,,빛바랜 희귀 장신구 제작 도면 조각 (귀속),99999
1214,1214,,빛바랜 희귀 무기 제작 도면 (귀속),99999
1215,1215,,빛바랜 희귀 방어구 제작 도면 (귀속),99999
1216,1216,,빛바랜 희귀 장신구 제작 도면 (귀속),99999
1217,1217,,빛바랜 희귀 제작 도면 조각 (귀속),99999
1218,1218,,빛바랜 희귀 제작 도면 (귀속),99999
1219,1219,,고급 전투선 건조대 (귀속),1
1220,1220,,희귀 전투선 건조대 (귀속),1
1221,1221,,영웅 전투선 건조대 (귀속),1
1222,1222,,전설 전투선 건조대 (귀속),1
1223,1223,,고급 무역선 건조대 (귀속),1
1224,1224,,희귀 무역선 건조대 (귀속),1
1225,1225,,영웅 무역선 건조대 (귀속),1
1226,1226,,전설 무역선 건조대 (귀속),1
1227,1227,,태초 전투선 건조대 (귀속),1
1301,1301,,무기 강화 주문서 (이벤트),99999
1302,1302,,방어구 강화 주문서 (이벤트),99999
1303,1303,,장신구 강화 주문서 (이벤트),99999
1311,1311,,축복받은 무기 강화 주문서 (이벤트),99999
1312,1312,,축복받은 방어구 강화 주문서 (이벤트),99999
1313,1313,,축복받은 장신구 강화 주문서 (이벤트),99999
1321,1321,,저주받은 무기 강화 주문서 (이벤트),99999
1322,1322,,저주받은 방어구 강화 주문서 (이벤트),99999
1323,1323,,저주받은 장신구 강화 주문서 (이벤트),99999
1331,1331,,장비 마법부여석 (이벤트),99999
1332,1332,,장신구 마법부여석 (이벤트),99999
1341,1341,,축복받은 장비 마법부여석 (이벤트),99999
1342,1342,,축복받은 장신구 마법부여석 (이벤트),99999
1352,1352,,저주받은 마법부여석 (이벤트),99999
1363,1363,,함선 무기 강화 주문서 (이벤트),99999
1364,1364,,함선 방어구 강화 주문서 (이벤트),99999
1365,1365,,함선 장신구 강화 주문서 (이벤트),99999
1369,1369,,축복받은 함선 무기 강화 주문서 (이벤트),99999
1370,1370,,축복받은 함선 방어구 강화 주문서 (이벤트),99999
1371,1371,,축복받은 함선 장신구 강화 주문서 (이벤트),99999
1375,1375,,저주받은 함선 무기 강화 주문서 (이벤트),99999
1376,1376,,저주받은 함선 방어구 강화 주문서 (이벤트),99999
1377,1377,,저주받은 함선 장신구 강화 주문서 (이벤트),99999
1380,1380,,함선 장비 마법부여석 (이벤트),99999
1381,1381,,함선 장신구 마법부여석 (이벤트),99999
1384,1384,,축복받은 함선 장비 마법부여석 (이벤트),99999
1385,1385,,축복받은 함선 장신구 마법부여석 (이벤트),99999
1387,1387,,저주받은 함선 마법부여석 (이벤트),99999
1388,1388,,스탯 초기화 물약 (이벤트),99999
1501,1501,,강화 주문서 상자 (귀속),99999
1506,1506,,함선 강화 주문서 상자 (귀속),99999
1511,1511,,축복받은 강화 주문서 상자 (귀속),99999
1516,1516,,갈빗살 요리 상자 (귀속),99999
1521,1521,,아스티의 주문서 상자(귀속),99999
1526,1526,,빛나는 소환권 상자 (귀속),99999
1531,1531,,갈빗살 요리 선택 상자 (귀속),99999
1541,1541,,GM의 선물 상자 I (귀속),99999
1551,1551,,GM의 선물 상자 II (귀속),99999
1561,1561,,GM의 선물 상자 III (귀속),99999
1571,1571,,GM의 선물 상자 IV (귀속),99999
1581,1581,,GM의 선물 상자 V (귀속),99999
1591,1591,,GM의 선물 상자 I (귀속),99999
1592,1592,,GM의 선물 상자 II (귀속),99999
1593,1593,,GM의 선물 상자 III (귀속),99999
1594,1594,,GM의 선물 상자 IV (귀속),99999
1595,1595,,GM의 선물 상자 V (귀속),99999
1601,1601,,GM의 가호 I (귀속),99999
1602,1602,,GM의 가호 II (귀속),99999
1621,1621,,+7 희귀 무기 선택 상자 (귀속),99999
1631,1631,,+5 그림자매 방어구 세트 상자 (귀속),99999
1641,1641,,+5 안식 방어구 세트 상자 (귀속),99999
1651,1651,,+5 대가 방어구 세트 상자 (귀속),99999
1681,1681,,+5 희귀 방어구 선택 상자 (귀속),99999
1701,1701,,총사 업데이트 기념 희귀 장비 패키지 (귀속),99999
2101,2101,,일반 직업 소환권 (1회) (귀속),99999
2102,2102,,고급 직업 소환권 (1회) (귀속),99999
2103,2103,,희귀 직업 소환권 (1회) (귀속),99999
2104,2104,,영웅 직업 소환권 (1회) (귀속),99999
2105,2105,,전설 직업 소환권 (1회) (귀속),99999
2111,2111,,일반 직업 소환권 (1회) (귀속),99999
2112,2112,,일반 직업 소환권 (1회) (귀속),99999
2113,2113,,눈부신 직업 소환권 (1회) (귀속),99999
2114,2114,,직업 소환권 (1회) (귀속) - 미사용,99999
2121,2121,,고급 직업 소환권 (1회) (귀속),99999
2122,2122,,고급 직업 소환권 (1회) (귀속),99999
2123,2123,,고급 직업 소환권 (1회) (귀속),99999
2131,2131,,희귀 직업 소환권 (1회) (귀속),99999
2132,2132,,직업 소환권 (1회) (귀속) - 미사용,99999
2141,2141,,영웅 직업 소환권 (1회) (귀속),99999
2151,2151,,영웅 한손검 직업 소환권 (1회) (귀속),99999
2152,2152,,영웅 양손검 직업 소환권 (1회) (귀속),99999
2153,2153,,영웅 단검 직업 소환권 (1회) (귀속),99999
2154,2154,,영웅 활 직업 소환권 (1회) (귀속),99999
2155,2155,,영웅 지팡이 직업 소환권 (1회) (귀속),99999
2156,2156,,영웅 직업 소환권 (1회) (귀속),99999
2157,2157,,영웅 마도서 직업 소환권 (1회) (귀속),99999
2191,2191,,직업 소환권 (1회) (귀속),99999
2201,2201,,일반 직업 소환권 (11회) (귀속),99999
2202,2202,,고급 직업 소환권 (11회) (귀속),99999
2203,2203,,희귀 직업 소환권 (11회) (귀속),99999
2204,2204,,영웅 직업 소환권 (11회) (귀속),99999
2205,2205,,전설 직업 소환권 (11회) (귀속),99999
2211,2211,,일반 직업 소환권 (11회) (귀속),99999
2212,2212,,일반 직업 소환권 (11회) (귀속),99999
2213,2213,,눈부신 직업 소환권 (11회) (귀속),99999
2214,2214,,직업 소환권 (11회) (귀속) - 미사용,99999
2221,2221,,고급 직업 소환권 (11회) (귀속),99999
2222,2222,,고급 직업 소환권 (11회) (귀속),99999
2223,2223,,고급 직업 소환권 (11회) (귀속),99999
2231,2231,,희귀 직업 소환권 (11회) (귀속),99999
2232,2232,,직업 소환권 (11회) (귀속)  - 미사용,99999
2241,2241,,영웅 직업 소환권 (11회) (귀속),99999
2291,2291,,직업 소환권 (11회) (귀속),99999
2301,2301,,일반 직업 소환권 (6회) (귀속),99999
2302,2302,,고급 직업 소환권 (6회) (귀속),99999
2303,2303,,희귀 직업 소환권 (6회) (귀속),99999
2304,2304,,영웅 직업 소환권 (6회) (귀속),99999
2305,2305,,전설 직업 소환권 (6회) (귀속),99999
2311,2311,,일반 직업 소환권 (6회) (귀속),99999
2312,2312,,일반 직업 소환권 (6회) (귀속),99999
2313,2313,,눈부신 직업 소환권 (6회) (귀속),99999
2314,2314,,직업 소환권 (6회) (귀속) - 미사용,99999
2321,2321,,고급 직업 소환권 (6회) (귀속),99999
2322,2322,,고급 직업 소환권 (6회) (귀속),99999
2323,2323,,고급 직업 소환권 (6회) (귀속),99999
2331,2331,,희귀 직업 소환권 (6회) (귀속),99999
2332,2332,,직업 소환권 (6회) (귀속) - 미사용,99999
2341,2341,,영웅 직업 소환권 (6회) (귀속),99999
3101,3101,,일반 그로아 소환권 (1회) (귀속),99999
3102,3102,,고급 그로아 소환권 (1회) (귀속),99999
3103,3103,,희귀 그로아 소환권 (1회) (귀속),99999
3104,3104,,영웅 그로아 소환권 (1회) (귀속),99999
3105,3105,,전설 그로아 소환권 (1회) (귀속),99999
3111,3111,,일반 그로아 소환권 (1회) (귀속),99999
3112,3112,,일반 그로아 소환권 (1회) (귀속),99999
3113,3113,,눈부신 그로아 소환권 (1회) (귀속),99999
3114,3114,,그로아 소환권 (1회) (귀속) - 미사용,99999
3121,3121,,고급 그로아 소환권 (1회) (귀속),99999
3122,3122,,고급 그로아 소환권 (1회) (귀속),99999
3123,3123,,고급 그로아 소환권 (1회) (귀속),99999
3131,3131,,희귀 그로아 소환권 (1회) (귀속),99999
3132,3132,,그로아 소환권 (1회) (귀속) - 미사용,99999
3141,3141,,영웅 그로아 소환권 (1회) (귀속),99999
3191,3191,,그로아 소환권 (1회) (귀속),99999
3201,3201,,일반 그로아 소환권 (11회) (귀속),99999
3202,3202,,고급 그로아 소환권 (11회) (귀속),99999
3203,3203,,희귀 그로아 소환권 (11회) (귀속),99999
3204,3204,,영웅 그로아 소환권 (11회) (귀속),99999
