OID,Cid,Milestone,Comment,EquipmentCategory,Kind,ItemBaseStatModifiedCids,ItemGradeInfoCid,ItemEnhanceInfoCid,ItemEnchantInfoCid,ItemAdditionalOptionCids,IsDeathPenaltyLoss,MaxDurability,UiDurabilityPer,RepairPrice,WearGroup,WeaponNormalSkillCid,ItemSkillSlots
11020002,11020002,Dev,2T 양손검(전리품 제작),TwohandSword,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020002,3,"[200401,200451,200501,200551]"
11020003,11020003,Dev,2T 단검(전리품 제작),Dagger,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020003,4,"[500401,500451,500501,500551]"
11020004,11020004,Dev,2T 활(전리품 제작),Bow,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020004,5,"[300401,300451,300501,300551]"
11020005,11020005,Dev,2T 지팡이(전리품 제작),Staff,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020005,6,"[400201,400251,400301,400351]"
11020006,11020006,Dev,2T 장검(던전 코어),OnehandSword,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020006,2,"[100401,100451,100501,100551]"
11020007,11020007,Dev,2T 양손검(던전 코어),TwohandSword,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020007,7,"[200601,200651,200701,200751]"
11020008,11020008,Dev,2T 단검(던전 코어),Dagger,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020008,4,"[500201,500251,500301,500351]"
11020009,11020009,Dev,2T 활(던전 코어),Bow,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020009,5,"[300601,300651,300701,300751]"
11020010,11020010,Dev,2T 지팡이(던전 코어),Staff,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020010,6,"[100001,100051,100101,100150]"
11020501,11020501,Dev,2T 장검(전리품 제작)_SR,OnehandSword,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020001,2,"[100201,100251,100301,100351]"
11020502,11020502,Dev,2T 양손검(전리품 제작)_SR,TwohandSword,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020002,3,"[200401,200451,200501,200551]"
11020503,11020503,Dev,2T 단검(전리품 제작)_SR,Dagger,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020003,4,"[500401,500451,500501,500551]"
11020504,11020504,Dev,2T 활(전리품 제작)_SR,Bow,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020004,5,"[300401,300451,300501,300551]"
11020505,11020505,Dev,2T 지팡이(전리품 제작)_SR,Staff,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020005,6,"[400201,400251,400301,400351]"
11020506,11020506,Dev,2T 장검(던전 코어)_SR,OnehandSword,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020006,2,"[100401,100451,100501,100551]"
11020507,11020507,Dev,2T 양손검(던전 코어)_SR,TwohandSword,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020007,7,"[200601,200651,200701,200751]"
11020508,11020508,Dev,2T 단검(던전 코어)_SR,Dagger,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020008,4,"[500201,500251,500301,500351]"
11020509,11020509,Dev,2T 활(던전 코어)_SR,Bow,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020009,5,"[300601,300651,300701,300751]"
11020510,11020510,Dev,2T 지팡이(던전 코어)_SR,Staff,Weapon,[1102],1200,10200,101,,TRUE,10000,10,10,11020010,6,"[100001,100051,100101,100150]"
11030001,11030001,Dev,3T 장검(전리품 제작),OnehandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030001,2,"[100201,100251,100301,100351]"
11030002,11030002,Dev,3T 양손검(전리품 제작),TwohandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030002,3,"[200401,200451,200501,200551]"
11030003,11030003,Dev,3T 단검(전리품 제작),Dagger,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030003,4,"[500401,500451,500501,500551]"
11030004,11030004,Dev,3T 활(전리품 제작),Bow,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030004,5,"[300401,300451,300501,300551]"
11030005,11030005,Dev,3T 지팡이(전리품 제작),Staff,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030005,6,"[400201,400251,400301,400351]"
11030006,11030006,Dev,3T 장검(던전 코어),OnehandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030006,2,"[100401,100451,100501,100551]"
11030007,11030007,Dev,3T 양손검(던전 코어),TwohandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030007,7,"[200601,200651,200701,200751]"
11030008,11030008,Dev,3T 단검(던전 코어),Dagger,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030008,4,"[500201,500251,500301,500351]"
11030009,11030009,Dev,3T 활(던전 코어),Bow,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030009,5,"[300601,300651,300701,300751]"
11030010,11030010,Dev,3T 지팡이(던전 코어),Staff,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030010,6,"[100001,100051,100101,100150]"
11030011,11030011,Dev,3T 장검(드랍),OnehandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030011,2,"[100601,100651,100701,100751]"
11030012,11030012,Dev,3T 양손검(드랍),TwohandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030012,3,"[200000,200051,200101,200151]"
11030013,11030013,Dev,3T 단검(드랍),Dagger,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030013,4,"[500601,500651,500701,500751]"
11030014,11030014,Dev,3T 활(드랍),Bow,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030014,5,"[300001,300301,300151,300051]"
11030015,11030015,Dev,3T 지팡이(드랍),Staff,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030015,6,"[400001,400051,400151,400101]"
11030501,11030501,Dev,3T 장검(전리품 제작)_SR,OnehandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030001,2,"[100201,100251,100301,100351]"
11030502,11030502,Dev,3T 양손검(전리품 제작)_SR,TwohandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030002,3,"[200401,200451,200501,200551]"
11030503,11030503,Dev,3T 단검(전리품 제작)_SR,Dagger,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030003,4,"[500401,500451,500501,500551]"
11030504,11030504,Dev,3T 활(전리품 제작)_SR,Bow,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030004,5,"[300401,300451,300501,300551]"
11030505,11030505,Dev,3T 지팡이(전리품 제작)_SR,Staff,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030005,6,"[400201,400251,400301,400351]"
11030506,11030506,Dev,3T 장검(던전 코어)_SR,OnehandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030006,2,"[100401,100451,100501,100551]"
11030507,11030507,Dev,3T 양손검(던전 코어)_SR,TwohandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030007,7,"[200601,200651,200701,200751]"
11030508,11030508,Dev,3T 단검(던전 코어)_SR,Dagger,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030008,4,"[500201,500251,500301,500351]"
11030509,11030509,Dev,3T 활(던전 코어)_SR,Bow,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030009,5,"[300601,300651,300701,300751]"
11030510,11030510,Dev,3T 지팡이(던전 코어)_SR,Staff,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030010,6,"[100001,100051,100101,100150]"
11030511,11030511,Dev,3T 장검(드랍)_SR,OnehandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030011,2,"[100601,100651,100701,100751]"
11030512,11030512,Dev,3T 양손검(드랍)_SR,TwohandSword,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030012,3,"[200000,200051,200101,200151]"
11030513,11030513,Dev,3T 단검(드랍)_SR,Dagger,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030013,4,"[500601,500651,500701,500751]"
11030514,11030514,Dev,3T 활(드랍)_SR,Bow,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030014,5,"[300001,300301,300151,300051]"
11030515,11030515,Dev,3T 지팡이(드랍)_SR,Staff,Weapon,[1103],1300,10300,101,,TRUE,10000,10,20,11030015,6,"[400001,400051,400151,400101]"
11040001,11040001,Dev,신규 1티어 무기 장검,OnehandSword,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040001,2,"[100201,100251,100301,100351]"
11040002,11040002,Dev,신규 1티어 무기 양손검,TwohandSword,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040002,3,"[200401,200451,200501,200551]"
11040003,11040003,Dev,신규 1티어 무기 단검,Dagger,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040003,4,"[500401,500451,500501,500551]"
11040004,11040004,Dev,신규 1티어 무기 활,Bow,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040004,5,"[300401,300451,300501,300551]"
11040005,11040005,Dev,신규 1티어 무기 지팡이,Staff,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040005,6,"[400201,400251,400301,400351]"
11040006,11040006,Dev,KA5 테스트 1T 장검,OnehandSword,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040006,2,
11040007,11040007,Dev,용의 심안,TwohandSword,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040007,3,"[200000,200051,200101,200151]"
11040008,11040008,Dev,KA5 테스트 1T 단검,Dagger,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040008,4,
11040009,11040009,Dev,황혼의 송곳니,Bow,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040009,5,"[300001,300051,300301,300151]"
11040010,11040010,Dev,운명의 가지,Staff,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040010,6,"[400001,400051,400101,400151]"
11040011,11040011,Dev,KA5 테스트 1T 장검,OnehandSword,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040011,2,
11040012,11040012,Dev,용의 심안,TwohandSword,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040012,3,"[200000,200051,200101,200151]"
11040013,11040013,Dev,KA5 테스트 1T 단검,Dagger,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040013,4,
11040014,11040014,Dev,황혼의 송곳니,Bow,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040014,5,"[300001,300051,300301,300151]"
11040015,11040015,Dev,운명의 가지,Staff,Weapon,[1104],1400,10400,101,,TRUE,10000,10,40,11040015,6,"[400001,400051,400101,400151]"
11050001,11050001,Dev,5T 장검,OnehandSword,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050001,2,
11050002,11050002,Dev,5T 양손검,TwohandSword,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050002,3,"[200000,200051,200101,200151]"
11050003,11050003,Dev,5T 단검,Dagger,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050003,4,
11050004,11050004,Dev,5T 활,Bow,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050004,5,"[300001,300301,300151,300051]"
11050005,11050005,Dev,5T 지팡이,Staff,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050005,6,"[400001,400051,400101,400151]"
11050006,11050006,Dev,5T 장검,OnehandSword,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050006,2,
11050007,11050007,Dev,5T 양손검,TwohandSword,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050007,3,"[200000,200051,200101,200151]"
11050008,11050008,Dev,5T 단검,Dagger,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050008,4,
11050009,11050009,Dev,5T 활,Bow,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050009,5,"[300001,300301,300151,300051]"
11050010,11050010,Dev,5T 지팡이,Staff,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050010,6,"[400001,400051,400101,400151]"
11050011,11050011,Dev,5T 장검,OnehandSword,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050011,2,
11050012,11050012,Dev,5T 양손검,TwohandSword,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050012,3,"[200000,200051,200101,200151]"
11050013,11050013,Dev,5T 단검,Dagger,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050013,4,
11050014,11050014,Dev,5T 활,Bow,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050014,5,"[300001,300301,300151,300051]"
11050015,11050015,Dev,5T 지팡이,Staff,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050015,6,"[400001,400051,400101,400151]"
11050016,11050016,Dev,5T 장검,OnehandSword,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050016,2,
11050017,11050017,Dev,5T 양손검,TwohandSword,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050017,3,"[200000,200051,200101,200151]"
11050018,11050018,Dev,5T 단검,Dagger,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050018,4,
11050019,11050019,Dev,5T 활,Bow,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050019,5,"[300001,300301,300151,300051]"
11050020,11050020,Dev,5T 지팡이,Staff,Weapon,[1105],1500,10500,101,,TRUE,10000,10,80,11050020,6,"[400001,400051,400101,400151]"
11060001,11060001,Dev,KA5 테스트 2T 장검,OnehandSword,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060001,2,
11060002,11060002,Dev,유해의 왕관,TwohandSword,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060002,3,"[200000,200051,200101,200151]"
11060003,11060003,Dev,KA5 테스트 2T 단검,Dagger,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060003,4,
11060004,11060004,Dev,은월의 포효,Bow,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060004,5,"[300001,300051,300301,300151]"
11060005,11060005,Dev,새벽별의 이정표,Staff,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060005,6,"[400001,400051,400101,400151]"
11060006,11060006,Dev,KA5 테스트 2T 장검,OnehandSword,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060006,2,
11060007,11060007,Dev,유해의 왕관,TwohandSword,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060007,3,"[200000,200051,200101,200151]"
11060008,11060008,Dev,KA5 테스트 2T 단검,Dagger,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060008,4,
11060009,11060009,Dev,은월의 포효,Bow,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060009,5,"[300001,300051,300301,300151]"
11060010,11060010,Dev,새벽별의 이정표,Staff,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060010,6,"[400001,400051,400101,400151]"
11060011,11060011,Dev,KA5 테스트 2T 장검,OnehandSword,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060011,2,
11060012,11060012,Dev,유해의 왕관,TwohandSword,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060012,3,"[200000,200051,200101,200151]"
11060013,11060013,Dev,KA5 테스트 2T 단검,Dagger,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060013,4,
11060014,11060014,Dev,은월의 포효,Bow,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060014,5,"[300001,300051,300301,300151]"
11060015,11060015,Dev,새벽별의 이정표,Staff,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060015,6,"[400001,400051,400101,400151]"
11060016,11060016,Dev,KA5 테스트 2T 장검,OnehandSword,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060016,2,
11060017,11060017,Dev,유해의 왕관,TwohandSword,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060017,3,"[200000,200051,200101,200151]"
11060018,11060018,Dev,KA5 테스트 2T 단검,Dagger,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060018,4,
11060019,11060019,Dev,은월의 포효,Bow,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060019,5,"[300001,300051,300301,300151]"
11060020,11060020,Dev,새벽별의 이정표,Staff,Weapon,[1106],1600,10600,101,,TRUE,10000,10,160,11060020,6,"[400001,400051,400101,400151]"
11070001,11070001,Dev,7T 장검,OnehandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070001,2,
11070002,11070002,Dev,7T 양손검,TwohandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070002,3,"[200000,200051,200101,200151]"
11070003,11070003,Dev,7T 단검,Dagger,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070003,4,
11070004,11070004,Dev,7T 활,Bow,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070004,5,"[300001,300301,300151,300051]"
11070005,11070005,Dev,7T 지팡이,Staff,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070005,6,"[400001,400051,400101,400151]"
11070006,11070006,Dev,7T 장검,OnehandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070006,2,
11070007,11070007,Dev,7T 양손검,TwohandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070007,3,"[200201,200251,200301,200351]"
11070008,11070008,Dev,7T 단검,Dagger,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070008,4,
11070009,11070009,Dev,7T 활,Bow,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070009,5,"[300201,300251,300101,300351]"
11070010,11070010,Dev,7T 지팡이,Staff,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070010,6,"[100001,100051,100101,100150]"
11070011,11070011,Dev,7T 장검,OnehandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070011,2,
11070012,11070012,Dev,7T 양손검,TwohandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070012,3,"[200000,200051,200101,200151]"
11070013,11070013,Dev,7T 단검,Dagger,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070013,4,
11070014,11070014,Dev,7T 활,Bow,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070014,5,"[300001,300301,300151,300051]"
11070015,11070015,Dev,7T 지팡이,Staff,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070015,6,"[400001,400051,400101,400151]"
11070016,11070016,Dev,7T 장검,OnehandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070016,2,
11070017,11070017,Dev,7T 양손검,TwohandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070017,3,"[200201,200251,200301,200351]"
11070018,11070018,Dev,7T 단검,Dagger,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070018,4,
11070019,11070019,Dev,7T 활,Bow,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070019,5,"[300201,300251,300101,300351]"
11070020,11070020,Dev,7T 지팡이,Staff,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070020,6,"[100001,100051,100101,100150]"
11070021,11070021,Dev,7T 장검,OnehandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070021,2,
11070022,11070022,Dev,7T 양손검,TwohandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070022,3,"[200000,200051,200101,200151]"
11070023,11070023,Dev,7T 단검,Dagger,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070023,4,
11070024,11070024,Dev,7T 활,Bow,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070024,5,"[300001,300301,300151,300051]"
11070025,11070025,Dev,7T 지팡이,Staff,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070025,6,"[400001,400051,400101,400151]"
11070026,11070026,Dev,7T 장검,OnehandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070026,2,
11070027,11070027,Dev,7T 양손검,TwohandSword,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070027,3,"[200201,200251,200301,200351]"
11070028,11070028,Dev,7T 단검,Dagger,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070028,4,
11070029,11070029,Dev,7T 활,Bow,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070029,5,"[300201,300251,300101,300351]"
11070030,11070030,Dev,7T 지팡이,Staff,Weapon,[1107],1700,10700,101,,TRUE,10000,10,320,11070030,6,"[100001,100051,100101,100150]"
11099001,11099001,Dev,심씨 테스트 무기,TwohandSword,Weapon,[99999998],1100,,101,,TRUE,10000,10,5,11099001,3,[10001]
11099002,11099002,Dev,테스트 장검,OnehandSword,Weapon,[99999998],1100,,101,,TRUE,10000,10,5,11099002,2,
11099003,11099003,Dev,테스트 양손검,TwohandSword,Weapon,[99999998],1100,,101,,TRUE,10000,10,5,11099003,3,"[200000,200051,200101,200151]"
11099004,11099004,Dev,테스트 단검,Dagger,Weapon,[99999998],1100,,101,,TRUE,10000,10,5,11099004,4,[10001]
11099005,11099005,Dev,테스트 활,Bow,Weapon,[99999998],1100,,101,,TRUE,10000,10,5,11099005,5,"[300001,300301,300151,300051]"
11099006,11099006,Dev,테스트 지팡이,Staff,Weapon,[99999998],1100,,101,,TRUE,10000,10,5,11099006,6,"[400001,400051,400101,400151]"
11099007,11099007,Dev,횃불,Staff,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099007,6,
11099008,11099008,Dev,몬스터 버프 무기,Bow,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099008,5,
11099009,11099009,Dev,기절,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099009,3,[99000001]
11099010,11099010,Dev,무적,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099010,3,[99000002]
11099011,11099011,Dev,속박,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099011,3,[99000003]
11099012,11099012,Dev,어둠,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099012,3,[99000004]
11099013,11099013,Dev,침묵,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099013,3,[99000005]
11099014,11099014,Dev,빙결,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099014,3,[99000006]
11099015,11099015,Dev,타겟팅 무시,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099015,3,[99000007]
11099016,11099016,Dev,PVP 불가,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099016,3,[99000008]
11099017,11099017,Dev,PVE 불가,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099017,3,[99000009]
11099018,11099018,Dev,탑승 불가,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099018,3,[99000010]
11099019,11099019,Dev,성문,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099019,3,[99000011]
11099020,11099020,Dev,소환,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099020,3,[99000012]
11099021,11099021,Dev,피해 면역,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099021,3,[99000013]
11099022,11099022,Dev,은신,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099022,3,[99000014]
11099023,11099023,Dev,지속 은신,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099023,3,[99000015]
11099024,11099024,Dev,저지 불가,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099024,3,[99000016]
11099025,11099025,Dev,석화,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099025,3,[99000017]
11099026,11099026,Dev,부유,TwohandSword,Weapon,[1101],1100,,101,,TRUE,10000,10,5,11099026,3,[99000018]
