OID,Cid,Comment,Desc,Duration
902012021,902012021,구슬 부유 중,,500
902012031,902012031,소멸 전 1초 연출,,1000
902013012,902013012,구슬 소멸까지 타이머,,20000
902013021,902013021,구슬 부유 중,,500
902013031,902013031,소멸 전 1초 연출,,1000
902021021,902021021,대기 상태에서 2웨이브 페이즈로,,6000
902021031,902021031,2웨이브 스폰 후 소멸 페이즈로,,500
902022021,902022021,대기 상태에서 2웨이브 페이즈로,,6000
902022031,902022031,2웨이브 스폰 후 소멸 페이즈로,,500
902025021,902025021,2초 뒤 벽 폭파,,2000
902025031,902025031,벽 폭파 후 통로 열림,,5000
902026012,902026012,오버랩 기간 경과 후 소멸 페이즈로,,1500
902026021,902026021,오버랩 이벤트 후 소멸,,4000
902027031,902027031,퀘스트 다음 스텝에서 타이머 후 소멸,,3000
902028021,902028021,소멸 타이머,,10000
902028031,902028031,퀘스트 다음 스텝에서 타이머 후 소멸,,3000
902029021,902029021,퀘스트 연출 후 자동 소멸,,10000
902029031,902029031,퀘스트 다음 스텝에서 타이머 후 소멸,,3000
902030021,902030021,퀘스트 연출을 위한 타이머 후 다음 페이즈,,6000
902030031,902030031,소멸 페이즈로 이동,,500
902031021,902031021,0.5초뒤 스폰하고 2차 웨이브로,,500
902031031,902031031,8초 뒤 스폰하고 소멸 페이즈로,,8000
902032021,902032021,즉시 스폰하고 소멸 페이즈로,,200
902033021,902033021,즉시 스폰하고 소멸 페이즈로,,200
902034011,902034011,확률 페이즈로 넘어가는 중,,100
902034021,902034021,강인 마법사가 있는 페이즈,,100
902034031,902034031,생기 마법사가 있는 페이즈,,100
902034041,902034041,근위병_해골 창병,,500
902034051,902034051,근위병_해골창병_강인 마법사,,500
902034061,902034061,근위병_해골창병_생기 마법사,,500
902034071,902034071,근위병_해골창병_강인 마법사_생기 마법사,,500
902035021,902035021,데로스 스폰,,500
902035031,902035031,3초 뒤 부관 스폰,,3000
902036011,902036011,확률 페이즈로 넘어가는 중,,100
902036021,902036021,잊혀진 해골 창병 등장_50%,,200
902036031,902036031,잊혀진 해골 궁병 등장_50%,,200
902037012,902037012,강인한 생명력 구슬 소멸 타이머,,20000
902037021,902037021,강인한 생명력 흡수 연출,,2000
902038012,902038012,샘솟는 생명력 구슬 소멸 타이머,,20000
902038021,902038021,샘솟는 마나샘 흡수 연출,,2000
902039031,902039031,몬스터 스폰 후 소멸,,200
902040031,902040031,몬스터 스폰 후 소멸,,200
902041031,902041031,몬스터 스폰 후 소멸,,200
902042011,902042011,폴라리우스 구역 주기적 스폰_기본 쿨타임,,20000
902042022,902042022,강인한 생명력 구슬 소멸 타이머,,20000
902042032,902042032,샘솟는 마나샘 구슬 소멸 타이머,,20000
902042041,902042041,아무것도 없음_딜레이 발생 페이즈,,10000
902042051,902042051,강인한 생명력 흡수 연출,,2000
902042061,902042061,샘솟는 마나샘 흡수 연출,,2000
902043021,902043021,말카바돈 처치 후 보물 상자_열림 연출,,1550
902043031,902043031,말카바돈 처치 후 보물 상자_열림 유지(5분),상자 소멸까지 : ,300000
902044012,902044012,격노의 잔재 말카바돈 타임어택 시작_10분 타이머,,600000
902044022,902044022,10분 이후부터 분노의 잔재 말카바돈 타임어택,,1200000
902044031,902044031,격노 소환되는 중,존재가 구현화되는 중 : ,4000
902044041,902044041,분노 소환되는 중,존재가 구현화되는 중 : ,4000
902045021,902045021,말카바돈 처치 후 보물 상자_열림 연출,,1550
902045031,902045031,말카바돈 처치 후 보물 상자_열림 유지(5분),상자 소멸까지 : ,300000
902046021,902046021,오버랩 기간 경과 후 소멸 페이즈로 (6초),,6000
902046031,902046031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),,500
902047021,902047021,오버랩 기간 경과 후 소멸 페이즈로 (6초),,6000
902047031,902047031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),,500
902048021,902048021,오버랩 기간 경과 후 소멸 페이즈로 (6초),,6000
902048031,902048031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),,500
902049021,902049021,연출이 무한 지속되지 않도록 타이머 강제 페이즈 (20초),,20000
902049031,902049031,소멸 페이즈로 (0.5초),,500
902050021,902050021,오버랩 기간 경과 후 소멸 페이즈로 (6초),,6000
902050031,902050031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),,500
902051021,902051021,오버랩 기간 경과 후 소멸 페이즈로 (6초),,6000
902051031,902051031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),,500
902052021,902052021,오버랩 기간 경과 후 소멸 페이즈로 (6초),,6000
902052031,902052031,오버랩 기간 경과 후 소멸 페이즈로 (0.5초),,500
990021,990021,망균 1~7T 중보방 부서짐 연출 -> 소멸,,4000
80000201,80000201,1T_잠긴 보물 상자_(4초)열림연출,,4000
80000301,80000301,1T_잠긴 보물 상자_(56초) > idle,재사용 대기 : ,56000
80000401,80000401,1T_잠긴 보물 상자_(1분) -> idle,재사용 대기 : ,60000
80000501,80000501,1T_잠긴 보물 상자_(5초) -> idle,재사용 대기 : ,5000
80010201,80010201,놀존_1~2T_잠긴 보물 상자_(4초)열림연출,,4000
80010301,80010301,놀존_1~2T_잠긴 보물 상자_(56초)-> idle,재사용 대기 : ,56000
80010401,80010401,놀존_1~2T_잠긴 보물 상자_(1분)-> idle,재사용 대기 : ,60000
80010501,80010501,놀존_1~2T_잠긴 보물 상자_(5초) > idle,재사용 대기 : ,5000
80020201,80020201,오크존_1~2T_잠긴 보물 상자_(4초)열림연출,,4000
80020301,80020301,오크존_1~2T_잠긴 보물 상자_(56초)-> idle,재사용 대기 : ,56000
80020401,80020401,오크존_1~2T_잠긴 보물 상자_(1분)-> idle,재사용 대기 : ,60000
80020501,80020501,오크존_1~2T_잠긴 보물 상자_(5초) > idle,재사용 대기 : ,5000
80030201,80030201,1T 망토_보물 상자_(4초) > 열린 상태 이펙트,,4000
80030301,80030301,1T 망토_보물 상자_(56초) > idle,재사용 대기 : ,56000
80040201,80040201,2T 망토_보물 상자_(4초) > 열린 상태 이펙트,,4000
80040301,80040301,2T 망토_보물 상자_(56초) > idle,재사용 대기 : ,56000
90010101,90010101,아키움 묘목 -> 시간 경과 후 굶주린 아키움 나무로 전환,성장 : ,5000
90010201,90010201,목마른 아키움 나무 -> 시간 초과 소멸,소멸 : ,600000
90010301,90010301,생기 있는 아키움 나무 -> 시간 경과 후 랜덤 전환,성장 : ,5000
90010401,90010401,결정이 열린 아키움 나무 -> 시간 초과 소멸,소멸 : ,600000
90010501,90010501,벼락 맞은 아키움 나무 -> 시간 초과 소멸,소멸 : ,600000
90010601,90010601,아키움 나무_벼락 맞는 나무 (벼락 연출),성장 : ,1300
99600501,99600501,99600500_활성화 된 모닥불->99600600_모닥불 비활성화 유지,,120000
99600601,99600601,99600600_모닥불 비활성화 유지->99600100_비활성화 된 모닥불,,20000
99670201,99670201,99670200_모닥불_활성화->99670300_모닥불_비활성화 전,,120000
99670301,99670301,99670300_모닥불_비활성화 전->99670100_모닥불_비활성화,,20000
9982021,9982021,소환이 완료된 장치_소멸 페이즈로,소멸: ,3000
9983021,9983021,활성화 된 성소_소멸 페이즈로,소멸: ,20000
99890201,99890201,망원경_카메라5->망원경_기본,연출 : ,15000
99910101,99910101,99910100_봉인석 올라오는 중->99910200_봉인석 등장 완료,,1500
99910301,99910301,99910300_봉인석 인터렉션 가능->99910400_소환 후 봉인석 파괴,,1500
99910401,99910401,99910400_소환 후 봉인석 파괴->99910100_봉인석 올라오는 중,,60000
99940201,99940201,은은한 모닥불 -> 불씨만 남은 은은한 모닥불,,30000
99940301,99940301,완성된 전장의 모닥불 -> 불씨만 남은 전장의 모닥불,,60000
99940401,99940401,불씨만 남은 은은한 모닥불 -> 불이 꺼진 모닥불,,20000
99940501,99940501,불씨만 남은 따뜻한 모닥불 -> 불이 꺼진 모닥불,,20000
99970102,99970102,함정_시간초과,폭발까지 : ,10000
99970201,99970201,함정상자_열림 연출,,400
99970301,99970301,함정상자_열림 대기,,3000
99970401,99970401,함정상자_폭발후 소멸,,1000
