OID,Cid,Comment,EnhanceStatGroup,EnhanceStep,StatModifiedCids,EnchantSlot
10509,10509,5티어 무기 9강,105,9,[10509],5
10510,10510,5티어 무기 10강,105,10,[10510],5
10600,10600,6티어 무기 0강,106,0,,0
10601,10601,6티어 무기 1강,106,1,[10601],1
10602,10602,6티어 무기 2강,106,2,[10602],1
10603,10603,6티어 무기 3강,106,3,[10603],2
10604,10604,6티어 무기 4강,106,4,[10604],2
10605,10605,6티어 무기 5강,106,5,[10605],3
10606,10606,6티어 무기 6강,106,6,[10606],3
10607,10607,6티어 무기 7강,106,7,[10607],4
10608,10608,6티어 무기 8강,106,8,[10608],4
10609,10609,6티어 무기 9강,106,9,[10609],5
10610,10610,6티어 무기 10강,106,10,[10610],5
10700,10700,7티어 무기 0강,107,0,,0
10701,10701,7티어 무기 1강,107,1,[10701],1
10702,10702,7티어 무기 2강,107,2,[10702],1
10703,10703,7티어 무기 3강,107,3,[10703],2
10704,10704,7티어 무기 4강,107,4,[10704],2
10705,10705,7티어 무기 5강,107,5,[10705],3
10706,10706,7티어 무기 6강,107,6,[10706],3
10707,10707,7티어 무기 7강,107,7,[10707],4
10708,10708,7티어 무기 8강,107,8,[10708],4
10709,10709,7티어 무기 9강,107,9,[10709],5
10710,10710,7티어 무기 10강,107,10,[10710],5
20100,20100,1티어 방어구 0강,201,0,,0
20101,20101,1티어 방어구 1강,201,1,[20101],1
20102,20102,1티어 방어구 2강,201,2,[20102],1
20103,20103,1티어 방어구 3강,201,3,[20103],2
20104,20104,1티어 방어구 4강,201,4,[20104],2
20105,20105,1티어 방어구 5강,201,5,[20105],3
20106,20106,1티어 방어구 6강,201,6,[20106],3
20107,20107,1티어 방어구 7강,201,7,[20107],4
20108,20108,1티어 방어구 8강,201,8,[20108],4
20109,20109,1티어 방어구 9강,201,9,[20109],5
20110,20110,1티어 방어구 10강,201,10,[20110],5
20200,20200,2티어 방어구 0강,202,0,,0
20201,20201,2티어 방어구 1강,202,1,[20201],1
20202,20202,2티어 방어구 2강,202,2,[20202],1
20203,20203,2티어 방어구 3강,202,3,[20203],2
20204,20204,2티어 방어구 4강,202,4,[20204],2
20205,20205,2티어 방어구 5강,202,5,[20205],3
20206,20206,2티어 방어구 6강,202,6,[20206],3
20207,20207,2티어 방어구 7강,202,7,[20207],4
20208,20208,2티어 방어구 8강,202,8,[20208],4
20209,20209,2티어 방어구 9강,202,9,[20209],5
20210,20210,2티어 방어구 10강,202,10,[20210],5
20300,20300,3티어 방어구 0강,203,0,,0
20301,20301,3티어 방어구 1강,203,1,[20301],1
20302,20302,3티어 방어구 2강,203,2,[20302],1
20303,20303,3티어 방어구 3강,203,3,[20303],2
20304,20304,3티어 방어구 4강,203,4,[20304],2
20305,20305,3티어 방어구 5강,203,5,[20305],3
20306,20306,3티어 방어구 6강,203,6,[20306],3
20307,20307,3티어 방어구 7강,203,7,[20307],4
20308,20308,3티어 방어구 8강,203,8,[20308],4
20309,20309,3티어 방어구 9강,203,9,[20309],5
20310,20310,3티어 방어구 10강,203,10,[20310],5
20400,20400,4티어 방어구 0강,204,0,,0
20401,20401,4티어 방어구 1강,204,1,[20401],1
20402,20402,4티어 방어구 2강,204,2,[20402],1
20403,20403,4티어 방어구 3강,204,3,[20403],2
20404,20404,4티어 방어구 4강,204,4,[20404],2
20405,20405,4티어 방어구 5강,204,5,[20405],3
20406,20406,4티어 방어구 6강,204,6,[20406],3
20407,20407,4티어 방어구 7강,204,7,[20407],4
20408,20408,4티어 방어구 8강,204,8,[20408],4
20409,20409,4티어 방어구 9강,204,9,[20409],5
20410,20410,4티어 방어구 10강,204,10,[20410],5
20500,20500,5티어 방어구 0강,205,0,,0
20501,20501,5티어 방어구 1강,205,1,[20501],1
20502,20502,5티어 방어구 2강,205,2,[20502],1
20503,20503,5티어 방어구 3강,205,3,[20503],2
20504,20504,5티어 방어구 4강,205,4,[20504],2
20505,20505,5티어 방어구 5강,205,5,[20505],3
20506,20506,5티어 방어구 6강,205,6,[20506],3
20507,20507,5티어 방어구 7강,205,7,[20507],4
20508,20508,5티어 방어구 8강,205,8,[20508],4
20509,20509,5티어 방어구 9강,205,9,[20509],5
20510,20510,5티어 방어구 10강,205,10,[20510],5
20600,20600,6티어 방어구 0강,206,0,,0
20601,20601,6티어 방어구 1강,206,1,[20601],1
20602,20602,6티어 방어구 2강,206,2,[20602],1
20603,20603,6티어 방어구 3강,206,3,[20603],2
20604,20604,6티어 방어구 4강,206,4,[20604],2
20605,20605,6티어 방어구 5강,206,5,[20605],3
20606,20606,6티어 방어구 6강,206,6,[20606],3
20607,20607,6티어 방어구 7강,206,7,[20607],4
20608,20608,6티어 방어구 8강,206,8,[20608],4
20609,20609,6티어 방어구 9강,206,9,[20609],5
20610,20610,6티어 방어구 10강,206,10,[20610],5
20700,20700,7티어 방어구 0강,207,0,,0
20701,20701,7티어 방어구 1강,207,1,[20701],1
20702,20702,7티어 방어구 2강,207,2,[20702],1
20703,20703,7티어 방어구 3강,207,3,[20703],2
20704,20704,7티어 방어구 4강,207,4,[20704],2
20705,20705,7티어 방어구 5강,207,5,[20705],3
20706,20706,7티어 방어구 6강,207,6,[20706],3
20707,20707,7티어 방어구 7강,207,7,[20707],4
20708,20708,7티어 방어구 8강,207,8,[20708],4
20709,20709,7티어 방어구 9강,207,9,[20709],5
20710,20710,7티어 방어구 10강,207,10,[20710],5
30300,30300,3티어 악세(공격력) 0강,303,0,,0
30301,30301,3티어 악세(공격력) 1강,303,1,[30301],1
30302,30302,3티어 악세(공격력) 2강,303,2,[30302],1
30303,30303,3티어 악세(공격력) 3강,303,3,[30303],2
30304,30304,3티어 악세(공격력) 4강,303,4,[30304],2
30305,30305,3티어 악세(공격력) 5강,303,5,[30305],3
30306,30306,3티어 악세(공격력) 6강,303,6,[30306],3
30307,30307,3티어 악세(공격력) 7강,303,7,[30307],4
30308,30308,3티어 악세(공격력) 8강,303,8,[30308],4
30309,30309,3티어 악세(공격력) 9강,303,9,[30309],5
30310,30310,3티어 악세(공격력) 10강,303,10,[30310],5
30400,30400,4티어 악세(공격력) 0강,304,0,,0
30401,30401,4티어 악세(공격력) 1강,304,1,[30401],1
30402,30402,4티어 악세(공격력) 2강,304,2,[30402],1
30403,30403,4티어 악세(공격력) 3강,304,3,[30403],2
30404,30404,4티어 악세(공격력) 4강,304,4,[30404],2
30405,30405,4티어 악세(공격력) 5강,304,5,[30405],3
30406,30406,4티어 악세(공격력) 6강,304,6,[30406],3
30407,30407,4티어 악세(공격력) 7강,304,7,[30407],4
30408,30408,4티어 악세(공격력) 8강,304,8,[30408],4
30409,30409,4티어 악세(공격력) 9강,304,9,[30409],5
30410,30410,4티어 악세(공격력) 10강,304,10,[30410],5
30500,30500,5티어 악세(공격력) 0강,305,0,,0
30501,30501,5티어 악세(공격력) 1강,305,1,[30501],1
30502,30502,5티어 악세(공격력) 2강,305,2,[30502],1
30503,30503,5티어 악세(공격력) 3강,305,3,[30503],2
30504,30504,5티어 악세(공격력) 4강,305,4,[30504],2
30505,30505,5티어 악세(공격력) 5강,305,5,[30505],3
30506,30506,5티어 악세(공격력) 6강,305,6,[30506],3
30507,30507,5티어 악세(공격력) 7강,305,7,[30507],4
30508,30508,5티어 악세(공격력) 8강,305,8,[30508],4
30509,30509,5티어 악세(공격력) 9강,305,9,[30509],5
30510,30510,5티어 악세(공격력) 10강,305,10,[30510],5
30600,30600,6티어 악세(공격력) 0강,306,0,,0
30601,30601,6티어 악세(공격력) 1강,306,1,[30601],1
30602,30602,6티어 악세(공격력) 2강,306,2,[30602],1
30603,30603,6티어 악세(공격력) 3강,306,3,[30603],2
30604,30604,6티어 악세(공격력) 4강,306,4,[30604],2
30605,30605,6티어 악세(공격력) 5강,306,5,[30605],3
30606,30606,6티어 악세(공격력) 6강,306,6,[30606],3
30607,30607,6티어 악세(공격력) 7강,306,7,[30607],4
30608,30608,6티어 악세(공격력) 8강,306,8,[30608],4
30609,30609,6티어 악세(공격력) 9강,306,9,[30609],5
30610,30610,6티어 악세(공격력) 10강,306,10,[30610],5
30700,30700,7티어 악세(공격력) 0강,307,0,,0
30701,30701,7티어 악세(공격력) 1강,307,1,[30701],1
30702,30702,7티어 악세(공격력) 2강,307,2,[30702],1
30703,30703,7티어 악세(공격력) 3강,307,3,[30703],2
30704,30704,7티어 악세(공격력) 4강,307,4,[30704],2
30705,30705,7티어 악세(공격력) 5강,307,5,[30705],3
30706,30706,7티어 악세(공격력) 6강,307,6,[30706],3
30707,30707,7티어 악세(공격력) 7강,307,7,[30707],4
30708,30708,7티어 악세(공격력) 8강,307,8,[30708],4
30709,30709,7티어 악세(공격력) 9강,307,9,[30709],5
30710,30710,7티어 악세(공격력) 10강,307,10,[30710],5
40300,40300,3티어 악세(방어력) 0강,403,0,,0
40301,40301,3티어 악세(방어력) 1강,403,1,[40301],1
40302,40302,3티어 악세(방어력) 2강,403,2,[40302],1
40303,40303,3티어 악세(방어력) 3강,403,3,[40303],2
40304,40304,3티어 악세(방어력) 4강,403,4,[40304],2
40305,40305,3티어 악세(방어력) 5강,403,5,[40305],3
40306,40306,3티어 악세(방어력) 6강,403,6,[40306],3
40307,40307,3티어 악세(방어력) 7강,403,7,[40307],4
40308,40308,3티어 악세(방어력) 8강,403,8,[40308],4
40309,40309,3티어 악세(방어력) 9강,403,9,[40309],5
40310,40310,3티어 악세(방어력) 10강,403,10,[40310],5
40400,40400,4티어 악세(방어력) 0강,404,0,,0
40401,40401,4티어 악세(방어력) 1강,404,1,[40401],1
40402,40402,4티어 악세(방어력) 2강,404,2,[40402],1
40403,40403,4티어 악세(방어력) 3강,404,3,[40403],2
40404,40404,4티어 악세(방어력) 4강,404,4,[40404],2
40405,40405,4티어 악세(방어력) 5강,404,5,[40405],3
40406,40406,4티어 악세(방어력) 6강,404,6,[40406],3
40407,40407,4티어 악세(방어력) 7강,404,7,[40407],4
40408,40408,4티어 악세(방어력) 8강,404,8,[40408],4
40409,40409,4티어 악세(방어력) 9강,404,9,[40409],5
40410,40410,4티어 악세(방어력) 10강,404,10,[40410],5
40500,40500,5티어 악세(방어력) 0강,405,0,,0
40501,40501,5티어 악세(방어력) 1강,405,1,[40501],1
40502,40502,5티어 악세(방어력) 2강,405,2,[40502],1
40503,40503,5티어 악세(방어력) 3강,405,3,[40503],2
40504,40504,5티어 악세(방어력) 4강,405,4,[40504],2
40505,40505,5티어 악세(방어력) 5강,405,5,[40505],3
40506,40506,5티어 악세(방어력) 6강,405,6,[40506],3
40507,40507,5티어 악세(방어력) 7강,405,7,[40507],4
40508,40508,5티어 악세(방어력) 8강,405,8,[40508],4
40509,40509,5티어 악세(방어력) 9강,405,9,[40509],5
40510,40510,5티어 악세(방어력) 10강,405,10,[40510],5
40600,40600,6티어 악세(방어력) 0강,406,0,,0
40601,40601,6티어 악세(방어력) 1강,406,1,[40601],1
40602,40602,6티어 악세(방어력) 2강,406,2,[40602],1
40603,40603,6티어 악세(방어력) 3강,406,3,[40603],2
40604,40604,6티어 악세(방어력) 4강,406,4,[40604],2
40605,40605,6티어 악세(방어력) 5강,406,5,[40605],3
40606,40606,6티어 악세(방어력) 6강,406,6,[40606],3
40607,40607,6티어 악세(방어력) 7강,406,7,[40607],4
40608,40608,6티어 악세(방어력) 8강,406,8,[40608],4
40609,40609,6티어 악세(방어력) 9강,406,9,[40609],5
40610,40610,6티어 악세(방어력) 10강,406,10,[40610],5
40700,40700,7티어 악세(방어력) 0강,407,0,,0
40701,40701,7티어 악세(방어력) 1강,407,1,[40701],1
40702,40702,7티어 악세(방어력) 2강,407,2,[40702],1
40703,40703,7티어 악세(방어력) 3강,407,3,[40703],2
40704,40704,7티어 악세(방어력) 4강,407,4,[40704],2
40705,40705,7티어 악세(방어력) 5강,407,5,[40705],3
40706,40706,7티어 악세(방어력) 6강,407,6,[40706],3
40707,40707,7티어 악세(방어력) 7강,407,7,[40707],4
40708,40708,7티어 악세(방어력) 8강,407,8,[40708],4
40709,40709,7티어 악세(방어력) 9강,407,9,[40709],5
40710,40710,7티어 악세(방어력) 10강,407,10,[40710],5
