OID,Cid,MasteryCid,NextCid,Descs,Level,Exp,Tier,MasteryLevel,MasteryReward,MasteryTrigger
20224,20224,202,20225,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,259980,Tier7,6,[20276],20276
20225,20225,202,20226,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,311980,Tier7,7,[20277],20277
20226,20226,202,20227,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,374380,Tier7,8,[20278],20278
20227,20227,202,,"[""양손검을 장착하고 7티어 이상의 몬스터 처치""]",,449260,Tier7,9,[20279],20279
20301,20301,203,20302,"[""단검을 장착하고 1티어 이상의 몬스터 처치""]",,0,Tier1,1,[20311],20311
20302,20302,203,20303,"[""단검을 장착하고 2티어 이상의 몬스터 처치""]",,960,Tier2,1,[20321],20321
20303,20303,203,20304,"[""단검을 장착하고 3티어 이상의 몬스터 처치""]",,2400,Tier3,1,[20331],20331
20304,20304,203,20305,"[""단검을 장착하고 3티어 이상의 몬스터 처치""]",,4160,Tier3,2,[20332],20332
20305,20305,203,20306,"[""단검을 장착하고 3티어 이상의 몬스터 처치""]",,7200,Tier3,3,[20333],20333
20306,20306,203,20307,"[""단검을 장착하고 4티어 이상의 몬스터 처치""]",,9000,Tier4,1,[20341],20341
20307,20307,203,20308,"[""단검을 장착하고 4티어 이상의 몬스터 처치""]",,11240,Tier4,2,[20342],20342
20308,20308,203,20309,"[""단검을 장착하고 4티어 이상의 몬스터 처치""]",,14060,Tier4,3,[20343],20343
20309,20309,203,20310,"[""단검을 장착하고 5티어 이상의 몬스터 처치""]",,16860,Tier5,1,[20351],20351
20310,20310,203,20311,"[""단검을 장착하고 5티어 이상의 몬스터 처치""]",,20240,Tier5,2,[20352],20352
20311,20311,203,20312,"[""단검을 장착하고 5티어 이상의 몬스터 처치""]",,24300,Tier5,3,[20353],20353
20312,20312,203,20313,"[""단검을 장착하고 5티어 이상의 몬스터 처치""]",,29160,Tier5,4,[20354],20354
20313,20313,203,20314,"[""단검을 장착하고 5티어 이상의 몬스터 처치""]",,34980,Tier5,5,[20355],20355
20314,20314,203,20315,"[""단검을 장착하고 6티어 이상의 몬스터 처치""]",,41980,Tier6,1,[20361],20361
20315,20315,203,20316,"[""단검을 장착하고 6티어 이상의 몬스터 처치""]",,50380,Tier6,2,[20362],20362
20316,20316,203,20317,"[""단검을 장착하고 6티어 이상의 몬스터 처치""]",,60460,Tier6,3,[20363],20363
20317,20317,203,20318,"[""단검을 장착하고 6티어 이상의 몬스터 처치""]",,72540,Tier6,4,[20364],20364
20318,20318,203,20319,"[""단검을 장착하고 6티어 이상의 몬스터 처치""]",,87060,Tier6,5,[20365],20365
20319,20319,203,20320,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,104480,Tier7,1,[20371],20371
20320,20320,203,20321,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,125380,Tier7,2,[20372],20372
20321,20321,203,20322,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,150440,Tier7,3,[20373],20373
20322,20322,203,20323,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,180540,Tier7,4,[20374],20374
20323,20323,203,20324,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,216660,Tier7,5,[20375],20375
20324,20324,203,20325,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,259980,Tier7,6,[20376],20376
20325,20325,203,20326,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,311980,Tier7,7,[20377],20377
20326,20326,203,20327,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,374380,Tier7,8,[20378],20378
20327,20327,203,,"[""단검을 장착하고 7티어 이상의 몬스터 처치""]",,449260,Tier7,9,[20379],20379
20401,20401,204,20402,"[""활을 장착하고 1티어 이상의 몬스터 처치""]",,0,Tier1,1,[20411],20411
20402,20402,204,20403,"[""활을 장착하고 2티어 이상의 몬스터 처치""]",,960,Tier2,1,[20421],20421
20403,20403,204,20404,"[""활을 장착하고 3티어 이상의 몬스터 처치""]",,2400,Tier3,1,[20431],20431
20404,20404,204,20405,"[""활을 장착하고 3티어 이상의 몬스터 처치""]",,4160,Tier3,2,[20432],20432
20405,20405,204,20406,"[""활을 장착하고 3티어 이상의 몬스터 처치""]",,7200,Tier3,3,[20433],20433
20406,20406,204,20407,"[""활을 장착하고 4티어 이상의 몬스터 처치""]",,9000,Tier4,1,[20441],20441
20407,20407,204,20408,"[""활을 장착하고 4티어 이상의 몬스터 처치""]",,11240,Tier4,2,[20442],20442
20408,20408,204,20409,"[""활을 장착하고 4티어 이상의 몬스터 처치""]",,14060,Tier4,3,[20443],20443
20409,20409,204,20410,"[""활을 장착하고 5티어 이상의 몬스터 처치""]",,16860,Tier5,1,[20451],20451
20410,20410,204,20411,"[""활을 장착하고 5티어 이상의 몬스터 처치""]",,20240,Tier5,2,[20452],20452
20411,20411,204,20412,"[""활을 장착하고 5티어 이상의 몬스터 처치""]",,24300,Tier5,3,[20453],20453
20412,20412,204,20413,"[""활을 장착하고 5티어 이상의 몬스터 처치""]",,29160,Tier5,4,[20454],20454
20413,20413,204,20414,"[""활을 장착하고 5티어 이상의 몬스터 처치""]",,34980,Tier5,5,[20455],20455
20414,20414,204,20415,"[""활을 장착하고 6티어 이상의 몬스터 처치""]",,41980,Tier6,1,[20461],20461
20415,20415,204,20416,"[""활을 장착하고 6티어 이상의 몬스터 처치""]",,50380,Tier6,2,[20462],20462
20416,20416,204,20417,"[""활을 장착하고 6티어 이상의 몬스터 처치""]",,60460,Tier6,3,[20463],20463
20417,20417,204,20418,"[""활을 장착하고 6티어 이상의 몬스터 처치""]",,72540,Tier6,4,[20464],20464
20418,20418,204,20419,"[""활을 장착하고 6티어 이상의 몬스터 처치""]",,87060,Tier6,5,[20465],20465
20419,20419,204,20420,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,104480,Tier7,1,[20471],20471
20420,20420,204,20421,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,125380,Tier7,2,[20472],20472
20421,20421,204,20422,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,150440,Tier7,3,[20473],20473
20422,20422,204,20423,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,180540,Tier7,4,[20474],20474
20423,20423,204,20424,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,216660,Tier7,5,[20475],20475
20424,20424,204,20425,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,259980,Tier7,6,[20476],20476
20425,20425,204,20426,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,311980,Tier7,7,[20477],20477
20426,20426,204,20427,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,374380,Tier7,8,[20478],20478
20427,20427,204,,"[""활을 장착하고 7티어 이상의 몬스터 처치""]",,449260,Tier7,9,[20479],20479
20501,20501,205,20502,"[""지팡이를 장착하고 1티어 이상의 몬스터 처치""]",,0,Tier1,1,[20511],20511
20502,20502,205,20503,"[""지팡이를 장착하고 2티어 이상의 몬스터 처치""]",,960,Tier2,1,[20521],20521
20503,20503,205,20504,"[""지팡이를 장착하고 3티어 이상의 몬스터 처치""]",,2400,Tier3,1,[20531],20531
20504,20504,205,20505,"[""지팡이를 장착하고 3티어 이상의 몬스터 처치""]",,4160,Tier3,2,[20532],20532
20505,20505,205,20506,"[""지팡이를 장착하고 3티어 이상의 몬스터 처치""]",,7200,Tier3,3,[20533],20533
20506,20506,205,20507,"[""지팡이를 장착하고 4티어 이상의 몬스터 처치""]",,9000,Tier4,1,[20541],20541
20507,20507,205,20508,"[""지팡이를 장착하고 4티어 이상의 몬스터 처치""]",,11240,Tier4,2,[20542],20542
20508,20508,205,20509,"[""지팡이를 장착하고 4티어 이상의 몬스터 처치""]",,14060,Tier4,3,[20543],20543
20509,20509,205,20510,"[""지팡이를 장착하고 5티어 이상의 몬스터 처치""]",,16860,Tier5,1,[20551],20551
20510,20510,205,20511,"[""지팡이를 장착하고 5티어 이상의 몬스터 처치""]",,20240,Tier5,2,[20552],20552
20511,20511,205,20512,"[""지팡이를 장착하고 5티어 이상의 몬스터 처치""]",,24300,Tier5,3,[20553],20553
20512,20512,205,20513,"[""지팡이를 장착하고 5티어 이상의 몬스터 처치""]",,29160,Tier5,4,[20554],20554
20513,20513,205,20514,"[""지팡이를 장착하고 5티어 이상의 몬스터 처치""]",,34980,Tier5,5,[20555],20555
20514,20514,205,20515,"[""지팡이를 장착하고 6티어 이상의 몬스터 처치""]",,41980,Tier6,1,[20561],20561
20515,20515,205,20516,"[""지팡이를 장착하고 6티어 이상의 몬스터 처치""]",,50380,Tier6,2,[20562],20562
20516,20516,205,20517,"[""지팡이를 장착하고 6티어 이상의 몬스터 처치""]",,60460,Tier6,3,[20563],20563
20517,20517,205,20518,"[""지팡이를 장착하고 6티어 이상의 몬스터 처치""]",,72540,Tier6,4,[20564],20564
20518,20518,205,20519,"[""지팡이를 장착하고 6티어 이상의 몬스터 처치""]",,87060,Tier6,5,[20565],20565
20519,20519,205,20520,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,104480,Tier7,1,[20571],20571
20520,20520,205,20521,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,125380,Tier7,2,[20572],20572
20521,20521,205,20522,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,150440,Tier7,3,[20573],20573
20522,20522,205,20523,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,180540,Tier7,4,[20574],20574
20523,20523,205,20524,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,216660,Tier7,5,[20575],20575
20524,20524,205,20525,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,259980,Tier7,6,[20576],20576
20525,20525,205,20526,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,311980,Tier7,7,[20577],20577
20526,20526,205,20527,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,374380,Tier7,8,[20578],20578
20527,20527,205,,"[""지팡이를 장착하고 7티어 이상의 몬스터 처치""]",,449260,Tier7,9,[20579],20579
30101,30101,301,30102,"[""판금 방어구를 장착하고 1티어 이상의 몬스터 처치""]",,0,Tier1,1,"[30111,30411,30711,31011]",30111
30102,30102,301,30103,"[""판금 방어구를 장착하고 2티어 이상의 몬스터 처치""]",,3840,Tier2,1,"[30121,30421,30721,31021]",30121
30103,30103,301,30104,"[""판금 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,9600,Tier3,1,"[30131,30431,30731,31031]",30131
30104,30104,301,30105,"[""판금 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,16640,Tier3,2,"[30132,30432,30732,31032]",30132
30105,30105,301,30106,"[""판금 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,28800,Tier3,3,"[30133,30433,30733,31033]",30133
30106,30106,301,30107,"[""판금 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,36000,Tier4,1,"[30141,30441,30741,31041]",30141
30107,30107,301,30108,"[""판금 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,44960,Tier4,2,"[30142,30442,30742,31042]",30142
30108,30108,301,30109,"[""판금 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,56240,Tier4,3,"[30143,30443,30743,31043]",30143
30109,30109,301,30110,"[""판금 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,67440,Tier5,1,"[30151,30451,30751,31051]",30151
30110,30110,301,30111,"[""판금 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,80960,Tier5,2,"[30152,30452,30752,31052]",30152
30111,30111,301,30112,"[""판금 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,97200,Tier5,3,"[30153,30453,30753,31053]",30153
30112,30112,301,30113,"[""판금 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,116640,Tier5,4,"[30154,30454,30754,31054]",30154
30113,30113,301,30114,"[""판금 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,139920,Tier5,5,"[30155,30455,30755,31055]",30155
30114,30114,301,30115,"[""판금 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,167920,Tier6,1,"[30161,30461,30761,31061]",30161
30115,30115,301,30116,"[""판금 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,201520,Tier6,2,"[30162,30462,30762,31062]",30162
30116,30116,301,30117,"[""판금 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,241840,Tier6,3,"[30163,30463,30763,31063]",30163
30117,30117,301,30118,"[""판금 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,290160,Tier6,4,"[30164,30464,30764,31064]",30164
30118,30118,301,30119,"[""판금 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,348240,Tier6,5,"[30165,30465,30765,31065]",30165
30119,30119,301,30120,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,417920,Tier7,1,"[30171,30471,30771,31071]",30171
30120,30120,301,30121,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,501520,Tier7,2,"[30172,30472,30772,31072]",30172
30121,30121,301,30122,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,601760,Tier7,3,"[30173,30473,30773,31073]",30173
30122,30122,301,30123,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,722160,Tier7,4,"[30174,30474,30774,31074]",30174
30123,30123,301,30124,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,866640,Tier7,5,"[30175,30475,30775,31075]",30175
30124,30124,301,30125,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1039920,Tier7,6,"[30176,30476,30776,31076]",30176
30125,30125,301,30126,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1247920,Tier7,7,"[30177,30477,30777,31077]",30177
30126,30126,301,30127,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1497520,Tier7,8,"[30178,30478,30778,31078]",30178
30127,30127,301,,"[""판금 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1797040,Tier7,9,"[30179,30479,30779,31079]",30179
30201,30201,302,30202,"[""가죽 방어구를 장착하고 1티어 이상의 몬스터 처치""]",,0,Tier1,1,"[30211,30511,30811,31111]",30211
30202,30202,302,30203,"[""가죽 방어구를 장착하고 2티어 이상의 몬스터 처치""]",,3840,Tier2,1,"[30221,30521,30821,31121]",30221
30203,30203,302,30204,"[""가죽 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,9600,Tier3,1,"[30231,30531,30831,31131]",30231
30204,30204,302,30205,"[""가죽 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,16640,Tier3,2,"[30232,30532,30832,31132]",30232
30205,30205,302,30206,"[""가죽 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,28800,Tier3,3,"[30233,30533,30833,31133]",30233
30206,30206,302,30207,"[""가죽 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,36000,Tier4,1,"[30241,30541,30841,31141]",30241
30207,30207,302,30208,"[""가죽 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,44960,Tier4,2,"[30242,30542,30842,31142]",30242
30208,30208,302,30209,"[""가죽 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,56240,Tier4,3,"[30243,30543,30843,31143]",30243
30209,30209,302,30210,"[""가죽 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,67440,Tier5,1,"[30251,30551,30851,31151]",30251
30210,30210,302,30211,"[""가죽 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,80960,Tier5,2,"[30252,30552,30852,31152]",30252
30211,30211,302,30212,"[""가죽 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,97200,Tier5,3,"[30253,30553,30853,31153]",30253
30212,30212,302,30213,"[""가죽 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,116640,Tier5,4,"[30254,30554,30854,31154]",30254
30213,30213,302,30214,"[""가죽 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,139920,Tier5,5,"[30255,30555,30855,31155]",30255
30214,30214,302,30215,"[""가죽 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,167920,Tier6,1,"[30261,30561,30861,31161]",30261
30215,30215,302,30216,"[""가죽 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,201520,Tier6,2,"[30262,30562,30862,31162]",30262
30216,30216,302,30217,"[""가죽 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,241840,Tier6,3,"[30263,30563,30863,31163]",30263
30217,30217,302,30218,"[""가죽 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,290160,Tier6,4,"[30264,30564,30864,31164]",30264
30218,30218,302,30219,"[""가죽 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,348240,Tier6,5,"[30265,30565,30865,31165]",30265
30219,30219,302,30220,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,417920,Tier7,1,"[30271,30571,30871,31171]",30271
30220,30220,302,30221,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,501520,Tier7,2,"[30272,30572,30872,31172]",30272
30221,30221,302,30222,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,601760,Tier7,3,"[30273,30573,30873,31173]",30273
30222,30222,302,30223,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,722160,Tier7,4,"[30274,30574,30874,31174]",30274
30223,30223,302,30224,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,866640,Tier7,5,"[30275,30575,30875,31175]",30275
30224,30224,302,30225,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1039920,Tier7,6,"[30276,30576,30876,31176]",30276
30225,30225,302,30226,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1247920,Tier7,7,"[30277,30577,30877,31177]",30277
30226,30226,302,30227,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1497520,Tier7,8,"[30278,30578,30878,31178]",30278
30227,30227,302,,"[""가죽 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1797040,Tier7,9,"[30279,30579,30879,31179]",30279
30301,30301,303,30302,"[""천 방어구를 장착하고 1티어 이상의 몬스터 처치""]",,0,Tier1,1,"[30311,30611,30911,31211]",30311
30302,30302,303,30303,"[""천 방어구를 장착하고 2티어 이상의 몬스터 처치""]",,3840,Tier2,1,"[30321,30621,30921,31221]",30321
30303,30303,303,30304,"[""천 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,9600,Tier3,1,"[30331,30631,30931,31231]",30331
30304,30304,303,30305,"[""천 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,16640,Tier3,2,"[30332,30632,30932,31232]",30332
30305,30305,303,30306,"[""천 방어구를 장착하고 3티어 이상의 몬스터 처치""]",,28800,Tier3,3,"[30333,30633,30933,31233]",30333
30306,30306,303,30307,"[""천 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,36000,Tier4,1,"[30341,30641,30941,31241]",30341
30307,30307,303,30308,"[""천 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,44960,Tier4,2,"[30342,30642,30942,31242]",30342
30308,30308,303,30309,"[""천 방어구를 장착하고 4티어 이상의 몬스터 처치""]",,56240,Tier4,3,"[30343,30643,30943,31243]",30343
30309,30309,303,30310,"[""천 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,67440,Tier5,1,"[30351,30651,30951,31251]",30351
30310,30310,303,30311,"[""천 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,80960,Tier5,2,"[30352,30652,30952,31252]",30352
30311,30311,303,30312,"[""천 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,97200,Tier5,3,"[30353,30653,30953,31253]",30353
30312,30312,303,30313,"[""천 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,116640,Tier5,4,"[30354,30654,30954,31254]",30354
30313,30313,303,30314,"[""천 방어구를 장착하고 5티어 이상의 몬스터 처치""]",,139920,Tier5,5,"[30355,30655,30955,31255]",30355
30314,30314,303,30315,"[""천 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,167920,Tier6,1,"[30361,30661,30961,31261]",30361
30315,30315,303,30316,"[""천 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,201520,Tier6,2,"[30362,30662,30962,31262]",30362
30316,30316,303,30317,"[""천 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,241840,Tier6,3,"[30363,30663,30963,31263]",30363
30317,30317,303,30318,"[""천 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,290160,Tier6,4,"[30364,30664,30964,31264]",30364
30318,30318,303,30319,"[""천 방어구를 장착하고 6티어 이상의 몬스터 처치""]",,348240,Tier6,5,"[30365,30665,30965,31265]",30365
30319,30319,303,30320,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,417920,Tier7,1,"[30371,30671,30971,31271]",30371
30320,30320,303,30321,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,501520,Tier7,2,"[30372,30672,30972,31272]",30372
30321,30321,303,30322,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,601760,Tier7,3,"[30373,30673,30973,31273]",30373
30322,30322,303,30323,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,722160,Tier7,4,"[30374,30674,30974,31274]",30374
30323,30323,303,30324,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,866640,Tier7,5,"[30375,30675,30975,31275]",30375
30324,30324,303,30325,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1039920,Tier7,6,"[30376,30676,30976,31276]",30376
30325,30325,303,30326,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1247920,Tier7,7,"[30377,30677,30977,31277]",30377
30326,30326,303,30327,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1497520,Tier7,8,"[30378,30678,30978,31278]",30378
30327,30327,303,,"[""천 방어구를 장착하고 7티어 이상의 몬스터 처치""]",,1797040,Tier7,9,"[30379,30679,30979,31279]",30379
4010101,4010101,401,4010201,"[""1T 이상의 광맥 채광""]",,0,Tier1,1,[4010101],40001
4010201,4010201,401,4010301,"[""2T 이상의 광맥 채광""]",,480,Tier2,1,[4010201],40002
4010301,4010301,401,4010302,"[""3T 이상의 광맥 채광""]",,1200,Tier3,1,[4010301],40003
4010302,4010302,401,4010303,"[""3T 이상의 광맥 채광""]",,2400,Tier3,2,[4010302],40003
4010303,4010303,401,4010401,"[""3T 이상의 광맥 채광""]",,4000,Tier3,3,[4010303],40003
4010401,4010401,401,4010402,"[""4T 이상의 광맥 채광""]",,7200,Tier4,1,[4010401],40004
4010402,4010402,401,4010403,"[""4T 이상의 광맥 채광""]",,8600,Tier4,2,[4010402],40004
4010403,4010403,401,4010501,"[""4T 이상의 광맥 채광""]",,10400,Tier4,3,[4010403],40004
4010501,4010501,401,4010502,"[""5T 이상의 광맥 채광""]",,12400,Tier5,1,[4010501],40005
4010502,4010502,401,4010503,"[""5T 이상의 광맥 채광""]",,14900,Tier5,2,[4010502],40005
4010503,4010503,401,4010504,"[""5T 이상의 광맥 채광""]",,17900,Tier5,3,[4010503],40005
4010504,4010504,401,4010505,"[""5T 이상의 광맥 채광""]",,21500,Tier5,4,[4010503],40005
4010505,4010505,401,4010601,"[""5T 이상의 광맥 채광""]",,25800,Tier5,5,[4010503],40005
4010601,4010601,401,4010602,"[""6T 이상의 광맥 채광""]",,31000,Tier6,1,[4010601],40006
4010602,4010602,401,4010603,"[""6T 이상의 광맥 채광""]",,37200,Tier6,2,[4010602],40006
4010603,4010603,401,4010604,"[""6T 이상의 광맥 채광""]",,44600,Tier6,3,[4010603],40006
4010604,4010604,401,4010605,"[""6T 이상의 광맥 채광""]",,53500,Tier6,4,[4010603],40006
4010605,4010605,401,4010701,"[""6T 이상의 광맥 채광""]",,64200,Tier6,5,[4010603],40006
4010701,4010701,401,4010702,"[""7T 이상의 광맥 채광""]",,77000,Tier7,1,[4010701],40007
4010702,4010702,401,4010703,"[""7T 이상의 광맥 채광""]",,92400,Tier7,2,[4010702],40007
4010703,4010703,401,4010704,"[""7T 이상의 광맥 채광""]",,110900,Tier7,3,[4010703],40007
