OID,Cid,Milestone,Comment,ConsumeCategory,ConsumeKind,Value,ConsumeExclusive,CombatUsable,GlobalCooldownGroup,CooldownTime,CooldownGroup,CostLabor
44020001,44020001,Dev,,PetBox,PetEgg,51,Any,Any,300,0,0,0
44020002,44020002,Dev,,PetBox,PetEgg,45,Any,Any,300,0,0,0
44020003,44020003,Dev,,PetBox,PetEgg,46,Any,Any,300,0,0,0
44020004,44020004,Dev,,PetBox,PetEgg,47,Any,Any,300,0,0,0
44020005,44020005,Dev,,PetBox,PetEgg,48,Any,Any,300,0,0,0
44020006,44020006,Dev,,PetBox,PetEgg,49,Any,Any,300,0,0,0
49010001,49010001,Dev,,Cannonball,Potion,70000001,Any,Any,500,0,0,0
49010002,49010002,Dev,,Cannonball,Potion,70000002,Any,Any,500,0,0,0
49010003,49010003,Dev,,Cannonball,Potion,70000003,Any,Any,500,0,0,0
49010004,49010004,Dev,,UseSkill,Potion,71700100,Any,Any,12,0,0,0
49010005,49010005,Dev,,UseSkill,Potion,71700101,Any,Any,12,0,0,0
49010006,49010006,Dev,,UseSkill,Potion,71700102,Any,Any,12,0,0,0
49010007,49010007,Dev,,UseSkill,Potion,71700103,Any,Any,12,0,0,0
49010008,49010008,Dev,,UseSkill,Potion,71700104,Any,Any,12,0,0,0
49990001,49990001,Dev,,UseSkill,Potion,400001,Any,Any,0,0,0,0
49990002,49990002,Dev,,UseSkill,Potion,400101,Any,Any,0,0,0,0
49990003,49990003,Dev,,UseSkill,Potion,400151,Any,Any,0,0,0,0
65010001,65010001,Dev,,SpawnDoodad,Furniture,200001,Any,Any,200,0,0,0
65010002,65010002,Dev,,SpawnDoodad,Furniture,210001,Any,Any,200,0,0,0
65010003,65010003,Dev,,SpawnDoodad,Furniture,220001,Any,Any,200,0,0,0
65010004,65010004,Dev,,SpawnDoodad,Furniture,221001,Any,Any,200,0,0,0
65010005,65010005,Dev,,SpawnDoodad,Furniture,222001,Any,Any,200,0,0,0
65010006,65010006,Dev,,SpawnDoodad,Furniture,223001,Any,Any,200,0,0,0
65010007,65010007,Dev,,SpawnDoodad,Furniture,201001,Any,Any,200,0,0,0
69020001,69020001,Dev,,SpawnDoodad,Doodad,9001,Any,Any,200,0,0,10
80100002,80100002,Dev,,UseSkill,Food,20013,Any,NonCombat,600,20000,650,0
80100003,80100003,Dev,,UseSkill,Scroll,20018,Any,NonCombat,0,10000,0,0
80100004,80100004,Dev,,UseSkill,Scroll,20019,Any,NonCombat,0,10000,0,0
