OID,Cid,Milestone,Comment,DescName,Desc,Category,MasteryCid,Tier,Grade,MaxStack,BuyPrice,SellPrice,ItemRestrictionCid,BindingType,BindingRuleCids,SortGroup,SortOrder,IsBreak,ScheduleCid,WhereToGet,WhereToUse,IsNotify,IsBroadcast,EquipSound,RequiredMinLevel,RequiredMaxLevel
11010508,11010508,Dev,1T 단검(기본 제작)_SR,[임시] 1T 단검(기본 제작)_SR,,Equipment,203,Tier1,Common,1,0,100,1,Unbound,[22],1,911010508,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11010509,11010509,Dev,1T 활(기본 제작)_SR,[임시] 1T 활(기본 제작)_SR,,Equipment,204,Tier1,Common,1,0,100,1,Unbound,[22],1,911010509,FALSE,0,,,FALSE,FALSE,Bow,0,999
11010510,11010510,Dev,1T 지팡이(기본 제작)_SR,[임시] 1T 지팡이(기본 제작)_SR,,Equipment,205,Tier1,Common,1,0,100,1,Unbound,[22],1,911010510,FALSE,0,,,FALSE,FALSE,Staff,0,999
11020001,11020001,Dev,2T 장검(전리품 제작),[임시] 2T 장검(전리품 제작),,Equipment,0,Tier2,Common,1,0,500,1,Unbound,[22],1,811020001,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11020002,11020002,Dev,2T 양손검(전리품 제작),[임시] 2T 양손검(전리품 제작),,Equipment,202,Tier2,Common,1,0,500,1,Unbound,[22],1,811020002,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11020003,11020003,Dev,2T 단검(전리품 제작),[임시] 2T 단검(전리품 제작),,Equipment,203,Tier2,Common,1,0,500,1,Unbound,[22],1,811020003,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11020004,11020004,Dev,2T 활(전리품 제작),[임시] 2T 활(전리품 제작),,Equipment,204,Tier2,Common,1,0,500,1,Unbound,[22],1,811020004,FALSE,0,,,FALSE,FALSE,Bow,0,999
11020005,11020005,Dev,2T 지팡이(전리품 제작),[임시] 2T 지팡이(전리품 제작),,Equipment,205,Tier2,Common,1,0,500,1,Unbound,[22],1,811020005,FALSE,0,,,FALSE,FALSE,Staff,0,999
11020006,11020006,Dev,2T 장검(던전 코어),[임시] 2T 장검(던전 코어),,Equipment,0,Tier2,Common,1,0,500,1,Unbound,[22],1,811020006,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11020007,11020007,Dev,2T 양손검(던전 코어),[임시] 2T 양손검(던전 코어),,Equipment,202,Tier2,Common,1,0,500,1,Unbound,[22],1,811020007,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11020008,11020008,Dev,2T 단검(던전 코어),[임시] 2T 단검(던전 코어),,Equipment,203,Tier2,Common,1,0,500,1,Unbound,[22],1,811020008,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11020009,11020009,Dev,2T 활(던전 코어),[임시] 2T 활(던전 코어),,Equipment,204,Tier2,Common,1,0,500,1,Unbound,[22],1,811020009,FALSE,0,,,FALSE,FALSE,Bow,0,999
11020010,11020010,Dev,2T 지팡이(던전 코어),[임시] 2T 지팡이(던전 코어),,Equipment,205,Tier2,Common,1,0,500,1,Unbound,[22],1,811020010,FALSE,0,,,FALSE,FALSE,Staff,0,999
11020501,11020501,Dev,2T 장검(전리품 제작)_SR,[임시] 2T 장검(전리품 제작)_SR,,Equipment,0,Tier2,Common,1,0,500,1,Unbound,[22],1,811020501,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11020502,11020502,Dev,2T 양손검(전리품 제작)_SR,[임시] 2T 양손검(전리품 제작)_SR,,Equipment,202,Tier2,Common,1,0,500,1,Unbound,[22],1,811020502,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11020503,11020503,Dev,2T 단검(전리품 제작)_SR,[임시] 2T 단검(전리품 제작)_SR,,Equipment,203,Tier2,Common,1,0,500,1,Unbound,[22],1,811020503,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11020504,11020504,Dev,2T 활(전리품 제작)_SR,[임시] 2T 활(전리품 제작)_SR,,Equipment,204,Tier2,Common,1,0,500,1,Unbound,[22],1,811020504,FALSE,0,,,FALSE,FALSE,Bow,0,999
11020505,11020505,Dev,2T 지팡이(전리품 제작)_SR,[임시] 2T 지팡이(전리품 제작)_SR,,Equipment,205,Tier2,Common,1,0,500,1,Unbound,[22],1,811020505,FALSE,0,,,FALSE,FALSE,Staff,0,999
11020506,11020506,Dev,2T 장검(던전 코어)_SR,[임시] 2T 장검(던전 코어)_SR,,Equipment,0,Tier2,Common,1,0,500,1,Unbound,[22],1,811020506,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11020507,11020507,Dev,2T 양손검(던전 코어)_SR,[임시] 2T 양손검(던전 코어)_SR,,Equipment,202,Tier2,Common,1,0,500,1,Unbound,[22],1,811020507,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11020508,11020508,Dev,2T 단검(던전 코어)_SR,[임시] 2T 단검(던전 코어)_SR,,Equipment,203,Tier2,Common,1,0,500,1,Unbound,[22],1,811020508,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11020509,11020509,Dev,2T 활(던전 코어)_SR,[임시] 2T 활(던전 코어)_SR,,Equipment,204,Tier2,Common,1,0,500,1,Unbound,[22],1,811020509,FALSE,0,,,FALSE,FALSE,Bow,0,999
11020510,11020510,Dev,2T 지팡이(던전 코어)_SR,[임시] 2T 지팡이(던전 코어)_SR,,Equipment,205,Tier2,Common,1,0,500,1,Unbound,[22],1,811020510,FALSE,0,,,FALSE,FALSE,Staff,0,999
11030001,11030001,Dev,3T 장검(전리품 제작),[임시] 3T 장검(전리품 제작),,Equipment,0,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030001,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11030002,11030002,Dev,3T 양손검(전리품 제작),[임시] 3T 양손검(전리품 제작),,Equipment,202,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030002,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11030003,11030003,Dev,3T 단검(전리품 제작),[임시] 3T 단검(전리품 제작),,Equipment,203,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030003,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11030004,11030004,Dev,3T 활(전리품 제작),[임시] 3T 활(전리품 제작),,Equipment,204,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030004,FALSE,0,,,FALSE,FALSE,Bow,0,999
11030005,11030005,Dev,3T 지팡이(전리품 제작),[임시] 3T 지팡이(전리품 제작),,Equipment,205,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030005,FALSE,0,,,FALSE,FALSE,Staff,0,999
11030006,11030006,Dev,3T 장검(던전 코어),[임시] 3T 장검(던전 코어),,Equipment,0,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030006,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11030007,11030007,Dev,3T 양손검(던전 코어),[임시] 3T 양손검(던전 코어),,Equipment,202,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030007,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11030008,11030008,Dev,3T 단검(던전 코어),[임시] 3T 단검(던전 코어),,Equipment,203,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030008,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11030009,11030009,Dev,3T 활(던전 코어),[임시] 3T 활(던전 코어),,Equipment,204,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030009,FALSE,0,,,FALSE,FALSE,Bow,0,999
11030010,11030010,Dev,3T 지팡이(던전 코어),[임시] 3T 지팡이(던전 코어),,Equipment,205,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030010,FALSE,0,,,FALSE,FALSE,Staff,0,999
11030011,11030011,Dev,3T 장검(드랍),[임시] 3T 장검(드랍),,Equipment,0,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030011,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11030012,11030012,Dev,3T 양손검(드랍),[임시] 3T 양손검(드랍),,Equipment,202,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030012,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11030013,11030013,Dev,3T 단검(드랍),[임시] 3T 단검(드랍),,Equipment,203,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030013,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11030014,11030014,Dev,3T 활(드랍),[임시] 3T 활(드랍),,Equipment,204,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030014,FALSE,0,,,FALSE,FALSE,Bow,0,999
11030015,11030015,Dev,3T 지팡이(드랍),[임시] 3T 지팡이(드랍),,Equipment,205,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030015,FALSE,0,,,FALSE,FALSE,Staff,0,999
11030501,11030501,Dev,3T 장검(전리품 제작)_SR,[임시] 3T 장검(전리품 제작)_SR,,Equipment,0,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030501,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11030502,11030502,Dev,3T 양손검(전리품 제작)_SR,[임시] 3T 양손검(전리품 제작)_SR,,Equipment,202,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030502,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11030503,11030503,Dev,3T 단검(전리품 제작)_SR,[임시] 3T 단검(전리품 제작)_SR,,Equipment,203,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030503,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11030504,11030504,Dev,3T 활(전리품 제작)_SR,[임시] 3T 활(전리품 제작)_SR,,Equipment,204,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030504,FALSE,0,,,FALSE,FALSE,Bow,0,999
11030505,11030505,Dev,3T 지팡이(전리품 제작)_SR,[임시] 3T 지팡이(전리품 제작)_SR,,Equipment,205,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030505,FALSE,0,,,FALSE,FALSE,Staff,0,999
11030506,11030506,Dev,3T 장검(던전 코어)_SR,[임시] 3T 장검(던전 코어)_SR,,Equipment,0,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030506,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11030507,11030507,Dev,3T 양손검(던전 코어)_SR,[임시] 3T 양손검(던전 코어)_SR,,Equipment,202,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030507,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11030508,11030508,Dev,3T 단검(던전 코어)_SR,[임시] 3T 단검(던전 코어)_SR,,Equipment,203,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030508,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11030509,11030509,Dev,3T 활(던전 코어)_SR,[임시] 3T 활(던전 코어)_SR,,Equipment,204,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030509,FALSE,0,,,FALSE,FALSE,Bow,0,999
11030510,11030510,Dev,3T 지팡이(던전 코어)_SR,[임시] 3T 지팡이(던전 코어)_SR,,Equipment,205,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030510,FALSE,0,,,FALSE,FALSE,Staff,0,999
11030511,11030511,Dev,3T 장검(드랍)_SR,[임시] 3T 장검(드랍)_SR,,Equipment,0,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030511,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11030512,11030512,Dev,3T 양손검(드랍)_SR,[임시] 3T 양손검(드랍)_SR,,Equipment,202,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030512,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11030513,11030513,Dev,3T 단검(드랍)_SR,[임시] 3T 단검(드랍)_SR,,Equipment,203,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030513,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11030514,11030514,Dev,3T 활(드랍)_SR,[임시] 3T 활(드랍)_SR,,Equipment,204,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030514,FALSE,0,,,FALSE,FALSE,Bow,0,999
11030515,11030515,Dev,3T 지팡이(드랍)_SR,[임시] 3T 지팡이(드랍)_SR,,Equipment,205,Tier3,Common,1,0,2000,1,Unbound,[22],1,711030515,FALSE,0,,,FALSE,FALSE,Staff,0,999
11040001,11040001,Dev,신규 1티어 무기 장검,[임시] 신규 1티어 무기 장검,,Equipment,0,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040001,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11040002,11040002,Dev,신규 1티어 무기 양손검,[임시] 신규 1티어 무기 양손검,,Equipment,202,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040002,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11040003,11040003,Dev,신규 1티어 무기 단검,[임시] 신규 1티어 무기 단검,,Equipment,203,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040003,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11040004,11040004,Dev,신규 1티어 무기 활,[임시] 신규 1티어 무기 활,,Equipment,204,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040004,FALSE,0,,,FALSE,FALSE,Bow,0,999
11040005,11040005,Dev,신규 1티어 무기 지팡이,[임시] 신규 1티어 무기 지팡이,,Equipment,205,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040005,FALSE,0,,,FALSE,FALSE,Staff,0,999
11040006,11040006,Dev,KA5 테스트 1T 장검,[임시] KA5 테스트 1T 장검,,Equipment,0,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040006,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11040007,11040007,Dev,용의 심안,[임시] 용의 심안,,Equipment,202,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040007,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11040008,11040008,Dev,KA5 테스트 1T 단검,[임시] KA5 테스트 1T 단검,,Equipment,203,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040008,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11040009,11040009,Dev,황혼의 송곳니,[임시] 황혼의 송곳니,,Equipment,204,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040009,FALSE,0,,,FALSE,FALSE,Bow,0,999
11040010,11040010,Dev,운명의 가지,[임시] 운명의 가지,,Equipment,205,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040010,FALSE,0,,,FALSE,FALSE,Staff,0,999
11040011,11040011,Dev,KA5 테스트 1T 장검,[임시] KA5 테스트 1T 장검,,Equipment,0,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040011,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11040012,11040012,Dev,용의 심안,[임시] 용의 심안,,Equipment,202,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040012,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11040013,11040013,Dev,KA5 테스트 1T 단검,[임시] KA5 테스트 1T 단검,,Equipment,203,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040013,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11040014,11040014,Dev,황혼의 송곳니,[임시] 황혼의 송곳니,,Equipment,204,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040014,FALSE,0,,,FALSE,FALSE,Bow,0,999
11040015,11040015,Dev,운명의 가지,[임시] 운명의 가지,,Equipment,205,Tier4,Common,1,0,5000,1,Unbound,[22],1,611040015,FALSE,0,,,FALSE,FALSE,Staff,0,999
11050001,11050001,Dev,5T 장검,[임시] 5T 장검,,Equipment,0,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050001,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11050002,11050002,Dev,5T 양손검,[임시] 5T 양손검,,Equipment,202,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050002,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11050003,11050003,Dev,5T 단검,[임시] 5T 단검,,Equipment,203,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050003,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11050004,11050004,Dev,5T 활,[임시] 5T 활,,Equipment,204,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050004,FALSE,0,,,FALSE,FALSE,Bow,0,999
11050005,11050005,Dev,5T 지팡이,[임시] 5T 지팡이,,Equipment,205,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050005,FALSE,0,,,FALSE,FALSE,Staff,0,999
11050006,11050006,Dev,5T 장검,[임시] 5T 장검,,Equipment,0,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050006,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11050007,11050007,Dev,5T 양손검,[임시] 5T 양손검,,Equipment,202,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050007,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11050008,11050008,Dev,5T 단검,[임시] 5T 단검,,Equipment,203,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050008,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11050009,11050009,Dev,5T 활,[임시] 5T 활,,Equipment,204,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050009,FALSE,0,,,FALSE,FALSE,Bow,0,999
11050010,11050010,Dev,5T 지팡이,[임시] 5T 지팡이,,Equipment,205,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050010,FALSE,0,,,FALSE,FALSE,Staff,0,999
11050011,11050011,Dev,5T 장검,[임시] 5T 장검,,Equipment,0,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050011,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11050012,11050012,Dev,5T 양손검,[임시] 5T 양손검,,Equipment,202,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050012,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11050013,11050013,Dev,5T 단검,[임시] 5T 단검,,Equipment,203,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050013,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11050014,11050014,Dev,5T 활,[임시] 5T 활,,Equipment,204,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050014,FALSE,0,,,FALSE,FALSE,Bow,0,999
11050015,11050015,Dev,5T 지팡이,[임시] 5T 지팡이,,Equipment,205,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050015,FALSE,0,,,FALSE,FALSE,Staff,0,999
11050016,11050016,Dev,5T 장검,[임시] 5T 장검,,Equipment,0,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050016,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11050017,11050017,Dev,5T 양손검,[임시] 5T 양손검,,Equipment,202,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050017,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11050018,11050018,Dev,5T 단검,[임시] 5T 단검,,Equipment,203,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050018,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11050019,11050019,Dev,5T 활,[임시] 5T 활,,Equipment,204,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050019,FALSE,0,,,FALSE,FALSE,Bow,0,999
11050020,11050020,Dev,5T 지팡이,[임시] 5T 지팡이,,Equipment,205,Tier5,Common,1,0,10000,1,Unbound,[22],1,511050020,FALSE,0,,,FALSE,FALSE,Staff,0,999
11060001,11060001,Dev,KA5 테스트 2T 장검,[임시] KA5 테스트 2T 장검,,Equipment,0,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060001,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11060002,11060002,Dev,유해의 왕관,[임시] 유해의 왕관,,Equipment,202,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060002,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11060003,11060003,Dev,KA5 테스트 2T 단검,[임시] KA5 테스트 2T 단검,,Equipment,203,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060003,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11060004,11060004,Dev,은월의 포효,[임시] 은월의 포효,,Equipment,204,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060004,FALSE,0,,,FALSE,FALSE,Bow,0,999
11060005,11060005,Dev,새벽별의 이정표,[임시] 새벽별의 이정표,,Equipment,205,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060005,FALSE,0,,,FALSE,FALSE,Staff,0,999
11060006,11060006,Dev,KA5 테스트 2T 장검,[임시] KA5 테스트 2T 장검,,Equipment,0,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060006,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11060007,11060007,Dev,유해의 왕관,[임시] 유해의 왕관,,Equipment,202,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060007,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11060008,11060008,Dev,KA5 테스트 2T 단검,[임시] KA5 테스트 2T 단검,,Equipment,203,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060008,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11060009,11060009,Dev,은월의 포효,[임시] 은월의 포효,,Equipment,204,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060009,FALSE,0,,,FALSE,FALSE,Bow,0,999
11060010,11060010,Dev,새벽별의 이정표,[임시] 새벽별의 이정표,,Equipment,205,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060010,FALSE,0,,,FALSE,FALSE,Staff,0,999
11060011,11060011,Dev,KA5 테스트 2T 장검,[임시] KA5 테스트 2T 장검,,Equipment,0,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060011,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11060012,11060012,Dev,유해의 왕관,[임시] 유해의 왕관,,Equipment,202,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060012,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11060013,11060013,Dev,KA5 테스트 2T 단검,[임시] KA5 테스트 2T 단검,,Equipment,203,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060013,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11060014,11060014,Dev,은월의 포효,[임시] 은월의 포효,,Equipment,204,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060014,FALSE,0,,,FALSE,FALSE,Bow,0,999
11060015,11060015,Dev,새벽별의 이정표,[임시] 새벽별의 이정표,,Equipment,205,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060015,FALSE,0,,,FALSE,FALSE,Staff,0,999
11060016,11060016,Dev,KA5 테스트 2T 장검,[임시] KA5 테스트 2T 장검,,Equipment,0,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060016,FALSE,0,,,FALSE,FALSE,OnehandSword,0,999
11060017,11060017,Dev,유해의 왕관,[임시] 유해의 왕관,,Equipment,202,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060017,FALSE,0,,,FALSE,FALSE,TwohandSword,0,999
11060018,11060018,Dev,KA5 테스트 2T 단검,[임시] KA5 테스트 2T 단검,,Equipment,203,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060018,FALSE,0,,,FALSE,FALSE,Dagger,0,999
11060019,11060019,Dev,은월의 포효,[임시] 은월의 포효,,Equipment,204,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060019,FALSE,0,,,FALSE,FALSE,Bow,0,999
11060020,11060020,Dev,새벽별의 이정표,[임시] 새벽별의 이정표,,Equipment,205,Tier6,Common,1,0,20000,1,Unbound,[22],1,411060020,FALSE,0,,,FALSE,FALSE,Staff,0,999
