OID,Cid,Comment,StatModifiedCids,CrowdControls,IntervalSkillEffectId,Interval,ApplyEffectImmediately,ProcIds,AuraId,ShieldCid,AtApplyFXName,AtRemoveFXName,StateFXName,MountStateFXName,AnimName,AnimWeaponState,ApplyUiStringKey,ComboUi,PolymorphCid,ReplaceNormalSkillId
1009,1009,무쇠 주먹,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1010,1010,치명타,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1011,1011,떡대,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1012,1012,같은 곳만 공격,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1013,1013,그림자 속으로,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1014,1014,빠른손,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1015,1015,아전인수,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1016,1016,코끼리 사냥,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1017,1017,약자 멸시,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1018,1018,독수리처럼 사냥한다,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1019,1019,자연인,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1020,1020,필살기 부자,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1021,1021,치명적인 무기,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1022,1022,속사,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1023,1023,약점 포착,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1024,1024,마나 마법사,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1025,1025,폭발 마법사,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1026,1026,바람 마법사,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1027,1027,마나 순환,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1028,1028,펫 마법 전문가,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1029,1029,과부하,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1030,1030,화염 마법,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1031,1031,얼음 마법,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1032,1032,어둠 마법,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1033,1033,마법 재능,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1034,1034,마법 최적화,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1035,1035,마나 회복,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1036,1036,내 손안에 있다,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1037,1037,걸어다니는 성,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1038,1038,헤비급 펀치,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1039,1039,생명의 기운,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1040,1040,방패로 때리기,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1041,1041,두꺼운 피부,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1042,1042,안아프게 맞기,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1043,1043,반사 작용,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1044,1044,피부 재생,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1045,1045,의지,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1046,1046,빠른 회복,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1047,1047,정신 통일,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1048,1048,용기 북돋아 주기,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1049,1049,요청의 치유,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1050,1050,환자 케어,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1051,1051,치얼업 베이비,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1052,1052,팀 플레이,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1053,1053,물 한잔 해,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1054,1054,구르기 장인,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1055,1055,소화력,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1056,1056,달릴 준비,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1057,1057,가벼움,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1058,1058,재능,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1059,1059,요정,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
1060,1060,혈귀 중첩,,,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
1061,1061,혈귀 Full 중첩,,,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
1062,1062,와다다다다다 중첩,,,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
1063,1063,와다다다다다 중첩 없애는 숨김 버프,,,0,0,FALSE,,0,0,,,State_Stun,,,None,,FALSE,,
1065,1065,주먹,,,0,0,FALSE,,0,0,,,NS_S_Water_Wet_01,,,None,,FALSE,,
1066,1066,돌주먹,,,0,0,TRUE,,0,0,,,State_Stun,,,None,,FALSE,,
1067,1067,호전광 공격력 증가,,,0,0,FALSE,,0,0,,,State_Stun,,,None,,FALSE,,
5000,5000,함선 이니셜 SC,"[5008,5010,5011]",,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
7000,7000,변신 해제,,[NotAllowMount],7000,100,TRUE,,0,0,,,,,,None,,FALSE,,
7001,7001,바위게_변신,,"[Polymorph,NotAllowMount]",0,0,FALSE,,0,0,,,,,,None,,FALSE,7001,
7002,7002,악어 거북_변신,,"[Polymorph,NotAllowMount]",0,0,FALSE,,0,0,,,,,,None,,FALSE,7002,
7003,7003,오크전사_변신,,"[Polymorph,NotAllowMount]",0,0,FALSE,,0,0,,,,,,None,,FALSE,7003,
7004,7004,노란색 고양이 변신,,"[Polymorph,NotAllowMount]",0,0,FALSE,,0,0,State_Invincibility_Hit,,,,,None,,FALSE,7004,
7005,7005,오크 탐색꾼 변신,,"[Polymorph,NotAllowMount]",0,0,FALSE,,0,0,State_Invincibility_Hit,,,,,None,,FALSE,7005,
7006,7006,누이 신관 변신,,"[Polymorph,NotAllowMount]",0,0,FALSE,,0,0,State_Invincibility_Hit,,,,,Sheathe,,FALSE,7006,
8000,8000,구르기 태그,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10000,10000,보스 몬스터 카이팅 방지용,,[Stun],0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10010,10010,"몬카 세트_오크 카드, 오크 족장 카드, 스칼니토스 카드",,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10013,10013,"몬카 세트_오크 카드, 오크 족장 카드, 스칼니토스 카드",,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10015,10015,"몬카 세트_오크 카드, 오크 족장 카드, 스칼니토스 카드",,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10020,10020,"몬카 세트_놀 카드, 놀 우두머리 카드, 스칼니토스 카드",,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10023,10023,"몬카 세트_놀 카드, 놀 우두머리 카드, 스칼니토스 카드",,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10025,10025,"몬카 세트_놀 카드, 놀 우두머리 카드, 스칼니토스 카드",,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10030,10030,"몬카 세트_오크 카드, 오크 족장 카드, 누이안 카드",[70030],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10033,10033,"몬카 세트_오크 카드, 오크 족장 카드, 누이안 카드",[70033],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10035,10035,"몬카 세트_오크 카드, 오크 족장 카드, 누이안 카드",[70035],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10040,10040,"몬카 세트_놀 카드, 놀 우두머리 카드, 누이안 카드",[70040],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10043,10043,"몬카 세트_놀 카드, 놀 우두머리 카드, 누이안 카드",[70043],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10045,10045,"몬카 세트_놀 카드, 놀 우두머리 카드, 누이안 카드",[70045],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10050,10050,숲속 친구들 0,[70050],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10053,10053,숲속 친구들 3,[70053],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10055,10055,숲속 친구들 5,[70055],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10060,10060,어깨 동무 0,[70060],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10063,10063,어깨 동무 3,[70063],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10065,10065,어깨 동무 5,[70065],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10070,10070,3대 500 0,[70070],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10073,10073,3대 500 3,[70073],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10075,10075,3대 500 5,[70075],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10080,10080,이니스의 지배자 0,[70080],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10083,10083,이니스의 지배자 3,[70083],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10085,10085,이니스의 지배자 5,[70085],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10090,10090,악의 무리 0,[70090],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10093,10093,악의 무리 3,[70093],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10095,10095,악의 무리 5,[70095],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10100,10100,뼈다구와 멍멍이 0,[70100],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10103,10103,뼈다구와 멍멍이 3,[70103],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10105,10105,뼈다구와 멍멍이 5,[70105],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10110,10110,덩치들 0,[70110],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10113,10113,덩치들 3,[70113],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10115,10115,덩치들 5,[70115],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10120,10120,언데드 친구들 0,[70120],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10123,10123,언데드 친구들 3,[70123],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10125,10125,언데드 친구들 5,[70125],,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
10200,10200,누이 여신의 가호,"[603,604,605,606]",,0,0,FALSE,,0,0,,,Nu_Goddess_State_Buff_Loop,,,None,,FALSE,,
20001,20001,하급 체력 물약,,,20001,1000,TRUE,,0,0,Item_Potion_Drink_Sound,,,,,None,,FALSE,,
20002,20002,중급 체력 물약,,,20002,1000,TRUE,,0,0,Item_Potion_Drink_Sound,,,,,None,,FALSE,,
20003,20003,상급 체력 물약,,,20003,1000,TRUE,,0,0,Item_Potion_Drink_Sound,,,,,None,,FALSE,,
20004,20004,하급 마력 물약,,,20004,1000,TRUE,,0,0,Item_Potion_Drink_Sound,,,,,None,,FALSE,,
20005,20005,중급 마력 물약,,,20005,1000,TRUE,,0,0,Item_Potion_Drink_Sound,,,,,None,,FALSE,,
20006,20006,상급 마력 물약,,,20006,1000,TRUE,,0,0,Item_Potion_Drink_Sound,,,,,None,,FALSE,,
20009,20009,하급 과일차,[41010008],,0,0,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
20010,20010,하급 발효주,[41010009],,0,0,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
20011,20011,하급 수프,,,20011,1000,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
20012,20012,하급 샐러드,,,20012,1000,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
20013,20013,해산물 스튜,,,20013,1000,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
20014,20014,중급 과일차,[41030005],,0,0,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
20015,20015,중급 발효주,[41030006],,0,0,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
20016,20016,중급 수프,,,20016,1000,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
20017,20017,중급 샐러드,,,20017,1000,TRUE,,0,0,Item_Food_Eat_Sound,,,,,None,,FALSE,,
90004,90004,강인한 생명력,,,90004,1000,FALSE,,0,0,,,NS_State_RedOrb_Buff_01_Loop,NS_State_RedOrb_Buff_01_Loop,,None,,FALSE,,
90005,90005,샘솟는 마나샘,,,90005,1000,FALSE,,0,0,,,NS_State_BlueOrb_Buff_01_Loop,NS_State_BlueOrb_Buff_01_Loop,,None,,FALSE,,
90006,90006,강인한 생명력,,,0,0,FALSE,,0,0,,,NS_State_RedOrb_Buff_01_Loop,NS_State_RedOrb_Buff_01_Loop,,None,,FALSE,,
90007,90007,샘솟는 마나샘,,,0,0,FALSE,,0,0,,,NS_State_BlueOrb_Buff_01_Loop,NS_State_BlueOrb_Buff_01_Loop,,None,,FALSE,,
90001,90001,던전: 이즈나의 메아리 위치한 캐릭터,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,
90002,90002,야옹이 무한 변신 버프 테스트,,"[Polymorph,NotAllowMount]",0,0,FALSE,,0,0,State_Invincibility_Hit,,,,,None,,FALSE,7004,
90003,90003,이동 속도 증가 버프 테스트,[200006],,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
100001,100001,신비한 가시 나무 Lv.1,,,100001,1000,TRUE,,0,0,,,,,,None,,FALSE,,
100002,100002,신비한 가시 나무 Lv.2,,,100002,1000,TRUE,,0,0,,,,,,None,,FALSE,,
100003,100003,신비한 가시 나무 Lv.3,,,100003,1000,TRUE,,0,0,,,,,,None,,FALSE,,
100004,100004,신비한 가시 나무 Lv.4,,,100004,1000,TRUE,,0,0,,,,,,None,,FALSE,,
100005,100005,신비한 가시 나무 Lv.5,,,100005,1000,TRUE,,0,0,,,,,,None,,FALSE,,
100051,100051,가시 나무 덩쿨 Lv.1,,"[Floating,NotAllowMount]",0,0,FALSE,,0,0,,,,,,None,,FALSE,,
100052,100052,가시 나무 덩쿨 Lv.2,,"[Floating,NotAllowMount]",0,0,FALSE,,0,0,,,,,,None,,FALSE,,
100053,100053,가시 나무 덩쿨 Lv.3,,"[Floating,NotAllowMount]",0,0,FALSE,,0,0,,,,,,None,,FALSE,,
100054,100054,가시 나무 덩쿨 Lv.4,,"[Floating,NotAllowMount]",0,0,FALSE,,0,0,,,,,,None,,FALSE,,
100055,100055,가시 나무 덩쿨 Lv.5,,"[Floating,NotAllowMount]",0,0,FALSE,,0,0,,,,,,None,,FALSE,,
100100,100100,치유의 꽃잎,,,100101,500,TRUE,,0,0,,,NS_H_Flare_FlowerLeap,,,None,,FALSE,,
100101,100101,치유의 꽃잎 Lv.1,,,100101,500,TRUE,,0,0,,,NS_H_Flare_FlowerLeap,,,None,,FALSE,,
100102,100102,치유의 꽃잎 Lv.2,,,100102,500,TRUE,,0,0,,,NS_H_Flare_FlowerLeap,,,None,,FALSE,,
100103,100103,치유의 꽃잎 Lv.3,,,100103,500,TRUE,,0,0,,,NS_H_Flare_FlowerLeap,,,None,,FALSE,,
100104,100104,치유의 꽃잎 Lv.4,,,100104,500,TRUE,,0,0,,,NS_H_Flare_FlowerLeap,,,None,,FALSE,,
100105,100105,치유의 꽃잎 Lv.5,,,100105,500,TRUE,,0,0,,,NS_H_Flare_FlowerLeap,,,None,,FALSE,,
100150,100150,치유의 바람_정신 집중 Lv.1,,[NotAllowMount],0,0,FALSE,,100150,0,,,,,,None,,FALSE,,
100151,100151,치유의 바람_치유 Lv.1,,,100151,500,TRUE,,0,0,,,,,,None,,FALSE,,
100152,100152,치유의 바람_정신 집중 Lv.2,,[NotAllowMount],0,0,FALSE,,100152,0,,,,,,None,,FALSE,,
100153,100153,치유의 바람_치유 Lv.2,,,100153,500,TRUE,,0,0,,,,,,None,,FALSE,,
100154,100154,치유의 바람_정신 집중 Lv.3,,[NotAllowMount],0,0,FALSE,,100154,0,,,,,,None,,FALSE,,
100155,100155,치유의 바람_치유 Lv.3,,,100155,500,TRUE,,0,0,,,,,,None,,FALSE,,
100156,100156,치유의 바람_정신 집중 Lv.4,,[NotAllowMount],0,0,FALSE,,100156,0,,,,,,None,,FALSE,,
100157,100157,치유의 바람_치유 Lv.4,,,100157,500,TRUE,,0,0,,,,,,None,,FALSE,,
100158,100158,치유의 바람_정신 집중 Lv.5,,[NotAllowMount],0,0,FALSE,,100158,0,,,,,,None,,FALSE,,
100159,100159,치유의 바람_치유 Lv.5,,,100159,500,TRUE,,0,0,,,,,,None,,FALSE,,
100160,100160,치유의 바람_보호막 (공용),,,0,0,FALSE,,0,100160,,,,,,None,,FALSE,,
100201,100201,1티어 한손검 Q 스킬 Lv.1,,,0,0,FALSE,"[100201,100206]",0,0,,,,,,None,,FALSE,,
100206,100206,1티어 한손검 Q 스킬 실드 회복 Lv.1,,,0,0,FALSE,,0,100206,,,Nu_State_Shield_Buff_02_Loop,,,None,,FALSE,,
100301,100301,방패 투척(느려짐) Lv.1,[100301],,0,0,FALSE,,0,0,,,State_Slow,,,None,,FALSE,,
100401,100401,제압(느려짐) Lv.1,[100401],,0,0,FALSE,,0,0,,,State_Slow,,,None,,FALSE,,
100406,100406,제압(속박) Lv.1,,[Trap],0,0,FALSE,,,,,,NS_S_State_Ensnare207,,,None,,FALSE,,
100451,100451,2티어 한손검 W 스킬 Lv.1,[100451],,0,0,FALSE,[100451],0,0,Nu_TwoHand_AttackUp_Launch_01,,Nu_TwoHand_AttackUp_Buff_01_Loop,,,None,,FALSE,,
100501,100501,2티어 한손검 E 스킬 Lv.1,,[ActiveSkillDisable],100506,1000,TRUE,,0,0,,,FX_State_Silence_Petskill,,,None,,FALSE,,
100551,100551,2티어 한손검 R 스킬 Lv.1,[100551],,0,0,FALSE,,0,0,,,State_Slow,,,None,,FALSE,,
100601,100601,성스러운 일격_패시브 Lv.1,,,0,0,FALSE,[100601],0,0,,,,,,None,,FALSE,,
100651,100651,가호의 빛(방어력 상승) Lv.1,[100651],,0,0,FALSE,,0,0,NS_3T_1H_DefenseUp_Apply,NS_3T_1H_DefenseUp_State_End,NS_3T_1H_DefenseUp_State,,,None,,FALSE,,
100656,100656,가호의 빛(이동 속도 상승) Lv.1,[100656],,0,0,FALSE,,0,0,,NS_3T_1H_SpeedUp_State_End,NS_3T_1H_SpeedUp_State,,,None,,FALSE,,
100701,100701,폭주하는 광휘 Lv.1,,,0,0,FALSE,,0,0,,,,,,None,,FALSE,,100711
100706,100706,폭주하는 광휘_패시브_일반 공격 시 체력 회복 Lv.1,,,0,0,FALSE,[100706],0,0,,,,,,None,,FALSE,,
100750,100750,광휘의 심판(아군에게 부여하는 공용) Lv.1,,[Immunity],0,0,FALSE,,0,0,,NS_3T_1H_LightInvincibility_State_End,NS_3T_1H_LightInvincibility_State,,,None,,FALSE,,
100751,100751,광휘의 심판(본인) Lv.1,,[Immunity],0,0,FALSE,,0,0,,NS_3T_1H_LightInvincibility_State_End,NS_3T_1H_LightInvincibility_State,,,None,,FALSE,,
200000,200000,가벼운 손놀림_이동속도 증가 50% Lv.1,[200000],,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
200001,200001,가벼운 손놀림_결정타 Lv.1,,[NotAllowMount],0,0,FALSE,,0,0,,,NS_State_RageExp1,,Nu_F_Twohand_Co_Skill_01_MO,Draw,,FALSE,,
200002,200002,가벼운 손놀림_이동속도 증가 50% Lv.2,[200002],,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
200003,200003,가벼운 손놀림_결정타 Lv.2,,[NotAllowMount],0,0,FALSE,,0,0,,,NS_State_RageExp1,,Nu_F_Twohand_Co_Skill_01_MO,Draw,,FALSE,,
200004,200004,가벼운 손놀림_이동속도 증가 50% Lv.3,[200004],,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
200005,200005,가벼운 손놀림_결정타 Lv.3,,[NotAllowMount],0,0,FALSE,,0,0,,,NS_State_RageExp1,,Nu_F_Twohand_Co_Skill_01_MO,Draw,,FALSE,,
200006,200006,가벼운 손놀림_이동속도 증가 50% Lv.4,[200006],,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
200007,200007,가벼운 손놀림_결정타 Lv.4,,[NotAllowMount],0,0,FALSE,,0,0,,,NS_State_RageExp1,,Nu_F_Twohand_Co_Skill_01_MO,Draw,,FALSE,,
200008,200008,가벼운 손놀림_이동속도 증가 50% Lv.5,[200008],,0,0,FALSE,,0,0,,,NS_State_CombatBoost1,,,None,,FALSE,,
200009,200009,가벼운 손놀림_결정타 Lv.5,,[NotAllowMount],0,0,FALSE,,0,0,,,NS_State_RageExp1,,Nu_F_Twohand_Co_Skill_01_MO,Draw,,FALSE,,
200051,200051,대지 가르기(느려짐) Lv.1,[200051],,0,0,FALSE,,0,0,,,FX_State_Exhaust_Petskill,,,Draw,,FALSE,,
200052,200052,대지 가르기(느려짐) Lv.2,[200052],,0,0,FALSE,,0,0,,,FX_State_Exhaust_Petskill,,,Draw,,FALSE,,
200053,200053,대지 가르기(느려짐) Lv.3,[200053],,0,0,FALSE,,0,0,,,FX_State_Exhaust_Petskill,,,Draw,,FALSE,,
