OID,Cid,Comment,Category,Value,Level,LevelCategory,PrerequiredQuests,NoticeOrder,Block,ServerBlock
104,104,고요한 설원의 터전 2층,Dungeon,402,1,CurrentCharacter,,0,FALSE,TRUE
105,105,고요한 설원의 터전 3층,Dungeon,403,1,CurrentCharacter,,0,FALSE,TRUE
106,106,고요한 설원의 터전 4층,Dungeon,404,1,CurrentCharacter,,0,FALSE,TRUE
107,107,고요한 설원의 터전 5층,Dungeon,405,1,CurrentCharacter,,0,FALSE,TRUE
108,108,고요한 설원의 터전 6층,Dungeon,406,1,CurrentCharacter,,0,FALSE,TRUE
110,110,네베의 메아리,Dungeon,310,1,CurrentCharacter,,1,FALSE,TRUE
112,112,연합,Union,0,1,Guild,,0,FALSE,TRUE
113,113,대해적의 안식처,Dungeon,501,1,CurrentCharacter,,0,FALSE,TRUE
114,114,아르칸스의 보물섬,Dungeon,502,1,CurrentCharacter,,0,FALSE,TRUE
115,115,길드 창고 관리인 NPC,GuildStorage,0,1,Guild,,0,FALSE,TRUE
116,116,아르칸스 컨텐츠 발생,TreasureIsland,0,1,CurrentCharacter,,0,FALSE,TRUE
201,201,렐름 공성 외성(테스트용),Dungeon,2002,1,CurrentCharacter,,0,FALSE,TRUE
202,202,렐름 공성 내성(테스트용),Dungeon,2003,1,CurrentCharacter,,0,FALSE,TRUE
203,203,렐름 공성 해상(테스트용),Dungeon,2000,1,CurrentCharacter,,0,FALSE,TRUE
8000,8000,12월 바다,Dungeon,3000,1,CurrentCharacter,,30,FALSE,TRUE
