OID,Cid,Comment,LootDataCids,Proportions
116,116,6T_몬스터카드 합성,[405000],[100]
117,117,7T_몬스터카드 합성,[405000],[100]
401,401,1티어 양손검 & 판금 방어구 상자,[401],[100]
402,402,1티어 활 & 가죽 방어구 상자,[402],[100]
403,403,1티어 지팡이 & 천 방어구 상자,[403],[100]
405,405,소모품 상자,[405],[100]
406,406,스칼니토스 상자,[406],[100]
420,420,제작대 상자,[420],[100]
421,421,제작대 상자(구성품),"[300000,300006,300001,9300002,9300003,9300004]","[100,100,100,100,100,100]"
422,422,러시아 테스트용 무기 상자,[101],[100]
423,423,러시아 테스트용 방어구 상자,[102],[100]
501,501,4티어 펫 상자,[501],[100]
502,502,5티어 펫 상자,[502],[100]
531,531,초보자의 골드 가방,[531],[100]
541,541,전문가의 골드 가방,[541],[100]
551,551,대가의 골드 골드 가방,[551],[100]
611,611,1티 장비 상자,[611],[100]
612,612,1티 장비 상자,[612],[100]
613,613,1티 장비 상자,[613],[100]
614,614,1티 장비 상자,[614],[100]
621,621,2티 장비 상자,[621],[100]
622,622,2티 장비 상자,[622],[100]
623,623,2티 장비 상자,[623],[100]
624,624,2티 장비 상자,[624],[100]
631,631,3티 장비 상자,[631],[100]
632,632,3티 장비 상자,[632],[100]
633,633,3티 장비 상자,[633],[100]
634,634,3티 장비 상자,[634],[100]
635,635,3티 장비 상자,[635],[100]
641,641,4티 장비 상자,[641],[100]
642,642,4티 장비 상자,[642],[100]
643,643,4티 장비 상자,[643],[100]
644,644,4티 장비 상자,[644],[100]
645,645,4티 장비 상자,[645],[100]
651,651,5티 장비 상자,[651],[100]
652,652,5티 장비 상자,[652],[100]
653,653,5티 장비 상자,[653],[100]
654,654,5티 장비 상자,[654],[100]
655,655,5티 장비 상자,[655],[100]
661,661,6티 장비 상자,[661],[100]
662,662,6티 장비 상자,[662],[100]
663,663,6티 장비 상자,[663],[100]
664,664,6티 장비 상자,[664],[100]
665,665,6티 장비 상자,[665],[100]
671,671,7티 장비 상자,[671],[100]
672,672,7티 장비 상자,[672],[100]
673,673,7티 장비 상자,[673],[100]
674,674,7티 장비 상자,[674],[100]
675,675,7티 장비 상자,[675],[100]
901,901,등짐 테스트,[901],[100]
902,902,오우거 드랍 등짐,[902],[100]
903,903,여신의 축복 구슬,[903],[100]
904,904,강인한 생명력 구슬,[904],[100]
905,905,테스트_등짐 생성 후 획득,[905],[100]
906,906,테스트_등짐 필드 생성,[906],[100]
907,907,보스 소환 영역,[907],[100]
908,908,공격 속도 구슬,[908],[100]
909,909,이동 속도 구슬,[909],[100]
910,910,시전 감소 구슬,[910],[100]
911,911,몬스터 처치 후 뒷벽 파괴 FS,[911],[100]
912,912,샘솟는 마나샘 구슬,[912],[100]
913,913,몬스터 스폰,[913],[100]
914,914,부관 처치 시 해골 스폰,[914],[100]
915,915,강인한 생명의 원천,[915],[100]
916,916,샘솟는 마나의 원천,[916],[100]
917,917,분노의 잔재 보물 상자,[917],[100]
918,918,격노의 잔재 보물 상자,[918],[100]
919,919,3m 원형 범위 회복 구슬,[919],[100]
920,920,5m 지속 회복 구슬,[920],[100]
1000,1000,주석 주괴,[1000],[100]
1001,1001,2T 피혁,[1001],[100]
1002,1002,아마꽃 천,[1002],[100]
1003,1003,단풍나무 목재,[1003],[100]
1100,1100,아키움 씨앗,[110],[100]
1110,1110,1T 광석,[111],[100]
1120,1120,2T 광석,[112],[100]
1130,1130,3T 광석,[113],[100]
1140,1140,4T 광석,[114],[100]
1150,1150,5T 광석,[115],[100]
1160,1160,6T 광석,[116],[100]
1170,1170,7T 광석,[117],[100]
1200,1200,하급 허브,[190],[100]
1201,1201,중급 허브,[191],[100]
1202,1202,상급 허브,[192],[100]
1203,1203,특급 허브,[193],[100]
1210,1210,1T 섬유,[121],[100]
1220,1220,2T 섬유,[122],[100]
1230,1230,3T 섬유,[123],[100]
1240,1240,4T 섬유,[124],[100]
1250,1250,5T 섬유,[125],[100]
1260,1260,6T 섬유,[126],[100]
1270,1270,7T 섬유,[127],[100]
1300,1300,하급 열매,[194],[100]
1301,1301,중급 열매,[195],[100]
1302,1302,상급 열매,[196],[100]
1303,1303,특급 열매,[197],[100]
1310,1310,1T 통나무,[131],[100]
1320,1320,2T 통나무,[132],[100]
1330,1330,3T 통나무,[133],[100]
1340,1340,4T 통나무,[134],[100]
1350,1350,5T 통나무,[135],[100]
1360,1360,6T 통나무,[136],[100]
1370,1370,7T 통나무,[137],[100]
1400,1400,하급 고기,[198],[100]
1401,1401,중급 고기,[199],[100]
1402,1402,상급 고기,[200],[100]
1403,1403,특급 고기,[201],[100]
1410,1410,1T 통가죽,[171],[100]
1420,1420,2T 통가죽,[172],[100]
1430,1430,3T 통가죽,[173],[100]
1440,1440,4T 통가죽,[174],[100]
1450,1450,5T 통가죽,[175],[100]
1460,1460,6T 통가죽,[176],[100]
1470,1470,7T 통가죽,[177],[100]
1500,1500,일회용 락픽,[1500],[100]
1501,1501,장식된 열쇠,[1501],[100]
2011,2011,무기 강화 주문서,[2001],[100]
2012,2012,방어구 강화 주문서,[2002],[100]
2113,2113,1T 던전 중간 보스 드랍(무기 강화 주문서),[2001],[100]
2114,2114,1T 던전 중간 보스 드랍(방어구 강화 주문서),[2002],[100]
2123,2123,2T 던전 중간 보스 드랍(무기 강화 주문서),[2001],[100]
2124,2124,2T 던전 중간 보스 드랍(방어구 강화 주문서),[2002],[100]
2125,2125,2T 던전 중간 보스 드랍(키),[1503],[100]
2132,2132,3T 던전 중간 보스 드랍(몬스터 카드),[2006],[100]
2133,2133,3T 던전 중간 보스 드랍(무기 강화 주문서),[2001],[100]
2134,2134,3T 던전 중간 보스 드랍(방어구 강화 주문서),[2002],[100]
2143,2143,4T 던전 중간 보스 드랍(무기 강화 주문서),[2001],[100]
2144,2144,4T 던전 중간 보스 드랍(방어구 강화 주문서),[2002],[100]
2153,2153,5T 던전 중간 보스 드랍(무기 강화 주문서),[2001],[100]
2154,2154,5T 던전 중간 보스 드랍(방어구 강화 주문서),[2002],[100]
2163,2163,6T 던전 중간 보스 드랍(무기 강화 주문서),[2001],[100]
2164,2164,6T 던전 중간 보스 드랍(방어구 강화 주문서),[2002],[100]
2167,2167,6T 파티 던전 중간 보스 드랍(무기 강화 주문서),[2001],[100]
2168,2168,6T 파티 던전 중간 보스 드랍(방어구 강화 주문서),[2002],[100]
2173,2173,7T 던전 중간 보스 드랍(무기 강화 주문서),[2001],[100]
2174,2174,7T 던전 중간 보스 드랍(방어구 강화 주문서),[2002],[100]
2175,2175,7T 던전 중간 보스 드랍(키),[1503],[100]
2212,2212,1T 던전 보스 드랍(몬스터 카드),[2010],[100]
2213,2213,1T 던전 보스 드랍(보물 상자 키),[1502],[100]
2222,2222,2T 던전 보스 드랍(몬스터 카드),[2010],[100]
2223,2223,2T 던전 보스 드랍(보물 상자 키),[1502],[100]
2232,2232,3T 던전 보스 드랍(몬스터 카드),[2010],[100]
2233,2233,3T 던전 보스 드랍(보물 상자 키),[1502],[100]
2242,2242,4T 던전 보스 드랍(몬스터 카드),[2010],[100]
2243,2243,4T 던전 보스 드랍(보물 상자 키),[1502],[100]
2252,2252,5T 던전 보스 드랍(몬스터 카드),[2010],[100]
2253,2253,5T 던전 보스 드랍(보물 상자 키),[1502],[100]
2262,2262,6T 던전 보스 드랍(몬스터 카드),[2009],[100]
2263,2263,6T 던전 보스 드랍(보물 상자 키),[1502],[100]
2272,2272,7T 던전 보스 드랍(몬스터 카드),[2013],[100]
2273,2273,7T 던전 보스 드랍(보물 상자 키),[1502],[100]
2274,2274,7T 던전 보스 드랍(몬스터 카드),[2013],[100]
2275,2275,7T 던전 보스 드랍(보물 상자 키),[1502],[100]
3021,3021,2T 보스 보물 상자 무기 코어 재료,[3021],[100]
3022,3022,2T 보스 보물 상자 방어구 코어 재료,[3022],[100]
3031,3031,3T 보스 보물 상자 무기 코어 재료,[3031],[100]
3032,3032,3T 보스 보물 상자 방어구 코어 재료,[3032],[100]
3041,3041,4T 보스 보물 상자 무기 코어 재료,[3041],[100]
3042,3042,4T 보스 보물 상자 방어구 코어 재료,[3042],[100]
3051,3051,5T 보스 보물 상자 무기 코어 재료,[3051],[100]
3052,3052,5T 보스 보물 상자 방어구 코어 재료,[3052],[100]
3061,3061,6T 보스 보물 상자 무기 코어 재료,[3061],[100]
3062,3062,6T 보스 보물 상자 방어구 코어 재료,[3062],[100]
3071,3071,7T 보스 보물 상자 무기 코어 재료,[3071],[100]
3072,3072,7T 보스 보물 상자 방어구 코어 재료,[3072],[100]
4001,4001,하급 체력 물약,[4001],[100]
4002,4002,하급 마력 물약,[4002],[100]
4011,4011,중급 체력 물약,[4011],[100]
4012,4012,중급 마력 물약,[4012],[100]
4021,4021,상급 체력 물약,[4021],[100]
4022,4022,상급 마력 물약,[4022],[100]
4051,4051,소모품 상자 - 하급 체력 물약,[4051],[100]
4052,4052,소모품 상자 - 하급 마력 물약,[4052],[100]
4053,4053,소모품 상자 - 과일차,[4053],[100]
4054,4054,소모품 상자 - 발효주,[4054],[100]
4055,4055,소모품 상자 - 야채 수프,[4055],[100]
4056,4056,소모품 상자 - 샐러드,[4056],[100]
4101,4101,놀 우두머리 토벌 상자,[4101],[100]
4102,4102,오크 족장 토벌 상자,[4102],[100]
4103,4103,도바비언 지휘관 토벌 상자,[4103],[100]
4104,4104,분노한 오우거 토벌 상자,[4104],[100]
4105,4105,봉인된 심연의 상자,[4105],[100]
5007,5007,도바비안 카드,[2009],[100]
5008,5008,오우거 카드,[2010],[100]
5009,5009,스켈레톤 카드,[2011],[100]
5010,5010,팬텀 카드,[2012],[100]
5011,5011,말라카돈 카드,[2013],[100]
10211,10211,1티 무기 상자,[10211],[100]
10212,10212,1티 무기 상자,[10212],[100]
10213,10213,1티 무기 상자,[10213],[100]
10214,10214,1티 무기 상자,[10214],[100]
10215,10215,1티 무기 상자,[10215],[100]
10216,10216,1티 무기 상자,[10216],[100]
10221,10221,2티 무기 상자,[10221],[100]
10222,10222,2티 무기 상자,[10222],[100]
10223,10223,2티 무기 상자,[10223],[100]
10224,10224,2티 무기 상자,[10224],[100]
10225,10225,2티 무기 상자,[10225],[100]
10226,10226,2티 무기 상자,[10226],[100]
10231,10231,3티 무기 상자,[10231],[100]
10232,10232,3티 무기 상자,[10232],[100]
10233,10233,3티 무기 상자,[10233],[100]
10234,10234,3티 무기 상자,[10234],[100]
10235,10235,3티 무기 상자,[10235],[100]
10236,10236,3티 무기 상자,[10236],[100]
10241,10241,4티 무기 상자,[10241],[100]
10242,10242,4티 무기 상자,[10242],[100]
10243,10243,4티 무기 상자,[10243],[100]
10244,10244,4티 무기 상자,[10244],[100]
10245,10245,4티 무기 상자,[10245],[100]
10246,10246,4티 무기 상자,[10246],[100]
10251,10251,5티 무기 상자,[10251],[100]
10252,10252,5티 무기 상자,[10252],[100]
10253,10253,5티 무기 상자,[10253],[100]
10254,10254,5티 무기 상자,[10254],[100]
10255,10255,5티 무기 상자,[10255],[100]
10256,10256,5티 무기 상자,[10256],[100]
10261,10261,6티 무기 상자,[10261],[100]
10262,10262,6티 무기 상자,[10262],[100]
10263,10263,6티 무기 상자,[10263],[100]
10264,10264,6티 무기 상자,[10264],[100]
10265,10265,6티 무기 상자,[10265],[100]
10266,10266,6티 무기 상자,[10266],[100]
10271,10271,7티 무기 상자,[10271],[100]
10272,10272,7티 무기 상자,[10272],[100]
10273,10273,7티 무기 상자,[10273],[100]
10274,10274,7티 무기 상자,[10274],[100]
10275,10275,7티 무기 상자,[10275],[100]
10276,10276,7티 무기 상자,[10276],[100]
10311,10311,1티 판금 방어구 상자,[10311],[100]
10312,10312,1티 판금 방어구 상자,[10312],[100]
10313,10313,1티 판금 방어구 상자,[10313],[100]
10321,10321,2티 판금 방어구 상자,[10321],[100]
10322,10322,2티 판금 방어구 상자,[10322],[100]
10323,10323,2티 판금 방어구 상자,[10323],[100]
10331,10331,3티 판금 방어구 상자,[10331],[100]
10332,10332,3티 판금 방어구 상자,[10332],[100]
10333,10333,3티 판금 방어구 상자,[10333],[100]
10341,10341,4티 판금 방어구 상자,[10341],[100]
10342,10342,4티 판금 방어구 상자,[10342],[100]
10343,10343,4티 판금 방어구 상자,[10343],[100]
10351,10351,5티 판금 방어구 상자,[10351],[100]
10352,10352,5티 판금 방어구 상자,[10352],[100]
10353,10353,5티 판금 방어구 상자,[10353],[100]
10361,10361,6티 판금 방어구 상자,[10361],[100]
10362,10362,6티 판금 방어구 상자,[10362],[100]
10363,10363,6티 판금 방어구 상자,[10363],[100]
10371,10371,7티 판금 방어구 상자,[10371],[100]
10372,10372,7티 판금 방어구 상자,[10372],[100]
10373,10373,7티 판금 방어구 상자,[10373],[100]
10411,10411,1티 가죽 방어구 상자,[10411],[100]
10412,10412,1티 가죽 방어구 상자,[10412],[100]
10413,10413,1티 가죽 방어구 상자,[10413],[100]
10421,10421,2티 가죽 방어구 상자,[10421],[100]
10422,10422,2티 가죽 방어구 상자,[10422],[100]
10423,10423,2티 가죽 방어구 상자,[10423],[100]
10431,10431,3티 가죽 방어구 상자,[10431],[100]
10432,10432,3티 가죽 방어구 상자,[10432],[100]
10433,10433,3티 가죽 방어구 상자,[10433],[100]
10441,10441,4티 가죽 방어구 상자,[10441],[100]
10442,10442,4티 가죽 방어구 상자,[10442],[100]
10443,10443,4티 가죽 방어구 상자,[10443],[100]
10451,10451,5티 가죽 방어구 상자,[10451],[100]
10452,10452,5티 가죽 방어구 상자,[10452],[100]
10453,10453,5티 가죽 방어구 상자,[10453],[100]
10461,10461,6티 가죽 방어구 상자,[10461],[100]
10462,10462,6티 가죽 방어구 상자,[10462],[100]
10463,10463,6티 가죽 방어구 상자,[10463],[100]
10471,10471,7티 가죽 방어구 상자,[10471],[100]
10472,10472,7티 가죽 방어구 상자,[10472],[100]
10473,10473,7티 가죽 방어구 상자,[10473],[100]
10511,10511,1티 천 방어구 상자,[10511],[100]
10512,10512,1티 천 방어구 상자,[10512],[100]
10513,10513,1티 천 방어구 상자,[10513],[100]
10521,10521,2티 천 방어구 상자,[10521],[100]
10522,10522,2티 천 방어구 상자,[10522],[100]
10523,10523,2티 천 방어구 상자,[10523],[100]
10531,10531,3티 천 방어구 상자,[10531],[100]
10532,10532,3티 천 방어구 상자,[10532],[100]
10533,10533,3티 천 방어구 상자,[10533],[100]
10541,10541,4티 천 방어구 상자,[10541],[100]
10542,10542,4티 천 방어구 상자,[10542],[100]
10543,10543,4티 천 방어구 상자,[10543],[100]
10551,10551,5티 천 방어구 상자,[10551],[100]
10552,10552,5티 천 방어구 상자,[10552],[100]
10553,10553,5티 천 방어구 상자,[10553],[100]
10561,10561,6티 천 방어구 상자,[10561],[100]
10562,10562,6티 천 방어구 상자,[10562],[100]
10563,10563,6티 천 방어구 상자,[10563],[100]
10571,10571,7티 천 방어구 상자,[10571],[100]
10572,10572,7티 천 방어구 상자,[10572],[100]
10573,10573,7티 천 방어구 상자,[10573],[100]
10631,10631,3티 장신구 상자,[10631],[100]
10632,10632,3티 장신구 상자,[10632],[100]
10633,10633,3티 장신구 상자,[10633],[100]
10641,10641,4티 장신구 상자,[10641],[100]
10642,10642,4티 장신구 상자,[10642],[100]
10643,10643,4티 장신구 상자,[10643],[100]
10651,10651,5티 장신구 상자,[10651],[100]
10652,10652,5티 장신구 상자,[10652],[100]
10653,10653,5티 장신구 상자,[10653],[100]
10661,10661,6티 장신구 상자,[10661],[100]
10662,10662,6티 장신구 상자,[10662],[100]
10663,10663,6티 장신구 상자,[10663],[100]
10671,10671,7티 장신구 상자,[10671],[100]
10672,10672,7티 장신구 상자,[10672],[100]
10673,10673,7티 장신구 상자,[10673],[100]
11001,11001,3티 장신구 상자 드랍,[11001],[100]
20001,20001,하급 체력 물약,[20001],[100]
20002,20002,중급 체력 물약,[20002],[100]
20003,20003,상급 체력 물약,[20003],[100]
20004,20004,하급 마력 물약,[20004],[100]
20005,20005,중급 마력 물약,[20005],[100]
20006,20006,상급 마력 물약,[20006],[100]
20101,20101,행운의 주사위 1개 -몬스터 드랍,[20101],[100]
39001,39001,스칼니토스_보상 ,[39001],[100]
39002,39002,말카바돈_보상,[39002],[100]
40003,40003,아키움 결정,[40003],[100]
40004,40004,영혼 정수,[40004],[100]
40005,40005,고대 주화,[40005],[100]
50201,50201,고급 보물 상자,"[50008,50009,50010]","[33,33,34]"
50301,50301,희귀 보물 상자,"[50014,50015,50016]","[33,33,34]"
50401,50401,무기 제작대,[110212],[100]
50402,50402,무기 제작대,[110214],[100]
50403,50403,무기 제작대,[110215],[100]
50501,50501,방어구 제작대,[120211],[100]
50502,50502,방어구 제작대,[120212],[100]
50503,50503,방어구 제작대,[120213],[100]
50504,50504,방어구 제작대,[120214],[100]
50505,50505,방어구 제작대,[120215],[100]
50506,50506,방어구 제작대,[120216],[100]
50507,50507,방어구 제작대,[120217],[100]
50508,50508,방어구 제작대,[120218],[100]
50509,50509,방어구 제작대,[120219],[100]
91003,91003,테스트용_2티어 장비 상자,[91003],[100]
98001,98001,Hero_몬스터 드랍 상자,[98001],[100]
98002,98002,상급 치유 물약 지급,[98002],[100]
98003,98003,중급 치유 물약 지급,[98003],[100]
98004,98004,하급 치유 물약 지급,[98004],[100]
99923,99923,야채 수프,[99923],[100]
99924,99924,샐러드,[99924],[100]
99925,99925,발효주,[99925],[100]
99926,99926,과일차,[99926],[100]
99927,99927,음식 제작대 - 야채 수프 3개,[99927],[100]
99928,99928,음식 제작대 - 샐러드 3개,[99928],[100]
99929,99929,음료 제작대 - 과일차 2개,[99929],[100]
99930,99930,음료 제작대 - 발효주 2개,[99930],[100]
110401,110401,1티어 장비 상자,[110401],[100]
110402,110402,1티어 장비 상자,[110402],[100]
110403,110403,1티어 장비 상자,[110403],[100]
110404,110404,1티어 장비 상자,[110404],[100]
110405,110405,1티어 장비 상자,[110405],[100]
110501,110501,2티어 장비 상자,[110211],[100]
110502,110502,2티어 장비 상자,[110212],[100]
110503,110503,2티어 장비 상자,[110213],[100]
110504,110504,2티어 장비 상자,[110214],[100]
110505,110505,2티어 장비 상자,[110215],[100]
110601,110601,3티어 장비 상자,[110311],[100]
110602,110602,3티어 장비 상자,[110312],[100]
110603,110603,3티어 장비 상자,[110313],[100]
110604,110604,3티어 장비 상자,[110314],[100]
110605,110605,3티어 장비 상자,[110315],[100]
120401,120401,1티어 장비 상자,[120111],[100]
120402,120402,1티어 장비 상자,[120112],[100]
120403,120403,1티어 장비 상자,[120113],[100]
120404,120404,1티어 장비 상자,[120114],[100]
120405,120405,1티어 장비 상자,[120115],[100]
120406,120406,1티어 장비 상자,[120116],[100]
120407,120407,1티어 장비 상자,[120117],[100]
120408,120408,1티어 장비 상자,[120118],[100]
120409,120409,1티어 장비 상자,[120119],[100]
120501,120501,2티어 장비 상자,[120211],[100]
120502,120502,2티어 장비 상자,[120212],[100]
120503,120503,2티어 장비 상자,[120213],[100]
120504,120504,2티어 장비 상자,[120214],[100]
120505,120505,2티어 장비 상자,[120215],[100]
120506,120506,2티어 장비 상자,[120216],[100]
120507,120507,2티어 장비 상자,[120217],[100]
120508,120508,2티어 장비 상자,[120218],[100]
120509,120509,2티어 장비 상자,[120219],[100]
120510,120510,스칼니토스 판금 투구,[120520],[100]
120511,120511,스칼니토스 판금 갑옷,[120521],[100]
120512,120512,스칼니토스 판금 신발,[120522],[100]
120601,120601,3티어 장비 상자,[120311],[100]
120602,120602,3티어 장비 상자,[120312],[100]
120603,120603,3티어 장비 상자,[120313],[100]
120604,120604,3티어 장비 상자,[120314],[100]
120605,120605,3티어 장비 상자,[120315],[100]
120606,120606,3티어 장비 상자,[120316],[100]
120607,120607,3티어 장비 상자,[120317],[100]
120608,120608,3티어 장비 상자,[120318],[100]
120609,120609,3티어 장비 상자,[120319],[100]
405000,405000,스칼니토스 카드,[405000],[100]
405001,405001,누이안 카드,[405001],[100]
415000,415000,오크 카드,[415000],[100]
415001,415001,오크 대장 카드,[415001],[100]
424000,424000,놀 카드,[424000],[100]
424001,424001,놀 대장 카드,[424001],[100]
424002,424002,물 정령 카드,[424002],[100]
424003,424003,나무 정령 카드,[424003],[100]
424004,424004,바위 정령 카드,[424004],[100]
424005,424005,이끼 정령 카드,[424005],[100]
424006,424006,스켈레톤 카드,[424006],[100]
424007,424007,팬텀 카드,[424007],[100]
424008,424008,말라카돈 카드,[424008],[100]
500000,500000,놀의 인장*1,[500000],[100]
500001,500001,2티 몬스터 무기 전리품*1,[500001],[100]
500002,500002,2티 몬스터 방어구 전리품*1,[500002],[100]
500003,500003,3티 몬스터 무기 전리품*1,[500003],[100]
500004,500004,3티 몬스터 방어구 전리품*1,[500004],[100]
500101,500101,3T 망토_01*1,[500101],[100]
500110,500110,2T 보스 완제품 드랍 세트,"[500110,500111,500112]","[100,100,100]"
500111,500111,3T 보스 완제품 드랍 세트,"[500113,500114,500115,500116,500117,500118,500119,500120,500121,500122,500123,500124,500125,500126,500127]","[100,100,100,100,100,100,100,100,100,100,100,100,100,100,100]"
600001,600001,당나귀*1,[600001],[100]
600003,600003,갈색 릴리엇 말*1,[600003],[100]
600004,600004,검은색 릴리엇 말*1,[600004],[100]
600005,600005,흰색 릴리엇 말*1,[600005],[100]
777777,777777,금화*1000,[777777],[100]
1000021,1000021,초보자의 골드 가방*1~3,[1000021],[100]
1000031,1000031,2티 몬스터 무기 전리품*1,[1000031],[100]
1000032,1000032,2티 몬스터 방어구 전리품*1,[1000032],[100]
1000033,1000033,3티 몬스터 무기 전리품*1,[1000033],[100]
1000034,1000034,3티 몬스터 방어구 전리품*1,[1000034],[100]
1000035,1000035,오크 족장 카드*1,[1000035],[100]
1000036,1000036,3T 망토_01*1,[1000036],[100]
1000041,1000041,전문가의 골드 가방*1~3,[1000041],[100]
1000051,1000051,전문가의 골드 가방*3~5,[1000051],[100]
1000061,1000061,대가의 골드 골드 가방*1~3,[1000061],[100]
1002211,1002211,1T 광석*100,[211],[100]
1002212,1002212,2T 광석*100,[212],[100]
1002213,1002213,3T 광석*100,[213],[100]
1002214,1002214,4T 광석*100,[214],[100]
1002215,1002215,5T 광석*100,[215],[100]
1002216,1002216,6T 광석*100,[216],[100]
1002217,1002217,7T 광석*100,[217],[100]
1002221,1002221,1T 섬유*100,[221],[100]
1002222,1002222,2T 섬유*100,[222],[100]
1002223,1002223,3T 섬유*100,[223],[100]
1002224,1002224,4T 섬유*100,[224],[100]
1002225,1002225,5T 섬유*100,[225],[100]
1002226,1002226,6T 섬유*100,[226],[100]
1002227,1002227,7T 섬유*100,[227],[100]
1002231,1002231,1T 통나무*100,[231],[100]
1002232,1002232,2T 통나무*100,[232],[100]
1002233,1002233,3T 통나무*100,[233],[100]
1002234,1002234,4T 통나무*100,[234],[100]
1002235,1002235,5T 통나무*100,[235],[100]
1002236,1002236,6T 통나무*100,[236],[100]
1002237,1002237,7T 통나무*100,[237],[100]
1002241,1002241,구리 주괴*100,[241],[100]
1002242,1002242,주석 주괴*100,[242],[100]
1002243,1002243,철 주괴*100,[243],[100]
1002244,1002244,자수정 주괴*100,[244],[100]
1002245,1002245,청수정 주괴*100,[245],[100]
1002246,1002246,황수정 주괴*100,[246],[100]
1002247,1002247,7T 주괴*100,[247],[100]
1002251,1002251,목화 천*100,[251],[100]
1002252,1002252,아마꽃 천*100,[252],[100]
1002253,1002253,모시풀 천*100,[253],[100]
1002254,1002254,별빛초 천*100,[254],[100]
1002255,1002255,달빛초 천*100,[255],[100]
1002256,1002256,햇빛초 천*100,[256],[100]
1002257,1002257,7T 천*100,[257],[100]
1002261,1002261,참나무 목재*100,[261],[100]
1002262,1002262,단풍나무 목재*100,[262],[100]
1002263,1002263,은행나무 목재*100,[263],[100]
1002264,1002264,자작나무 목재*100,[264],[100]
1002265,1002265,호두나무 목재*100,[265],[100]
1002266,1002266,흑단나무 목재*100,[266],[100]
1002267,1002267,7T 목재*100,[267],[100]
42990007,42990007,"금화*10000,보석*10000,노동력*10000,에노아의 태양*10000,델피나드의 별*10000","[429900071,429900072,429900073,429900074,429900075]","[100,100,100,100,100]"
90010403,90010403,아키움 결정*1,[90010403],[100]
90010503,90010503,아키움 결정*2,[90010503],[100]
90300000,90300000,무기 제작대*1,[300000],[100]
90300001,90300001,요리 제작대*1,[300001],[100]
90300002,90300002,광석 가공대*1,[300002],[100]
90300003,90300003,섬유 가공대*1,[300003],[100]
90300004,90300004,통나무 가공대*1,[300004],[100]
90300005,90300005,통가죽 가공대*1,[300005],[100]
90300006,90300006,방어구 제작대*1,[300006],[100]
8010001,8010001,퀘스트용_식재료*3,[8010001],[100]
8010002,8010002,퀘스트용_해산물 스튜*1,[8010002],[100]
8011000,8011000,하급 체력 물약*10,[8011000],[100]
8011001,8011001,하급 마력 물약*10,[8011001],[100]
8011002,8011002,1T 하급 음식(체력)*20,[8011002],[100]
8011003,8011003,1T 하급 음식(마력)*20,[8011003],[100]
8011004,8011004,1T 하급 음료(받피감)*5,[8011004],[100]
8011005,8011005,1T 하급 음료(피증)*5,[8011005],[100]
8011006,8011006,1T 광석*45,[8011006],[100]
8011007,8011007,1T 섬유*35,[8011007],[100]
8011008,8011008,1T 통나무*45,[8011008],[100]
8011009,8011009,1T 가죽*35,[8011009],[100]
8011010,8011010,적색 아키움(무기 코어) 티어 3*1,[8011010],[100]
