종류,티어,강화,능력치 타입,수치
방어구,Tier2,6,DefenseVary,30
방어구,Tier2,7,DefenseVary,35
방어구,Tier2,8,DefenseVary,40
방어구,Tier2,9,DefenseVary,45
방어구,Tier2,10,DefenseVary,50
방어구,Tier3,1,DefenseVary,6
방어구,Tier3,2,DefenseVary,12
방어구,Tier3,3,DefenseVary,18
방어구,Tier3,4,DefenseVary,24
방어구,Tier3,5,DefenseVary,30
방어구,Tier3,6,DefenseVary,36
방어구,Tier3,7,DefenseVary,42
방어구,Tier3,8,DefenseVary,48
방어구,Tier3,9,DefenseVary,54
방어구,Tier3,10,DefenseVary,60
방어구,Tier4,1,DefenseVary,7
방어구,Tier4,2,DefenseVary,14
방어구,Tier4,3,DefenseVary,21
방어구,Tier4,4,DefenseVary,28
방어구,Tier4,5,DefenseVary,35
방어구,Tier4,6,DefenseVary,42
방어구,Tier4,7,DefenseVary,49
방어구,Tier4,8,DefenseVary,56
방어구,Tier4,9,DefenseVary,63
방어구,Tier4,10,DefenseVary,70
방어구,Tier5,1,DefenseVary,8
방어구,Tier5,2,DefenseVary,16
방어구,Tier5,3,DefenseVary,24
방어구,Tier5,4,DefenseVary,32
방어구,Tier5,5,DefenseVary,40
방어구,Tier5,6,DefenseVary,48
방어구,Tier5,7,DefenseVary,56
방어구,Tier5,8,DefenseVary,64
방어구,Tier5,9,DefenseVary,72
방어구,Tier5,10,DefenseVary,80
방어구,Tier6,1,DefenseVary,9
방어구,Tier6,2,DefenseVary,18
방어구,Tier6,3,DefenseVary,27
방어구,Tier6,4,DefenseVary,36
방어구,Tier6,5,DefenseVary,45
방어구,Tier6,6,DefenseVary,54
방어구,Tier6,7,DefenseVary,63
방어구,Tier6,8,DefenseVary,72
방어구,Tier6,9,DefenseVary,81
방어구,Tier6,10,DefenseVary,90
방어구,Tier7,1,DefenseVary,10
방어구,Tier7,2,DefenseVary,20
방어구,Tier7,3,DefenseVary,30
방어구,Tier7,4,DefenseVary,40
방어구,Tier7,5,DefenseVary,50
방어구,Tier7,6,DefenseVary,60
방어구,Tier7,7,DefenseVary,70
방어구,Tier7,8,DefenseVary,80
방어구,Tier7,9,DefenseVary,90
방어구,Tier7,10,DefenseVary,100
장신구(반지),Tier1,1,AttackVary,4
장신구(반지),Tier1,2,AttackVary,8
장신구(반지),Tier1,3,AttackVary,12
장신구(반지),Tier1,4,AttackVary,16
장신구(반지),Tier1,5,AttackVary,20
장신구(반지),Tier1,6,AttackVary,24
장신구(반지),Tier1,7,AttackVary,28
장신구(반지),Tier1,8,AttackVary,32
장신구(반지),Tier1,9,AttackVary,36
장신구(반지),Tier1,10,AttackVary,40
장신구(반지),Tier2,1,AttackVary,5
장신구(반지),Tier2,2,AttackVary,10
장신구(반지),Tier2,3,AttackVary,15
장신구(반지),Tier2,4,AttackVary,20
장신구(반지),Tier2,5,AttackVary,25
장신구(반지),Tier2,6,AttackVary,30
장신구(반지),Tier2,7,AttackVary,35
장신구(반지),Tier2,8,AttackVary,40
장신구(반지),Tier2,9,AttackVary,45
장신구(반지),Tier2,10,AttackVary,50
장신구(반지),Tier3,1,AttackVary,6
장신구(반지),Tier3,2,AttackVary,12
장신구(반지),Tier3,3,AttackVary,18
장신구(반지),Tier3,4,AttackVary,24
장신구(반지),Tier3,5,AttackVary,30
장신구(반지),Tier3,6,AttackVary,36
장신구(반지),Tier3,7,AttackVary,42
장신구(반지),Tier3,8,AttackVary,48
장신구(반지),Tier3,9,AttackVary,54
장신구(반지),Tier3,10,AttackVary,60
장신구(반지),Tier4,1,AttackVary,7
장신구(반지),Tier4,2,AttackVary,14
장신구(반지),Tier4,3,AttackVary,21
장신구(반지),Tier4,4,AttackVary,28
장신구(반지),Tier4,5,AttackVary,35
장신구(반지),Tier4,6,AttackVary,42
장신구(반지),Tier4,7,AttackVary,49
장신구(반지),Tier4,8,AttackVary,56
장신구(반지),Tier4,9,AttackVary,63
장신구(반지),Tier4,10,AttackVary,70
장신구(반지),Tier5,1,AttackVary,8
장신구(반지),Tier5,2,AttackVary,16
장신구(반지),Tier5,3,AttackVary,24
장신구(반지),Tier5,4,AttackVary,32
장신구(반지),Tier5,5,AttackVary,40
장신구(반지),Tier5,6,AttackVary,48
장신구(반지),Tier5,7,AttackVary,56
장신구(반지),Tier5,8,AttackVary,64
장신구(반지),Tier5,9,AttackVary,72
장신구(반지),Tier5,10,AttackVary,80
장신구(반지),Tier6,1,AttackVary,9
장신구(반지),Tier6,2,AttackVary,18
장신구(반지),Tier6,3,AttackVary,27
장신구(반지),Tier6,4,AttackVary,36
장신구(반지),Tier6,5,AttackVary,45
장신구(반지),Tier6,6,AttackVary,54
장신구(반지),Tier6,7,AttackVary,63
장신구(반지),Tier6,8,AttackVary,72
장신구(반지),Tier6,9,AttackVary,81
장신구(반지),Tier6,10,AttackVary,90
장신구(반지),Tier7,1,AttackVary,10
장신구(반지),Tier7,2,AttackVary,20
장신구(반지),Tier7,3,AttackVary,30
장신구(반지),Tier7,4,AttackVary,40
장신구(반지),Tier7,5,AttackVary,50
장신구(반지),Tier7,6,AttackVary,60
장신구(반지),Tier7,7,AttackVary,70
장신구(반지),Tier7,8,AttackVary,80
장신구(반지),Tier7,9,AttackVary,90
장신구(반지),Tier7,10,AttackVary,100
장신구(목걸이),Tier1,1,DefenseVary,4
장신구(목걸이),Tier1,2,DefenseVary,8
장신구(목걸이),Tier1,3,DefenseVary,12
장신구(목걸이),Tier1,4,DefenseVary,16
장신구(목걸이),Tier1,5,DefenseVary,20
장신구(목걸이),Tier1,6,DefenseVary,24
장신구(목걸이),Tier1,7,DefenseVary,28
장신구(목걸이),Tier1,8,DefenseVary,32
장신구(목걸이),Tier1,9,DefenseVary,36
장신구(목걸이),Tier1,10,DefenseVary,40
장신구(목걸이),Tier2,1,DefenseVary,5
장신구(목걸이),Tier2,2,DefenseVary,10
장신구(목걸이),Tier2,3,DefenseVary,15
장신구(목걸이),Tier2,4,DefenseVary,20
장신구(목걸이),Tier2,5,DefenseVary,25
장신구(목걸이),Tier2,6,DefenseVary,30
장신구(목걸이),Tier2,7,DefenseVary,35
장신구(목걸이),Tier2,8,DefenseVary,40
장신구(목걸이),Tier2,9,DefenseVary,45
장신구(목걸이),Tier2,10,DefenseVary,50
장신구(목걸이),Tier3,1,DefenseVary,6
장신구(목걸이),Tier3,2,DefenseVary,12
장신구(목걸이),Tier3,3,DefenseVary,18
장신구(목걸이),Tier3,4,DefenseVary,24
장신구(목걸이),Tier3,5,DefenseVary,30
장신구(목걸이),Tier3,6,DefenseVary,36
장신구(목걸이),Tier3,7,DefenseVary,42
장신구(목걸이),Tier3,8,DefenseVary,48
장신구(목걸이),Tier3,9,DefenseVary,54
장신구(목걸이),Tier3,10,DefenseVary,60
장신구(목걸이),Tier4,1,DefenseVary,7
장신구(목걸이),Tier4,2,DefenseVary,14
장신구(목걸이),Tier4,3,DefenseVary,21
장신구(목걸이),Tier4,4,DefenseVary,28
장신구(목걸이),Tier4,5,DefenseVary,35
장신구(목걸이),Tier4,6,DefenseVary,42
장신구(목걸이),Tier4,7,DefenseVary,49
장신구(목걸이),Tier4,8,DefenseVary,56
장신구(목걸이),Tier4,9,DefenseVary,63
장신구(목걸이),Tier4,10,DefenseVary,70
장신구(목걸이),Tier5,1,DefenseVary,8
장신구(목걸이),Tier5,2,DefenseVary,16
장신구(목걸이),Tier5,3,DefenseVary,24
장신구(목걸이),Tier5,4,DefenseVary,32
장신구(목걸이),Tier5,5,DefenseVary,40
장신구(목걸이),Tier5,6,DefenseVary,48
장신구(목걸이),Tier5,7,DefenseVary,56
장신구(목걸이),Tier5,8,DefenseVary,64
장신구(목걸이),Tier5,9,DefenseVary,72
장신구(목걸이),Tier5,10,DefenseVary,80
장신구(목걸이),Tier6,1,DefenseVary,9
장신구(목걸이),Tier6,2,DefenseVary,18
장신구(목걸이),Tier6,3,DefenseVary,27
장신구(목걸이),Tier6,4,DefenseVary,36
장신구(목걸이),Tier6,5,DefenseVary,45
장신구(목걸이),Tier6,6,DefenseVary,54
장신구(목걸이),Tier6,7,DefenseVary,63
장신구(목걸이),Tier6,8,DefenseVary,72
장신구(목걸이),Tier6,9,DefenseVary,81
장신구(목걸이),Tier6,10,DefenseVary,90
장신구(목걸이),Tier7,1,DefenseVary,10
장신구(목걸이),Tier7,2,DefenseVary,20
장신구(목걸이),Tier7,3,DefenseVary,30
장신구(목걸이),Tier7,4,DefenseVary,40
장신구(목걸이),Tier7,5,DefenseVary,50
장신구(목걸이),Tier7,6,DefenseVary,60
장신구(목걸이),Tier7,7,DefenseVary,70
장신구(목걸이),Tier7,8,DefenseVary,80
장신구(목걸이),Tier7,9,DefenseVary,90
장신구(목걸이),Tier7,10,DefenseVary,100
장신구(귀걸이),Tier1,1,DefenseVary,4
장신구(귀걸이),Tier1,2,DefenseVary,8
장신구(귀걸이),Tier1,3,DefenseVary,12
장신구(귀걸이),Tier1,4,DefenseVary,16
장신구(귀걸이),Tier1,5,DefenseVary,20
장신구(귀걸이),Tier1,6,DefenseVary,24
장신구(귀걸이),Tier1,7,DefenseVary,28
장신구(귀걸이),Tier1,8,DefenseVary,32
장신구(귀걸이),Tier1,9,DefenseVary,36
장신구(귀걸이),Tier1,10,DefenseVary,40
장신구(귀걸이),Tier2,1,DefenseVary,5
장신구(귀걸이),Tier2,2,DefenseVary,10
장신구(귀걸이),Tier2,3,DefenseVary,15
장신구(귀걸이),Tier2,4,DefenseVary,20
장신구(귀걸이),Tier2,5,DefenseVary,25
장신구(귀걸이),Tier2,6,DefenseVary,30
장신구(귀걸이),Tier2,7,DefenseVary,35
장신구(귀걸이),Tier2,8,DefenseVary,40
장신구(귀걸이),Tier2,9,DefenseVary,45
장신구(귀걸이),Tier2,10,DefenseVary,50
장신구(귀걸이),Tier3,1,DefenseVary,6
장신구(귀걸이),Tier3,2,DefenseVary,12
장신구(귀걸이),Tier3,3,DefenseVary,18
장신구(귀걸이),Tier3,4,DefenseVary,24
장신구(귀걸이),Tier3,5,DefenseVary,30
장신구(귀걸이),Tier3,6,DefenseVary,36
장신구(귀걸이),Tier3,7,DefenseVary,42
장신구(귀걸이),Tier3,8,DefenseVary,48
장신구(귀걸이),Tier3,9,DefenseVary,54
장신구(귀걸이),Tier3,10,DefenseVary,60
장신구(귀걸이),Tier4,1,DefenseVary,7
장신구(귀걸이),Tier4,2,DefenseVary,14
장신구(귀걸이),Tier4,3,DefenseVary,21
장신구(귀걸이),Tier4,4,DefenseVary,28
장신구(귀걸이),Tier4,5,DefenseVary,35
장신구(귀걸이),Tier4,6,DefenseVary,42
장신구(귀걸이),Tier4,7,DefenseVary,49
장신구(귀걸이),Tier4,8,DefenseVary,56
장신구(귀걸이),Tier4,9,DefenseVary,63
장신구(귀걸이),Tier4,10,DefenseVary,70
장신구(귀걸이),Tier5,1,DefenseVary,8
장신구(귀걸이),Tier5,2,DefenseVary,16
장신구(귀걸이),Tier5,3,DefenseVary,24
장신구(귀걸이),Tier5,4,DefenseVary,32
장신구(귀걸이),Tier5,5,DefenseVary,40
장신구(귀걸이),Tier5,6,DefenseVary,48
장신구(귀걸이),Tier5,7,DefenseVary,56
장신구(귀걸이),Tier5,8,DefenseVary,64
장신구(귀걸이),Tier5,9,DefenseVary,72
장신구(귀걸이),Tier5,10,DefenseVary,80
장신구(귀걸이),Tier6,1,DefenseVary,9
장신구(귀걸이),Tier6,2,DefenseVary,18
장신구(귀걸이),Tier6,3,DefenseVary,27
장신구(귀걸이),Tier6,4,DefenseVary,36
장신구(귀걸이),Tier6,5,DefenseVary,45
장신구(귀걸이),Tier6,6,DefenseVary,54
장신구(귀걸이),Tier6,7,DefenseVary,63
장신구(귀걸이),Tier6,8,DefenseVary,72
장신구(귀걸이),Tier6,9,DefenseVary,81
장신구(귀걸이),Tier6,10,DefenseVary,90
장신구(귀걸이),Tier7,1,DefenseVary,10
장신구(귀걸이),Tier7,2,DefenseVary,20
장신구(귀걸이),Tier7,3,DefenseVary,30
장신구(귀걸이),Tier7,4,DefenseVary,40
장신구(귀걸이),Tier7,5,DefenseVary,50
장신구(귀걸이),Tier7,6,DefenseVary,60
장신구(귀걸이),Tier7,7,DefenseVary,70
장신구(귀걸이),Tier7,8,DefenseVary,80
장신구(귀걸이),Tier7,9,DefenseVary,90
장신구(귀걸이),Tier7,10,DefenseVary,100
